id,compound_id,text,created_on,datatype,datatype_id
8,15561,"Name encompasses both (1R,2S) and (1S,2R) isomers.",2007-04-24 00:00:00,General,12789
12,15576,"8,25-dien name wrong in IUBMB list (now corrected).",2003-12-23 00:00:00,CompoundName,264
14,15635,The natural product is the 6S stereoisomer.,2004-01-09 00:00:00,General,15635
15,15636,The naturally occurring compound is the 6R stereoisomer. ,2004-01-09 00:00:00,General,15636
16,15638,The naturally occurring compound is the tetrahydrofolate 6R stereoisomer.,2004-01-09 00:00:00,General,15638
17,15639,The naturally occuring compound is the 6S stereoisomer.,2004-01-09 00:00:00,General,15639
18,15640,The naturally occurring compound is the 6S stereoisomer.,2004-01-09 00:00:00,General,15640
19,15641,The naturally occurring compound is the 6S stereoisomer.,2004-01-09 00:00:00,General,15641
20,15637,The naturally occurring compound is the 6S stereoisomer,2004-01-09 00:00:00,General,15637
22,17959,The native oxidized luciferin from the coelenterate Renilla has the benzyl group replaced by an unidentified group of approximately 200 Da.,2004-02-06 00:00:00,General,17959
24,18360,Confusion exists in the literature between lupinine and lupanine. Thus lupinine is a bicyclic quinolizidine alkaloid whereas lupanine has a methylene-bridged dipyridodiazocine structure containing two quinolizidine systems; the current compound is an example. Unfortunately the two terms are sometimes used synonomously.,2007-06-14 00:00:00,General,18360
25,18328,Confusion exists in the literature between lupinine and lupanine. Thus lupinine is a bicyclic quinolizidine alkaloid whereas lupanine has a methylene-bridged dipyridodiazocine structure containing two quinolizidine systems; the current compound is an example. Unfortunately the two terms are sometimes used synonomously.,2007-06-14 00:00:00,General,18328
26,28012,"Confusion exists in the literature between lupinine and lupanine. Thus lupinine (this entry) is a bicyclic quinolizidine alkaloid whereas lupanine has a methylene-bridged dipyridodiazocine structure containing two quinolizidine systems (see, e.g., entry for 13-hydroxylupanine). Unfortunately the two terms are sometimes used synonomously.",2007-06-14 00:00:00,General,6573
30,16886,"The naturally occurring compound is the 2E,4Z stereoisomer.",2004-02-23 00:00:00,General,16886
34,29094,Non-stereospecific version of homoisocitric acid ,2004-02-26 00:00:00,General,11761
35,15685,(R) stereochemistry in IUBMB/IntEnz entry for EC 2.3.1.117 should read (S).,2004-03-09 00:00:00,General,15685
39,29130,IUPAC systematic name.,2004-03-18 00:00:00,CompoundName,35757
48,11656,"The naturally occurring compound (product from EC 2.5.1.64) is the (1S,6R) stereoisomer",2004-03-24 00:00:00,General,11656
49,18184,"This compound was named incorrectly as 3,5,3'-triiodophenylpyruvate in the IUBMB Enzyme Nomenclature.",2004-03-30 00:00:00,General,18184
58,17052,"The numbering system used for the 3-phosphoshikimate is that of the IUPAC/IUBMB recommendations on cyclitols, sections I-8 and I-9. The use of the term '5-phosphoshikimate' for this compound is based on an earlier system of numbering.",2004-04-30 00:00:00,General,17052
61,18371,The non-stereospecific name '4-carboxymethylenebut-2-enolide' is used in the literature as a synonym for the naturally occurring E (termed 'cis') stereoisomer.,2004-05-10 00:00:00,General,0
62,17029,Cellulose-like biopolymer consisting predominantly of unbranched chains of beta-(1->4)-2-acetamido-2-deoxy-D-glucose,2004-05-20 00:00:00,General,0
64,17407,"The prevalent isomer in Nature is the trans,trans isomer and the unqualified term 'farnesyl' is generally used to mean this isomer unless otherwise specified.",2004-05-25 00:00:00,General,0
65,17618,Ring size of fructose components seems unclear in the literature.,2004-05-26 00:00:00,General,0
67,17630,Kanamycin A is usually designated as kanamycin. It is the major component of the naturally occurring antibiotic complex known also as kanamycin.,2004-06-15 00:00:00,General,0
68,28098,Kanamycin B is a minor component of the naturally occurring antibiotic complex known as kanamycin. ,2004-06-15 00:00:00,General,0
