ass_cls_map_id,assay_id,assay_class_id
398369,453,115
466381,1054,322
466048,1055,322
466200,1056,322
466291,1057,322
466292,1058,322
466018,1059,322
466294,1586,322
466258,1587,322
466674,1660,322
466201,1661,322
466569,1662,322
466293,1663,322
416614,3153,149
414867,3155,140
414868,3157,140
416546,3157,149
415720,3194,140
400609,4985,115
410113,4985,119
394032,5182,115
396143,5183,115
402910,5184,115
400613,5185,115
362363,5963,82
363574,5963,85
400611,5963,115
362364,5964,82
363575,5964,85
400612,5964,115
361674,5965,82
363545,5965,85
394030,5965,115
361234,5966,82
363527,5966,85
389728,5966,115
362353,5967,82
363572,5967,85
399928,5967,115
363546,5969,85
394031,5969,115
363573,6348,85
400610,6348,115
410114,6348,119
363520,6349,85
387536,6349,115
405983,6349,119
387537,6353,115
434366,6960,216
387538,7319,115
355851,8632,62
353892,8633,62
438875,8641,259
438428,10227,259
438537,10228,259
438222,10229,259
438876,10230,259
439002,10231,259
438757,10232,259
438489,10387,259
439003,10388,259
438637,10389,259
438638,10390,259
491172,10814,538
492337,10814,561
491169,10815,538
492336,10815,561
491156,10816,538
492326,10816,561
439544,13108,266
438758,13125,259
439929,13125,266
430308,27497,210
432336,27497,211
433408,28350,216
436197,28351,216
433903,28893,216
430309,28894,210
402911,29677,115
400614,29678,115
490634,30649,514
490450,30650,514
490233,30651,514
490145,30652,514
490468,30653,514
380174,34723,91
381235,34723,92
386893,34723,114
398383,34723,115
379582,34724,91
380538,34724,92
385799,34724,114
387551,34724,115
361236,34725,82
380673,34725,92
362595,34726,82
381512,34726,92
362135,34727,82
381236,34727,92
361898,34728,82
381093,34728,92
362136,34729,82
381237,34729,92
361676,34730,82
380944,34730,92
394050,34730,115
361899,34731,82
381094,34731,92
362596,34732,82
381513,34732,92
361237,34733,82
380674,34733,92
360999,34734,82
380539,34734,92
361677,34735,82
380945,34735,92
361472,34736,82
380810,34736,92
361000,34737,82
380540,34737,92
361900,34738,82
381095,34738,92
361001,34739,82
380541,34739,92
361459,34740,82
380787,34740,92
361473,34741,82
380812,34741,92
362137,34742,82
381239,34742,92
380176,34744,91
381240,34744,92
398385,34744,115
379911,34747,91
380931,34747,92
394041,34747,115
380398,34748,91
381503,34748,92
402920,34748,115
380266,34749,91
381349,34749,92
399936,34749,115
380275,34750,91
381358,34750,92
400619,34750,115
379685,34751,91
380660,34751,92
389735,34751,115
379795,34752,91
380793,34752,92
391927,34752,115
379686,34753,91
380661,34753,92
389736,34753,115
379566,34754,91
380518,34754,92
387542,34754,115
380276,34755,91
381359,34755,92
400620,34755,115
380399,34756,91
381504,34756,92
402921,34756,115
380162,34757,91
381223,34757,92
398372,34757,115
380392,34758,91
381497,34758,92
402912,34758,115
380163,34762,91
381224,34762,92
398373,34762,115
379906,34874,91
380926,34874,92
394038,34874,115
379907,34875,91
380927,34875,92
394039,34875,115
380263,34876,91
381346,34876,92
399801,34876,115
379691,34877,91
380667,34877,92
389743,34877,115
379692,34878,91
380668,34878,92
389744,34878,115
380283,34879,91
381366,34879,92
400624,34879,115
379804,34880,91
380804,34880,92
391930,34880,115
379805,34881,91
380805,34881,92
391931,34881,115
380284,34882,91
381367,34882,92
400625,34882,115
380285,34883,91
381368,34883,92
400626,34883,115
379675,34884,91
380650,34884,92
388691,34884,115
379806,34885,91
380806,34885,92
391932,34885,115
379921,34886,91
380942,34886,92
394049,34886,115
379693,34887,91
380669,34887,92
389745,34887,115
379810,34888,91
380811,34888,92
391934,34888,115
380175,34889,91
381238,34889,92
398384,34889,115
379923,34890,91
380946,34890,92
394051,34890,115
380288,34891,91
381371,34891,92
400628,34891,115
380290,34892,91
381374,34892,92
400632,34892,115
380051,34893,91
381098,34893,92
396158,34893,115
379924,34894,91
380947,34894,92
394053,34894,115
380508,34895,91
381632,34895,92
404060,34895,115
380291,34896,91
381375,34896,92
400633,34896,115
379585,34897,91
380546,34897,92
387557,34897,115
379814,34898,91
380817,34898,92
391940,34898,115
380052,34899,91
381099,34899,92
396159,34899,115
379788,34900,91
380784,34900,92
391244,34900,115
379815,34901,91
380818,34901,92
391941,34901,115
379816,34902,91
380819,34902,92
391942,34902,115
379586,34903,91
380547,34903,92
387558,34903,115
380293,34904,91
381377,34904,92
400635,34904,115
379572,35014,91
380524,35014,92
387545,35014,115
379573,35015,91
380525,35015,92
387546,35015,115
379800,35016,91
380798,35016,92
391928,35016,115
380403,35017,91
381508,35017,92
402923,35017,115
380280,35018,91
381363,35018,92
400621,35018,115
379912,35019,91
380932,35019,92
394042,35019,115
379567,35020,91
380519,35020,92
387543,35020,115
379913,35021,91
380933,35021,92
394043,35021,115
379568,35022,91
380520,35022,92
387544,35022,115
379914,35033,91
380934,35033,92
386466,35033,114
394044,35033,115
379915,35034,91
380935,35034,92
386467,35034,114
394045,35034,115
379916,35035,91
380936,35035,92
386468,35035,114
394046,35035,115
379687,35036,91
380662,35036,92
386004,35036,114
389737,35036,115
379797,35044,91
380795,35044,92
379918,35045,91
380938,35045,92
379798,35046,91
380796,35046,92
379688,35047,91
380663,35047,92
380039,35048,91
381082,35048,92
380389,35049,91
381494,35049,92
380044,35050,91
381088,35050,92
379900,35051,91
380920,35051,92
380282,35052,91
381365,35052,92
380045,35053,91
381089,35053,92
380028,35054,91
381069,35054,92
379704,35173,91
380683,35173,92
380413,35174,91
381521,35174,92
379822,35175,91
380825,35175,92
380302,35176,91
381386,35176,92
400643,35176,115
380063,35177,91
381110,35177,92
396168,35177,115
379933,35178,91
380956,35178,92
394062,35178,115
380064,35179,91
381111,35179,92
396169,35179,115
380303,35180,91
381387,35180,92
400644,35180,115
380414,35181,91
381522,35181,92
402931,35181,115
379899,35182,91
380919,35182,92
393453,35182,115
379823,35183,91
380826,35183,92
391946,35183,115
379594,35184,91
380556,35184,92
387565,35184,115
379824,35185,91
380827,35185,92
391947,35185,115
379825,35186,91
380828,35186,92
391948,35186,115
379826,35187,91
380829,35187,92
391949,35187,115
379705,35188,91
380684,35188,92
389755,35188,115
380065,35189,91
381112,35189,92
396170,35189,115
380260,35212,91
381343,35212,92
380296,35213,91
381380,35213,92
380297,35214,91
381381,35214,92
379587,35292,91
380548,35292,92
387559,35292,115
379588,35293,91
380549,35293,92
387560,35293,115
379589,35294,91
380550,35294,92
387561,35294,115
380408,35295,91
381516,35295,92
402927,35295,115
380409,35296,91
381517,35296,92
402928,35296,115
380178,35297,91
381243,35297,92
398388,35297,115
379577,35301,91
380533,35301,92
379802,35302,91
380802,35302,92
380514,35303,91
381639,35303,92
380405,35304,91
381511,35304,92
380046,35305,91
381090,35305,92
379803,35306,91
380803,35306,92
379807,35307,91
380807,35307,92
380047,35308,91
381091,35308,92
379578,35309,91
380534,35309,92
379579,35310,91
380535,35310,92
380173,35311,91
381234,35311,92
379580,35312,91
380536,35312,92
380286,35313,91
381369,35313,92
400627,35313,115
379694,35314,91
380670,35314,92
379695,35315,91
380671,35315,92
380048,35316,91
381092,35316,92
379581,35317,91
380537,35317,92
379808,35318,91
380808,35318,92
379922,35319,91
380943,35319,92
380287,35320,91
381370,35320,92
379809,35321,91
380809,35321,92
391933,35321,115
379696,35322,91
380672,35322,92
389746,35322,115
380272,35323,91
381355,35323,92
400618,35323,115
380386,35324,91
381491,35324,92
402085,35324,115
379684,35325,91
380659,35325,92
389734,35325,115
379909,35326,91
380929,35326,92
379910,35327,91
380930,35327,92
380273,35328,91
381356,35328,92
380274,35329,91
381357,35329,92
380166,35330,91
381227,35330,92
391926,35333,115
380031,35447,91
381074,35447,92
396144,35447,115
379792,35448,91
380790,35448,92
391923,35448,115
380164,35449,91
381225,35449,92
398374,35449,115
380393,35450,91
381498,35450,92
402913,35450,115
400623,35637,115
396155,35641,115
389742,35642,115
398376,35752,115
402915,35753,115
387540,35754,115
398377,35755,115
380394,35757,91
381499,35757,92
402916,35757,115
379565,35758,91
380517,35758,92
387541,35758,115
379680,35759,91
380655,35759,92
389730,35759,115
379903,35760,91
380923,35760,92
394035,35760,115
379681,35761,91
380656,35761,92
389731,35761,115
380395,35762,91
381500,35762,92
402917,35762,115
380396,35763,91
381501,35763,92
402918,35763,115
380033,35764,91
381076,35764,92
396146,35764,115
379682,35765,91
380657,35765,92
389732,35765,115
380270,35766,91
381353,35766,92
400616,35766,115
380034,35767,91
381077,35767,92
396147,35767,115
379793,35768,91
380791,35768,92
391924,35768,115
379904,35769,91
380924,35769,92
394036,35769,115
379794,35770,91
380792,35770,92
391925,35770,115
380397,35771,91
381502,35771,92
402919,35771,115
380388,35772,91
381493,35772,92
402217,35772,115
380035,35773,91
381078,35773,92
396148,35773,115
379683,35774,91
380658,35774,92
389733,35774,115
379905,35775,91
380925,35775,92
394037,35775,115
380271,35776,91
381354,35776,92
400617,35776,115
380165,35777,91
381226,35777,92
398378,35777,115
380387,35778,91
381492,35778,92
402212,35778,115
380289,35779,91
381373,35779,92
400631,35779,115
379697,35780,91
380675,35780,92
389748,35780,115
380406,35781,91
381514,35781,92
402925,35781,115
380049,35782,91
381096,35782,92
396156,35782,115
379583,35783,91
380544,35783,92
387555,35783,115
380410,35784,91
381518,35784,92
402929,35784,115
380180,35785,91
381245,35785,92
398390,35785,115
441948,35816,280
442034,35817,280
380036,36089,91
381079,36089,92
396149,36089,115
379908,36090,91
380928,36090,92
394040,36090,115
380037,36091,91
381080,36091,92
380060,36237,91
381107,36237,92
393454,36398,115
380411,36399,91
381519,36399,92
380058,36400,91
381105,36400,92
379599,36401,91
380562,36401,92
380071,36402,91
381118,36402,92
380159,36403,91
381221,36403,92
379820,36404,91
380823,36404,92
380510,36405,91
381635,36405,92
379592,36406,91
380553,36406,92
380513,36407,91
381638,36407,92
380062,36408,91
381109,36408,92
379821,36409,91
380824,36409,92
379569,36416,91
380521,36416,92
381641,36416,93
442097,36426,280
442033,36427,280
442009,36439,280
380301,36543,91
381385,36543,92
387112,36543,114
400642,36543,115
379932,36544,91
380955,36544,92
386470,36544,114
394061,36544,115
379703,36545,91
380681,36545,92
386005,36545,114
389753,36545,115
380061,36546,91
381108,36546,92
386690,36546,114
396167,36546,115
379593,36547,91
380554,36547,92
380158,36548,91
381220,36548,92
379676,36549,91
380651,36549,92
380304,36552,91
381388,36552,92
400645,36552,115
380183,36553,91
381248,36553,92
398393,36553,115
380417,36554,91
381526,36554,92
402935,36554,115
379595,36555,91
380558,36555,92
387567,36555,115
379706,36556,91
380685,36556,92
389756,36556,115
380068,36557,91
381115,36557,92
396174,36557,115
380069,36558,91
381116,36558,92
396175,36558,115
380070,36559,91
381117,36559,92
396176,36559,115
379934,36560,91
380958,36560,92
394064,36560,115
380418,36561,91
381527,36561,92
402939,36561,115
362140,36562,82
381249,36562,92
361005,36563,82
380555,36563,92
361240,36564,82
380682,36564,92
387564,36567,115
362141,36570,82
381251,36570,92
398396,36570,115
361241,36571,82
380688,36571,92
389757,36571,115
362142,36572,82
381252,36572,92
398397,36572,115
362372,36573,82
381390,36573,92
400654,36573,115
370438,36575,87
402952,36575,115
386894,36576,114
398405,36576,115
385801,36577,114
387580,36577,115
386895,36578,114
398406,36578,115
385802,36579,114
387581,36579,115
386237,36580,114
391964,36580,115
387114,36581,114
400655,36581,115
415149,36591,140
419498,36591,159
380053,36690,91
381100,36690,92
396160,36690,115
379925,36691,91
380948,36691,92
394054,36691,115
379700,36692,91
380678,36692,92
389751,36692,115
380292,36693,91
381376,36693,92
400634,36693,115
379926,36694,91
380949,36694,92
394055,36694,115
380177,36695,91
381242,36695,92
398387,36695,115
380054,36696,91
381101,36696,92
396161,36696,115
380300,36697,91
381384,36697,92
400640,36697,115
379929,36698,91
380952,36698,92
394058,36698,115
379930,36699,91
380953,36699,92
394059,36699,115
380181,36700,91
381246,36700,92
398391,36700,115
380412,36716,91
381520,36716,92
402930,36716,115
379590,36717,91
380551,36717,92
387562,36717,115
379701,36718,91
380679,36718,92
389752,36718,115
379818,36719,91
380821,36719,92
391944,36719,115
379819,36720,91
380822,36720,92
391945,36720,115
379789,36721,91
380785,36721,92
391245,36721,115
380298,36722,91
381382,36722,92
400638,36722,115
379591,36723,91
380552,36723,92
387563,36723,115
380299,36724,91
381383,36724,92
400639,36724,115
380059,36725,91
381106,36725,92
396165,36725,115
379928,36726,91
380951,36726,92
394056,36726,115
379785,36841,91
380780,36841,92
390863,36841,115
379698,36842,91
380676,36842,92
389749,36842,115
380407,36843,91
381515,36843,92
402926,36843,115
380050,36844,91
381097,36844,92
396157,36844,115
379813,36845,91
380816,36845,92
391939,36845,115
379584,36846,91
380545,36846,92
387556,36846,115
379699,36847,91
380677,36847,92
389750,36847,115
379574,36848,91
380526,36848,92
387547,36848,115
362594,36849,82
381509,36849,92
402924,36849,115
361470,36850,82
380799,36850,92
391929,36850,115
361897,36851,82
381085,36851,92
396152,36851,115
360995,36852,82
380527,36852,92
387548,36852,115
361235,36853,82
380665,36853,92
389740,36853,115
380042,36855,91
381086,36855,92
396153,36855,115
379575,36856,91
380528,36856,92
387549,36856,115
380281,36857,91
381364,36857,92
400622,36857,115
380171,36858,91
381232,36858,92
398380,36858,115
379576,36859,91
380529,36859,92
387550,36859,115
361471,36860,82
380800,36860,92
361675,36861,82
380941,36861,92
379690,36866,91
380666,36866,92
389741,36866,115
380172,36867,91
381233,36867,92
398381,36867,115
380043,36868,91
381087,36868,92
396154,36868,115
380404,36869,91
381510,36869,92
379801,36870,91
380801,36870,92
360996,36871,82
380530,36871,92
360997,36872,82
380531,36872,92
360998,36873,82
380532,36873,92
379790,36874,91
380786,36874,92
361002,36875,82
380542,36875,92
387552,36875,115
362365,36876,82
381372,36876,92
400629,36876,115
362138,36877,82
381241,36877,92
398386,36877,115
361003,36878,82
380543,36878,92
387553,36878,115
361474,36879,82
380814,36879,92
391937,36879,115
379787,37016,91
380783,37016,92
391243,37016,115
379827,37017,91
380830,37017,92
391950,37017,115
380182,37018,91
381247,37018,92
398392,37018,115
379828,37019,91
380831,37019,92
391951,37019,115
380066,37020,91
381113,37020,92
396171,37020,115
379829,37021,91
380832,37021,92
391952,37021,115
380415,37022,91
381523,37022,92
402932,37022,115
380416,37023,91
381524,37023,92
402933,37023,115
380067,37024,91
381114,37024,92
396172,37024,115
361006,37026,82
380557,37026,92
387566,37026,115
362597,37027,82
381525,37027,92
402934,37027,115
361679,37028,82
380957,37028,92
394063,37028,115
379935,37029,91
380959,37029,92
386471,37029,114
394065,37029,115
379596,37030,91
380559,37030,92
385800,37030,114
387570,37030,115
380305,37031,91
381389,37031,92
387113,37031,114
400647,37031,115
379812,37032,91
380815,37032,92
386234,37032,114
391938,37032,115
379830,37033,91
380833,37033,92
386235,37033,114
391953,37033,115
380265,37034,91
381348,37034,92
387031,37034,114
399934,37034,115
379811,37035,91
380813,37035,92
386233,37035,114
391936,37035,115
477529,37171,341
380167,37702,91
381228,37702,92
398379,37702,115
380402,37704,91
381507,37704,92
387343,37704,114
402922,37704,115
380277,37705,91
381360,37705,92
380168,37706,91
381229,37706,92
380278,37707,91
381361,37707,92
380169,37708,91
381230,37708,92
380390,37709,91
381495,37709,92
380170,37710,91
381231,37710,92
380040,37711,91
381083,37711,92
380041,37712,91
381084,37712,92
396151,37712,115
379689,37713,91
380664,37713,92
389739,37713,115
379919,37714,91
380939,37714,92
394048,37714,115
379799,37715,91
380797,37715,92
379570,37716,91
380522,37716,92
379571,37718,91
380523,37718,92
380279,37719,91
381362,37719,92
379920,37720,91
380940,37720,92
380038,37721,91
381081,37721,92
380400,37722,91
381505,37722,92
379917,37723,91
380937,37723,92
379796,37724,91
380794,37724,92
379786,37725,91
380781,37725,92
380401,37726,91
381506,37726,92
380030,37727,91
381071,37727,92
380419,37728,91
381528,37728,92
379597,37729,91
380560,37729,92
379707,37730,91
380686,37730,92
379708,37731,91
380687,37731,92
379831,37732,91
380834,37732,92
379598,37733,91
380561,37733,92
387571,37733,115
380420,37734,91
381529,37734,92
402940,37734,115
380055,37740,91
381102,37740,92
396162,37740,115
380294,37741,91
381378,37741,92
400636,37741,115
380295,37742,91
381379,37742,92
400637,37742,115
379817,37743,91
380820,37743,92
391943,37743,115
380179,37744,91
381244,37744,92
398389,37744,115
380056,37745,91
381103,37745,92
396163,37745,115
380057,37746,91
381104,37746,92
396164,37746,115
380072,37852,91
381119,37852,92
396179,37852,115
379600,37853,91
380563,37853,92
387573,37853,115
380185,37854,91
381253,37854,92
398401,37854,115
379936,37855,91
380960,37855,92
394069,37855,115
379832,37856,91
380835,37856,92
391958,37856,115
379833,37857,91
380836,37857,92
391959,37857,115
394033,37869,115
396145,37870,115
395493,37871,115
400615,37872,115
402914,37873,115
398375,37874,115
388719,37875,115
387539,37879,115
389729,37880,115
394034,37881,115
379702,38196,91
380680,38196,92
381683,38196,93
380026,38197,91
381067,38197,92
381753,38197,93
379931,38198,91
380954,38198,92
381739,38198,93
380184,38199,91
381250,38199,92
381800,38199,93
379927,38200,91
380950,38200,92
381738,38200,93
379679,38201,91
380654,38201,92
381682,38201,93
380032,38202,91
381075,38202,92
381774,38202,93
380269,38203,91
381352,38203,92
381828,38203,93
380025,38204,91
381065,38204,92
381751,38204,93
386469,38373,114
394057,38373,115
386236,38374,114
391954,38374,115
420624,38840,161
420625,38841,161
420670,38842,161
420653,38843,161
491210,38844,538
491229,38845,538
415148,38846,140
471997,39313,341
479248,39313,342
323948,39313,346
471998,39314,341
479249,39314,342
475685,39439,341
482479,39439,342
475686,39440,341
482480,39440,342
475687,39441,341
482481,39441,342
324709,39441,346
398403,40148,115
402946,40149,115
389762,40150,115
396182,40151,115
402239,40152,115
398402,40181,115
387575,40182,115
389760,40183,115
387572,40298,115
400648,40299,115
402942,40300,115
398398,40301,115
398399,40302,115
398400,40303,115
391957,40304,115
404492,40305,115
361243,40318,82
389763,40318,115
362134,40319,82
398382,40319,115
361239,40321,82
389754,40321,115
362139,40322,82
398394,40322,115
361007,40324,82
387569,40324,115
361901,40329,82
396173,40329,115
362598,40330,82
402936,40330,115
362599,40331,82
402937,40331,115
361678,40332,82
394052,40332,115
361004,40333,82
387554,40333,115
361238,40334,82
389747,40334,115
362366,40335,82
400630,40335,115
396181,40477,115
394070,40481,115
402943,40482,115
389759,40483,115
400646,40491,115
402941,40620,115
396177,40621,115
396178,40622,115
391955,40623,115
389758,40624,115
401799,40625,115
391956,40626,115
387574,40627,115
396180,40628,115
396192,40629,115
362611,40635,82
402957,40635,115
361479,40636,82
391966,40636,115
362612,40637,82
402958,40637,115
362145,40638,82
398409,40638,115
362375,40639,82
400659,40639,115
488424,40903,503
394067,41513,115
394068,41514,115
398395,41515,115
389738,41632,115
396150,41633,115
394047,41634,115
391965,41722,115
398407,41723,115
361660,41737,82
393418,41737,115
361221,41738,82
389076,41738,115
391935,41742,115
396166,41760,115
394060,41761,115
400641,41762,115
387568,42575,115
400657,43425,115
473843,43838,341
480875,43838,342
324322,43838,346
396185,44670,115
402938,44810,115
419875,44905,159
419877,44906,159
420073,44907,159
420074,44908,159
419290,44909,159
419682,44910,159
422468,44911,172
422553,44912,172
422252,44913,172
422552,44914,172
422050,44915,172
422232,44916,172
415150,44917,140
419499,44917,159
415880,44918,140
420416,44918,159
421230,44921,163
421434,44922,163
420917,44923,163
420918,44924,163
420919,44925,163
422668,45086,172
414872,45088,140
414871,45089,140
415151,45114,140
415016,45115,140
414874,45116,140
420920,45132,163
421032,45276,163
421332,45286,163
420701,45287,163
421128,45288,163
421231,45289,163
419500,45301,159
420075,45302,159
420076,45303,159
420421,45304,159
419879,45305,159
420077,45306,159
420078,45307,159
419885,45308,159
419687,45309,159
419123,45310,159
420079,45311,159
419688,45312,159
419295,45313,159
420245,45314,159
419264,45315,159
419886,45316,159
420080,45317,159
420246,45318,159
420247,45319,159
419887,45320,159
419502,45321,159
420081,45322,159
419876,45467,159
419856,45468,159
419880,45469,159
419501,45470,159
420422,45471,159
419121,45472,159
419683,45473,159
419291,45474,159
419881,45475,159
419122,45476,159
420242,45477,159
420923,45478,163
421233,45479,163
421129,45480,163
490470,45484,514
490355,45485,514
490635,45486,514
415153,45495,140
415015,45511,140
415298,45512,140
490469,45656,514
490615,45657,514
490146,45658,514
490548,45659,514
422535,45661,172
422145,45662,172
422467,45663,172
422146,45664,172
422348,45665,172
416008,45666,140
415297,45667,140
414870,45668,140
493038,45670,578
492862,45671,578
