biocomp_id,molregno,component_id
553,112560,6717
652,508828,6747
564,674462,6717
565,674467,6717
486,675360,6671
487,675361,6672
489,675363,6674
492,675366,6677
495,675367,6680
497,675368,6682
499,675369,6684
500,675370,6685
266,675371,6542
501,675371,6686
503,675373,6677
504,675374,6688
507,675376,6691
508,675377,6692
512,675380,6695
514,675381,6683
517,675383,6677
520,675386,6677
521,675387,6701
522,675388,6702
523,675389,6703
527,675392,6678
528,675393,6691
529,675394,6705
531,675396,6703
533,675398,6696
534,675399,6708
539,675404,6713
540,675405,6700
541,675406,6710
542,675407,6710
543,675408,6710
544,675409,6714
545,675410,6715
546,675411,6710
549,675413,6716
550,675414,6710
551,675415,6710
106,675419,6385
107,675419,6386
556,675424,6691
558,675431,6719
560,675434,6674
561,675435,6707
562,675436,6720
50,675439,6333
51,675439,6334
563,675441,6677
566,675445,6677
567,675446,6677
569,675451,6720
570,675456,6722
573,675470,6679
574,675471,6710
578,675474,6683
580,675478,6725
81,675480,6362
582,675480,6727
272,675483,6548
273,675483,6549
161,675485,6439
162,675485,6440
84,675487,6365
85,675487,6366
583,675489,6690
584,675493,6672
585,675494,6728
586,675499,6710
587,675501,6679
588,675503,6725
589,675505,6725
591,675506,6729
592,675507,6673
593,675508,6730
665,675508,6743
595,675510,6677
597,675518,6731
598,675521,6732
599,675526,6720
601,675530,6726
604,675534,6677
605,675535,6725
606,675536,6725
607,675540,6697
609,675541,6725
610,675542,6725
611,675543,6720
615,675547,6720
616,675548,6738
617,675549,6682
618,675553,6673
619,675554,6736
621,675558,6732
622,675560,6720
623,675565,6725
625,675569,6740
629,675570,6741
194,675576,6472
195,675576,6473
633,675577,6742
82,675578,6363
83,675578,6364
130,675579,6409
131,675579,6410
135,675581,6315
134,675581,6413
200,675582,6478
201,675582,6479
108,675587,6387
109,675587,6388
19,675588,6304
20,675588,6305
634,675589,6677
636,675591,6683
638,675594,6725
639,675595,6720
640,675607,6697
641,675609,6677
642,675610,6720
643,675613,6682
645,675615,6720
646,675616,6682
647,675618,6677
666,675623,6730
648,675623,6743
649,675627,6721
667,675627,6759
614,675637,6721
626,675639,6726
510,675667,6673
513,675668,6696
659,675772,6754
658,675773,6753
655,675774,6750
656,675775,6751
270,675776,6546
271,675776,6547
167,675781,6445
662,675783,6756
168,675785,6446
169,675785,6447
657,675788,6752
650,675814,6745
660,699376,6755
663,699377,6757
219,1121852,6495
220,1121852,6496
274,1121853,6550
12,1121854,6297
13,1121854,6298
217,1121855,6493
218,1121855,6494
176,1121856,6454
177,1121856,6455
112,1121857,6391
229,1121858,6505
230,1121858,6506
216,1121859,6492
242,1121860,6518
243,1121860,6519
77,1121861,6358
293,1121862,6569
294,1121862,6570
78,1121863,6359
259,1121864,6535
260,1121864,6536
52,1121865,6335
53,1121865,6336
172,1121866,6450
173,1121866,6451
277,1121867,6553
278,1121867,6554
35,1121868,6320
36,1121868,6321
44,1121869,6320
45,1121869,6321
71,1121870,6352
72,1121870,6353
27,1121871,6312
28,1121871,6313
96,1121872,6375
97,1121872,6376
114,1121874,6393
115,1121874,6394
56,1121875,6339
57,1121875,6340
192,1121876,6470
193,1121876,6471
98,1121877,6377
99,1121877,6378
17,1121878,6302
18,1121878,6303
6,1121879,6291
7,1121879,6292
64,1121880,6347
14,1121881,6299
15,1121881,6300
8,1121882,6293
9,1121882,6294
291,1121883,6567
292,1121883,6568
221,1121884,6497
222,1121884,6498
198,1121885,6476
199,1121885,6477
210,1121886,6486
211,1121886,6487
143,1121887,6421
144,1121887,6422
279,1121888,6555
280,1121888,6556
153,1121889,6431
154,1121889,6432
102,1121890,6381
103,1121890,6382
25,1121891,6310
26,1121891,6311
244,1121892,6520
245,1121892,6521
263,1121893,6539
264,1121893,6540
225,1121894,6501
226,1121894,6502
58,1121896,6341
59,1121896,6342
170,1121897,6448
171,1121897,6449
69,1121898,6350
70,1121898,6351
54,1121899,6337
55,1121899,6338
186,1121900,6464
187,1121900,6465
275,1121901,6551
276,1121901,6552
46,1121902,6329
47,1121902,6330
300,1121903,6576
301,1121903,6577
202,1121904,6480
203,1121904,6481
180,1121905,6458
181,1121905,6459
178,1121906,6456
179,1121906,6457
4,1121907,6289
5,1121907,6290
37,1121908,6322
38,1121908,6323
190,1121909,6468
191,1121909,6469
73,1121910,6354
74,1121910,6355
208,1121911,6484
209,1121911,6485
79,1121912,6360
