component_id,protein_class_id,comp_class_id
1,1173,1
2,422,2
3,12,3
4,422,4
5,11,5
6,11,6
7,323,7
8,11,8
9,424,9
10,559,10
11,559,11
12,559,12
13,559,13
14,422,14
15,559,15
16,406,16
17,148,17
18,422,18
19,406,19
20,406,20
21,11,21
22,8,22
23,1173,23
24,1173,24
25,544,25
26,406,26
27,1173,27
28,1173,28
29,1173,29
30,1173,30
31,1173,31
32,1173,32
33,544,33
34,8,34
35,8,35
36,323,36
37,329,37
38,1173,38
39,1173,39
40,329,40
41,1173,41
42,406,42
43,422,43
44,1150,44
45,544,45
46,422,46
47,1173,47
48,1173,48
49,1173,49
50,1173,50
51,325,51
52,1150,52
53,1150,53
54,1150,54
55,5,55
56,1150,56
57,423,57
58,1150,58
59,1150,59
60,129,60
61,1150,61
62,1150,62
63,1173,63
64,1173,64
65,1150,65
66,1030,66
67,8,67
68,11,68
69,559,69
70,25,70
71,231,71
72,644,72
73,643,73
74,3,74
75,435,75
76,500,76
77,646,77
78,10,78
79,1173,79
80,1024,80
81,562,81
82,243,82
83,517,83
84,407,84
85,422,85
86,1315,86
87,646,87
88,648,88
89,567,89
90,1028,90
91,503,91
92,38,92
93,38,93
94,648,94
95,38,95
96,449,97
96,646,7873
97,2,98
97,11,99
98,517,100
99,542,101
100,644,102
101,494,104
101,646,7874
102,33,105
103,10,106
104,566,107
105,516,108
106,565,109
107,841,7776
108,646,111
109,540,112
110,90,113
111,1028,114
112,9,115
113,23,116
114,11,117
115,129,118
116,643,119
117,559,120
118,10,121
119,663,122
120,149,123
121,541,124
122,3,125
123,644,126
124,104,127
125,643,128
126,841,7824
127,487,130
128,10,131
129,535,132
130,3,133
131,202,134
132,507,135
133,542,136
134,3,137
135,190,138
136,565,139
137,10,140
138,706,141
139,10,142
140,90,143
141,141,144
142,9,145
143,648,146
144,11,147
145,159,148
146,544,149
147,149,150
148,10,151
149,535,152
150,1590,153
151,184,154
152,1016,155
153,1173,156
154,4,157
155,10,158
156,535,159
157,191,160
158,643,161
159,563,162
160,517,163
161,561,164
162,10,165
163,468,166
164,10,167
165,10,168
166,644,169
167,1583,170
168,10,171
169,352,172
170,559,173
171,10,174
172,566,175
173,130,176
174,535,177
175,643,178
176,11,179
177,479,180
178,843,7840
179,118,182
180,544,183
181,160,184
182,648,185
183,367,186
184,563,187
185,544,188
186,11,189
187,378,190
188,643,191
189,38,192
190,700,193
191,542,194
192,700,195
193,643,196
194,281,197
195,713,198
196,643,199
197,565,200
198,422,201
199,1173,202
200,1015,203
201,11,204
202,10,205
203,562,206
204,11,207
205,646,208
206,69,209
207,706,210
208,9,211
209,644,212
210,1,213
211,10,214
212,542,215
213,544,216
214,1144,217
215,10,218
216,540,219
217,644,220
218,695,221
219,1638,222
220,31,223
221,224,224
222,1,225
223,646,226
224,10,227
225,9,228
226,695,229
227,159,230
228,646,231
229,4,232
230,544,233
231,517,234
232,1226,235
233,544,236
234,500,237
235,501,238
236,834,239
237,562,240
238,8,241
239,8,242
240,10,243
241,359,244
242,479,245
243,166,246
244,10,247
245,357,248
246,10,249
247,9,250
248,10,251
249,10,252
250,8,253
251,8,254
252,8,255
253,8,256
254,10,257
255,159,258
256,547,259
257,841,7765
258,544,261
259,11,262
260,10,263
261,1583,264
262,541,265
263,544,266
264,9,267
265,22,268
266,542,269
267,55,270
268,551,271
269,551,272
270,353,273
271,4,274
272,644,275
273,3,276
274,10,277
275,563,278
276,643,279
277,8,280
278,10,281
279,160,282
280,645,283
281,151,284
282,1,285
283,11,286
284,643,287
285,643,288
286,561,289
287,118,290
288,515,291
289,10,292
290,4,293
291,20,294
292,10,295
293,10,296
294,1133,297
295,118,298
296,10,299
297,159,300
298,11,301
299,11,302
300,363,303
301,227,304
302,643,305
303,1590,306
304,151,307
