comp_go_id,component_id,go_id
691622,1,GO:0003674
691624,1,GO:0005575
691621,1,GO:0005886
691626,1,GO:0006810
691619,1,GO:0007165
691625,1,GO:0007267
691628,1,GO:0008150
691627,1,GO:0016020
691618,1,GO:0016021
691623,1,GO:0022857
691617,1,GO:0050877
691620,1,GO:0055085
691635,2,GO:0003674
691640,2,GO:0005575
691634,2,GO:0005886
691643,2,GO:0006810
691632,2,GO:0007165
691641,2,GO:0007267
691646,2,GO:0008150
691636,2,GO:0009636
691644,2,GO:0016020
691630,2,GO:0016021
691637,2,GO:0022857
691631,2,GO:0034330
691642,2,GO:0040007
691645,2,GO:0042562
691639,2,GO:0042592
691638,2,GO:0043167
691629,2,GO:0050877
691633,2,GO:0055085
691673,3,GO:0002376
691696,3,GO:0003674
691663,3,GO:0003677
691652,3,GO:0003682
691688,3,GO:0003729
691666,3,GO:0005102
691680,3,GO:0005515
691671,3,GO:0005575
691702,3,GO:0005634
691677,3,GO:0005654
691661,3,GO:0005730
691695,3,GO:0005737
691691,3,GO:0005739
691649,3,GO:0005783
691699,3,GO:0005815
691682,3,GO:0005829
691675,3,GO:0005856
691651,3,GO:0006259
691704,3,GO:0006464
691679,3,GO:0006508
691684,3,GO:0006913
691674,3,GO:0006914
691667,3,GO:0006950
691685,3,GO:0007005
691690,3,GO:0007049
691694,3,GO:0007165
691668,3,GO:0007568
691654,3,GO:0008134
691703,3,GO:0008150
691700,3,GO:0008219
691655,3,GO:0008283
691678,3,GO:0009058
691686,3,GO:0009790
691689,3,GO:0016020
691672,3,GO:0019899
691659,3,GO:0019904
691648,3,GO:0022607
691660,3,GO:0030154
691662,3,GO:0030234
691701,3,GO:0030554
691658,3,GO:0032880
691698,3,GO:0034641
691664,3,GO:0035690
691656,3,GO:0040007
691676,3,GO:0042802
691687,3,GO:0043065
691669,3,GO:0043167
691657,3,GO:0043621
691670,3,GO:0044403
691653,3,GO:0046677
691665,3,GO:0046982
691693,3,GO:0048646
691692,3,GO:0048856
691647,3,GO:0050790
691681,3,GO:0050821
691650,3,GO:0051276
691697,3,GO:0061024
691683,3,GO:0065003
691722,4,GO:0003674
691711,4,GO:0005575
691721,4,GO:0005886
691713,4,GO:0006810
691720,4,GO:0007165
691712,4,GO:0007267
691723,4,GO:0008150
691707,4,GO:0009636
691718,4,GO:0016020
691715,4,GO:0016021
691709,4,GO:0022857
691708,4,GO:0042562
691714,4,GO:0043085
691710,4,GO:0043167
691717,4,GO:0043226
691719,4,GO:0048856
691705,4,GO:0050877
691706,4,GO:0055085
691716,4,GO:0065003
691748,5,GO:0000902
691730,5,GO:0001618
691758,5,GO:0001968
691739,5,GO:0002376
691755,5,GO:0003674
691733,5,GO:0005102
691731,5,GO:0005178
691744,5,GO:0005515
691736,5,GO:0005575
691756,5,GO:0005634
691742,5,GO:0005654
691754,5,GO:0005886
691734,5,GO:0006950
691740,5,GO:0007155
691753,5,GO:0007165
691757,5,GO:0008150
691750,5,GO:0016020
691745,5,GO:0016021
691747,5,GO:0016192
691725,5,GO:0016853
691728,5,GO:0019838
691738,5,GO:0019899
691729,5,GO:0030154
691737,5,GO:0030198
691732,5,GO:0031994
691727,5,GO:0032880
691724,5,GO:0040011
691741,5,GO:0042802
691743,5,GO:0043085
691749,5,GO:0043226
691735,5,GO:0044403
691752,5,GO:0048646
691751,5,GO:0048856
691726,5,GO:0048870
691746,5,GO:0050840
691786,6,GO:0000902
691766,6,GO:0001618
691797,6,GO:0001968
691775,6,GO:0002376
691792,6,GO:0003674
691767,6,GO:0005178
691780,6,GO:0005515
691773,6,GO:0005575
691790,6,GO:0005737
691795,6,GO:0005768
691791,6,GO:0005886
691770,6,GO:0006950
691777,6,GO:0007010
691794,6,GO:0007017
691778,6,GO:0007155
691789,6,GO:0007165
691768,6,GO:0008092
691796,6,GO:0008150
691793,6,GO:0008152
691783,6,GO:0009790
691788,6,GO:0016020
691781,6,GO:0016021
691784,6,GO:0016192
691776,6,GO:0019899
691759,6,GO:0022607
691765,6,GO:0030154
691774,6,GO:0030198
691764,6,GO:0032880
691763,6,GO:0040007
691761,6,GO:0042592
691785,6,GO:0043065
691779,6,GO:0043085
691771,6,GO:0043167
691787,6,GO:0043226
691772,6,GO:0044403
691769,6,GO:0046982
691762,6,GO:0048870
691782,6,GO:0050840
691760,6,GO:0050877
691798,7,GO:0000166
691809,7,GO:0001618
691802,7,GO:0003682
691823,7,GO:0005515
691816,7,GO:0005575
691835,7,GO:0005634
691820,7,GO:0005654
691834,7,GO:0005737
691831,7,GO:0005739
691838,7,GO:0005815
691826,7,GO:0005829
691819,7,GO:0005856
691801,7,GO:0006259
691843,7,GO:0006464
691818,7,GO:0006508
691813,7,GO:0006950
691817,7,GO:0007010
691841,7,GO:0007017
691830,7,GO:0007049
691833,7,GO:0007165
691812,7,GO:0007568
691842,7,GO:0008150
691839,7,GO:0008219
691806,7,GO:0008283
691799,7,GO:0009056
691821,7,GO:0009058
691803,7,GO:0009636
691829,7,GO:0016020
691825,7,GO:0016301
691844,7,GO:0016310
691824,7,GO:0016740
691808,7,GO:0030154
691840,7,GO:0030554
691807,7,GO:0032880
691837,7,GO:0034641
691811,7,GO:0035690
691822,7,GO:0043085
691814,7,GO:0043167
691828,7,GO:0043226
691815,7,GO:0044403
691804,7,GO:0046677
691832,7,GO:0048856
691805,7,GO:0048870
691800,7,GO:0051276
691810,7,GO:0051301
691836,7,GO:0061024
691827,7,GO:0065003
691870,8,GO:0000902
691852,8,GO:0001618
691849,8,GO:0001968
691861,8,GO:0002376
691877,8,GO:0003674
691855,8,GO:0005102
691853,8,GO:0005178
691865,8,GO:0005515
691859,8,GO:0005575
691867,8,GO:0005829
691876,8,GO:0005886
691879,8,GO:0006464
691864,8,GO:0006810
691863,8,GO:0007155
691875,8,GO:0007165
691878,8,GO:0008150
691872,8,GO:0016020
691866,8,GO:0016021
691869,8,GO:0016192
691880,8,GO:0016310
691850,8,GO:0019838
691862,8,GO:0019899
691857,8,GO:0022857
691851,8,GO:0030154
691860,8,GO:0030198
691854,8,GO:0031994
691845,8,GO:0040011
691847,8,GO:0042592
691856,8,GO:0043167
691871,8,GO:0043226
691858,8,GO:0044403
691874,8,GO:0048646
691873,8,GO:0048856
691848,8,GO:0048870
691868,8,GO:0050840
691846,8,GO:0055085
691886,9,GO:0003674
691896,9,GO:0005515
691890,9,GO:0005575
691885,9,GO:0005886
691892,9,GO:0006810
691884,9,GO:0007165
691891,9,GO:0007267
691895,9,GO:0008150
691887,9,GO:0009636
691893,9,GO:0016020
691882,9,GO:0016021
691888,9,GO:0022857
691894,9,GO:0042562
691889,9,GO:0043167
691881,9,GO:0050877
691883,9,GO:0055085
691901,10,GO:0003674
691902,10,GO:0004930
691903,10,GO:0005575
691900,10,GO:0005886
691906,10,GO:0006810
691899,10,GO:0007165
691904,10,GO:0007267
691909,10,GO:0008150
691907,10,GO:0016020
691898,10,GO:0016021
691908,10,GO:0032880
691905,10,GO:0043226
691897,10,GO:0050877
691923,11,GO:0003013
691914,11,GO:0003674
691916,11,GO:0004930
691924,11,GO:0005515
691917,11,GO:0005575
691911,11,GO:0005783
691913,11,GO:0005886
691920,11,GO:0006810
691912,11,GO:0007165
691919,11,GO:0007267
691918,11,GO:0008150
691921,11,GO:0016020
691910,11,GO:0016021
691922,11,GO:0042562
691915,11,GO:0043167
691930,12,GO:0003674
691931,12,GO:0004930
691927,12,GO:0005085
691937,12,GO:0005515
691932,12,GO:0005575
691928,12,GO:0005737
691929,12,GO:0005886
691926,12,GO:0007165
691933,12,GO:0007267
691936,12,GO:0008150
691935,12,GO:0016020
691925,12,GO:0016021
691934,12,GO:0043226
692557,13,GO:0003674
692558,13,GO:0004930
692559,13,GO:0005575
692556,13,GO:0005886
692561,13,GO:0006810
692555,13,GO:0007165
692560,13,GO:0007267
692563,13,GO:0008150
692562,13,GO:0016020
692554,13,GO:0016021
692553,13,GO:0050877
692574,14,GO:0002376
692582,14,GO:0003674
692576,14,GO:0005515
692572,14,GO:0005575
692581,14,GO:0005886
692566,14,GO:0006259
692575,14,GO:0006810
692569,14,GO:0006950
692579,14,GO:0007165
692573,14,GO:0007267
692580,14,GO:0007585
692583,14,GO:0008150
692567,14,GO:0009636
692578,14,GO:0016020
692577,14,GO:0016021
692571,14,GO:0022857
692568,14,GO:0042562
692570,14,GO:0043167
692564,14,GO:0050877
692565,14,GO:0055085
692587,15,GO:0003674
692588,15,GO:0004930
692593,15,GO:0005515
692589,15,GO:0005575
692586,15,GO:0005886
692585,15,GO:0007165
692590,15,GO:0007267
692592,15,GO:0008150
692591,15,GO:0016020
692584,15,GO:0016021
692600,16,GO:0003674
692605,16,GO:0005575
692599,16,GO:0005886
692607,16,GO:0006810
692597,16,GO:0007165
692606,16,GO:0007267
692610,16,GO:0008150
692602,16,GO:0009636
692608,16,GO:0016020
692595,16,GO:0016021
692604,16,GO:0022857
692609,16,GO:0042562
692603,16,GO:0043167
692596,16,GO:0048856
692594,16,GO:0050877
692598,16,GO:0055085
692601,16,GO:0061024
692612,17,GO:0000166
692633,17,GO:0003674
692623,17,GO:0005515
692620,17,GO:0005575
692636,17,GO:0005634
692621,17,GO:0005654
692614,17,GO:0005730
692632,17,GO:0005737
692626,17,GO:0005829
692638,17,GO:0006464
692618,17,GO:0006950
692629,17,GO:0007049
692631,17,GO:0007165
692637,17,GO:0008150
692622,17,GO:0009058
692613,17,GO:0009636
692628,17,GO:0016020
692625,17,GO:0016301
692639,17,GO:0016310
692624,17,GO:0016740
692615,17,GO:0030234
692635,17,GO:0030554
692634,17,GO:0034641
692617,17,GO:0035690
692627,17,GO:0043065
692619,17,GO:0043167
692630,17,GO:0048856
692611,17,GO:0050790
692616,17,GO:0051301
692645,18,GO:0003674
692649,18,GO:0005575
692644,18,GO:0005886
692651,18,GO:0006810
692642,18,GO:0007165
692650,18,GO:0007267
692654,18,GO:0008150
692646,18,GO:0009636
692652,18,GO:0016020
692641,18,GO:0016021
692648,18,GO:0022857
692653,18,GO:0042562
692647,18,GO:0043167
692640,18,GO:0050877
692643,18,GO:0055085
692665,19,GO:0002376
692673,19,GO:0003674
692667,19,GO:0005515
692663,19,GO:0005575
692672,19,GO:0005886
692666,19,GO:0006810
692660,19,GO:0006950
692671,19,GO:0007165
692664,19,GO:0007267
692674,19,GO:0008150
692657,19,GO:0009636
692669,19,GO:0016020
692668,19,GO:0016021
692661,19,GO:0022857
692659,19,GO:0042562
692662,19,GO:0043167
692658,19,GO:0046677
692670,19,GO:0048856
692655,19,GO:0050877
692656,19,GO:0055085
692680,20,GO:0003674
692690,20,GO:0005515
692684,20,GO:0005575
692679,20,GO:0005886
692686,20,GO:0006810
692678,20,GO:0007165
692685,20,GO:0007267
692689,20,GO:0008150
692681,20,GO:0009636
692687,20,GO:0016020
692676,20,GO:0016021
692682,20,GO:0022857
692688,20,GO:0042562
692683,20,GO:0043167
692675,20,GO:0050877
692677,20,GO:0055085
692705,21,GO:0000902
692713,21,GO:0001968
692698,21,GO:0002376
692710,21,GO:0003674
692712,21,GO:0003823
692694,21,GO:0005178
692701,21,GO:0005515
692696,21,GO:0005575
692709,21,GO:0005886
692700,21,GO:0006810
692699,21,GO:0007155
692708,21,GO:0007165
692711,21,GO:0008150
692707,21,GO:0016020
692702,21,GO:0016021
692703,21,GO:0016192
692693,21,GO:0030154
692697,21,GO:0030198
692692,21,GO:0040007
692704,21,GO:0043065
692695,21,GO:0043167
692706,21,GO:0043226
692691,21,GO:0048870
692722,22,GO:0005102
692732,22,GO:0005515
692724,22,GO:0005575
692745,22,GO:0005634
692729,22,GO:0005654
692741,22,GO:0005737
692744,22,GO:0005815
692733,22,GO:0005829
692728,22,GO:0005856
692747,22,GO:0006464
692727,22,GO:0006508
692723,22,GO:0006950
692726,22,GO:0007010
692721,22,GO:0007017
692738,22,GO:0007049
692740,22,GO:0007165
692746,22,GO:0008150
692715,22,GO:0009056
692730,22,GO:0009058
692716,22,GO:0009636
692736,22,GO:0009790
692737,22,GO:0016020
692735,22,GO:0016301
692748,22,GO:0016310
692725,22,GO:0019899
692718,22,GO:0021700
692719,22,GO:0030234
692743,22,GO:0034641
692717,22,GO:0040007
692731,22,GO:0043085
692739,22,GO:0048856
692714,22,GO:0050790
692720,22,GO:0051301
692742,22,GO:0061024
692734,22,GO:0065003
692756,23,GO:0003674
692758,23,GO:0005575
692755,23,GO:0005886
692761,23,GO:0006810
692753,23,GO:0007165
692759,23,GO:0007267
692763,23,GO:0008150
692762,23,GO:0016020
692751,23,GO:0016021
692749,23,GO:0022607
692757,23,GO:0022857
692752,23,GO:0034330
692760,23,GO:0043226
692750,23,GO:0050877
692754,23,GO:0055085
692772,24,GO:0003674
692774,24,GO:0005102
692776,24,GO:0005575
692770,24,GO:0005634
692777,24,GO:0005635
692769,24,GO:0005737
692771,24,GO:0005886
692779,24,GO:0006810
692768,24,GO:0007165
