mecref_id,mec_id,ref_type,ref_id,ref_url
2,13,PubMed,18336310,http://europepmc.org/abstract/MED/18336310
3,13,DailyMed,setid=8e162b6d-8fa6-45f6-80d8-5132d94c1207,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8e162b6d-8fa6-45f6-80d8-5132d94c1207
4,14,PubMed,1460006,http://europepmc.org/abstract/MED/1460006
5,15,PubMed,10713865,http://europepmc.org/abstract/MED/10713865
6,15,PubMed,18336310,http://europepmc.org/abstract/MED/18336310
7,16,PubMed,18336310,http://europepmc.org/abstract/MED/18336310
8,17,PubMed,10713865,http://europepmc.org/abstract/MED/10713865
9,17,PubMed,18336310,http://europepmc.org/abstract/MED/18336310
10,18,PubMed,18336310,http://europepmc.org/abstract/MED/18336310
11,18,DailyMed,setid=8e162b6d-8fa6-45f6-80d8-5132d94c1207,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8e162b6d-8fa6-45f6-80d8-5132d94c1207
12,19,PubMed,20855748,http://europepmc.org/abstract/MED/20855748
13,19,DailyMed,setid=b426b6bf-f07e-4580-97ae-dfca1ddf5b8f,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b426b6bf-f07e-4580-97ae-dfca1ddf5b8f#nlm34090-1
14,20,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
15,20,PubMed,704660,http://europepmc.org/abstract/MED/704660
16,20,Wikipedia,Tridihexethyl_chloride,http://en.wikipedia.org/wiki/Tridihexethyl_chloride
17,21,PubMed,16465186,http://europepmc.org/abstract/MED/16465186
18,21,DailyMed,setid=5e29f133-270c-4e5a-8493-e038c163a891,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5e29f133-270c-4e5a-8493-e038c163a891
19,21,Wikipedia,Tolterodine#Pharmacology,http://en.wikipedia.org/wiki/Tolterodine#Pharmacology
20,22,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
21,22,PubMed,3762265,http://europepmc.org/abstract/MED/3762265
22,22,PubMed,4381291,http://europepmc.org/abstract/MED/4381291
23,22,PubMed,13263156,http://europepmc.org/abstract/MED/13263156
24,22,PubMed,16080359,http://europepmc.org/abstract/MED/16080359
25,22,PubMed,16465186,http://europepmc.org/abstract/MED/16465186
26,23,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
27,23,PubMed,1907331,http://europepmc.org/abstract/MED/1907331
28,24,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
29,24,PubMed,6345649,http://europepmc.org/abstract/MED/6345649
30,24,PubMed,7122991,http://europepmc.org/abstract/MED/7122991
31,25,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
32,25,PubMed,8075869,http://europepmc.org/abstract/MED/8075869
33,25,PubMed,9183081,http://europepmc.org/abstract/MED/9183081
34,26,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
35,26,PubMed,13478170,http://europepmc.org/abstract/MED/13478170
36,27,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
37,27,DailyMed,setid=c56598d5-9cd1-4cce-b172-ac338775aec7,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c56598d5-9cd1-4cce-b172-ac338775aec7
38,28,ISBN,9780702034718 PP. 157,http://www.isbnsearch.org/isbn/9780702034718
39,28,PubMed,982732,http://europepmc.org/abstract/MED/982732
40,28,PubMed,16465186,http://europepmc.org/abstract/MED/16465186
41,28,Wikipedia,Bethanechol,http://en.wikipedia.org/wiki/Bethanechol
42,29,PubMed,353090,http://europepmc.org/abstract/MED/353090
43,29,PubMed,4555460,http://europepmc.org/abstract/MED/4555460
44,29,Wikipedia,Anisotropine_Methylbromide,http://en.wikipedia.org/wiki/Anisotropine_Methylbromide
45,30,FDA,label/2004/17106s032lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/17106s032lbl.pdf
46,30,ISBN,9780702034718 PP. 159,http://www.isbnsearch.org/isbn/9780702034718
47,30,Wikipedia,Atropine,http://en.wikipedia.org/wiki/Atropine
48,31,FDA,label/2004/17106s032lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/17106s032lbl.pdf
49,31,ISBN,9780702034718 PP. 159,http://www.isbnsearch.org/isbn/9780702034718
50,31,Wikipedia,Atropine,http://en.wikipedia.org/wiki/Atropine
51,32,ISBN,"9780702034718 PP. 153, 160",http://www.isbnsearch.org/isbn/9780702034718
52,32,PubMed,1111414,http://europepmc.org/abstract/MED/1111414
53,32,PubMed,17579880,http://europepmc.org/abstract/MED/17579880
54,33,ISBN,9780702034718 PP. 160,http://www.isbnsearch.org/isbn/9780702034718
55,33,PubMed,16465186,http://europepmc.org/abstract/MED/16465186
56,33,PubMed,19446545,http://europepmc.org/abstract/MED/19446545
57,33,Wikipedia,Solifenacin#Mechanism_of_action,http://en.wikipedia.org/wiki/Solifenacin#Mechanism_of_action
58,34,PubMed,16465186,http://europepmc.org/abstract/MED/16465186
59,34,DailyMed,setid=cec47488-ebad-4a3a-904c-e916b432e2cf,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cec47488-ebad-4a3a-904c-e916b432e2cf
60,35,Expert,ACLIDINIUM,http://chembl.blogspot.co.uk/search?q=ACLIDINIUM
61,36,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
62,36,PubMed,20347047,http://europepmc.org/abstract/MED/20347047
63,37,DailyMed,setid=1cf82d42-5ad0-4b86-838e-9230c61cf3d4#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1cf82d42-5ad0-4b86-838e-9230c61cf3d4#nlm34090-1
64,38,ISBN,9780702034718 PP. 160,http://www.isbnsearch.org/isbn/9780702034718
65,38,PubMed,12076307,http://europepmc.org/abstract/MED/12076307
66,38,PubMed,16465186,http://europepmc.org/abstract/MED/16465186
67,38,DailyMed,setid=5be745f0-8ae7-4c3c-9962-37d6263326f1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5be745f0-8ae7-4c3c-9962-37d6263326f1
68,39,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
69,39,PubMed,15506601,http://europepmc.org/abstract/MED/15506601
70,40,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
71,40,PubMed,2912119,http://europepmc.org/abstract/MED/2912119
72,41,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
73,41,PubMed,7065943,http://europepmc.org/abstract/MED/7065943
74,41,PubMed,12628451,http://europepmc.org/abstract/MED/12628451
75,41,Wikipedia,Carbachol,http://en.wikipedia.org/wiki/Carbachol
76,42,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
77,42,PubMed,970853,http://europepmc.org/abstract/MED/970853
78,42,PubMed,23662958,http://europepmc.org/abstract/MED/23662958
79,42,Wikipedia,Pilocarpine,http://en.wikipedia.org/wiki/Pilocarpine
80,43,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
81,43,PubMed,970853,http://europepmc.org/abstract/MED/970853
82,43,PubMed,23662958,http://europepmc.org/abstract/MED/23662958
83,43,Wikipedia,Pilocarpine,http://en.wikipedia.org/wiki/Pilocarpine
84,44,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
85,44,PubMed,23629427,http://europepmc.org/abstract/MED/23629427
86,44,DailyMed,setid=773a19e8-4c3e-4414-99a6-aea98c9790ee#nlm34090-1,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=773a19e8-4c3e-4414-99a6-aea98c9790ee#nlm34090-1
87,45,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
89,45,Wikipedia,Muscarinic_acetylcholine_receptor,http://en.wikipedia.org/wiki/Muscarinic_acetylcholine_receptor
90,46,ISBN,9780702034718 PP. 160,http://www.isbnsearch.org/isbn/9780702034718
91,46,PubMed,8873558,http://europepmc.org/abstract/MED/8873558
92,46,DailyMed,setid=1eb2ffc4-d6d9-4efb-9f88-8434214d047e,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1eb2ffc4-d6d9-4efb-9f88-8434214d047e
93,47,ISBN,9780702034718 PP. 153,http://www.isbnsearch.org/isbn/9780702034718
