metref_id,met_id,ref_type,ref_id,ref_url
39,119,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
40,120,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
41,121,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
42,122,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
43,123,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
44,124,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
45,125,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
46,127,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf
47,127,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
48,128,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
49,129,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/50-778_Ellence_biopharmr.pdf
50,130,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
51,131,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
52,132,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
53,133,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
54,134,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf
55,134,OTHER,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
