mol_irac_id,irac_class_id,molregno
65,1,611681
113,3,1222245
74,5,782593
84,7,896779
80,8,839968
33,9,381516
103,10,1210122
16,11,178297
22,12,293637
163,13,1487713
82,14,860871
162,14,1487712
89,15,975823
156,18,1475331
11,19,72428
30,20,379263
173,21,1494580
122,22,1233317
75,23,788790
101,24,1209602
107,25,1213878
71,26,752103
78,27,818263
121,28,1232083
69,29,693457
39,30,381705
38,31,381704
12,32,85007
37,33,381703
76,34,789559
49,35,443152
102,36,1209924
176,37,1566260
40,38,387915
24,39,320135
31,41,379514
127,42,1237641
153,43,1463254
2,44,2812
29,45,330546
166,46,1489081
147,47,1461981
146,48,1461980
154,49,1463329
145,52,1461978
23,54,308021
171,55,1494139
160,56,1486014
41,57,416463
170,58,1493652
64,59,559484
61,60,503541
106,62,1213416
95,63,1019749
32,65,381508
142,66,1408609
13,85,145458
51,86,443169
159,87,1476106
9,90,66028
3,91,65000
151,92,1462722
57,93,469662
34,94,381697
186,95,1765082
88,96,975337
157,97,1475508
66,98,612595
177,99,1595310
134,100,1350232
144,101,1412661
104,102,1211502
50,103,443153
158,104,1475517
183,105,1674031
165,108,1488442
93,110,1405200
100,111,1207602
118,112,1226912
52,113,452905
150,114,1462721
111,115,1220272
48,118,443151
77,119,794530
42,120,420751
164,121,1488398
128,122,1239376
35,123,381698
21,124,278091
110,125,1217038
92,126,993408
72,128,756198
182,129,1673932
97,130,1094148
124,131,1235565
63,133,509250
19,134,264630
96,135,1028259
130,136,1246228
14,137,150832
114,139,1222913
179,141,1671482
68,142,674419
81,143,841835
62,144,509249
36,145,381699
168,147,1490112
119,148,1227638
161,149,1487367
17,151,264521
18,152,264584
85,153,900742
59,154,483893
87,155,952415
86,156,905757
181,157,1672004
132,158,1247197
117,159,1226618
143,160,1410193
109,161,1216238
91,162,984564
123,165,1234461
180,166,1671768
184,167,1676211
73,168,779705
79,169,830176
83,170,876243
90,172,977610
20,173,277372
25,175,328162
27,176,328202
152,177,1463074
15,178,164913
172,179,1494406
105,180,1213106
99,182,1152067
148,183,1462119
120,185,1227921
139,186,1378875
136,188,1376878
137,190,1377768
129,192,1245794
28,193,330545
167,195,1489408
94,199,1017450
138,202,1377843
56,203,469661
55,204,469660
174,205,1496315
140,206,1379518
125,207,1236163
169,208,1492739
43,211,421902
112,215,1220393
58,216,469663
98,218,1152050
5,222,16530
26,223,328167
47,224,428877
44,225,428695
149,226,1462301
45,227,428699
46,228,428701
53,229,467685
126,230,1236822
1,231,115
155,232,1464243
133,234,1347272
185,235,1704075
175,236,1496668
178,236,1628206
60,238,493833
7,239,51417
8,240,51447
108,241,1215657
4,242,16483
116,243,1223805
10,244,67908
70,245,751027
67,247,613376
135,247,1369964
131,249,1246597
115,250,1223463
6,251,19957
