prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
257,PRODUCT_050805_001,8394406,2024-04-07 00:00:00,0,1,U-925,0,2013-03-25 00:00:00
259,PRODUCT_050808_008,8268804,2025-06-24 00:00:00,0,0,U-1078,0,
260,PRODUCT_050808_007,7919483,2027-03-07 00:00:00,0,0,U-1078,0,
262,PRODUCT_050808_006,8268804,2025-06-24 00:00:00,0,0,U-1078,0,
264,PRODUCT_050808_003,7790705,2025-06-24 00:00:00,0,0,U-1078,0,
265,PRODUCT_050808_001,8252776,2025-06-24 00:00:00,0,0,U-124,0,2012-08-28 00:00:00
267,PRODUCT_050810_001,7056893,2019-03-31 00:00:00,0,1,U-709,0,
268,PRODUCT_050819_001,8663699,2029-06-03 00:00:00,0,0,U-124,0,2014-03-06 00:00:00
269,PRODUCT_050684_004,6900184,2023-04-14 00:00:00,0,1,U-282,0,
270,PRODUCT_050684_001,8133883,2023-04-14 00:00:00,0,1,U-282,0,2012-04-11 00:00:00
272,PRODUCT_050750_002,6207661,2019-02-22 00:00:00,0,1,,0,
273,PRODUCT_050767_001,6495157,2020-07-20 00:00:00,0,1,,0,
275,PRODUCT_050785_001,7217430,2020-04-04 00:00:00,0,1,U-926,0,
276,PRODUCT_050785_001,7250176,2020-04-04 00:00:00,0,0,U-926,0,
278,PRODUCT_050790_001,8633162,2024-08-27 00:00:00,0,0,U-1479,0,2014-01-22 00:00:00
281,PRODUCT_201280_001,7459428,2019-02-02 00:00:00,0,0,U-493,0,2011-05-31 00:00:00
282,PRODUCT_201280_001,8178541,2023-08-12 00:00:00,0,0,U-1245,0,2012-06-08 00:00:00
283,PRODUCT_201281_003,6890898,2019-02-02 00:00:00,0,0,U-1039,0,
284,PRODUCT_201281_003,7459428,2019-02-02 00:00:00,0,0,U-1039,0,
285,PRODUCT_201281_003,8119648,2023-08-12 00:00:00,0,0,U-802,0,
286,PRODUCT_201281_001,6890898,2019-02-02 00:00:00,0,0,U-1039,0,2012-02-22 00:00:00
287,PRODUCT_201655_004,8309060,2023-11-20 00:00:00,0,1,,0,
288,PRODUCT_201655_004,8075872,2023-11-20 00:00:00,0,1,,0,
289,PRODUCT_201655_004,8309122,2023-02-04 00:00:00,0,1,,0,
290,PRODUCT_201655_002,8192722,2025-09-15 00:00:00,0,1,,0,
291,PRODUCT_201655_001,8329216,2023-02-04 00:00:00,0,1,,0,2012-12-11 00:00:00
292,PRODUCT_201688_001,7442388,2020-05-10 00:00:00,0,1,,0,2013-04-19 00:00:00
293,PRODUCT_201699_001,7378508,2027-07-31 00:00:00,1,1,,0,2011-08-29 00:00:00
294,PRODUCT_201739_002,8425462,2024-11-23 00:00:00,0,1,,0,
295,PRODUCT_201922_005,8268804,2025-06-24 00:00:00,0,0,U-124,0,
296,PRODUCT_201922_003,7541347,2027-04-02 00:00:00,0,0,U-917,0,
297,PRODUCT_201922_003,7919483,2027-03-07 00:00:00,0,0,U-124,0,
299,PRODUCT_202008_003,8506929,2027-04-30 00:00:00,1,1,U-1423,0,
300,PRODUCT_202008_003,7687052,2027-04-30 00:00:00,1,1,,0,
301,PRODUCT_202008_002,7687052,2027-04-30 00:00:00,1,1,,0,
302,PRODUCT_202022_001,7638522,2023-04-14 00:00:00,0,1,,0,2011-06-16 00:00:00
307,PRODUCT_200533_005,7994364,2025-06-27 00:00:00,1,1,U-1276,0,
308,PRODUCT_200533_005,8309060,2023-11-20 00:00:00,0,1,U-1276,0,
309,PRODUCT_200533_004,RE39593,2022-08-05 00:00:00,1,1,U-1178,0,
310,PRODUCT_200533_003,7994364,2025-06-27 00:00:00,1,1,U-1276,0,
311,PRODUCT_200533_003,RE39593,2022-08-05 00:00:00,1,1,U-1276,0,
312,PRODUCT_200533_001,RE39593,2022-08-05 00:00:00,1,1,U-1276,0,2011-09-19 00:00:00
313,PRODUCT_200533_001,8075872,2023-11-20 00:00:00,0,1,,0,2012-01-09 00:00:00
319,PRODUCT_022472_002,7464706,2023-03-02 00:00:00,0,1,,0,2014-07-24 00:00:00
321,PRODUCT_022472_002,8636001,2032-07-12 00:00:00,0,1,,0,2014-07-24 00:00:00
323,PRODUCT_022472_001,6652885,2020-06-29 00:00:00,0,0,U-1535,0,2014-07-24 00:00:00
325,PRODUCT_022472_001,8499757,2032-02-19 00:00:00,0,1,,0,2014-07-24 00:00:00
326,PRODUCT_022472_001,7464706,2023-03-02 00:00:00,0,1,,0,2014-07-24 00:00:00
328,PRODUCT_205787_001,8425462,2024-11-23 00:00:00,0,1,,0,2014-05-23 00:00:00
