res_stem_id,research_stem
2,4SC
3,A
4,AA
5,AB
6,ABI
7,ABIO
8,ABR
9,ABT
10,ABX
11,AC
12,ACC
13,ACE
14,ACH
15,ACP
16,ACT
17,AD
18,ADL
19,ADR
20,ADX
21,AEZS
22,AF
23,AFN
24,AG
25,AGIX
26,AGN
27,AGS
28,AH
29,AHR
30,AL
31,ALKS
32,ALTU
33,ALXN
34,AM
35,AMA
36,AME
37,AMG
38,AMI
39,AN
40,ANA
41,AP
42,APD
43,APG
44,APO
45,AR
46,ARC
47,ARD
48,ARN
49,ARQ
50,ARRY
51,AS
52,ASK
53,ASL
54,ASP
55,AT
56,ATG
57,ATU
58,AV
59,AVE
60,AVI
61,AVL
62,AW
63,AWD
64,AXL
65,AXP
66,AY
67,AZ
68,AZD
69,AZM
70,B
71,BA
72,BAL
73,BAM
74,BAS
75,BAX
76,BAY
77,BB
78,BBR
79,BBT
80,BC
81,BCH
82,BCI
83,BCX
84,BDF
85,BEA
86,BI
87,BIM
88,BIO
89,BIW
90,BL
91,BLX
92,BM
93,BMN
94,BMS
95,BMY
96,BN
97,BNC
98,BP
99,BRI
100,BRL
101,BST
102,BT
103,BTS
104,BU
105,BVT
106,BW
107,BX
108,BY
109,C
110,CAL
111,CALAA
112,CAM
113,CAT
114,CB
115,CBLB
116,CBP
117,CC
118,CCT
119,CDP
120,CDRI
121,CDY
122,CEM
123,CEP
124,CER
125,CERE
126,CERM
127,CG
128,CGEN
129,CGP
130,CGS
131,CGT
132,CH
133,CHF
134,CHIR
135,CHR
136,CHX
137,CI
138,CIBA
139,CJ
140,CK
141,CKD
142,CL
143,CLX
144,CM
145,CMI
146,CMX
147,CN
148,CNI
149,CNP
150,CNTO
151,COL
152,CP
153,CPP
154,CPR
155,CR
156,CRE
157,CRL
158,CRX
159,CS
160,CSAG
161,CSL
162,CT
163,CTA
164,CTS
165,CUDC
166,CV
167,CVT
168,CX
169,CXL
170,CY
171,CYC
172,CYT
173,D
174,DA
175,DC
176,DCC
177,DE
178,DF
179,DG
180,DH
181,DIO
182,DJ
183,DL
184,DMP
668,DNDI
185,DOV
186,DPC
187,DPX
188,DS
189,DU
192,DuP
190,DWP
191,DX
193,E
194,EB
195,EC
196,ECO
197,EF
198,EG
199,EGIS
200,EGYT
201,EHT
202,EI
203,EL
204,ELB
205,ELND
206,EMD
207,EML
208,EMR
209,EN
210,ENMD
211,EPC
212,ER
213,ES
214,ETI
215,EU
216,EUR
217,EV
218,EVP
219,EVT
220,EX
221,EXP
222,EZ
223,EZN
224,F
225,FB
226,FBA
227,FBT
228,FC
229,FCE
230,FG
231,FI
232,FID
233,FK
234,FL
235,FLC
236,FMC
237,FPL
238,FR
239,FUT
240,FW
241,G
242,GDC
243,GEA
244,GENZ
245,GFT
246,GI
247,GL
248,GLPG
249,GM
250,GNF
260,Go
261,Goe
251,GP
252,GPX
253,GR
254,GRD
255,GRN
256,GS
257,GSK
258,GT
259,GW
262,H
263,HC
264,HD
265,HE
266,HGP
267,HGS
268,HM
269,HML
270,HMR
271,HN
272,HOE
273,HP
274,HR
275,HSR
276,HY
277,HZT
278,I
279,IC
280,ICA
281,ICI
282,ICN
283,IDD
284,IDEC
285,IDX
286,IGN
287,IMC
288,IMGN
289,IMI
290,IMMU
291,IMO
292,INCB
293,INGN
294,INH
295,INK
296,INNO
297,INO
298,INS
299,INSM
300,INX
301,IPH
302,IPI
303,IPL
304,IRFI
305,ISA
306,ISF
307,ISIS
308,ITF
309,ITMN
310,IZP
311,JI
312,JM
313,JNJ
314,JO
315,JSM
316,JTP
317,JTT
670,JWH
318,K
319,KAI
320,KAR
321,KB
322,KC
323,KD
324,KF
325,KI
326,KLYP
327,KN
328,KNS
329,KO
330,KOS
331,KP
332,KRH
333,KRN
334,KRP
335,KRX
336,KT
337,KU
338,KUX
339,KW
340,KWD
341,L
342,LA
343,LAS
344,LB
345,LCB
346,LEO
347,LF
348,LFB
349,LG
350,LGD
351,LJC
352,LK
353,LL
354,LM
355,LR
356,LS
357,LT
358,LTX
359,LU
360,LW
361,LX
362,LY
363,M
364,M&B
365,MB
366,MBR
367,MBX
368,MC
369,MCI
405,McN
370,MD
371,MDI
372,MDL
373,MDX
374,ME
375,MEDI
376,MEDR
377,MEM
378,MEN
379,MF
380,MG
381,MGA
382,MGCD
383,MGI
384,MJ
385,MJF
386,MK
387,MKC
388,ML
389,MLN
390,MLR
391,MM
669,MMV
392,MON
393,MOR
394,MORAb
395,MP
396,MPC
397,MPI
398,MPV
399,MR
400,MS
401,MSI
402,MT
403,MV
404,MY
406,N
407,NA
408,NB
409,NBI
410,NC
411,NCX
412,NE
413,NF
414,NGD
415,NGX
416,NI
417,NIH
418,NIK
419,NIP
420,NITD
421,NK
422,NKTR
423,NMI
424,NMS
425,NN
426,NNC
427,NNZ
428,NO
429,NOV
430,NOX
431,NP
432,NPC
433,NPS
434,NR
435,NRL
436,NS
437,NSC
438,NSP
439,NTC
440,NV
441,NVC
442,NVP
443,NX
444,NY
445,NZ
446,OC
447,OGT
448,OM
449,OMP
450,ON
451,ONO
452,ONX
453,OPC
454,OR
455,ORE
456,ORF
457,ORG
458,ORM
459,OSI
460,OT
461,OTO
462,OX
463,OXY
464,P
465,PA
466,PAC 
467,PBT
468,PC
469,PCI
470,PD
471,PDL
472,PEV
473,PF
474,PG
475,PH
476,PHA
477,PHX
478,PI
479,PL
480,PLX
481,PN
482,PNU
483,POL
484,PP
485,PRE
486,PRO
487,PRT
488,PRX
489,PS
490,PSN
491,PT
492,PTI
493,PV
494,PVS
495,PW
496,PXD
497,QPI
498,R
499,RAV
500,RDEA
516,Rec
501,RG
502,RGB
503,RGH
504,RGN
505,RH
506,RMI
507,RN
517,Ro
508,RP
509,RPR
510,RS
511,RTP
512,RU
513,RV
514,RWJ
515,RX
518,S
519,SA
574,SaH
520,SAN
