sitecomp_id,site_id,component_id,domain_id,site_residues
1,838,4819,3172,
2,1504,4968,2748,
3,1505,4800,2951,
4,2,4909,2781,
5,1507,4767,3139,
6,636,3909,2702,
7,217,4512,3234,
8,1299,4067,3916,
9,1300,3951,4003,
12,425,377,3376,
13,1508,148,3683,
14,427,3080,2627,
15,1081,2461,4003,
16,1082,2337,2627,
18,221,864,2649,
19,1084,567,3032,
20,12,2231,2805,
21,1085,2933,2627,
22,13,1388,2788,
23,19,3285,2874,
24,437,1319,2739,
25,23,940,2627,
26,648,1773,2712,
27,26,3569,3546,
28,239,3876,4003,
29,242,5262,3136,
30,244,4877,4377,
31,448,1185,2683,
32,246,995,2627,
33,32,2139,2720,
34,1331,3376,2627,
35,1100,3348,3032,
36,876,2254,2683,
37,247,3380,2627,
38,33,2106,2683,
39,34,552,2683,
40,1104,3718,2928,
41,885,4083,2928,
42,460,4019,4420,
43,461,4026,3235,
44,889,4436,2683,
45,664,4442,2753,
46,1339,5195,2690,
47,1341,4547,3093,
48,1342,4739,3092,
49,1346,4787,2627,
50,258,395,2712,
51,470,372,2627,
52,896,156,2627,
53,1126,3145,3993,
54,1127,841,2627,
55,473,986,3683,
56,47,861,3280,
57,48,1351,3092,
58,1130,1299,4003,
60,266,1880,3132,
61,1553,1131,2683,
63,1556,1202,2683,
64,912,7,2683,
65,482,1690,2712,
66,56,1133,4003,
67,485,2560,4092,
68,490,752,3658,
69,60,1074,2702,
70,61,1089,3376,
71,1365,1186,3676,
72,62,44,3216,
73,685,1270,2711,
74,687,2607,2702,
75,921,2543,2683,
76,1564,3212,2683,
77,690,2679,4003,
78,1372,3222,2627,
79,66,3065,2702,
80,286,2671,2627,
81,1148,3890,2712,
82,67,3633,2926,
83,292,4097,3679,
84,498,4912,2919,
85,295,5588,2627,
86,1151,4755,3348,
87,499,78,3547,
89,504,2094,3032,
90,930,4997,2683,
91,1160,1953,2627,
92,931,544,2627,
93,303,973,2683,
94,510,153,3658,
95,512,2268,2627,
96,90,2153,2683,
97,710,2997,3200,
98,940,2859,3335,
99,518,3628,2683,
100,1174,3312,2627,
101,310,4010,2793,
103,1395,5597,3228,
104,949,5737,4003,
105,103,4728,3263,
106,320,4240,2714,
107,1598,4824,3119,
108,1400,5487,2781,
109,1599,5744,2714,
110,1178,4581,2896,
111,1600,4157,2627,
112,109,3440,2627,
113,1189,4962,2683,
114,111,2391,2720,
115,114,853,2627,
116,115,1387,2720,
117,1604,1364,2627,
118,1605,3093,2627,
119,1607,523,2627,
120,1194,3208,2627,
121,530,1575,3376,
122,962,1552,2627,
123,1608,1553,2683,
124,1195,2181,2683,
125,964,1164,4003,
126,965,2083,2627,
127,116,181,4003,
128,736,1295,2683,
129,1610,1831,2776,
130,1198,2352,3683,
131,333,2651,2627,
132,336,900,3112,
133,337,2661,4221,
134,1411,2707,2841,
135,976,2743,2627,
136,738,1874,4003,
137,1412,231,2627,
138,978,1400,2712,
139,1203,2761,2702,
140,1204,958,2739,
141,746,2520,2682,
142,1625,2891,2683,
143,541,3748,4003,
144,1628,3423,3878,
145,1423,4745,2683,
146,750,4383,4417,
147,1425,5091,2744,
148,133,3096,2720,
149,754,1050,2649,
151,758,1042,2711,
152,1431,303,2951,
153,1222,750,2973,
154,761,3287,2627,
155,353,955,2627,
156,138,684,2683,
157,1439,2060,3216,
158,559,1939,2681,
159,995,2373,2788,
160,1639,3048,2627,
161,141,3347,2683,
163,1441,2823,3473,
164,1000,3321,2828,
165,775,4812,2744,
166,571,4763,2788,
167,1447,4048,2683,
168,1240,2623,2951,
169,1010,866,2683,
170,788,2293,2627,
171,377,834,2683,
172,379,304,4003,
173,1246,364,2627,
174,792,226,2788,
175,793,384,2782,
176,1666,120,4003,
177,1455,69,2627,
178,1018,915,3665,
179,1023,3098,2627,
180,799,1931,2627,
181,586,13,2627,
182,1251,863,3462,
183,167,1797,2683,
184,1670,2081,2627,
185,803,1302,4003,
186,1034,963,2627,
187,174,1683,2627,
188,1677,554,2683,
189,1470,3268,2702,
190,181,3215,2683,
191,598,2777,3473,
192,1683,2469,4405,
193,1471,3655,2916,
194,601,3757,4030,
195,1686,5168,3458,
196,819,5608,2776,
197,1690,410,2712,
198,1045,217,2815,
199,1691,357,2739,
200,1481,349,2627,
201,1275,1114,3173,
202,200,1412,2874,
203,614,678,2788,
204,1695,53,3216,
205,1698,2420,3683,
206,1701,3433,2805,
207,1487,2544,2683,
208,1283,2824,2919,
