tid,component_id,targcomp_id,homologue
11004,3090,1,0
11028,1166,4,0
11037,1888,5,0
11043,1294,7,0
11056,2159,8,0
11064,545,9,0
11066,546,10,0
11099,568,11,0
11117,2873,12,0
11118,3509,13,0
11120,1659,14,0
11125,1896,15,0
11165,3244,17,0
11179,2455,18,0
11191,813,19,0
11201,2319,20,0
11214,1910,21,0
11229,2560,22,0
11231,5022,23,0
11243,1847,24,0
11251,2876,25,0
11261,363,26,0
11277,1197,29,0
11297,586,30,0
11299,1584,31,0
11308,587,32,0
11316,883,33,0
11335,2196,34,0
11337,4956,35,0
11365,2197,37,0
11367,483,38,0
11400,1172,39,0
11409,1907,40,0
11422,976,41,0
11431,2500,42,0
11452,906,43,0
11454,1611,44,0
11461,2549,45,0
11463,4850,46,0
11464,41,47,0
11476,1685,50,0
11491,1240,51,0
11512,1505,52,0
11540,2370,53,0
11584,4792,55,0
11594,4975,56,0
11597,1518,57,0
11600,2368,58,0
11604,2382,59,0
11658,1618,60,0
11659,2374,61,0
11661,651,62,0
11677,1375,63,0
11680,1198,64,0
11684,2243,65,0
11689,2221,66,0
11709,3301,67,0
11717,2652,68,0
11723,1433,69,0
11770,1274,71,0
11781,2491,72,0
11802,1426,74,0
11810,3118,76,0
11835,1547,77,0
11867,2375,78,0
11884,1722,79,0
11886,2711,80,0
11890,1782,81,0
11912,1723,82,0
11922,720,83,0
11930,1716,84,0
11971,661,85,0
11972,611,86,0
11979,612,88,0
11987,1379,89,0
12000,2311,90,0
12016,1107,92,0
12020,752,93,0
12029,1074,94,0
12030,1333,95,0
12050,1922,97,0
12075,1580,98,0
12077,3142,99,0
12079,1581,100,0
12118,1337,102,0
12128,1691,103,0
12154,3104,106,0
12171,1682,107,0
12199,1565,109,0
12220,1462,110,0
12230,1536,112,0
12232,1089,113,0
12239,1323,114,0
12271,1152,115,0
12312,1612,116,0
12336,967,120,0
12413,1837,124,0
12451,1569,127,0
12453,1680,128,0
12458,1186,129,0
12477,550,130,0
12483,551,132,0
12487,903,133,0
12504,904,135,0
12506,2653,136,0
12508,1657,137,0
12509,954,138,0
12518,1249,139,0
12524,2663,141,0
12528,1621,142,0
12569,2883,143,0
12576,1470,144,0
12577,650,145,0
12608,3088,147,0
12615,1514,148,0
12630,1237,149,0
12632,2597,150,0
12644,1596,151,0
12654,714,152,0
12684,2213,153,0
12691,2657,155,0
12693,1872,156,0
12708,2396,157,0
12722,1487,158,0
12733,688,159,0
12741,1080,160,0
12767,1478,161,0
12795,1000,162,0
12802,1061,163,0
12824,1201,164,0
12850,658,165,0
12865,44,166,0
12866,1936,167,0
12868,929,168,0
12894,2794,169,0
12898,681,170,0
12899,3120,171,0
12914,1228,172,0
12920,1115,173,0
12933,937,174,0
12945,2819,175,0
12959,2944,176,0
13004,2756,178,0
13025,2034,179,0
13054,2046,180,0
13061,1270,181,0
13081,3407,182,0
17002,2272,183,0
17007,3328,184,0
17018,2397,185,0
17036,1973,186,0
17068,1317,188,0
17087,4793,190,0
17090,1260,191,0
17092,1262,192,0
17108,1854,193,0
17110,2426,194,0
18025,2607,198,0
18032,5117,199,0
18035,1957,200,0
