tid,relationship,related_tid,targrel_id
10193,SUBSET OF,104764,133802
12071,SUBSET OF,109746,133805
12071,SUBSET OF,104709,133806
12071,SUBSET OF,107893,133807
12071,SUBSET OF,117095,133808
12071,SUBSET OF,107894,133809
12071,SUBSET OF,118297,133810
12071,SUBSET OF,118296,133811
12071,SUBSET OF,104296,133812
10569,SUBSET OF,104690,133813
10569,SUBSET OF,104871,133814
10569,SUBSET OF,104749,133815
10639,SUBSET OF,117715,133820
10639,SUBSET OF,105709,133821
12839,SUBSET OF,104828,133822
12502,SUBSET OF,105099,133824
247,SUBSET OF,104833,133825
179,SUBSET OF,104726,133826
42,SUBSET OF,104788,133827
42,SUBSET OF,104868,133828
54,SUBSET OF,105737,133829
227,SUBSET OF,104992,133830
227,SUBSET OF,104784,133831
227,SUBSET OF,104841,133832
34,SUBSET OF,104293,133833
34,SUBSET OF,117141,133834
34,SUBSET OF,117140,133835
34,SUBSET OF,109652,133836
34,SUBSET OF,108134,133837
34,SUBSET OF,104936,133838
34,SUBSET OF,108124,133839
34,SUBSET OF,105103,133840
34,SUBSET OF,104798,133841
12786,SUBSET OF,104951,133842
12376,SUBSET OF,104902,133843
30,SUBSET OF,109700,133845
51,SUBSET OF,104841,133846
51,SUBSET OF,104984,133847
280,SUBSET OF,105024,133848
280,SUBSET OF,104790,133849
280,SUBSET OF,104806,133850
280,SUBSET OF,104779,133851
244,SUBSET OF,105036,133852
129,SUBSET OF,104741,133853
129,SUBSET OF,117034,133854
129,SUBSET OF,117082,133855
129,SUBSET OF,104765,133856
129,SUBSET OF,108398,133857
129,SUBSET OF,104734,133858
1,SUBSET OF,116927,133860
100,SUBSET OF,105045,133861
100,SUBSET OF,104870,133862
100,SUBSET OF,105759,133863
10646,SUBSET OF,104974,133866
10006,SUBSET OF,117755,133867
10782,SUBSET OF,116887,133868
10209,SUBSET OF,104841,133869
13024,SUBSET OF,104938,133870
10809,SUBSET OF,105736,133871
19689,SUBSET OF,117145,133872
10709,SUBSET OF,105094,133873
11579,SUBSET OF,104823,133875
11579,SUBSET OF,105739,133876
11942,SUBSET OF,117037,133877
11942,SUBSET OF,105070,133878
12854,SUBSET OF,105078,133879
12854,SUBSET OF,104713,133880
12854,SUBSET OF,104699,133881
10901,SUBSET OF,117171,133882
10901,SUBSET OF,104683,133883
10594,SUBSET OF,105761,133884
10594,SUBSET OF,104997,133885
12992,SUBSET OF,117024,133886
12992,SUBSET OF,109991,133887
12992,SUBSET OF,105510,133888
12992,SUBSET OF,105708,133889
12992,SUBSET OF,105758,133890
12443,SUBSET OF,104681,133891
10466,SUBSET OF,105033,133892
17056,SUBSET OF,109926,133894
12516,SUBSET OF,104839,133895
11680,SUBSET OF,104797,133896
11680,SUBSET OF,104815,133897
12247,SUBSET OF,104683,133901
12247,SUBSET OF,104813,133902
11908,SUBSET OF,117181,133903
11864,SUBSET OF,104906,133904
11864,SUBSET OF,104826,133905
12739,SUBSET OF,104999,133906
12739,SUBSET OF,106175,133907
12135,SUBSET OF,104696,133908
11636,SUBSET OF,108123,133909
11636,SUBSET OF,104683,133910
11636,SUBSET OF,104813,133911
10495,SUBSET OF,105056,133912
10495,SUBSET OF,105091,133913
10495,SUBSET OF,105115,133914
10495,SUBSET OF,105071,133915
10495,SUBSET OF,104958,133916
11558,SUBSET OF,117073,133917
11076,SUBSET OF,105066,133918
19904,SUBSET OF,104890,133919
19904,SUBSET OF,104893,133920
19904,SUBSET OF,104910,133921
19658,SUBSET OF,117691,133922
19658,SUBSET OF,105116,133923
11515,SUBSET OF,105761,133937
11515,SUBSET OF,109637,133938
11515,SUBSET OF,104874,133939
11515,SUBSET OF,104796,133940
11213,SUBSET OF,118311,133941
11213,SUBSET OF,104750,133942
20083,SUBSET OF,117124,133943
11959,SUBSET OF,105734,133944
10364,SUBSET OF,104693,133945
10364,SUBSET OF,104680,133946
11726,SUBSET OF,116855,133947
10727,SUBSET OF,105090,133948
10604,SUBSET OF,104859,133949
11037,SUBSET OF,105100,133950
11037,SUBSET OF,104814,133951
10877,SUBSET OF,104731,133952
11940,SUBSET OF,104812,133953
11940,SUBSET OF,107935,133954
12921,SUBSET OF,104959,133955
12378,SUBSET OF,107906,133956
12378,SUBSET OF,104902,133957
13049,SUBSET OF,104913,133958
13049,SUBSET OF,104877,133959
10222,SUBSET OF,116855,133960
12412,SUBSET OF,105086,133961
10120,SUBSET OF,117750,133962
10120,SUBSET OF,104697,133963
12000,SUBSET OF,104919,133964
12000,SUBSET OF,104778,133965
12000,SUBSET OF,105006,133966
11472,SUBSET OF,118332,133970
11574,SUBSET OF,104846,133971
20111,SUBSET OF,107934,133972
11535,SUBSET OF,117704,133973
11407,SUBSET OF,104822,133974
11407,SUBSET OF,118329,133975
11407,SUBSET OF,107928,133976
11444,SUBSET OF,108408,133977
11236,SUBSET OF,104938,133978
100417,SUBSET OF,118387,133979
100417,SUBSET OF,117043,133980
100417,SUBSET OF,118386,133981
100417,SUBSET OF,105079,133982
11398,SUBSET OF,109632,133983
12983,SUBSET OF,104697,133985
12983,SUBSET OF,107929,133986
103767,SUBSET OF,104677,133987
100835,SUBSET OF,117007,133988
10015,SUBSET OF,104726,133989
12993,SUBSET OF,117159,133990
12993,SUBSET OF,109750,133991
11396,SUBSET OF,105761,133992
11396,SUBSET OF,104738,133993
11396,SUBSET OF,104679,133994
11396,SUBSET OF,105039,133995
12936,SUBSET OF,105760,133996
12965,SUBSET OF,107933,133997
30046,SUBSET OF,105738,133998
11024,SUBSET OF,104932,133999
11024,SUBSET OF,104792,134000
11573,SUBSET OF,105053,134003
11573,SUBSET OF,105100,134004
10179,SUBSET OF,117037,134008
12614,SUBSET OF,105007,134009
12226,SUBSET OF,104803,134010
100068,SUBSET OF,105023,134011
13000,SUBSET OF,104932,134012
13000,SUBSET OF,104792,134013
101010,SUBSET OF,105732,134017
100101,SUBSET OF,105734,134018
100101,SUBSET OF,105707,134019
100000,SUBSET OF,104848,134021
100000,SUBSET OF,104824,134022
100000,SUBSET OF,104302,134023
100339,SUBSET OF,104840,134024
101338,SUBSET OF,109746,134025
102688,SUBSET OF,105747,134026
101035,SUBSET OF,117060,134027
101035,SUBSET OF,108139,134028
101035,SUBSET OF,117067,134029
101510,SUBSET OF,116860,134030
101592,SUBSET OF,117285,134033
102423,SUBSET OF,117058,134034
102423,SUBSET OF,117068,134035
102783,SUBSET OF,107941,134036
104103,SUBSET OF,105507,134037
104103,SUBSET OF,117062,134038
12913,SUBSET OF,105065,134039
11970,SUBSET OF,104720,134042
11626,SUBSET OF,109746,134043
11626,SUBSET OF,105083,134044
11626,SUBSET OF,117754,134045
11626,SUBSET OF,107901,134046
104076,SUBSET OF,109699,134047
103578,SUBSET OF,117064,134048
103473,SUBSET OF,117136,134049
103755,SUBSET OF,116890,134050
103756,SUBSET OF,116889,134051
103756,SUBSET OF,116890,134052
103768,SUBSET OF,104746,134053
103496,SUBSET OF,117697,134054
103496,SUBSET OF,108409,134055
104824,SUPERSET OF,100001,134056
104824,SUPERSET OF,100000,134057
104824,SUPERSET OF,12865,134058
104824,SUPERSET OF,12546,134059
104824,SUPERSET OF,104835,134060
104824,SUPERSET OF,116997,134061
104824,SUPERSET OF,12102,134062
104824,SUPERSET OF,12103,134063
104824,SUPERSET OF,117126,134064
104824,SUPERSET OF,12012,134066
104824,SUPERSET OF,117004,134067
104824,SUPERSET OF,104687,134068
104824,SUPERSET OF,117006,134069
104824,SUPERSET OF,104302,134070
104824,SUPERSET OF,104848,134071
104824,SUPERSET OF,11921,134072
104824,SUPERSET OF,11668,134073
104824,SUPERSET OF,104821,134074
104824,SUPERSET OF,17142,134075
104824,OVERLAPS WITH,117725,134076
104824,SUPERSET OF,107932,134077
104824,SUPERSET OF,117726,134078
104827,OVERLAPS WITH,104724,134079
104827,SUPERSET OF,12198,134080
104827,SUPERSET OF,11944,134081
104827,OVERLAPS WITH,104760,134082
104303,SUPERSET OF,10688,134083
104303,SUPERSET OF,104944,134084
104303,SUPERSET OF,12485,134085
104303,SUPERSET OF,12566,134086
104303,SUPERSET OF,105046,134087
104303,SUPERSET OF,10647,134088
104303,SUPERSET OF,12076,134089
104304,SUPERSET OF,12514,134090
104304,SUBSET OF,104882,134091
104304,SUBSET OF,104693,134092
104304,SUPERSET OF,104964,134093
104304,SUPERSET OF,12742,134094
104304,SUPERSET OF,12474,134095
104304,SUPERSET OF,105004,134096
104282,OVERLAPS WITH,117715,134098
104282,SUPERSET OF,10819,134099
104282,OVERLAPS WITH,105076,134100
104282,SUPERSET OF,12715,134102
104282,SUBSET OF,105709,134103
104282,OVERLAPS WITH,107885,134105
104282,OVERLAPS WITH,107884,134106
104282,SUPERSET OF,117052,134107
104284,OVERLAPS WITH,104289,134108
104284,OVERLAPS WITH,108132,134109
104284,SUBSET OF,104692,134110
104284,OVERLAPS WITH,117716,134111
104284,SUPERSET OF,10023,134112
104284,SUPERSET OF,12717,134113
104284,OVERLAPS WITH,104287,134114
104284,OVERLAPS WITH,104286,134115
104278,SUBSET OF,117078,134117
104247,SUBSET OF,107940,134118
104247,SUBSET OF,118313,134119
104680,SUBSET OF,104693,134120
104680,SUPERSET OF,12744,134121
104680,SUPERSET OF,12216,134122
104680,SUPERSET OF,10364,134123
104682,SUPERSET OF,19,134124
104682,OVERLAPS WITH,117065,134125
104682,SUPERSET OF,174,134126
104685,SUBSET OF,104960,134127
104685,SUPERSET OF,49,134128
104685,OVERLAPS WITH,104292,134129
104685,OVERLAPS WITH,116998,134130
104685,OVERLAPS WITH,104985,134131
104685,OVERLAPS WITH,104936,134132
104685,OVERLAPS WITH,117720,134133
104745,SUPERSET OF,10868,134135
104745,SUPERSET OF,10542,134136
104753,SUPERSET OF,11544,134137
104753,SUPERSET OF,10157,134138
104756,SUPERSET OF,10560,134139
104756,SUBSET OF,117295,134140
104756,SUPERSET OF,10558,134141
104756,SUPERSET OF,10559,134142
104769,SUPERSET OF,11522,134143
104769,SUPERSET OF,10472,134144
104776,SUPERSET OF,105505,134145
104776,SUPERSET OF,12471,134146
104776,SUPERSET OF,10008,134147
104776,SUPERSET OF,10315,134148
104810,SUPERSET OF,11861,134150
104440,SUBSET OF,107913,134153
104732,SUPERSET OF,10600,134155
104732,SUPERSET OF,10601,134156
104736,OVERLAPS WITH,104741,134158
104736,SUPERSET OF,136,134159
104736,SUPERSET OF,137,134160
104736,SUBSET OF,104765,134161
104736,OVERLAPS WITH,104734,134162
104744,SUBSET OF,104705,134163
104744,SUPERSET OF,10576,134164
104744,SUPERSET OF,10577,134165
104744,SUPERSET OF,10578,134166
104744,OVERLAPS WITH,104882,134167
104744,SUPERSET OF,108395,134168
104744,SUPERSET OF,10619,134169
104865,SUPERSET OF,10446,134171
104865,SUPERSET OF,10447,134172
104880,SUPERSET OF,226,134173
104880,SUPERSET OF,50,134174
104880,OVERLAPS WITH,104854,134175
104880,SUBSET OF,105670,134176
104880,OVERLAPS WITH,105082,134177
104880,SUBSET OF,104700,134178
104902,SUPERSET OF,107906,134179
104902,SUPERSET OF,11223,134181
104902,SUPERSET OF,12376,134182
104902,SUPERSET OF,12378,134183
104902,SUPERSET OF,11759,134184
104905,OVERLAPS WITH,117121,134185
104905,SUPERSET OF,117120,134186
104905,OVERLAPS WITH,104704,134187
104905,OVERLAPS WITH,118275,134188
104905,SUPERSET OF,117122,134189
104905,OVERLAPS WITH,118277,134190
104905,SUPERSET OF,118276,134191
104905,OVERLAPS WITH,104774,134192
104905,SUPERSET OF,11463,134193
104905,OVERLAPS WITH,104904,134194
104905,OVERLAPS WITH,104712,134195
104905,SUPERSET OF,74,134196
104905,OVERLAPS WITH,105038,134197
104905,SUPERSET OF,118288,134198
104905,SUPERSET OF,12757,134200
104905,SUPERSET OF,118295,134201
104905,SUPERSET OF,117721,134202
104905,OVERLAPS WITH,104921,134203
104905,OVERLAPS WITH,109656,134204
104905,SUPERSET OF,221,134205
104905,OVERLAPS WITH,117727,134206
104905,OVERLAPS WITH,105121,134207
104905,SUPERSET OF,12770,134208
104905,OVERLAPS WITH,105059,134209
104905,SUPERSET OF,104291,134210
104905,SUPERSET OF,11881,134211
104905,SUPERSET OF,11440,134212
104905,SUBSET OF,104688,134213
104905,OVERLAPS WITH,104757,134214
104905,SUPERSET OF,11191,134215
104905,SUPERSET OF,117115,134216
104905,SUPERSET OF,117114,134217
104905,OVERLAPS WITH,117117,134218
104905,SUPERSET OF,117116,134219
104905,OVERLAPS WITH,105087,134220
104905,OVERLAPS WITH,117119,134221
104905,OVERLAPS WITH,104703,134222
104905,OVERLAPS WITH,104702,134223
104905,SUPERSET OF,117118,134224
104448,SUBSET OF,104851,134228
104716,SUPERSET OF,11930,134231
104716,SUPERSET OF,104990,134232
104725,SUPERSET OF,96,134233
