id,name,organism,known_action,position,parent_key
BE0000537,Thyroxine-binding globulin,Humans,no,1,DB00023
BE0000537,Thyroxine-binding globulin,Humans,no,1,DB00059
BE0000530,Serum albumin,Humans,unknown,5,DB00070
BE0000530,Serum albumin,Humans,unknown,4,DB00104
BE0000530,Serum albumin,Humans,unknown,30,DB00126
BE0001821,"Fatty acid-binding protein, brain",Humans,unknown,,DB00132
BE0001141,Vitamin D-binding protein,Humans,no,2,DB00136
BE0000530,Serum albumin,Humans,unknown,,DB00137
BE0000530,Serum albumin,Humans,unknown,10,DB00152
BE0001141,Vitamin D-binding protein,Humans,no,1,DB00153
BE0001821,"Fatty acid-binding protein, brain",Humans,unknown,,DB00154
BE0001821,"Fatty acid-binding protein, brain",Humans,yes,5,DB00159
BE0000530,Serum albumin,Humans,unknown,12,DB00159
BE0000682,Retinol-binding protein 5,Humans,unknown,,DB00162
BE0000532,Retinoid-binding protein 7,Humans,unknown,,DB00162
BE0000314,Retinol-binding protein 4,Humans,unknown,,DB00162
BE0000505,Retinol-binding protein 2,Humans,unknown,,DB00162
BE0000530,Serum albumin,Humans,unknown,4,DB00162
BE0000786,Retinaldehyde-binding protein 1,Humans,unknown,5,DB00162
BE0000255,Retinol-binding protein 3,Humans,unknown,6,DB00162
BE0000301,Retinol-binding protein 1,Humans,unknown,7,DB00162
BE0000643,Alpha-tocopherol transfer protein,Humans,unknown,,DB00163
BE0000256,SEC14-like protein 2,Humans,unknown,12,DB00163
BE0000339,SEC14-like protein 3,Humans,unknown,13,DB00163
BE0009656,Phospholipid transfer protein,Humans,unknown,14,DB00163
BE0000530,Serum albumin,Humans,unknown,3,DB00165
BE0001141,Vitamin D-binding protein,Humans,no,2,DB00169
BE0000209,Corticosteroid-binding globulin,Humans,yes,2,DB00180
BE0000362,Transcobalamin-2,Humans,unknown,8,DB00200
BE0000530,Serum albumin,Humans,unknown,3,DB00214
BE0000530,Serum albumin,Humans,unknown,12,DB00220
BE0000530,Serum albumin,Humans,no,9,DB00227
BE0000530,Serum albumin,Humans,unknown,2,DB00228
BE0000530,Serum albumin,Humans,unknown,12,DB00237
BE0000530,Serum albumin,Humans,unknown,3,DB00238
BE0000209,Corticosteroid-binding globulin,Humans,unknown,,DB00240
BE0000925,Alpha-1-acid glycoprotein 1,Humans,no,9,DB00243
BE0000530,Serum albumin,Humans,no,2,DB00245
BE0000530,Serum albumin,Humans,unknown,24,DB00246
BE0000925,Alpha-1-acid glycoprotein 1,Humans,unknown,26,DB00246
BE0000530,Serum albumin,Humans,unknown,3,DB00252
BE0000537,Thyroxine-binding globulin,Humans,no,15,DB00252
BE0000209,Corticosteroid-binding globulin,Humans,unknown,,DB00253
BE0000337,Transthyretin,Humans,unknown,,DB00255
BE0000530,Serum albumin,Humans,no,3,DB00264
BE0000530,Serum albumin,Humans,unknown,5,DB00266
BE0000530,Serum albumin,Humans,unknown,11,DB00273
BE0000530,Serum albumin,Humans,no,2,DB00274
BE0000530,Serum albumin,Humans,unknown,3,DB00278
BE0004879,alpha1-acid glycoprotein,Humans,unknown,4,DB00278
BE0000337,Transthyretin,Humans,unknown,1,DB00279
BE0000537,Thyroxine-binding globulin,Humans,unknown,2,DB00279
BE0000530,Serum albumin,Humans,unknown,3,DB00279
BE0000925,Alpha-1-acid glycoprotein 1,Humans,no,5,DB00280
BE0000537,Thyroxine-binding globulin,Humans,no,22,DB00286
BE0000685,Sex hormone-binding globulin,Humans,no,23,DB00286
BE0000530,Serum albumin,Humans,no,24,DB00286
BE0000530,Serum albumin,Humans,no,4,DB00289
BE0004879,alpha1-acid glycoprotein,Humans,no,5,DB00289
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Humans,no,6,DB00289
BE0001057,"Solute carrier family 2, facilitated glucose transporter member 1",Humans,unknown,3,DB00292
BE0000530,Serum albumin,Humans,no,2,DB00294
BE0000685,Sex hormone-binding globulin,Humans,no,3,DB00294
BE0000530,Serum albumin,Humans,no,14,DB00295
BE0000530,Serum albumin,Humans,no,4,DB00304
BE0000685,Sex hormone-binding globulin,Humans,no,5,DB00304
BE0000530,Serum albumin,Humans,no,1,DB00310
BE0000530,Serum albumin,Humans,unknown,25,DB00313
BE0000530,Serum albumin,Humans,unknown,14,DB00316
BE0000530,Serum albumin,Humans,unknown,7,DB00317
BE0000925,Alpha-1-acid glycoprotein 1,Humans,unknown,8,DB00317
BE0000530,Serum albumin,Humans,no,15,DB00321
BE0000925,Alpha-1-acid glycoprotein 1,Humans,no,16,DB00321
BE0000537,Thyroxine-binding globulin,Humans,no,3,DB00322
BE0000209,Corticosteroid-binding globulin,Humans,unknown,,DB00324
BE0000530,Serum albumin,Humans,no,6,DB00327
BE0000530,Serum albumin,Humans,unknown,8,DB00328
BE0000530,Serum albumin,Humans,no,4,DB00332
BE0004879,alpha1-acid glycoprotein,Humans,no,5,DB00332
BE0000925,Alpha-1-acid glycoprotein 1,Humans,no,11,DB00333
BE0000530,Serum albumin,Humans,no,12,DB00333
BE0000530,Serum albumin,Humans,no,15,DB00334
BE0000925,Alpha-1-acid glycoprotein 1,Humans,no,16,DB00334
BE0000530,Serum albumin,Humans,no,4,DB00335
BE0000530,Serum albumin,Humans,no,7,DB00343
BE0000925,Alpha-1-acid glycoprotein 1,Humans,no,8,DB00343
BE0000209,Corticosteroid-binding globulin,Humans,unknown,2,DB00394
BE0000530,Serum albumin,Humans,unknown,2,DB00404
BE0004879,alpha1-acid glycoprotein,Humans,unknown,3,DB00404
BE0000530,Serum albumin,Humans,unknown,7,DB00412
BE0000530,Serum albumin,Humans,unknown,1,DB00414
BE0000530,Serum albumin,Humans,no,6,DB00415
BE0000530,Serum albumin,Humans,unknown,15,DB00421
BE0004879,alpha1-acid glycoprotein,Humans,unknown,16,DB00421
BE0000530,Serum albumin,Humans,unknown,2,DB00430
BE0000530,Serum albumin,Humans,unknown,8,DB00432
BE0000530,Serum albumin,Humans,unknown,11,DB00443
BE0000209,Corticosteroid-binding globulin,Humans,unknown,12,DB00443
BE0000337,Transthyretin,Humans,no,1,DB00451
BE0000537,Thyroxine-binding globulin,Humans,no,2,DB00451
BE0000530,Serum albumin,Humans,no,3,DB00451
BE0000530,Serum albumin,Humans,unknown,6,DB00454
BE0000925,Alpha-1-acid glycoprotein 1,Humans,unknown,7,DB00454
BE0000530,Serum albumin,Humans,unknown,9,DB00456
BE0000925,Alpha-1-acid glycoprotein 1,Humans,no,5,DB00457
BE0000925,Alpha-1-acid glycoprotein 1,Humans,no,9,DB00458
BE0000530,Serum albumin,Humans,unknown,20,DB00458
BE0000530,Serum albumin,Humans,unknown,,DB00459
BE0000530,Serum albumin,Humans,unknown,10,DB00461
BE0000530,Serum albumin,Humans,unknown,11,DB00472
BE0000925,Alpha-1-acid glycoprotein 1,Humans,unknown,11,DB00472
BE0000530,Serum albumin,Humans,unknown,5,DB00476
BE0004879,alpha1-acid glycoprotein,Humans,unknown,6,DB00476
BE0000530,Serum albumin,Humans,unknown,4,DB00477
BE0000530,Serum albumin,Humans,no,9,DB00481
BE0000925,Alpha-1-acid glycoprotein 1,Humans,no,10,DB00481
BE0000530,Serum albumin,Humans,unknown,5,DB00490
BE0000925,Alpha-1-acid glycoprotein 1,Humans,unknown,6,DB00490
BE0000530,Serum albumin,Humans,no,1,DB00495
BE0000530,Serum albumin,Humans,unknown,4,DB00497
BE0004879,alpha1-acid glycoprotein,Humans,unknown,5,DB00497
BE0000530,Serum albumin,Humans,unknown,6,DB00500
BE0000530,Serum albumin,Humans,unknown,17,DB00503
BE0000925,Alpha-1-acid glycoprotein 1,Humans,unknown,20,DB00503
BE0004711,Folate transporter 1,Humans,unknown,3,DB00507
BE0000530,Serum albumin,Humans,no,1,DB00512
