ahfs_code,drugbank_id
10:00.00,DB00002
44:00.00,DB00003
92:36.00,DB00005
20:12.04.12,DB00006
10:00.00,DB00007
68:18.08,DB00007
08:18.20,DB00008
20:12.20,DB00009
20:16.00,DB00012
68:18.00,DB00014
92:00.00,DB00014
20:16.00,DB00016
68:24.00,DB00017
20:16.00,DB00019
08:18.20,DB00022
10:00.00,DB00023
36:60.00,DB00024
20:28.16,DB00025
92:36.00,DB00026
80:04.00,DB00028
68:20.08,DB00030
20:12.20,DB00031
68:18.00,DB00032
68:28.00,DB00035
20:28.16,DB00036
68:22.12,DB00040
10:00.00,DB00041
92:92.00,DB00042
48:92.00,DB00043
68:18.00,DB00044
68:20.08,DB00046
68:20.08,DB00047
44:00.00,DB00048
84:92.00,DB00048
44:00.00,DB00049
92:40.00,DB00050
92:36.00,DB00051
92:20.00,DB00051
56:92.00,DB00051
68:28.00,DB00052
68:30.04,DB00052
44:00.00,DB00053
92:00.00,DB00054
10:00.00,DB00056
44:00.00,DB00058
10:00.00,DB00059
92:20.00,DB00060
16:00.00,DB00062
36:18.00,DB00062
40:50.00*,DB00062
20:12.18,DB00063
92:36.00,DB00065
68:18.00,DB00066
68:28.00,DB00067
92:20.00,DB00068
68:20.08,DB00071
10:00.00,DB00072
10:00.00,DB00073
92:44.00,DB00074
92:12.00,DB00076
80:04.00,DB00076
08:12.28.12,DB00080
68:30.08,DB00082
92:92.00,DB00083
56:16.00,DB00085
10:00.00,DB00087
44:00.00,DB00090
52:08.92,DB00091
92:44.00,DB00091
68:18.00,DB00094
68:18.00,DB00097
92:00.00,DB00098
20:16.00,DB00099
20:28.16,DB00100
44:00.00,DB00103
92:00.00,DB00104
10:00.00,DB00105
08:18.20,DB00105
76:00.00,DB00107
92:20.00,DB00108
08:18.08.04,DB00109
08:18.24,DB00110
92:20.00,DB00111
92:44.00,DB00111
10:00.00,DB00112
88:08.00,DB00115
88:08.00,DB00121
56:24.00,DB00122
88:30.00*,DB00122
88:08.00,DB00122
36:66.00,DB00125
88:12.00,DB00126
84:92.00,DB00136
88:16.00,DB00136
88:08.00,DB00140
56:16.00,DB00142
40:36.00,DB00145
28:16.04,DB00150
28:16.04.92,DB00150
40:20.00,DB00151
88:28.00,DB00152
88:08.00,DB00152
88:16.00,DB00153
88:08.00,DB00158
88:04.00,DB00162
84:24.12,DB00163
88:20.00,DB00163
88:08.00,DB00165
88:16.00,DB00169
24:06.08,DB00175
28:16.04.20,DB00176
24:32.08,DB00177
