ref-id,isbn,citation,parent_key
T592,,"Speeckaert M., Speeckaert R., Geel N. and Delanghe J. (2014). Advances in Clinical Chemistry. Elsevier.",BE0001141
T445,978-0-8261-2858-4,Hale T. and Rowe H. (2017). MEdications & mothers' milk (17th ed.). Springer publishing company.,BE0000530
T55,,Zaragoza Dorwald F. (2012). Lead optimization for medicinal chemists. Wiley-VCH.,BE0000530
T55,,Zaragoza Dorwald F. (2012). Lead optimization for medicinal chemists. Wiley-VCH.,BE0000685
T116,978-1-25-958473-2,"Schimmer B, Funder J (2018). 46. In Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",BE0000209
T116,978-1-25-958473-2,"Schimmer B, Funder J (2018). 46. In Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",BE0000530
T164,,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0004020
T164,,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0000301
T164,,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0000505
T164,,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0000255
T164,,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0000314
T164,,Combs G. (2012). The vitamins (4th ed.). Elsevier.,BE0000682
T79,,"Lobo R., Crosignani P., Paoletti R. and Bruschi F. (2002). Women's health and menopause  (1st ed.). Kluwer Academic Publishers.",BE0000530
T80,,Carp H. (2015). Progestogens in obstetrics and gynecology.. Springer.,BE0000685
T80,,Carp H. (2015). Progestogens in obstetrics and gynecology.. Springer.,BE0000209
T82,,Jadvar H. (2014). Cancer theranostics. Academic press.,BE0001032
T89,,"Kato R., Estabrook W. and Cayen M. (1988). Xenobiotic metabolism and disposition (2nd ed.). Taylor and Francis.",BE0000530
T89,,"Kato R., Estabrook W. and Cayen M. (1988). Xenobiotic metabolism and disposition (2nd ed.). Taylor and Francis.",BE0000925
T36,978-0-07-17803-2,"Barrett KE, Barman SM, Boitano S, Brooks HL (2012). Ganong's Review of Medical Physiology (24th ed.). McGraw Hill.",BE0000530
T36,978-0-07-17803-2,"Barrett KE, Barman SM, Boitano S, Brooks HL (2012). Ganong's Review of Medical Physiology (24th ed.). McGraw Hill.",BE0000530
T367,,Bethesda (2006). Drugs and Lactation Database. National Library of Medicine.,BE0000530
T168,,Reilly R. (2013). The fundamental principles of compartmental pharmacokinetics illustrated by radiopharmaceuticals commonly used in nuclear medicine. ACPE.,BE0000952
T36,978-0-07-17803-2,"Barrett KE, Barman SM, Boitano S, Brooks HL (2012). Ganong's Review of Medical Physiology (24th ed.). McGraw Hill.",BE0000530
