ref-id,title,url,parent_key
L4626,Aids info document,https://aidsinfo.nih.gov/drugs/487/peginterferon-alfa-2b--hcv/136/professional,BE0002793
L5707,Uniprot P16519,https://www.uniprot.org/uniprot/P16519,BE0002124
L5710,Uniprot P29120,https://www.uniprot.org/uniprot/P29120,BE0002125
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002362
L3734,Neoral (Cyclosporine) FDA Label,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/050715s027,050716s028lbl.pdf",BE0002362
L2953,"FDA Drug Development and Drug Interactions: Table of Substrates, Inhibitors and Inducers",https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm,BE0002638
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002638
L8003,CYP24A1 gene - Genetics Home Reference - NIH,https://ghr.nlm.nih.gov/gene/CYP24A1,BE0002250
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002363
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002433
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002638
L7544,"FDA label, fluvoxamine",https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021519s003lbl.pdf,BE0002638
L2905,Drug Interactions & Labeling - FDA,https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm#table3-2,BE0002638
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0004866
L2905,Drug Interactions & Labeling - FDA,https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm#table3-2,BE0004866
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002793
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003536
L8435,Definition of masoprocol - NCI Drug Dictionary,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/masoprocol,BE0000248
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002363
L4784,Benzodiazepine metabolism and pharmacokinetic,http://paindr.com/wp-content/uploads/2015/10/Revised-BZD_-9-30.pdf,BE0002638
L14177,"FDA Approved Drug Products: Bortezomib for Injection, for subcutaneous or intravenous use",https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021602s044lbl.pdf,BE0002638
L14177,"FDA Approved Drug Products: Bortezomib for Injection, for subcutaneous or intravenous use",https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021602s044lbl.pdf,BE0003536
L14177,"FDA Approved Drug Products: Bortezomib for Injection, for subcutaneous or intravenous use",https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021602s044lbl.pdf,BE0002363
L14177,"FDA Approved Drug Products: Bortezomib for Injection, for subcutaneous or intravenous use",https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021602s044lbl.pdf,BE0002433
L14177,"FDA Approved Drug Products: Bortezomib for Injection, for subcutaneous or intravenous use",https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021602s044lbl.pdf,BE0002793
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002363
L4582,"Betaxolol, Pediatric Care Solutions",https://pediatriccare.solutions.aap.org/drug.aspx?gbosid=171921,BE0002433
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002638
L2905,Drug Interactions & Labeling - FDA,https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm#table3-2,BE0002638
L6505,"Fluconazole, Medsafe NZ data sheet",https://www.medsafe.govt.nz/profs/Datasheet/f/fluconazolecapmylan.pdf,BE0002638
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002793
L6505,"Fluconazole, Medsafe NZ data sheet",https://www.medsafe.govt.nz/profs/Datasheet/f/fluconazolecapmylan.pdf,BE0002793
L6505,"Fluconazole, Medsafe NZ data sheet",https://www.medsafe.govt.nz/profs/Datasheet/f/fluconazolecapmylan.pdf,BE0003536
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002638
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002638
L7261,FDA Approved Drug Products: Ery-Ped (erythromycin ethylsuccinate) granules for oral suspension,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/050207s074,050611s036lbl.pdf",BE0002638
L2953,"FDA Drug Development and Drug Interactions: Table of Substrates, Inhibitors and Inducers",https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm,BE0002638
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003612
L7261,FDA Approved Drug Products: Ery-Ped (erythromycin ethylsuccinate) granules for oral suspension,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/050207s074,050611s036lbl.pdf",BE0003612
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002362
L7261,FDA Approved Drug Products: Ery-Ped (erythromycin ethylsuccinate) granules for oral suspension,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/050207s074,050611s036lbl.pdf",BE0002362
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002433
L9851,Caffeine citrate injection FDA label,https://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20793s1lbl.pdf,BE0002433
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002638
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002638
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002362
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003612
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003536
L2905,Drug Interactions & Labeling - FDA,https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm#table3-2,BE0003536
L2924,Ticlopidine Hydrochloride - Drug Summary - PDR,http://www.pdr.net/drug-summary/Ticlopidine-Hydrochloride-ticlopidine-hydrochloride-3029,BE0003536
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002363
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002433
L2924,Ticlopidine Hydrochloride - Drug Summary - PDR,http://www.pdr.net/drug-summary/Ticlopidine-Hydrochloride-ticlopidine-hydrochloride-3029,BE0002433
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003549
L2924,Ticlopidine Hydrochloride - Drug Summary - PDR,http://www.pdr.net/drug-summary/Ticlopidine-Hydrochloride-ticlopidine-hydrochloride-3029,BE0003549
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002363
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003536
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002793
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003536
L8126,Citalopram FDA label,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020822s042,021046s019lbl.pdf",BE0003536
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002363
L8129,Eletriptan FDA label,https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/021016s018lbl.pdf,BE0002638
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002638
L8132,Nelfinavir FDA label,https://www.accessdata.fda.gov/drugsatfda_docs/label/2005/021503s006lbl.pdf,BE0002638
L2906,"Drug Development and Drug Interactions: Table of Substrates, Inhibitors and Inducers",https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm#table2-2,BE0002638
L2953,"FDA Drug Development and Drug Interactions: Table of Substrates, Inhibitors and Inducers",https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm,BE0002638
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003612
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002362
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003536
L3326,Interactions,https://hivclinic.ca/archive/main/drugs_interact_files/anticonvulsant-int.pdf,BE0003541
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002793
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002638
L2953,"FDA Drug Development and Drug Interactions: Table of Substrates, Inhibitors and Inducers",https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DevelopmentResources/DrugInteractionsLabeling/ucm093664.htm,BE0002638
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003612
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002362
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0002638
L2915,TABLETS MEVACOR® (LOVASTATIN) FDA LABEL,https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/019643s085lbl.pdf,BE0002638
L5296,Public presentations,https://www.lipid.org/sites/default/files/f-_wiggins_final.pdf,BE0003541
L5296,Public presentations,https://www.lipid.org/sites/default/files/f-_wiggins_final.pdf,BE0003677
L162,Flockhart Table of Drug Interactions,https://drug-interactions.medicine.iu.edu/Main-Table.aspx,BE0003533
