resource,identifier,parent_key
Drugs Product Database (DPD),11916,DB00001
PubChem Substance,46507011,DB00001
KEGG Drug,D06880,DB00001
PharmGKB,PA450195,DB00001
UniProtKB,P01050,DB00001
Therapeutic Targets Database,DAP000541,DB00001
Wikipedia,Lepirudin,DB00001
ChEMBL,CHEMBL1201666,DB00001
RxCUI,237057,DB00001
Drugs Product Database (DPD),13175,DB00002
PubChem Substance,46507042,DB00002
KEGG Drug,D03455,DB00002
GenBank,J00228,DB00002
PharmGKB,PA10040,DB00002
Therapeutic Targets Database,DNC000788,DB00002
Wikipedia,Cetuximab,DB00002
ChEMBL,CHEMBL1201577,DB00002
RxCUI,318341,DB00002
Drugs Product Database (DPD),650,DB00003
PubChem Substance,46507792,DB00003
GenBank,M55983,DB00003
PharmGKB,PA10318,DB00003
UniProtKB,P24855,DB00003
Therapeutic Targets Database,DAP000981,DB00003
Wikipedia,Dornase_alfa,DB00003
ChEMBL,CHEMBL1201431,DB00003
RxCUI,337623,DB00003
PubChem Substance,46506950,DB00004
GenBank,V01536,DB00004
PharmGKB,PA164750594,DB00004
UniProtKB,P00587,DB00004
Therapeutic Targets Database,DAP001098,DB00004
Wikipedia,Denileukin_diftitox,DB00004
ChEMBL,CHEMBL1201550,DB00004
RxCUI,214470,DB00004
Drugs Product Database (DPD),12032,DB00005
PubChem Substance,46506732,DB00005
KEGG Compound,C07897,DB00005
KEGG Drug,D00742,DB00005
GenBank,M32315,DB00005
PharmGKB,PA449515,DB00005
UniProtKB,P20333,DB00005
Therapeutic Targets Database,DNC000605,DB00005
Wikipedia,Etanercept,DB00005
ChEMBL,CHEMBL1201572,DB00005
RxCUI,214555,DB00005
Drugs Product Database (DPD),12945,DB00006
ChEBI,59173,DB00006
PubChem Compound,16129704,DB00006
PubChem Substance,46507415,DB00006
KEGG Drug,D03136,DB00006
ChemSpider,10482069,DB00006
BindingDB,50248103,DB00006
PharmGKB,PA10032,DB00006
Therapeutic Targets Database,DAP000542,DB00006
Wikipedia,Bivalirudin,DB00006
ChEMBL,CHEMBL2103749,DB00006
RxCUI,60819,DB00006
Drugs Product Database (DPD),1756,DB00007
ChEBI,6427,DB00007
PubChem Substance,46507635,DB00007
KEGG Compound,C07612,DB00007
KEGG Drug,D08113,DB00007
ChemSpider,571356,DB00007
BindingDB,50369395,DB00007
PharmGKB,PA450203,DB00007
Therapeutic Targets Database,DAP000020,DB00007
Wikipedia,Leuprolide,DB00007
ChEMBL,CHEMBL1201199,DB00007
RxCUI,42375,DB00007
Drugs Product Database (DPD),13246,DB00008
PubChem Substance,46504860,DB00008
GenBank,J00207,DB00008
PharmGKB,PA164749390,DB00008
UniProtKB,P01563,DB00008
Therapeutic Targets Database,DAP001278,DB00008
Wikipedia,Peginterferon_alfa-2a,DB00008
ChEMBL,CHEMBL1201560,DB00008
RxCUI,120608,DB00008
Drugs Product Database (DPD),7297,DB00009
PubChem Substance,46507035,DB00009
KEGG Drug,D02837,DB00009
GenBank,L00153,DB00009
PharmGKB,PA164776730,DB00009
UniProtKB,P00750,DB00009
Therapeutic Targets Database,DAP000203,DB00009
Wikipedia,Alteplase,DB00009
ChEMBL,CHEMBL1201593,DB00009
RxCUI,8410,DB00009
PubChem Substance,46507399,DB00010
