name,url,parent_key
Bayer Healthcare,http://www.bayerhealthcare.com,DB00001
Berlex Labs,http://www.berlex.com,DB00001
Cardinal Health,http://www.cardinal.com,DB00002
Catalent Pharma Solutions,http://www.catalent.com,DB00002
ImClone Systems Inc.,http://www.imclone.com,DB00002
Oso Biopharmaceuticals Manufacturing LLC,,DB00002
Cardinal Health,http://www.cardinal.com,DB00003
Catalent Pharma Solutions,http://www.catalent.com,DB00003
F Hoffmann-La Roche Ltd.,http://www.roche.com,DB00003
Genentech Inc.,http://www.gene.com,DB00003
Meda AB,http://www.meda.se,DB00003
Medpointe Pharmaceuticals,,DB00003
Eisai Inc.,http://www.eisai.com,DB00004
Hollister-Stier Laboratories LLC,http://www.hollisterstier.com,DB00004
Ligand Pharmaceuticals Inc.,http://www.ligand.com,DB00004
Amgen Inc.,http://www.amgen.com,DB00005
Boehringer Ingelheim Ltd.,http://www.boehringer-ingelheim.com,DB00005
DSM Corp.,http://www.dsm.com,DB00005
Immunex Corp.,,DB00005
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00005
Vetter Pharma Fertigung GmbH and Co. KG,http://www.vetter-pharma.com,DB00005
Ben Venue Laboratories Inc.,http://www.benvenue.com,DB00006
Oryx Pharmaceuticals Inc.,,DB00006
Sepracor Pharmaceuticals Inc.,http://www.sepracor.com,DB00006
The Medicines Co.,http://www.themedicinescompany.com,DB00006
Abbott Laboratories Ltd.,http://www.abbott.com,DB00007
Cardinal Health,http://www.cardinal.com,DB00007
Eon Labs,,DB00007
Hospira Inc.,http://www.hospira.com,DB00007
Oso Biopharmaceuticals Manufacturing LLC,,DB00007
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00007
Sanofi-Aventis Inc.,http://www.sanofi-aventis.com,DB00007
Sun Pharmaceutical Industries Ltd.,http://www.sunpharma.com,DB00007
Takeda Pharmaceutical Co. Ltd.,http://www.takeda.com,DB00007
Teva Pharmaceutical Industries Ltd.,http://www.tevapharm.com,DB00007
Tolmar Inc.,http://www.tolmar.com,DB00007
F Hoffmann La Roche Ltd.,http://www.roche.com,DB00008
F Hoffmann-La Roche Ltd.,http://www.roche.com,DB00008
Genentech Inc.,http://www.gene.com,DB00009
Chengdu Shengnuo Bio Pharmaceutical Co. Ltd.,,DB00010
Letco Medical Inc.,http://www.letcomedical.com,DB00010
Live Well Drugstore LLC,http://www.livewelldrugstore.com,DB00010
Amgen Inc.,http://www.amgen.com,DB00012
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00012
Hospira Inc.,http://www.hospira.com,DB00013
ImaRx Therapeutics,http://www.imarx.com,DB00013
Microbix Biosystems Inc.,http://www.microbix.com,DB00013
AstraZeneca Inc.,http://www.astrazeneca.ca,DB00014
EKR Therapeutics Inc.,http://www.ekrtx.com,DB00015
Hospira Inc.,http://www.hospira.com,DB00015
PDL BioPharma Inc.,http://www.pdl.com,DB00015
Amgen Inc.,http://www.amgen.com,DB00016
Centocor Ortho Biotech Inc.,http://www.centocororthobiotech.com,DB00016
DSM Corp.,http://www.dsm.com,DB00016
Janssen-Ortho Inc.,http://www.janssen-ortho.com,DB00016
JHP Pharmaceuticals LLC,http://www.jhppharma.com,DB00016
Ortho-McNeil-Janssen Pharmaceuticals Inc.,http://www.ortho-mcneil.com,DB00016
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00016
Apotex Inc.,http://www.apotex.com,DB00017
Novartis AG,http://www.novartis.com,DB00017
Par Pharmaceuticals,http://www.parpharm.com,DB00017
Sandoz,http://www.sandoz.ca,DB00017
Upsher Smith Laboratories,http://www.upsher-smith.com,DB00017
Hemispherx Biopharma Inc.,http://www.hemispherx.net,DB00018
Amgen Inc.,http://www.amgen.com,DB00019
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00019
Bayer Healthcare,http://www.bayerhealthcare.com,DB00020
Genzyme Inc.,http://www.genzyme.ca,DB00020
Hospira Inc.,http://www.hospira.com,DB00020
Kramer-Novis,http://www.kramernovis.com,DB00020
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00020
Wyeth Pharmaceuticals,http://www.wyeth.com,DB00020
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00022
Schering Corp.,http://www.schering.de,DB00022
Schering-Plough Inc.,http://www.schering-plough.ca,DB00022
Vetter Pharma Fertigung GmbH and Co. KG,http://www.vetter-pharma.com,DB00022
Lundbeck Inc.,http://www.lundbeckinc.com,DB00023
Merck & Co.,http://www.merck.com,DB00023
Prescript Pharmaceuticals,http://www.prescript.net,DB00023
Genzyme Inc.,http://www.genzyme.ca,DB00024
Organon Pharmaceuticals,http://www.organonshop.com,DB00024
Baxter International Inc.,http://www.baxter.com,DB00025
Bayer Healthcare,http://www.bayerhealthcare.com,DB00025
CSL Behring LLC,http://www.cslbehring.com,DB00025
GlaxoSmithKline Inc.,http://www.gsk.com,DB00025
Grifols SA,http://www.grifols.com,DB00025
Ipsen Pharmaceuticals Inc.,http://www.ipsen.com,DB00025
Octapharma USA,http://www.octapharma.com,DB00025
Talecris Biotherapeutics,http://www.talecris.com,DB00025
Wyeth Pharmaceuticals,http://www.wyeth.com,DB00025
Amgen Inc.,http://www.amgen.com,DB00026
BioVitrum AB,http://www.biovitrum.com,DB00026
Johnson & Johnson Healthcare,http://www.jnjcanada.com,DB00027
Monarch Pharmacy,http://www.monarch-pharmacy.co.uk,DB00027
Professional Co.,,DB00027
Alpha Therapeutic Corp.,,DB00028
American Red Cross,http://www.redcross.org,DB00028
Baxter International Inc.,http://www.baxter.com,DB00028
Biotest Pharmaceuticals,http://www.biotestpharma.com,DB00028
Cangene Corp.,http://www.cangene.com,DB00028
CSL Behring LLC,http://www.cslbehring.com,DB00028
Grifols SA,http://www.grifols.com,DB00028
Massachusetts Public Health,http://www.mphaweb.org,DB00028
Massbiologics,http://www.massbio.org,DB00028
Medimmune Inc.,http://www.medimmune.com,DB00028
Novartis AG,http://www.novartis.com,DB00028
Octapharma USA,http://www.octapharma.com,DB00028
Talecris Biotherapeutics,http://www.talecris.com,DB00028
Haupt Pharma,http://haupt-pharma.de,DB00029
A-S Medication Solutions LLC,http://orders.a-smeds.com,DB00030
DispenseXpress Inc.,,DB00030
Eli Lilly & Co.,http://www.lilly.com,DB00030
Hospira Inc.,http://www.hospira.com,DB00030
Intervet International,http://www.intervet.ca,DB00030
Novo Nordisk Inc.,http://www.novonordisk.com,DB00030
Pfizer Inc.,http://www.pfizer.com,DB00030
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00030
F Hoffmann-La Roche Ltd.,http://www.roche.com,DB00031
Genentech Inc.,http://www.gene.com,DB00031
Ferring Pharmaceuticals Inc.,http://www.ferring.com,DB00032
InterMune Inc.,http://www.intermune.com,DB00033
F Hoffmann La Roche Ltd.,http://www.roche.com,DB00034
F Hoffmann-La Roche Ltd.,http://www.roche.com,DB00034
Amerisource Health Services Corp.,http://www.amerisourcebergen.com,DB00035
Apotex Inc.,http://www.apotex.com,DB00035
Arcola Laboratories,,DB00035
Bachem Inc.,http://www.bachem.com,DB00035
Barr Pharmaceuticals,,DB00035
Bausch & Lomb Inc.,http://www.bausch.com,DB00035
CSL Behring LLC,http://www.cslbehring.com,DB00035
Ferring Pharmaceuticals Inc.,http://www.ferring.com,DB00035
Hospira Inc.,http://www.hospira.com,DB00035
Kaiser Foundation Hospital,,DB00035
Pharmacy Service Center,,DB00035
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00035
Promex Medical Inc.,,DB00035
Rechon Life Science AB,http://www.rechon.com,DB00035
Sanofi-Aventis Inc.,http://www.sanofi-aventis.com,DB00035
Sicor Pharmaceuticals,,DB00035
Sun Pharmaceutical Industries Ltd.,http://www.sunpharma.com,DB00035
Teva Pharmaceutical Industries Ltd.,http://www.tevapharm.com,DB00035
UDL Laboratories,http://www.udllabs.com,DB00035
Watson Pharmaceuticals,http://www.watson.com,DB00035
Novo Nordisk Inc.,http://www.novonordisk.com,DB00036
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00038
Wyeth Pharmaceuticals,http://www.wyeth.com,DB00038
Amgen Inc.,http://www.amgen.com,DB00039
Baxter International Inc.,http://www.baxter.com,DB00039
BioVitrum AB,http://www.biovitrum.com,DB00039
Bedford Labs,http://www.bedfordlabs.com,DB00040
Eli Lilly & Co.,http://www.lilly.com,DB00040
Novo Nordisk Inc.,http://www.novonordisk.com,DB00040
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00040
Bayer Healthcare,http://www.bayerhealthcare.com,DB00041
Chiron Corp.,http://www.chiron.com,DB00041
Novartis AG,http://www.novartis.com,DB00041
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00041
Prometheus Laboratories Inc.,http://www.prometheuslabs.com,DB00041
Solstice Neurosciences,http://www.solsticeneuro.com,DB00042
Genentech Inc.,http://www.gene.com,DB00043
Novartis AG,http://www.novartis.com,DB00043
EMD Canada Inc.,http://www.emdcanada.com,DB00044
Merck Serono SPA,http://www.merckserono.net,DB00044
Eli Lilly & Co.,http://www.lilly.com,DB00046
Hospira Inc.,http://www.hospira.com,DB00046
Lilly Del Caribe Inc.,,DB00046
Midwest IV and Home Care,http://midwestmed.org/iv,DB00046
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00046
Gruppo Lepetit SPA,,DB00047
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00047
Sanofi-Aventis Inc.,http://www.sanofi-aventis.com,DB00047
Abbott Laboratories Ltd.,http://www.abbott.com,DB00048
Advance Biofactures Corp.,,DB00048
Auxilium Pharmaceuticals,http://www.auxilium.com,DB00048
BASF Corp.,https://www.basf.com,DB00048
Dispensing Solutions,http://www.drxdispensing.com,DB00048
Healthpoint Ltd.,http://www.healthpoint.com,DB00048
Medisca Inc.,http://www.medisca.com,DB00048
GlaxoSmithKline Inc.,http://www.gsk.com,DB00049
Sanofi-Aventis Inc.,http://www.sanofi-aventis.com,DB00049
Baxter International Inc.,http://www.baxter.com,DB00050
EMD Canada Inc.,http://www.emdcanada.com,DB00050
Solvay Pharmaceuticals,http://global.abbottgrowth.com,DB00050
Abbott Laboratories Ltd.,http://www.abbott.com,DB00051
Vetter Pharma Fertigung GmbH and Co. KG,http://www.vetter-pharma.com,DB00051
Bio Technology General Ltd.,,DB00052
Bristol-Myers Squibb Co.,http://www.bms.com,DB00052
BTG Pharmaceuticals Corp.,http://www.btgplc.com,DB00052
Ebewe Pharma,http://www.ebewe.at,DB00052
Eli Lilly & Co.,http://www.lilly.com,DB00052
EMD Canada Inc.,http://www.emdcanada.com,DB00052
F Hoffmann-La Roche Ltd.,http://www.roche.com,DB00052
First KJM Corporation,,DB00052
Gate Pharmaceuticals,,DB00052
Genentech Inc.,http://www.gene.com,DB00052
Hospira Inc.,http://www.hospira.com,DB00052
Merck KGaA,http://www.merck.de,DB00052
Merck Serono SPA,http://www.merckserono.net,DB00052
Novartis AG,http://www.novartis.com,DB00052
Novo Nordisk Inc.,http://www.novonordisk.com,DB00052
Pfizer Inc.,http://www.pfizer.com,DB00052
Pharmacia Inc.,http://www.pharmaciaupjohn.com,DB00052
Physicians Total Care Inc.,http://www.physicianstotalcare.com,DB00052
Sandoz,http://www.sandoz.ca,DB00052
Serono SA,http://www.merckserono.net,DB00052
Vetter Pharma Fertigung GmbH and Co. KG,http://www.vetter-pharma.com,DB00052
Wasserburger Arzneimittelwerk GmbH,,DB00052
Genzyme Inc.,http://www.genzyme.ca,DB00053
Centocor Ortho Biotech Inc.,http://www.centocororthobiotech.com,DB00054
Eli Lilly & Co.,http://www.lilly.com,DB00054
Hospira Inc.,http://www.hospira.com,DB00054
JHP Pharmaceuticals LLC,http://www.jhppharma.com,DB00054
