smpdb_id,name,category,parent_key
SMP0000278,Lepirudin Action Pathway,drug_action,DB00001
SMP0000474,Cetuximab Action Pathway,drug_action,DB00002
SMP0000277,Bivalirudin Action Pathway,drug_action,DB00006
SMP0000280,Alteplase Action Pathway,drug_action,DB00009
SMP0000284,Urokinase Action Pathway,drug_action,DB00013
SMP0000285,Reteplase Action Pathway,drug_action,DB00015
SMP0000281,Anistreplase Action Pathway,drug_action,DB00029
SMP0000283,Tenecteplase Action Pathway,drug_action,DB00031
SMP0000265,Abciximab Action Pathway,drug_action,DB00054
SMP0000266,Eptifibatide Action Pathway,drug_action,DB00063
SMP0000476,Trastuzumab Action Pathway,drug_action,DB00072
SMP0000282,Streptokinase Action Pathway,drug_action,DB00086
SMP0000420,Bevacizumab Action Pathway,drug_action,DB00112
SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,DB00114
SMP0000003,Argininosuccinic Aciduria,disease,DB00114
SMP0000004,Glycine and Serine Metabolism,metabolic,DB00114
SMP0000006,Tyrosine Metabolism,metabolic,DB00114
SMP0000009,Ammonia Recycling,metabolic,DB00114
SMP0000012,Catecholamine Biosynthesis,metabolic,DB00114
SMP0000016,Propanoate Metabolism,metabolic,DB00114
SMP0000020,Arginine and Proline Metabolism,metabolic,DB00114
SMP0000021,Taurine and Hypotaurine Metabolism,metabolic,DB00114
SMP0000024,Porphyrin Metabolism,metabolic,DB00114
SMP0000029,Selenoamino Acid Metabolism,metabolic,DB00114
SMP0000044,Histidine Metabolism,metabolic,DB00114
SMP0000058,Starch and Sucrose Metabolism,metabolic,DB00114
SMP0000072,Glutamate Metabolism,metabolic,DB00114
SMP0000137,2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency,disease,DB00114
SMP0000139,3-Methylglutaconic Aciduria Type I,disease,DB00114
SMP0000173,beta-Ketothiolase Deficiency,disease,DB00114
SMP0000177,Cystathionine beta-Synthase Deficiency,disease,DB00114
SMP0000186,Glutaric Aciduria Type I,disease,DB00114
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,DB00114
SMP0000191,Histidinemia,disease,DB00114
SMP0000218,Tyrosinemia Type I,disease,DB00114
SMP0000239,Saccharopinuria/Hyperlysinemia II,disease,DB00114
SMP0000339,Hyperinsulinism-Hyperammonemia Syndrome,disease,DB00114
