enzyme,pathway_id
P00734,SMP0000278
P00748,SMP0000278
P02452,SMP0000278
P03952,SMP0000278
P03951,SMP0000278
P00740,SMP0000278
P00451,SMP0000278
P12259,SMP0000278
P00742,SMP0000278
P02671,SMP0000278
P02675,SMP0000278
P02679,SMP0000278
P00488,SMP0000278
P05160,SMP0000278
P00747,SMP0000278
P00750,SMP0000278
P08709,SMP0000278
P13726,SMP0000278
Q9BQB6,SMP0000278
P38435,SMP0000278
P00533,SMP0000474
P00734,SMP0000277
P00748,SMP0000277
P02452,SMP0000277
P03952,SMP0000277
P03951,SMP0000277
P00740,SMP0000277
P00451,SMP0000277
P12259,SMP0000277
P00742,SMP0000277
P02671,SMP0000277
P02675,SMP0000277
P02679,SMP0000277
P00488,SMP0000277
P05160,SMP0000277
P00747,SMP0000277
P00750,SMP0000277
P08709,SMP0000277
P13726,SMP0000277
Q9BQB6,SMP0000277
P38435,SMP0000277
P00747,SMP0000280
P00748,SMP0000280
P02452,SMP0000280
P03952,SMP0000280
P03951,SMP0000280
P00740,SMP0000280
P00451,SMP0000280
P00734,SMP0000280
P12259,SMP0000280
P00742,SMP0000280
P02671,SMP0000280
P02675,SMP0000280
P02679,SMP0000280
P00488,SMP0000280
P05160,SMP0000280
P00750,SMP0000280
P08709,SMP0000280
P13726,SMP0000280
Q9BQB6,SMP0000280
P38435,SMP0000280
P00747,SMP0000284
P00748,SMP0000284
P02452,SMP0000284
P03952,SMP0000284
P03951,SMP0000284
P00740,SMP0000284
P00451,SMP0000284
P00734,SMP0000284
P12259,SMP0000284
P00742,SMP0000284
P02671,SMP0000284
P02675,SMP0000284
P02679,SMP0000284
P00488,SMP0000284
P05160,SMP0000284
P00750,SMP0000284
P08709,SMP0000284
P13726,SMP0000284
Q9BQB6,SMP0000284
P38435,SMP0000284
P00747,SMP0000285
P00748,SMP0000285
P02452,SMP0000285
P03952,SMP0000285
P03951,SMP0000285
P00740,SMP0000285
P00451,SMP0000285
P00734,SMP0000285
P12259,SMP0000285
P00742,SMP0000285
P02671,SMP0000285
P02675,SMP0000285
P02679,SMP0000285
P00488,SMP0000285
P05160,SMP0000285
P00750,SMP0000285
P08709,SMP0000285
P13726,SMP0000285
Q9BQB6,SMP0000285
P38435,SMP0000285
P00747,SMP0000281
P00748,SMP0000281
P02452,SMP0000281
P03952,SMP0000281
P03951,SMP0000281
P00740,SMP0000281
P00451,SMP0000281
P00734,SMP0000281
P12259,SMP0000281
P00742,SMP0000281
P02671,SMP0000281
P02675,SMP0000281
P02679,SMP0000281
P00488,SMP0000281
P05160,SMP0000281
P00750,SMP0000281
P08709,SMP0000281
P13726,SMP0000281
Q9BQB6,SMP0000281
P38435,SMP0000281
P00747,SMP0000283
P00748,SMP0000283
P02452,SMP0000283
P03952,SMP0000283
P03951,SMP0000283
P00740,SMP0000283
P00451,SMP0000283
P00734,SMP0000283
P12259,SMP0000283
P00742,SMP0000283
P02671,SMP0000283
P02675,SMP0000283
P02679,SMP0000283
P00488,SMP0000283
P05160,SMP0000283
P00750,SMP0000283
P08709,SMP0000283
P13726,SMP0000283
Q9BQB6,SMP0000283
P38435,SMP0000283
P08514,SMP0000265
P05106,SMP0000265
P08514,SMP0000266
P05106,SMP0000266
P00533,SMP0000476
P00747,SMP0000282
P00748,SMP0000282
P02452,SMP0000282
P03952,SMP0000282
P03951,SMP0000282
P00740,SMP0000282
P00451,SMP0000282
P00734,SMP0000282
P12259,SMP0000282
P00742,SMP0000282
P02671,SMP0000282
P02675,SMP0000282
P02679,SMP0000282
P00488,SMP0000282
P05160,SMP0000282
P00750,SMP0000282
P08709,SMP0000282
P13726,SMP0000282
Q9BQB6,SMP0000282
P38435,SMP0000282
P15692,SMP0000420
P35968,SMP0000420
P17948,SMP0000420
Q15758,SMP0000002
P43007,SMP0000002
P24298,SMP0000002
Q9UI32,SMP0000002
P00367,SMP0000002
P31327,SMP0000002
P00505,SMP0000002
P00480,SMP0000002
Q9Y619,SMP0000002
P05089,SMP0000002
P04424,SMP0000002
P00966,SMP0000002
O75746,SMP0000002
Q15758,SMP0000003
P43007,SMP0000003
P24298,SMP0000003
Q9UI32,SMP0000003
P00367,SMP0000003
P31327,SMP0000003
P00505,SMP0000003
P00480,SMP0000003
Q9Y619,SMP0000003
P05089,SMP0000003
P04424,SMP0000003
P00966,SMP0000003
O75746,SMP0000003
P21397,SMP0000004
P05091,SMP0000004
O75600,SMP0000004
Q9UI17,SMP0000004
Q9UL12,SMP0000004
P23378,SMP0000004
P48728,SMP0000004
P34897,SMP0000004
P09622,SMP0000004
P21549,SMP0000004
P50440,SMP0000004
Q14353,SMP0000004
P13196,SMP0000004
Q93088,SMP0000004
Q14749,SMP0000004
Q8IVS8,SMP0000004
O43175,SMP0000004
Q9Y617,SMP0000004
P78330,SMP0000004
P20132,SMP0000004
P34896,SMP0000004
Q9GZT4,SMP0000004
P35520,SMP0000004
P32929,SMP0000004
P49591,SMP0000004
P41250,SMP0000004
P17735,SMP0000006
P17174,SMP0000006
P32754,SMP0000006
O43708,SMP0000006
P16930,SMP0000006
P20711,SMP0000006
P30838,SMP0000006
P14679,SMP0000006
P09172,SMP0000006
P40126,SMP0000006
P11086,SMP0000006
P21397,SMP0000006
P07327,SMP0000006
Q93099,SMP0000006
P14174,SMP0000006
P19801,SMP0000006
P21964,SMP0000006
P46952,SMP0000006
P20132,SMP0000009
Q7L266,SMP0000009
P08243,SMP0000009
P42357,SMP0000009
P31327,SMP0000009
A8YXX4,SMP0000009
P00367,SMP0000009
Q9UI32,SMP0000009
P48728,SMP0000009
P09622,SMP0000009
P23378,SMP0000009
P23434,SMP0000009
P07101,SMP0000012
P20711,SMP0000012
P09172,SMP0000012
P11086,SMP0000012
Q96PE7,SMP0000016
P22033,SMP0000016
O95822,SMP0000016
Q13085,SMP0000016
P24752,SMP0000016
Q02252,SMP0000016
P80404,SMP0000016
P30084,SMP0000016
Q6NVY1,SMP0000016
P11310,SMP0000016
Q9NUB1,SMP0000016
Q9H6R3,SMP0000016
P05165,SMP0000016
P05166,SMP0000016
P11182,SMP0000016
P09622,SMP0000016
P21953,SMP0000016
P12694,SMP0000016
Q9BYZ2,SMP0000016
P00966,SMP0000020
P04424,SMP0000020
P31327,SMP0000020
P00367,SMP0000020
P04181,SMP0000020
P30038,SMP0000020
O43272,SMP0000020
Q96C36,SMP0000020
P07814,SMP0000020
Q7Z4N8,SMP0000020
Q5T160,SMP0000020
