description,currency,cost,unit,parent_key
Refludan 50 mg vial,USD,273.19,vial,DB00001
Lufyllin 200 mg tablet,USD,3.21,tablet,DB00003
Lufyllin-gg tablet,USD,3.84,tablet,DB00003
Lufyllin-GG 200-200 mg tablet,USD,3.99,tablet,DB00003
Lufyllin-400 tablet,USD,4.62,tablet,DB00003
Lufyllin 400 mg tablet,USD,4.81,tablet,DB00003
Pulmozyme 1 mg/ml ampul,USD,37.05,ml,DB00003
Pulmozyme 1 mg/ml Solution 2.5ml Plastic Container,USD,77.06,plastic,DB00003
Lufyllin-GG 100-100 mg/15ml Elixir,USD,0.6,ml,DB00003
Ontak 150 mcg/ml vial,USD,878.4,ml,DB00004
Enbrel 25 mg kit,USD,250.37,each,DB00005
Enbrel 50 mg/ml sureclick syr,USD,488.74,syringe,DB00005
Enbrel 4 25 mg Kit (1 Box = 1 Kit = Four 25 mg Vials),USD,1016.57,box,DB00005
Enbrel (1 Box = 1 Kit = Four 50 mg Syringes) 3.92ml Box,USD,2033.14,box,DB00005
Enbrel SureClick (1 Box Contains Four 50 mg Prefilled Autoinjectors),USD,2033.14,box,DB00005
Angiomax 250 mg vial,USD,780.0,vial,DB00006
Leuprolide 2wk 1 mg/0.2 ml kit,USD,385.33,kit,DB00007
Leuprolide Acetate 1 mg/0.2ml Kit 2.8ml 2-Week Kit,USD,400.74,box,DB00007
Eligard 7.5 mg syringe,USD,493.2,syringe,DB00007
Lupron 2-wk 1 mg/0.2 ml kit,USD,594.37,kit,DB00007
Eligard 22.5 mg syringe,USD,1479.6,syringe,DB00007
Eligard 30 mg syringe,USD,1972.8,syringe,DB00007
Eligard 45 mg syringe,USD,2959.2,syringe,DB00007
Pegasys 180 mcg/ml vial,USD,642.64,ml,DB00008
Pegasys 180 mcg/0.5 ml conv.pk,USD,2533.2,each,DB00008
Pegasys (1 Kit = Four 180 mcg/ml Vials Prefilled Syringes) Box,USD,2634.53,box,DB00008
Cathflo activase 2 mg vial,USD,106.33,vial,DB00009
Activase 50 mg vial,USD,2389.85,vial,DB00009
Activase 100 mg vial,USD,4779.71,vial,DB00009
Aranesp 25 mcg/ml vial,USD,156.36,ml,DB00012
Aranesp (Albumin Free) 25 mcg/ml vial,USD,162.61,vial,DB00012
Aranesp 40 mcg/ml vial,USD,250.2,ml,DB00012
Aranesp 60 mcg/ml vial,USD,375.3,ml,DB00012
Aranesp (Albumin Free) 60 mcg/ml vial,USD,390.31,vial,DB00012
Aranesp 100 mcg/ml vial,USD,625.44,ml,DB00012
Aranesp 200 mcg/ml vial,USD,1250.88,ml,DB00012
Aranesp 300 mcg/ml vial,USD,1876.32,ml,DB00012
Aranesp (Albumin Free) 300 mcg/ml vial,USD,1951.37,vial,DB00012
Aranesp (Albumin Free) 100 mcg/0.5ml Solution (1 Box = Four 0.5ml Syringes),USD,2601.83,box,DB00012
Aranesp (Albumin Free) 100 mcg/ml Solution Four 1ml Vials Per Box,USD,2601.83,box,DB00012
Aranesp (Albumin Free) 150 mcg/0.75ml Solution (1 Box = Four 0.75ml Vials),USD,3902.75,box,DB00012
Zoladex 3.6 mg implant syringe,USD,451.19,syringe,DB00014
Zoladex 10.8 mg implant syringe,USD,1380.65,syringe,DB00014
Retavase vial half-kit,USD,2605.93,vial,DB00015
Epogen 2000 unit/ml vial,USD,34.14,vial,DB00016
Procrit 2000 unit/ml vial,USD,37.09,vial,DB00016
Epogen 3000 unit/ml vial,USD,47.53,vial,DB00016
Procrit 3000 unit/ml vial,USD,55.63,vial,DB00016
Epogen 4000 unit/ml vial,USD,61.34,vial,DB00016
Procrit 4000 unit/ml vial,USD,74.17,vial,DB00016
Epogen 10000 unit/ml vial,USD,151.8,ml,DB00016
Epogen 20000 unit/ml vial,USD,303.6,ml,DB00016
Epogen 10000 unit/ml Solution 2ml Vial,USD,315.74,vial,DB00016
Procrit 10000 unit/ml Solution 2ml Vial,USD,358.02,vial,DB00016
Procrit 20000 unit/ml Solution,USD,378.14,ml,DB00016
Procrit 20000 unit/ml vial,USD,388.97,ml,DB00016
Epogen 40000 unit/ml vial,USD,640.37,ml,DB00016
Procrit 10000 unit/ml vial,USD,710.87,vial,DB00016
Procrit 40000 unit/ml vial,USD,767.03,vial,DB00016
Epogen 10000 unit/ml Solution 1 Box Contains Ten 1ml Vials,USD,1578.72,box,DB00016
Epogen 20000 unit/ml Solution 1 Box Contains Ten 1ml Vials,USD,3157.44,box,DB00016
Epogen 40000 unit/ml Solution 1 Box Contains Ten 1ml Vials,USD,6852.3,box,DB00016
Caltine 100 (100 Iu/Ml) 100 iu/ml,USD,8.81,ml,DB00017
Calcimar 200 iu/ml,USD,29.94,ml,DB00017
Miacalcin 200 unit/ml vial,USD,30.73,ml,DB00017
Fortical 200 unit nasal spray,USD,34.3,ml,DB00017
Calcitonin-salmon 200 unit sp,USD,39.51,ml,DB00017
Miacalcin 200 unit nasal spray,USD,44.68,ml,DB00017
"Miacalcin For Inj, 2 unit = 1 Box 2ml Vial",USD,63.59,vial,DB00017
Calcitonin (Salmon) 200 unit/act Solution 3.7ml Bottle,USD,123.28,bottle,DB00017
Miacalcin 200 unit/act Solution 3.7ml Bottle,USD,139.39,bottle,DB00017
Alferon n 5 million unit vial,USD,412.87,ml,DB00018
Neulasta 6 mg/0.6ml Solution 0.6ml Syringe,USD,4026.05,syringe,DB00019
Neulasta 6 mg/0.6 ml syringe,USD,4102.37,syringe,DB00019
Leukine 250 mcg vial,USD,204.79,vial,DB00020
Bio-immunex capsule,USD,0.42,capsule,DB00020
Peg-Intron 50 mcg kit,USD,553.4,kit,DB00022
Peg-Intron redipen 50 mcg,USD,553.4,redipen,DB00022
Peg-Intron redipen 80 mcg,USD,581.02,redipen,DB00022
Peg-Intron 50 mcg/0.5ml Kit,USD,607.19,kit,DB00022
Peg-Intron 80 mcg Kit,USD,609.26,kit,DB00022
Peg-Intron redipen 120 mcg,USD,610.09,redipen,DB00022
Peg-Intron Redipen 80 mcg/0.5ml Kit,USD,637.49,kit,DB00022
Peg-Intron 120 mcg Kit,USD,639.74,kit,DB00022
Peg-Intron redipen 150 mcg 4pk,USD,640.6,redipen,DB00022
Peg-Intron redipen 150 mcg,USD,640.61,redipen,DB00022
Peg-Intron Redipen 120 mcg/0.5ml Kit,USD,669.39,kit,DB00022
Peg-Intron 150 mcg Kit,USD,671.74,kit,DB00022
Peg-Intron Redipen 150 mcg/0.5ml Kit,USD,702.87,kit,DB00022
Peg-Intron Redipen Pak 4 4 50 mcg/0.5ml Kit Box,USD,2428.8,kit,DB00022
Elspar 10000 unit vial,USD,74.6,vial,DB00023
Thyrogen 1.1 mg vial,USD,1196.4,vial,DB00024
Monoclate-p 1000 unit kit,USD,1.01,kit,DB00025
Monoclate-p 1500 unit kit,USD,1.01,kit,DB00025
Monoclate-p 250 unit kit,USD,1.01,kit,DB00025
Monoclate-p 500ahfu kit,USD,1.01,kit,DB00025
