sequence,left_drugbank_id,left_drugbank_name,right_drugbank_id,right_drugbank_name,parent_key
1,DB00047,Insulin glargine,DBMET00786,A21-Gly-des-B30-Thr-insulin,DB00047
1,DB00047,Insulin glargine,DBMET00787,A21-Gly-insulin,DB00047
1,DB00091,Cyclosporine,DBMET00359,Cyclosporine M-17 (AM-1),DB00091
1,DB00091,Cyclosporine,DBMET02217,Cyclosporine M-1 (AM-9),DB00091
1,DB00091,Cyclosporine,DBMET02955,Cyclosporine AM-4N,DB00091
1,DB00115,Cyanocobalamin,DB03614,Mecobalamin,DB00115
1,DB00118,Ademetionine,DBMET00503,Cysteine,DB00118
1,DB00118,Ademetionine,DBMET00506,Methionine,DB00118
1,DB00118,Ademetionine,DBMET00508,Homocysteine,DB00118
1,DB00118,Ademetionine,DBMET00514,S-Adenosylhomocysteine,DB00118
1,DB00118,Ademetionine,DBMET00486,Cystathionine,DB00118
1,DB00121,Biotin,DBMET03072,Biotin Holocarboxylase Metabolite,DB00121
2,DBMET03072,Biotin Holocarboxylase Metabolite,DBMET03073,Biocytin,DB00121
3,DBMET03073,Biocytin,DB00121,Biotin,DB00121
1,DB00126,Ascorbic acid,DBMET00799,ascorbic acid-2-sulfate,DB00126
1,DB00126,Ascorbic acid,DBMET03074,Dehydroascorbate,DB00126
2,DBMET03074,Dehydroascorbate,DBMET03075,"2,3-dikeogulonic acid",DB00126
3,DBMET03075,"2,3-dikeogulonic acid",DBMET00552,Oxalic acid,DB00126
3,DBMET03075,"2,3-dikeogulonic acid",DBMET03076,Threosone,DB00126
3,DBMET03075,"2,3-dikeogulonic acid",DBMET03077,Erythrulose,DB00126
1,DB00129,Ornithine,DBMET00502,L-Arginine,DB00129
1,DB00129,Ornithine,DBMET00494,Proline,DB00129
1,DB00130,L-Glutamine,DBMET02102,Glutamate,DB00130
2,DBMET02102,Glutamate,DBMET03078,α-ketoglutarate,DB00130
2,DBMET02102,Glutamate,DBMET03079,1-pyrroline-5-carboxylic acid,DB00130
3,DBMET03079,1-pyrroline-5-carboxylic acid,DBMET00494,Proline,DB00130
3,DBMET03079,1-pyrroline-5-carboxylic acid,DB00129,Ornithine,DB00130
1,DB00136,Calcitriol,DBMET00575,Calcitroic acid,DB00136
1,DB00145,Glycine,DB01828,Methylamine,DB00145
2,DB01828,Methylamine,DBMET03082,Dihydrolipoamide,DB00145
3,DBMET03082,Dihydrolipoamide,DB00166,Lipoic acid,DB00145
1,DB00153,Ergocalciferol,DBMET02434,25-hydroxyvitamin D,DB00153
