drugbank-id,name,uniprot-id
BE0002638,Cytochrome P450 3A4,P08684
BE0002362,Cytochrome P450 3A5,P20815
BE0002638,Cytochrome P450 3A4,P08684
BE0002362,Cytochrome P450 3A5,P20815
BE0002638,Cytochrome P450 3A4,P08684
BE0002362,Cytochrome P450 3A5,P20815
BE0002240,Glutamine synthetase,P15104
BE0000003,"Glutaminase liver isoform, mitochondrial",Q9UI32
BE0000825,"Glutaminase kidney isoform, mitochondrial",O94925
BE0000618,"Glycine dehydrogenase [decarboxylating], mitochondrial",P23378
BE0002302,"Glycine cleavage system H protein, mitochondrial",P23434
BE0000010,"Aminomethyltransferase, mitochondrial",P48728
BE0002302,"Glycine cleavage system H protein, mitochondrial",P23434
BE0000737,"Dihydrolipoyl dehydrogenase, mitochondrial",P09622
BE0002302,"Glycine cleavage system H protein, mitochondrial",P23434
BE0000524,Vitamin D 25-hydroxylase,Q6VVX0
BE0000443,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",O15528
BE0002250,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",Q07973
BE0009671,Ribulose-phosphate 3-epimerase,Q96AT9
BE0003537,"Cholesterol side-chain cleavage enzyme, mitochondrial",P05108
BE0000443,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",O15528
BE0002250,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",Q07973
BE0000330,Dihydrofolate reductase,P00374
BE0000330,Dihydrofolate reductase,P00374
BE0000268,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",P13995
BE0002176,Methylenetetrahydrofolate reductase,P42898
BE0000734,Methionine synthase,Q99707
BE0003543,Cytochrome P450 1A1,P04798
BE0002433,Cytochrome P450 1A2,P05177
BE0002638,Cytochrome P450 3A4,P08684
BE0001111,Cytochrome P450 1B1,Q16678
BE0002638,Cytochrome P450 3A4,P08684
BE0004727,Leukotriene-B(4) omega-hydroxylase 1,P78329
BE0000524,Vitamin D 25-hydroxylase,Q6VVX0
BE0000443,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",O15528
BE0002363,Cytochrome P450 2D6,P10635
BE0002433,Cytochrome P450 1A2,P05177
BE0002433,Cytochrome P450 1A2,P05177
BE0002793,Cytochrome P450 2C9,P11712
BE0009561,Liver esterases,
BE0002363,Cytochrome P450 2D6,P10635
BE0002363,Cytochrome P450 2D6,P10635
BE0003336,Cytochrome P450 2A6,P11509
BE0003549,Cytochrome P450 2B6,P20813
BE0003544,UDP-glucuronosyltransferase 1-4,P22310
BE0003538,UDP-glucuronosyltransferase 1-9,O60656
BE0003606,Dimethylaniline monooxygenase [N-oxide-forming] 3,P31513
BE0003336,Cytochrome P450 2A6,P11509
BE0003549,Cytochrome P450 2B6,P20813
BE0002638,Cytochrome P450 3A4,P08684
BE0003336,Cytochrome P450 2A6,P11509
BE0003539,Aldehyde oxidase,Q06278
