synonym,language,coder,drugbank-id
Hirudin variant-1,english,,DB00001
Lepirudin recombinant,english,,DB00001
Cetuximab,english/spanish/german,inn/usan,DB00002
Cétuximab,french,inn,DB00002
Cetuximabum,latin,inn,DB00002
Deoxyribonuclease (human clone 18-1 protein moiety),english,,DB00003
Dornasa alfa,spanish,,DB00003
"Dornase alfa, recombinant",english,,DB00003
Dornase alpha,english,,DB00003
Recombinant deoxyribonuclease (DNAse),english,,DB00003
Denileukin,english,,DB00004
Interleukin-2/diptheria toxin fusion protein,english,,DB00004
Etanercept,english,inn/ban/usan,DB00005
etanercept-szzs,english,,DB00005
etanercept-ykro,english,,DB00005
Recombinant human TNF,english,,DB00005
rhu TNFR:Fc,english,,DB00005
rhu-TNFR:Fc,english,,DB00005
TNFR-Immunoadhesin,english,,DB00005
Bivalirudin,english,inn/usan,DB00006
Bivalirudina,spanish,,DB00006
Bivalirudinum,latin,,DB00006
Leuprorelin,english,inn/ban,DB00007
Leuprorelina,spanish,inn,DB00007
Leuproreline,french,inn,DB00007
Leuprorelinum,latin,inn,DB00007
PEG-IFN alfa-2A,english,,DB00008
PEG-Interferon alfa-2A,english,,DB00008
Peginterferon alfa-2a,english,inn/ban/usan,DB00008
Pegylated Interfeaon alfa-2A,english,,DB00008
Pegylated interferon alfa-2a,english,,DB00008
Pegylated interferon alpha-2a,english,,DB00008
Pegylated-interferon alfa 2a,english,,DB00008
Alteplasa,spanish,,DB00009
Alteplase (genetical recombination),english,,DB00009
"Alteplase, recombinant",english,,DB00009
"Alteplase,recombinant",english,,DB00009
Plasminogen activator (human tissue-type protein moiety),english,,DB00009
rt-PA,english,,DB00009
t-PA,english,,DB00009
t-plasminogen activator,english,,DB00009
Tissue plasminogen activator,english,,DB00009
Tissue plasminogen activator alteplase,english,,DB00009
"Tissue plasminogen activator, recombinant",english,,DB00009
tPA,english,,DB00009
Interferon alpha-n1 (INS),english,,DB00011
Darbepoetin,english,,DB00012
"Darbepoetin alfa,recombinant",english,,DB00012
Darbepoetina alfa,spanish,,DB00012
"Kinase (enzyme-activating), uro-urokinase",english,,DB00013
TCUK,english,,DB00013
Tissue culture urokinase,english,,DB00013
Two-chain urokinase,english,,DB00013
Urochinasi,italian,,DB00013
Urokinase,english,inn/usan,DB00013
Urokinasum,latin,inn,DB00013
Uroquinasa,spanish,inn,DB00013
Goserelin,english,inn/usan,DB00014
Goserelina,spanish,,DB00014
Human t-PA (residues 1-3 and 176-527),english,,DB00015
Reteplasa,spanish,,DB00015
"Reteplase, recombinant",english,,DB00015
"Reteplase,recombinant",english,,DB00015
E.P.O.,english,,DB00016
Epoetin alfa,english,,DB00016
Epoetin alfa rDNA,english,,DB00016
Epoetin alfa-epbx,english,,DB00016
"Epoetin alfa, recombinant",english,,DB00016
Epoetin beta,english,,DB00016
Epoetin beta rDNA,english,,DB00016
Epoetin epsilon,english,,DB00016
Epoetin gamma,english,,DB00016
Epoetin gamma rDNA,english,,DB00016
Epoetin kappa,english,,DB00016
Epoetin omega,english,,DB00016
Epoetin theta,english,,DB00016
Epoetin zeta,english/german,,DB00016
Epoetina alfa,spanish,,DB00016
Epoetina beta,spanish,,DB00016
Epoetina dseta,spanish,,DB00016
Epoetina zeta,spanish,,DB00016
Epoétine zêta,french,,DB00016
Epoetinum zeta,latin,,DB00016
Erythropoiesis stimulating factor,english,,DB00016
"Erythropoietin (human, recombinant)",english,,DB00016
Erythropoietin (recombinant human),english,,DB00016
ESF,english,,DB00016
SH-polypeptide-72,english,,DB00016
Calcitonin (Salmon Synthetic),english,,DB00017
