ref-id,title,url,parent_key
F2122,Rituxan FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/002/122/original/Rituxan_FDA_label.pdf?1543612957,BE0000066
F714,EMA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/000/714/original/nivestim_EMA.pdf?1532118975,BE0000793
F719,TBO filgrastim,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/000/719/original/TBO_filgrastim.pdf?1532124628,BE0000793
F3151,Valsartan HCT monograph,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/151/original/Valsartan_HCT_TAB_Monograph.pdf?1548441492,BE0000062
F3202,Protonix delayed release and oral suspension FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/202/original/Protonix_Delayed_relase_and_ora_susp.pdf?1548780962,BE0000349
F3286,Citalopram MedSafe NZ Data Sheet,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/286/original/ArrowCitalopramtab.pdf?1549058639,BE0000442
F3088,Canesten Monograph,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/088/original/Canesten_Monograph.pdf?1548281505,BE0004803
F3100,"MedSafe NZ Data Sheet, Clotrimazole",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/100/original/MedSafe_NZ_Data_Sheet-_Clotrimazole.pdf?1548285796,BE0004803
F3385,Requip FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/385/original/FDA_label__Requip.pdf?1549491148,BE0000756
F3439,"FDA label, Viread",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/439/original/viread-epar-product-information_en.pdf?1549650316,BE0004136
F3439,"FDA label, Viread",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/439/original/viread-epar-product-information_en.pdf?1549650316,BE0000312
F4142,"Data sheet, Acetaminophen, ebi.ac.uk",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/142/original/Data_sheet__Acetaminophen__ebi.ac.uk.pdf?1553717784,BE0002480
F3676,Codeine FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/676/original/Codeine_FDA_label.pdf?1551131944,BE0000770
F3658,"EPAR, Codeine",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/658/original/EPAR__Codeine.pdf?1551126557,BE0000770
F3463,Elavil Monograph,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/463/original/ELAVIL_PM.pdf?1549915886,BE0000486
F3466,Elavil Monograph,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/466/original/ELAVIL_PM.pdf?1549916327,BE0000749
F4685,FDA Label - Methadone,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/685/original/FDA_Label_-_methadone.pdf?1566927671,BE0004956
F3712,"FDA label, Omeprazole",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/712/original/Prilosec_FDA.pdf?1551285648,BE0000349
F3646,Cetirizine FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/646/original/Cetirizine_FDA_label.pdf?1550872110,BE0000442
F4594,Remeron tablets FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/594/original/Remeron_tablets__FDA_label.pdf?1556741198,BE0000451
F4594,Remeron tablets FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/594/original/Remeron_tablets__FDA_label.pdf?1556741198,BE0000289
F4594,Remeron tablets FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/594/original/Remeron_tablets__FDA_label.pdf?1556741198,BE0000533
F4594,Remeron tablets FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/594/original/Remeron_tablets__FDA_label.pdf?1556741198,BE0000442
F4594,Remeron tablets FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/594/original/Remeron_tablets__FDA_label.pdf?1556741198,BE0004863
F3781,Identification of New Functional Inhibitors of Acid Sphingomyelinase Using a Structure-Property-Activity Relation Model,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/781/original/5642a377778bc6d0e3785f4d212a143096b1.pdf?1551735370,BE0000973
F3982,"FDA label, Allopurinol",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/982/original/Allopurinol_FDA_label.pdf?1552949475,BE0002204
F4244,Prazosin FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/244/original/Prazosin_FDA_label.pdf?1554399117,BE0004863
F1954,"Amikacin, DailyMed",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/001/954/original/20180501_f260ff2a-76a0-4672-9516-91c344b67890.pdf?1540315949,BE0000279
F1949,MedSafe NZ: Amikacin Injection,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/001/949/original/Amikacininj._MedSafe_NZ.pdf?1540245431,BE0000279
F3955,"Drug information, Valacyclovir",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/955/original/Drug_Information__Valacyclovir.pdf?1552923451,BE0000308
F3958,Valtrex FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/958/original/FDA_label__Valacyclovir.pdf?1552923741,BE0000308
F3961,"FDA label, Valtrex",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/961/original/FDA_label__Valacyclovir.pdf?1552925264,BE0000458
F3949,"Valtrex tablets, MedSafe NZ",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/003/949/original/Valtrex_MedSafe_NZ.pdf?1552685757,BE0000458
F1957,Retisert (Fluocinolone acetate) FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/001/957/original/fda.pdf?1540331588,BE0000422
F1957,Retisert (Fluocinolone acetate) FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/001/957/original/fda.pdf?1540331588,BE0001170
F1957,Retisert (Fluocinolone acetate) FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/001/957/original/fda.pdf?1540331588,BE0003201
F1957,Retisert (Fluocinolone acetate) FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/001/957/original/fda.pdf?1540331588,BE0008969
F1957,Retisert (Fluocinolone acetate) FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/001/957/original/fda.pdf?1540331588,BE0004149
F1764,Zanaflex FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/001/764/original/Zanaflex.pdf?1538681672,BE0004864
F4471,"Canadian monograph, Tizanidine",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/471/original/Canadian_monograph__Tizanidine.pdf?1556041234,BE0003580
F4492,"FDA label, Zanaflex",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/492/original/Zanaflex_FDA_label.pdf?1556057618,BE0003580
F4414,Durlaza FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/414/original/Durlaza_FDA_label.pdf?1555520784,BE0000017
F4399,Memantine FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/399/original/Memantine_FDA_label.pdf?1555365027,BE0000311
F4396,Memantine FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/396/original/Memantine_FDA_label.pdf?1555364061,BE0004852
F4384,Memantine FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/384/original/Memantine_FDA_label.pdf?1555358717,BE0004797
F4384,Memantine FDA label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/384/original/Memantine_FDA_label.pdf?1555358717,BE0009666
F2362,Dalbavancin FDA Label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/002/362/original/021883s003lbl.pdf?1545165340,BE0004826
F2363,Dalbavancin Health Canada Product Monograph,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/002/363/original/00047194.PDF?1545165370,BE0004826
F4667,FDA Label - Pitavastatin,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/667/original/FDA_Label_-_Pitavastatin.pdf?1564609735,BE0000574
F4361,Fluticasone Furoate (Veramyst) Nasal Spray FDA Label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/361/original/Veramyst_FDA_Label.pdf?1555084174,BE0000794
F4364,Fluticasone Furoate (Arnuity Ellipta) FDA Label,//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/364/original/Arnuity_Ellipta_FDA_Label.pdf?1555084343,BE0000794
F4316,"FDA label, Invokana",//s3-us-west-2.amazonaws.com/drugbank/cite_this/attachments/files/000/004/316/original/Invokana_FDA_label.pdf?1554933115,BE0004753
