ref-id,isbn,citation,parent_key
T776,978-1-4939-1405-0,"Denise Rook, Johannes B. van Goudoever (2014). Oxidative Stress and Glutathione Synthesis Rates in Early Postnatal Life. In Perinatal and Prenatal Disorders. Humana Press, New York, NY.",BE0000166
T779,978-3-030-05314-7,"Peter Weber, Marc Birringer, Jeffrey B. Blumberg, Manfred Eggersdorfer, Jan Frank (2019). Vitamin E in Human Health. Springer.",BE0000076
T274,1-57340-221-4,"Frishman W., Cheng-Lai A. and Nawarskas J. (2005). Current cardiovascular drugs (4th ed.). Current medicine LLC.",BE0000574
T11,978-0321556660,"Stanfield, Cindy L.;Germann, William J. (2009). Principles of Human Physiology (3rd ed.). Benjamin-Cummings Publishing Company.",BE0000062
T403,978-1-60413-204-5,May S. (2009). Weight-Loss Drugs. Chelsea House Publishers.,BE0003476
T716,,Justin Evans; Amanda S. Battisti (2019). Caffeine. Stat Pearls Publishing.,BE0000241
T716,,Justin Evans; Amanda S. Battisti (2019). Caffeine. Stat Pearls Publishing.,BE0000354
T6,0471948470,"Sneader, Walter (1996). Drug Prototypes and Their Exploitation. John Wiley & Sons.",BE0000694
T18,0198031351,"Robert A. Davidoff (2002). Migraine : Manifestations, Pathogenesis, and Management (pp. 438). Oxford University Press.",BE0000451
T9,978-0781754002,"Saxena PR, Tfel-Hansen P (2005). Triptans, 5-HT 1B/1D receptor agonists in the acute treatment of migraines. In Headaches (3rd ed., pp. 469-503, 459-467). Lippincott Williams & Wilkins.",BE0000797
T9,978-0781754002,"Saxena PR, Tfel-Hansen P (2005). Triptans, 5-HT 1B/1D receptor agonists in the acute treatment of migraines. In Headaches (3rd ed., pp. 469-503, 459-467). Lippincott Williams & Wilkins.",BE0000460
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0002354
T5,9783540298328,"Geisslinger, G., & Lötsch, J. (2004). Non-steroidal anti-inflammatory drugs. In Encyclopedic reference of molecular pharmacology (pp. 667-671). Berlin: Springer.",BE0001640
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0004889
T7,0470021411,"Derek Chadwick, Jamie Goode (2005). The HERG Cardiac Potassium Channel: Structure, Function and Long QT Syndrome, Novartis Foundation Symposium. Wiley.",BE0000090
T659,,Christina Vrettakos; Tushar Bajaj (2019). Levonorgestrel. Stat Pearls NIH.,BE0000557
T659,,Christina Vrettakos; Tushar Bajaj (2019). Levonorgestrel. Stat Pearls NIH.,BE0000132
T5,9783540298328,"Hein, L. (2004). alpha-Adrenergic system. In Encyclopedic reference of molecular pharmacology (pp. 27-30). Berlin: Springer.",BE0000501
T5,9783540298328,"Hein, L. (2004). alpha-Adrenergic system. In Encyclopedic reference of molecular pharmacology (pp. 27-30). Berlin: Springer.",BE0000575
T5,9783540298328,"Hein, L. (2004). alpha-Adrenergic system. In Encyclopedic reference of molecular pharmacology (pp. 27-30). Berlin: Springer.",BE0000715
T607,,Rameez Rehman; Ofek Hai. (2018). Digitalis Toxicity. StatPearls Publishing.,BE0000732
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000430
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0002354
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000430
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000691
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0002354
T17,978-81-250-2025-7,Desai; Meena P.; Vijayalakshmi Bhatia & P.S.N. Menon (2001). Pediatric Endocrine Disorders. Orient Blackswan.,BE0000344
T8,978-0-7295-3929-6,"Bryant, Bronwen (2010). Pharmacology for Health Professionals (Paperback) (3rd ed.). Chatswood: Mosby Australia.",BE0000770
T647,,"Brandon Cohen; Charles V. Preuss (2019). Celecoxib, NIH StatPearls. StatPearls.",BE0009698
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0004864
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0004872
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0000756
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0004897
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0000533
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0000945
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0000650
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0000581
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0000389
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0004863
T1,978-0-07-162442-8,"Goodman, Louis Sanford;Brunton, Laurence L.;Chabner, Bruce;Knollman, Bjorn (2011). The Pharmacological Basis of Therapeutics (12th ed.). McGraw-Hill Professional Publishing.",BE0000647
T28,978-0-7020-3471-8,"Rang, H. P. and Dale, M. M. (2012). Rang and Dale's Pharmacology  (7th ed.). Edinburgh: Elsevier/Churchill Livingstone.",BE0009738
T5,9783540298328,"Hein, L. (2004). alpha-Adrenergic system. In Encyclopedic reference of molecular pharmacology (pp. 27-30). Berlin: Springer.",BE0000289
T5,9783540298328,"Hein, L. (2004). alpha-Adrenergic system. In Encyclopedic reference of molecular pharmacology (pp. 27-30). Berlin: Springer.",BE0000572
T5,9783540298328,"Hein, L. (2004). alpha-Adrenergic system. In Encyclopedic reference of molecular pharmacology (pp. 27-30). Berlin: Springer.",BE0000342
T774,9789811305320,Yu Cao (2018). 1. In Advances in Membrane Proteins - Part I: Mass Processing and Transportation (pp. 11). Springer.,BE0000229
T637,,Mark G. Papich (2016). Saunders Handbook of Veterinary Drugs (4th ed.). Saunders.,BE0000694
T788,,"Eric Fliers, Marta Korbonits , J.A. Romijn (2014). Clinical Neuroendocrinology, Volume 124 (1st ed.). Elsevier.",BE0000293
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000430
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0002354
T5,9783540298328,"Striessnig, J. (2004). Ca 2+ channel blockers. In Encyclopedic reference of molecular pharmacology (pp. 201-207). Berlin: Springer.",BE0000691
T646,,"Justin J. Shin; Abdolreza Saadabadi. (2019). Trazodone, StatPearls. Stat Pearls.",BE0000442
T646,,"Justin J. Shin; Abdolreza Saadabadi. (2019). Trazodone, StatPearls. Stat Pearls.",BE0000501
T574,,Shirin Ghanavatian; Armen Derian (2019). Tizanidine. StatPearls.,BE0004863
T656,,Siu Wa Tang and Daiga Helmeste (2008). Expert opinion on pharmacotherapeutics; Paroxetine. Taylor and Francis online.,BE0004863
