ref-id,title,url,parent_key
L48,Google books,http://books.google.com/books?id=iadLoXoQkWEC&pg=PA440,DB00001
L10310,FDA Approved Drug Products: Lupaneta Pack for intramuscular and oral use,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/203696s001lbl.pdf,DB00007
L13781,FDA Approved Drug Products: Lupron Depot (leuprolide acetate) depot suspension,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020517s042,019732s044lbl.pdf",DB00007
L13784,FDA Approved Drug Products: Lupron Depot-Ped (leuprolide acetate) depot suspension,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020263s046lbl.pdf,DB00007
L13787,FDA Approved Drug Products: Fensolvi (leuprolide acetate) suspension,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213150s000lbl.pdf,DB00007
L13790,FDA Approved Drug Products: Eligard (leuprolide acetate) suspension,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021343s039,021379s041,021488s036,021731s037lbl.pdf",DB00007
L13814,FDA Approved Drug Products: Lupron Depot 3.75mg (leuprolide acetate) depot suspension,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/019943s034lbl.pdf,DB00007
L13850,FDA Approved Drug Products: Lupron (leuprolide) injection; discontinued,https://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/019010Orig1s000rev.pdf,DB00007
L852,"American Association for the Study of Liver Diseases; Infectious Diseases Society of America. HCV guidance. http://hcvguidelines.org. Accessed June 12, 2017.",http://hcvguidelines.org/full-report-view,DB00008
L12138,FDA Approved Drug Products: Kinlytic Urokinase Injection (Discontinued),https://www.accessdata.fda.gov/drugsatfda_docs/label/2008/021846s101lbl.pdf,DB00013
L12141,Health Canada Approved Drug Products: Urokinase Injection,https://pdf.hres.ca/dpd_pm/00009157.PDF,DB00013
L2784,FDA News Release: FDA approves first epoetin alfa biosimilar for the treatment of anemia,https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm607703.htm,DB00016
L9746,Neulasta (pegfilgrastim) - FDA Label,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/125031s189s191lbl.pdf,DB00019
L9761,Neulasta Safety Data Sheet - Amgen,https://www.msds.amgen.com/~/media/amgen/repositorysites/msds-amgen-com/neulasta_sds.ashx,DB00019
L9779,Biosimilars of pegfilgrastim,http://gabionline.net/Biosimilars/General/Biosimilars-of-pegfilgrastim,DB00019
