ref-id,isbn,citation,parent_key
T28,978-0-7020-3471-8,"32. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 399-400). Edinburgh: Elsevier/Churchill Livingstone.",DB00035
T180,978-1-4160-0208-6,"Shorr R., Hoth A. and Rawls N. (2007). Drugs for the Geriatric Patient. Elsevier.",DB00085
T454,,"Amidon, Gordon L., Sadée, Wolfgang (2002). Vitamin B12 Transporters (12th ed.). Springer, Boston MA.",DB00115
T577,978-012-374118-9,Coulston A. and Boushey C. (2008). Nutrition in the Prevention and Treatment of Disease (2nd ed.). Academic Press.,DB00153
T580,978-0-8493-9771-4,"Eitenmiller R., Ye L. and Landen W. (2008). Vitamin analysis for the health and food sciences (2nd ed.). Taylor and Francis.",DB00153
T140,978-1-4612-9793-2,Rajiv Kumar (1984). Vitamin D: Basic and Clinical Aspects. Martinus Nijhoff Publishing.,DB00153
T592,,"Speeckaert M., Speeckaert R., Geel N. and Delanghe J. (2014). Advances in Clinical Chemistry. Elsevier.",DB00153
T527,0429863632,"Caroline Ashley, Aileen Dunleavy (2018). The Renal Drug Handbook: The Ultimate Prescribing Guide for Renal Practitioners, 5th Edition (5th ed.). CRC Press.",DB00169
T274,1-57340-221-4,"Frishman W., Cheng-Lai A. and Nawarskas J. (2005). Current cardiovascular drugs (4th ed.). Current medicine LLC.",DB00175
T303,9781935395621,"William H. Frishman, MD, Domenic A. Sica, MD (2011). Cardiovascular Pharmacotherapeutics. Cardiotext Publishing.",DB00175
T239,,Wolpe P. and Howard J. (2007). Comprehensive Medicinal Chemistry II. Elsevier.,DB00175
T357,978-0-7817-6879-5,"Lemke T., Williams D., Roche V. and Zito W. (2008). Foye's Principles of Medicinal Chemistry (6th) (6th ed.). Lippincott Williams & Wilkins.",DB00175
T5,9783540298328,"Bader, M. (2004). Renin-angiotensin-aldosterone system. In Encyclopedic reference of molecular pharmacology (pp. 810-814). Berlin: Springer.",DB00177
T116,978-1-25-958473-2,Hilal-Dandan R (2018). 26. In Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.,DB00178
T385,,"Ghiasi N. and Marwaha R. (2018). Lorazepam.. Treasure Island, FL.",DB00186
T388,,Pagliaro L. and Pagliaro A. (1999). Psychologists' psychotropic drug reference. Taylor and Francis.,DB00186
T391,,Volpe J. (2008). Neurology of the Newborn (5th ed.). Saunders Elsevier.,DB00186
T28,978-0-7020-3471-8,"Rang, H. P. and Dale, M. M. (2012). Rang and Dale's Pharmacology  (7th ed.). Edinburgh: Elsevier/Churchill Livingstone.",DB00190
T394,978-0-19-537177-2,Ahlskog J. (2009). Parkinson's disease treatment guide for physicians. Oxford University Press.,DB00190
T403,978-1-60413-204-5,May S. (2009). Weight-Loss Drugs. Chelsea House Publishers.,DB00191
T49,,Barceloux D.G. (2012). Medical toxicology of drug abuse: Synthesized chemicals and psychoactive plants.. Wiley.,DB00191
T716,,Justin Evans; Amanda S. Battisti (2019). Caffeine. Stat Pearls Publishing.,DB00201
T719,,"IARC Working Group on the Evaluation of Carcinogenic Risk to Humans (1991). Coffee, Tea, Mate, Methylxanthines and Methylglyoxal. International Agency for Research on Cancer.",DB00201
T722,,Institute of Medicine (US) Committee on Military Nutrition Research. (2001). Caffeine for the Sustainment of Mental Task Performance: Formulations for Military Operations.. National Academic Press.,DB00201
T244,,"Coleman J., Cox A. and Cowley N. (2011). Side Effects of Drugs Annual. Elsevier.",DB00214
T406,,https://www.ncbi.nlm.nih.gov/books/NBK482222/ (2018). Stat Pearls [Internet]. NIH Stat Pearls.,DB00215
T412,,Acton A. (2013). Advances in Lovastatin Research and Application. ScholarlyBrief.,DB00227
T415,0-7432-9925-6,"Loughlin K. and Generali J. (2006). Prescription Drugs: Alternative Uses, Alternative Cures. Free Press.",DB00227
T785,,John D. Current M.D. (n/A). Pharmacology for Anesthetists: anesthesia and adjuvants. N/A.,DB00228
T598,978-0-471-72760-6,"23. (2012). In Medical Toxicology of Drug Abuse: Synthesized Chemicals and Psychoactive Plants. (pp. 474-476). Hoboken, N.J: John Wiley & Sons.",DB00241
T203,,Troy B. and Beringer P. (2006). Remington: The Science and Practice of Pharmacy (21st ed.). Lippincott Williams & Wilkins.,DB00245
T445,978-0-8261-2858-4,Hale T. and Rowe H. (2017). MEdications & mothers' milk (17th ed.). Springer publishing company.,DB00245
T274,1-57340-221-4,"Frishman W., Cheng-Lai A. and Nawarskas J. (2005). Current cardiovascular drugs (4th ed.). Current medicine LLC.",DB00264
T76,,Jones & Bartlett (2016). 2016 Nurse's drug handbook (15th ed.). Jones and Bartlett Publishers Inc..,DB00264
T451,0-471-98598-8,"Saeb-Parsy K., Assomull R., Khan F., Saeb-Parsy K. and Kelly A. (1990). Instant Pharmacology. Willey.",DB00264
T752,,Mary J. Allen; Sandeep Sharma (2019). GABA receptor. StatPearls.,DB00273
T276,978-0-7637-6547-7,"Sullivan K. (2009). Nurse's drug handbook (8th ed.). Jones and Bartlett Publishers, LLC.",DB00279
T457,,Upfal J. (2007). The Australian Drug Guide (7th ed.). National Library of Australia.,DB00279
T460,978-1-58528-266-1,Harrold M. and Zavod R. (2013). Basic Concepts in Medicinal Chemistry. American Society of Health-System Pharmacists.,DB00279
T463,,Scott-Moncrieff C. (2015). Canine and feline endocrinology (4th ed.). Elsevier.,DB00279
T322,,Kumar P. (2017). Pharmacology and therapeutics for dentistry (7th ed.). Mosby.,DB00279
T122,,Ashley C. and Dunleavy A. (2014). The renal drug handbook. Caroline Ashley and Aileen Dunleavy.,DB00279
T583,9780941901215,"Scriabine, Alexander (2017). Pharmaceutical Innovation: Revolutionizing Human Health.. Chemical Heritage Press..",DB00281
T475,0-203-62272-3,Lauritzen C. and Studd J. (2005). Current management of the menopause. Taylor and Francis.,DB00286
T147,9780323511216,Arthur H. Jeske (2017). Mosby's Dental Drug Reference - E-Book. Elsevier Health Sciences.,DB00286
T484,,Kelsey J. and Marcus R. (2000). Menopause. Academic Press.,DB00286
T244,,"Coleman J., Cox A. and Cowley N. (2011). Side Effects of Drugs Annual. Elsevier.",DB00289
T351,,"Waller D., and Sampson A. (2018). Medical Pharmacology and Therapeutics (5th ed.). Elsevier.",DB00289
T493,,Kolevzon A. (2013). The neuroscience of autism spectrum disorders. Elsevier.,DB00289
T502,,Feisullin K. and Westhoff C. (2010). Principles of gender-specific medicine (2nd ed.). Academic press.,DB00294
T55,,Zaragoza Dorwald F. (2012). Lead optimization for medicinal chemists. Wiley-VCH.,DB00294
T357,978-0-7817-6879-5,"Lemke T., Williams D., Roche V. and Zito W. (2008). Foye's Principles of Medicinal Chemistry (6th) (6th ed.). Lippincott Williams & Wilkins.",DB00304
T34,978-1-4377-0310-8,"Bardal S, Waechter J, Martin D. (2011). Applied Pharmacology. Elsevier Health Sciences.",DB00304
T521,978-3-642-73792-3,"Runnebaum B., Rabe K. and Kiesel L. (1988). Female contraception. Springer-Verlag.",DB00304
T518,,Valerie Gerriets; Thomas M. Nappe (2019). Acetaminophen. StatPearls publishing.,DB00316
T511,,"Matthew J Crowley, MD, Clarissa J Diamantidis, MD, Jennifer R McDuffie, PhD, Blake Cameron, MD, John Stanifer, MD, Clare K Mock, MD, Andrzej Kosinski, PhD, Xianwei Wang, MD, Shuang Tang, MD, PhD, and John W Williams, Jr, MD, MHSc (2016). Metformin Use in Patients with Historical Contraindications or Precautions. Department of Veterans Affairs (US).",DB00331
T514,,Institute for Quality and Efficiency in Health Care (IQWiG) (2008). Type 2 diabetes: Overview. InformedHealth.org.,DB00331
T457,,Upfal J. (2007). The Australian Drug Guide (7th ed.). National Library of Australia.,DB00332
T539,978-0-7817-5273-2,"George R., Light R., Matthay M. and Matthay R. (2005). Chest Medicine. Essentials of pulmonary and critical care medicine. (5th ed.). Lippincott Williams & Wilkins.",DB00332
T542,0-12-079028-9,"Barnes P., Drazen J., Rennard S. and Thomson N. (2002). Asthma and COPD. Elsevier Science Ltd.",DB00332
T85,,Woo T.M. and Robinson M. (2016). Pharmacotherapeutics for advanced practice nurse prescribers (4th ed.). Davis Company.,DB00332
