drug1,drug2,interaction
Apixaban,Lepirudin,Apixaban may increase the anticoagulant activities of Lepirudin.
Norgestimate,Lepirudin,Norgestimate may decrease the anticoagulant activities of Lepirudin.
Phenindione,Lepirudin,The risk or severity of bleeding can be increased 
Cefradine,Lepirudin,The therapeutic efficacy of Lepirudin can be decreased 
Ravulizumab,Cetuximab,The risk or severity of adverse effects can be increased 
Pegaspargase,Etanercept,The risk or severity of adverse effects can be increased 
Influenza A virus A/Victoria/210/2009 X-187 (H3N2) antigen (formaldehyde inactivated),Etanercept,The therapeutic efficacy of Influenza A virus A/Victoria/210/2009 X-187 (H3N2) antigen (formaldehyde inactivated) can be decreased 
Methohexital,Etanercept,The metabolism of Methohexital can be increased 
Fluindione,Etanercept,The metabolism of Fluindione can be increased 
Trabectedin,Etanercept,The metabolism of Trabectedin can be increased 
Equol,Bivalirudin,Equol may decrease the anticoagulant activities of Bivalirudin.
Tesmilifene,Bivalirudin,The risk or severity of bleeding can be increased 
Reteplase,Bivalirudin,The risk or severity of bleeding can be increased 
Methoxy polyethylene glycol-epoetin beta,Leuprolide,The risk or severity of Thrombosis can be increased 
Tucidinostat,Leuprolide,The risk or severity of QTc prolongation can be increased 
Gallopamil,Leuprolide,The risk or severity of QTc prolongation can be increased 
Acemetacin,Leuprolide,Acemetacin may decrease the excretion rate of Leuprolide which could result in a higher serum level.
Nalmefene,Leuprolide,Leuprolide may decrease the excretion rate of Nalmefene which could result in a higher serum level.
Neamine,Leuprolide,Neamine may decrease the excretion rate of Leuprolide which could result in a higher serum level.
Floxuridine,Peginterferon alfa-2a,The risk or severity of adverse effects can be increased 
Risankizumab,Peginterferon alfa-2a,The risk or severity of adverse effects can be increased 
Palifermin,Peginterferon alfa-2a,The therapeutic efficacy of Palifermin can be decreased 
Saruplase,Peginterferon alfa-2a,The risk or severity of bleeding can be increased 
Methimazole,Alteplase,Methimazole may increase the anticoagulant activities of Alteplase.
Moclobemide,Alteplase,The risk or severity of bleeding and hemorrhage can be increased 
Etoposide,Alteplase,The risk or severity of bleeding can be increased 
Pemetrexed,Interferon alfa-n1,The risk or severity of adverse effects can be increased 
Uric acid,Interferon alfa-n1,The metabolism of Uric acid can be decreased 
Benzyl alcohol,Interferon alfa-n1,The metabolism of Benzyl alcohol can be decreased 
Nilutamide,Darbepoetin alfa,The risk or severity of Thrombosis can be increased 
Cabozantinib,Darbepoetin alfa,The risk or severity of Thrombosis can be increased 
Oblimersen,Darbepoetin alfa,The risk or severity of Thrombosis can be increased 
Levocarnitine,Urokinase,The therapeutic efficacy of Urokinase can be increased 
Thiosalicylic acid,Urokinase,The risk or severity of bleeding can be increased 
Mitomycin,Urokinase,The risk or severity of bleeding can be increased 
NN344,Goserelin,The therapeutic efficacy of NN344 can be decreased 
Dexchlorpheniramine,Goserelin,The risk or severity of QTc prolongation can be increased 
Pamidronic acid,Goserelin,Pamidronic acid may decrease the excretion rate of Goserelin which could result in a higher serum level.
Topiramate,Goserelin,Goserelin may decrease the excretion rate of Topiramate which could result in a higher serum level.
Pralatrexate,Goserelin,Goserelin may decrease the excretion rate of Pralatrexate which could result in a higher serum level.
Bumetanide,Goserelin,Goserelin may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.
Alclofenac,Reteplase,The risk or severity of bleeding and hemorrhage can be increased 
Trenonacog alfa,Reteplase,The therapeutic efficacy of Trenonacog alfa can be decreased 
Carmustine,Reteplase,The risk or severity of bleeding can be increased 
Aminoglutethimide,Erythropoietin,The risk or severity of Thrombosis can be increased 
Axitinib,Erythropoietin,The risk or severity of Thrombosis can be increased 
Acteoside,Erythropoietin,The risk or severity of Thrombosis can be increased 
Cefamandole,Salmon calcitonin,Cefamandole may decrease the excretion rate of Salmon calcitonin which could result in a higher serum level.
Haloperidol,Salmon calcitonin,Salmon calcitonin may decrease the excretion rate of Haloperidol which could result in a higher serum level.
Gemeprost,Salmon calcitonin,Salmon calcitonin may decrease the excretion rate of Gemeprost which could result in a higher serum level.
Cyclothiazide,Salmon calcitonin,Cyclothiazide may increase the excretion rate of Salmon calcitonin which could result in a lower serum level and potentially a reduction in efficacy.
Butriptyline,Salmon calcitonin,The risk or severity of Cardiac Arrhythmia can be increased 
Vilanterol,Interferon alfa-n3,The risk or severity of adverse effects can be increased 
Adenovirus type 7 vaccine live,Interferon alfa-n3,The risk or severity of infection can be increased 
Melagatran,Interferon alfa-n3,The risk or severity of bleeding can be increased 
Brequinar,Peginterferon alfa-2b,The risk or severity of adverse effects can be increased 
Aminophylline,Peginterferon alfa-2b,The serum concentration of Aminophylline can be increased 
Naftopidil,Peginterferon alfa-2b,The risk or severity of bleeding can be increased 
Idraparinux,Peginterferon alfa-2b,The risk or severity of bleeding can be increased 
