id,name,organism,known_action,position,parent_key
BE0001032,P-glycoprotein 1,Humans,unknown,1,DB00027
BE0001069,Canalicular multispecific organic anion transporter 1,Humans,unknown,4,DB00067
BE0001032,P-glycoprotein 1,Humans,unknown,4,DB00091
BE0000703,Bile salt export pump,Humans,unknown,5,DB00091
BE0003643,Ileal sodium/bile acid cotransporter,Humans,unknown,6,DB00091
BE0003644,Sodium/bile acid cotransporter,Humans,unknown,7,DB00091
BE0001066,Solute carrier family 22 member 6,Humans,unknown,8,DB00091
BE0003651,Multidrug resistance-associated protein 7,Humans,unknown,9,DB00091
BE0001069,Canalicular multispecific organic anion transporter 1,Humans,unknown,10,DB00091
BE0001067,ATP-binding cassette sub-family G member 2,Humans,unknown,11,DB00091
BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown,12,DB00091
BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,no,16,DB00091
BE0000340,Protein amnionless,Humans,unknown,8,DB00115
BE0000238,Transcobalamin-1,Humans,unknown,8,DB00115
BE0000362,Transcobalamin-2,Humans,unknown,9,DB00115
BE0004690,Gastric intrinsic factor,Humans,unknown,10,DB00115
BE0000936,Cubilin,Humans,unknown,11,DB00115
BE0000942,Low-density lipoprotein receptor-related protein 2,Humans,unknown,13,DB00115
BE0000785,Multidrug resistance-associated protein 1,Humans,unknown,14,DB00115
BE0001069,Canalicular multispecific organic anion transporter 1,Humans,unknown,1,DB00116
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00117
BE0000440,Monocarboxylate transporter 2,Humans,unknown,1,DB00119
BE0000669,Monocarboxylate transporter 1,Humans,unknown,2,DB00119
BE0003654,Monocarboxylate transporter 10,Humans,unknown,3,DB00119
BE0003655,Solute carrier organic anion transporter family member 2A1,Humans,unknown,4,DB00119
BE0000449,Monocarboxylate transporter 4,Humans,unknown,5,DB00119
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00120
BE0000094,Sodium-dependent multivitamin transporter,Humans,unknown,10,DB00121
BE0004708,Sodium-coupled monocarboxylate transporter 1,Humans,unknown,11,DB00121
BE0003647,Solute carrier family 22 member 2,Humans,unknown,1,DB00122
BE0003648,Solute carrier family 22 member 1,Humans,unknown,2,DB00122
BE0003650,Solute carrier family 22 member 3,Humans,unknown,3,DB00122
BE0000106,Solute carrier family 22 member 5,Humans,unknown,4,DB00122
BE0000757,Solute carrier family 22 member 4,Humans,unknown,5,DB00122
BE0001059,Choline transporter-like protein 1,Humans,unknown,7,DB00122
BE0002182,Choline transporter-like protein 4,Humans,unknown,8,DB00122
BE0002183,Choline transporter-like protein 2,Humans,unknown,9,DB00122
BE0002184,Choline transporter-like protein 3,Humans,unknown,10,DB00122
BE0000696,High affinity choline transporter 1,Humans,unknown,15,DB00122
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00123
BE0000757,Solute carrier family 22 member 4,Humans,unknown,2,DB00123
BE0000106,Solute carrier family 22 member 5,Humans,unknown,1,DB00125
BE0003654,Monocarboxylate transporter 10,Humans,unknown,2,DB00125
BE0000757,Solute carrier family 22 member 4,Humans,unknown,3,DB00125
BE0000168,Solute carrier family 23 member 1,Humans,unknown,25,DB00126
BE0009869,Solute carrier family 23 member 2,Humans,unknown,26,DB00126
BE0001057,"Solute carrier family 2, facilitated glucose transporter member 1",Humans,unknown,27,DB00126
BE0004707,"Solute carrier family 2, facilitated glucose transporter member 3",Humans,unknown,28,DB00126
BE0000893,"Solute carrier family 2, facilitated glucose transporter member 4",Humans,unknown,29,DB00126
BE0000757,Solute carrier family 22 member 4,Humans,unknown,1,DB00127
BE0003648,Solute carrier family 22 member 1,Humans,unknown,2,DB00127
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00128
BE0009870,Sodium-coupled neutral amino acid transporter 1,Humans,unknown,1,DB00130
BE0009871,Sodium-coupled neutral amino acid transporter 2,Humans,unknown,2,DB00130
BE0000285,Sodium-coupled neutral amino acid transporter 3,Humans,unknown,3,DB00130
BE0000236,Neutral amino acid transporter B(0),Humans,unknown,4,DB00130
BE0000423,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),Humans,unknown,5,DB00130
BE0004769,Y+L amino acid transporter 1,Humans,unknown,6,DB00130
BE0009872,Y+L amino acid transporter 2,Humans,unknown,7,DB00130
BE0000222,Large neutral amino acids transporter small subunit 1,Humans,unknown,8,DB00130
BE0000789,Large neutral amino acids transporter small subunit 2,Humans,unknown,9,DB00130
BE0002251,"B(0,+)-type amino acid transporter 1",Humans,unknown,10,DB00130
BE0003654,Monocarboxylate transporter 10,Humans,unknown,12,DB00130
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00133
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00134
BE0000178,Monocarboxylate transporter 8,Humans,unknown,1,DB00135
BE0003654,Monocarboxylate transporter 10,Humans,unknown,2,DB00135
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00138
BE0002251,"B(0,+)-type amino acid transporter 1",Humans,unknown,2,DB00138
BE0001130,Neutral and basic amino acid transport protein rBAT,Humans,unknown,3,DB00138
BE0003645,Solute carrier family 22 member 8,Humans,unknown,3,DB00139
BE0002261,Mitochondrial dicarboxylate carrier,Humans,unknown,5,DB00139
BE0000022,Solute carrier family 13 member 1,Humans,unknown,8,DB00139
BE0000447,Solute carrier family 13 member 2,Humans,unknown,9,DB00139
BE0000611,Solute carrier family 13 member 3,Humans,unknown,10,DB00139
BE0001066,Solute carrier family 22 member 6,Humans,unknown,1,DB00140
BE0003654,Monocarboxylate transporter 10,Humans,unknown,63,DB00142
BE0000669,Monocarboxylate transporter 1,Humans,unknown,64,DB00142
BE0002275,Mitochondrial glutamate carrier 2,Humans,unknown,65,DB00142
BE0002276,Mitochondrial glutamate carrier 1,Humans,unknown,66,DB00142
BE0000785,Multidrug resistance-associated protein 1,Humans,unknown,1,DB00143
BE0001069,Canalicular multispecific organic anion transporter 1,Humans,unknown,2,DB00143
BE0001061,Canalicular multispecific organic anion transporter 2,Humans,unknown,3,DB00143
BE0001188,Multidrug resistance-associated protein 4,Humans,unknown,4,DB00143
BE0003639,Multidrug resistance-associated protein 5,Humans,unknown,5,DB00143
BE0003654,Monocarboxylate transporter 10,Humans,unknown,26,DB00145
BE0000536,Proton-coupled amino acid transporter 1,Humans,unknown,27,DB00145
BE0002308,Vesicular inhibitory amino acid transporter,Humans,unknown,28,DB00145
BE0002310,Sodium- and chloride-dependent glycine transporter 2,Humans,unknown,29,DB00145
BE0000940,Sodium- and chloride-dependent glycine transporter 1,Humans,unknown,30,DB00145
BE0000106,Solute carrier family 22 member 5,Humans,unknown,1,DB00148
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00149
BE0000178,Monocarboxylate transporter 8,Humans,unknown,2,DB00149
BE0000178,Monocarboxylate transporter 8,Humans,unknown,1,DB00150
BE0003654,Monocarboxylate transporter 10,Humans,unknown,2,DB00150
BE0003654,Monocarboxylate transporter 10,Humans,unknown,3,DB00151
BE0003647,Solute carrier family 22 member 2,Humans,unknown,1,DB00152
BE0003648,Solute carrier family 22 member 1,Humans,unknown,2,DB00152
BE0000106,Solute carrier family 22 member 5,Humans,unknown,3,DB00152
BE0003530,Thiamine transporter 1,Humans,unknown,5,DB00152
BE0000963,Thiamine transporter 2,Humans,unknown,6,DB00152
BE0001066,Solute carrier family 22 member 6,Humans,unknown,1,DB00155
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00156
BE0003658,ATP-binding cassette sub-family C member 11,Humans,unknown,1,DB00158
BE0001061,Canalicular multispecific organic anion transporter 2,Humans,unknown,1,DB00158
BE0001066,Solute carrier family 22 member 6,Humans,unknown,2,DB00158
BE0001188,Multidrug resistance-associated protein 4,Humans,unknown,2,DB00158
BE0001067,ATP-binding cassette sub-family G member 2,Humans,unknown,2,DB00158
BE0001048,Proton-coupled folate transporter,Humans,unknown,2,DB00158
BE0000730,Mitochondrial folate transporter/carrier,Humans,unknown,2,DB00158
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00160
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00161
BE0009879,Receptor for retinol uptake STRA6,Humans,unknown,8,DB00162
BE0000189,Scavenger receptor class B member 1,Humans,unknown,8,DB00163
BE0000119,ATP-binding cassette sub-family A member 1,Humans,unknown,9,DB00163
BE0000802,Niemann-Pick C1-like protein 1,Humans,unknown,10,DB00163
BE0001168,ATP-binding cassette sub-family G member 1,Humans,unknown,11,DB00163
BE0003546,"Alkaline phosphatase, tissue-nonspecific isozyme",Humans,unknown,6,DB00165
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00167
BE0001066,Solute carrier family 22 member 6,Humans,unknown,1,DB00168
BE0003645,Solute carrier family 22 member 8,Humans,unknown,2,DB00168
BE0000879,Solute carrier family 22 member 11,Humans,unknown,3,DB00168
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00172
BE0003654,Monocarboxylate transporter 10,Humans,unknown,1,DB00174
BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,no,1,DB00175
BE0001042,Solute carrier organic anion transporter family member 2B1,Humans,no,2,DB00175
BE0001032,P-glycoprotein 1,Humans,no,3,DB00175
BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,no,4,DB00175
BE0001066,Solute carrier family 22 member 6,Humans,no,5,DB00175
BE0003645,Solute carrier family 22 member 8,Humans,no,6,DB00175
BE0001069,Canalicular multispecific organic anion transporter 1,Humans,no,7,DB00175
BE0000879,Solute carrier family 22 member 11,Humans,no,8,DB00175
BE0001067,ATP-binding cassette sub-family G member 2,Humans,no,9,DB00175
BE0003646,Solute carrier family 22 member 7,Humans,no,10,DB00175
BE0000669,Monocarboxylate transporter 1,Humans,no,11,DB00175
BE0000703,Bile salt export pump,Humans,no,12,DB00175
BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,no,13,DB00175
BE0001032,P-glycoprotein 1,Humans,unknown,1,DB00176
BE0000703,Bile salt export pump,Humans,no,10,DB00176
BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown,1,DB00177
BE0001004,Solute carrier organic anion transporter family member 1B1,Humans,unknown,2,DB00177
BE0001069,Canalicular multispecific organic anion transporter 1,Humans,unknown,3,DB00177
BE0001018,Solute carrier family 15 member 1,Humans,unknown,1,DB00178
BE0001134,Solute carrier family 15 member 2,Humans,unknown,2,DB00178
BE0003650,Solute carrier family 22 member 3,Humans,unknown,4,DB00182
