ACO;ShotsDate;Sex;ReceiptNumber;PitNumber;Name;KennelNumber;EnteredBy;DispositionDate;DateImpounded;Color;Code;Breed;ApproxWeight;AnimalID;Age category;Source;Status
8;2004-07-24;M/N;15444 JN12;20013;Spade/Chico;200;;;2004-07-19;Fawn & Black;;Pug;10lbs;9172;;HOLDING STRAY;Sold
12;;F/S;15327, MC;20010;Ruby;200;;;2004-07-26;Black & Tan;;Shepherd  X;45 lbs;9173;;HOLDING STRAY;Sold
0;;M/N;15607,MC;20082;Mikey;200;;;2004-08-21;Tan;;Pomeranian;15lbs.;9176;;HOLDING STRAY;Redeemed
21;;M/N;MC;40074;Roame;400;;;2004-07-31;Tan;;Lab;100 lbs;9183;;HOLDING STRAY;Ride Home Free
12;;M;jn12;40000;Cariboo;400;;;2004-08-24;White;;Great Pyrenese;100 lbs;9185;;HOLDING STRAY;Ride Home Free
19;;M/N;15613 gp;20059;Tobi;200;;;2004-08-25;Merle;;Australian Shep;45lbs;9186;;BROUGHT-IN;Redeemed
17;;M/N;14373 JN12;20079;Hungi;200;;;2004-08-01;Tan;;Pit Bull;90lbs;9188;;COMPLAINT;Redeemed
21;;M/N;MC;40020;;400;;;2004-08-01;Black & White;;Border Collie X;;9191;;HOLDING STRAY;Ride Home Free
0;2004-08-14;M/N;15337JF;20074;Freckles/Sparky;200;;;2004-08-01;Tan & White;;Cocker Spaniel;30lbs;9193;;BROUGHT-IN;Sold
21;;F;15446 GP21;20041;Jaspar;200;;;2004-08-03;Blonde;;Golden Ret;55lbs;9195;;HOLDING STRAY;Redeemed
21;;M;14370 Amy;20059;Buster;200;;;2004-08-04;White;;American Eskimo Dog;20lbs;9202;;HOLDING STRAY;Redeemed
12;;F;jn12;40000;Jessie;400;;;2004-08-25;Black & White;;Husky X;80 lbs;9203;;HOLDING STRAY;Ride Home Free
12;;M;RHF ks19;40064;Tito;400;;;2004-08-25;Sable & White;;Sheltie;20 lbs;9204;;HOLDING STRAY;Ride Home Free
0;;M;14379-KD;20031;Picolo;200;;;2004-08-06;Brown & Tan;;Chihuahua;8lbs;9213;;BROUGHT-IN;Redeemed
7;;F;MC;40041;;400;;;2004-08-07;Black & Tan;;German Shepherd;80 lbs;9218;;BROUGHT-IN;Ride Home Free
22;;M/N;15618,MC;20017;Shadow;200;;;2004-08-25;Black;;Toy Poodle;10 lbs;9219;;HOLDING STRAY;Redeemed
0;;M/N;;40013;Chester;400;;;2004-08-07;Brown;;Lab;65 lbs;9221;;HOLDING STRAY;Ride Home Free
20;;M/N;15333JF;20004;Oscar;200;;;2004-08-08;Black & Tan;;Norwich Terrier (?);30;9223;;HOLDING STRAY;Redeemed
21;;F;15623,MC;20067;Frankie;200;;;2004-08-27;Black;;Cocker Spaniel;40lbs;9230;;HOLDING STRAY;Redeemed
0;;M/N;15624 Amy;20023;Homer;200;;;2004-08-27;Black & Tan;;Malamute X Shep;110;9232;;HOLDING STRAY;Redeemed
20;2004-04-03;M/N;14394 km;20012;Oliver;200;;;2004-03-04;Black with White Blaze;;Am Staff X Shar Pei;50 lbs;9235;;COMPLAINT;Sold
12;;F/S;jn12;40064;Cassie;400;;;2004-08-30;White & Black;;Dalmatian;75 lbs;9238;;HOLDING STRAY;Ride Home Free
5;;F/S;;40000;;400;;;2004-08-31;Black & Tan;;Shep X;;9239;;HOLDING STRAY;Ride Home Free
12;;F;RHF #14;40035;Ting Ting;400;;;2004-08-31;Tan & White;;Shih Tzu;10lbs;9240;;BROUGHT-IN;Ride Home Free
12;;M;jn12;40000;Daisy;400;;;2004-08-31;Gold;;Retreiver;60 lbs;9245;;HOLDING STRAY;Ride Home Free
0;;F;ks19;40072;Isabella;400;;;2004-08-31;Grey;;Shih X Lhasa;5 lbs;9246;;HOLDING STRAY;Ride Home Free
22;;M/N;15334 Amy;40041;Budweiser;400;;;2004-08-09;Black & Tan;;Rottweiler;70 lbs;9247;;HOLDING STRAY;Ride Home Free
21;;F;15347 Amy;20053;Angie;200;;;2004-08-15;Beige;;Cocker Spaniel;20lbs;9253;;POLICE-EMERGENCY;Redeemed
0;;M/N;14399 Amy;20058;Mario;200;;;2004-08-15;Yellow;;Lab;60 lbs;9254;;HOLDING STRAY;Redeemed
0;;M/N;15609 Amy;20089;Shadow;200;;;2004-08-19;Black;;Toy Poodle;6lbs;9258;;HOLDING STRAY;Redeemed
19;2004-08-14;M/N;14374 JN12;20030;Cosmo (Gilbert);200;;;2004-07-27;Black & White & Brown;;Jack Russell  X;13lbs;9259;;BROUGHT-IN;Sold
22;;F;14039,BC;40020;Dancer;400;;;2003-12-10;Black & Tan;;Rottweiler;80 lbs;9263;;POLICE-DAY;Ride Home Free
6;;M/N;kd;40017;Bobbie;400;;;2004-08-10;Apricot;;Poodle;20 lbs;9264;;HOLDING STRAY;Ride Home Free
6;;M/N;kd;40006;Sharkey;400;;;2004-08-11;Golden;;Golden Retriever;70 lbs;9265;;HOLDING STRAY;Ride Home Free
