SITE;SITE_NAME;STATION_NAME;TRAMP_FARM_NAME;DESCRIPTION;DATE_COLLECTED;LABORATORY_SAMPLE_NUMBER;ANALYSIS;NAME;RESULT_UnitsNotAmendedFrom_mbqTo_bq;RESULT_NO_FLAG_UnitsAmendedForRIFE-AllBq's;Result_SFG;RNF_2SG;ACTUAL_ERROR;PERCENTAGE_ERROR;UNIT;ErrorCorrected;EC_2SF;LOD;ResultString
1;Sellafield;;ANIMAL;CAK - Cattle kidney;2016-10-13;201632031;121S;U-235;0.000435;0.000435;0.000435;0.00044;0.0002;46.5;Bq/kg;0.000396459;0.0004;0;0.00044?0.0004
21;Springfields;;CROP;BRT - Beetroot;2016-08-23;201630869;121S;U-235;0.000445;0.000445;0.000445;0.00045;0.00021;47.4;Bq/kg;0.000413423;0.00041;0;0.00045?0.00041
56;Thames area;Ufton Bridge to Theale;;CYS - Signal crayfish;2016-02-29;201628057;012S;U-235;0.000485;0.000485;0.000485;0.00049;0.00014;28.9;Bq/kg;0.000274723;0.00027;0;0.00049?0.00027
1;Sellafield;;CROP;POT - Potato;2016-08-08;201630734;121S;U-235;0.000578;0.000578;0.000578;0.00058;0.00023;39.6;Bq/kg;0.00044862;0.00045;0;0.00058?0.00045
33;Capenhurst;;CROP;BRT - Beetroot;2016-10-10;201632017;121S;U-235;0.000684;0.000684;0.000684;0.00068;0.00025;35.9;Bq/kg;0.00048129;0.00048;0;0.00068?0.00048
84;Derby;;CROP;POT - Potato;2016-09-01;201630962;121S;U-235;0.000696;0.000696;0.000696;0.0007;0.00024;33.9;Bq/kg;0.00046245;0.00046;0;0.0007?0.00046
1;Sellafield;W/A Commercial;;PLE - European plaice;2016-07-01;201630403;012S;U-235;0.000701;0.000701;0.000701;0.0007;0.00013;18;Bq/kg;0.000247313;0.00025;0;0.0007?0.00025
1;Sellafield;Drigg - Selker;;PLE - European plaice;2016-07-01;201633501;012S;U-235;0.000732;0.000732;0.000732;0.00073;0.00013;17.8;Bq/kg;0.00025538;0.00026;0;0.00073?0.00026
21;Springfields;;CROP;GRS - Grass;2016-08-23;201630870;121S;U-235;0.000839;0.000839;0.000839;0.00084;0.0003;35.4;Bq/kg;0.000582132;0.00058;0;0.00084?0.00058
1;Sellafield;W/A Commercial;;NEP - Norway lobster;2016-07-01;201635276;012S;U-235;0.00085;0.00085;0.00085;0.00085;0.00015;17.8;Bq/kg;0.000296548;0.0003;0;0.00085?0.0003
21;Springfields;;SP01;UMK-Unpasteurised Milk;2016-01-20;201627529;121L;U-238;0.00121;0.00121;0.00121;0.0012;0.001;53.7;Bq/L;0.00196;0.002;0;0.0012?0.002
1;Sellafield;;ANIMAL_RAVENGLASS;CAK - Cattle kidney;2016-06-13;201629844;121S;U-234;0.00169;0.00169;0.00169;0.0017;0.001;47.4;Bq/kg;0.00196;0.002;0;0.0017?0.002
31;Aldermaston;;CROP;WHT - Wheat;2016-08-23;201630863;121S;U-238;0.00203;0.00203;0.00203;0.002;0.001;29.3;Bq/kg;0.00196;0.002;0;0.002?0.002
84;Derby;;CROP;WHT - Wheat;2016-08-16;201630828;121S;U-238;0.00218;0.00218;0.00218;0.0022;0.001;33.3;Bq/kg;0.00196;0.002;0;0.0022?0.002
