SUBSYSTEM;SIZE;OPEN_IND;X_OFFSET_FROM_PROP_LINE_M;X_OFFSET_DIRECTION;Y_OFFSET_FROM_PROP_LINE_M;Y_OFFSET_DIRECTION;Geom;Geo Local Area
Dedicated Fire Protection Sys;LARGE;OPEN;119.0;W;6.1;S;"{""type"": ""Point"", ""coordinates"": [-123.13638893206281, 49.27859895013736]}";West End
Dedicated Fire Protection Sys;LARGE;OPEN;7.5;E;2.7;N;"{""type"": ""Point"", ""coordinates"": [-123.13113385879193, 49.28328774427684]}";West End
Distribution;SMALL;OPEN;357.0;E;29.3;S;"{""type"": ""Point"", ""coordinates"": [-123.03641655663287, 49.28819775778622]}";Hastings-Sunrise
Distribution;SMALL;CLOSED;5.8;E;51.8;S;"{""type"": ""Point"", ""coordinates"": [-123.11781268755954, 49.2814583793385]}";Downtown
Distribution;SMALL;CLOSED;3.7;W;7.3;S;"{""type"": ""Point"", ""coordinates"": [-123.0769763797322, 49.28139108135789]}";Grandview-Woodland
Distribution;SMALL;CLOSED;0.0;W;6.4;N;"{""type"": ""Point"", ""coordinates"": [-123.04715194002696, 49.263832747831685]}";Hastings-Sunrise
Distribution;SMALL;CLOSED;35.0;W;5.8;S;"{""type"": ""Point"", ""coordinates"": [-123.09836116329319, 49.2832124813799]}";Strathcona
Distribution;SMALL;OPEN;9.1;W;9.8;N;"{""type"": ""Point"", ""coordinates"": [-123.10818379732622, 49.237355542565226]}";Riley Park
Distribution;SMALL;CLOSED;0.0;W;2.7;N;"{""type"": ""Point"", ""coordinates"": [-123.06204429121432, 49.268570121073]}";Grandview-Woodland
Distribution;SMALL;CLOSED;6.7;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.05214499291847, 49.269332192303]}";Hastings-Sunrise
Distribution;SMALL;CLOSED;0.0;E;4.0;N;"{""type"": ""Point"", ""coordinates"": [-123.07728437007383, 49.264178785548076]}";Grandview-Woodland
Distribution;SMALL;CLOSED;6.4;W;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.10678016329203, 49.26293230296137]}";Mount Pleasant
Distribution;SMALL;OPEN;7.2;W;0.0;N;"{""type"": ""Point"", ""coordinates"": [-123.1320544222396, 49.25195045620092]}";Shaughnessy
Distribution;SMALL;CLOSED;8.2;W;5.8;S;"{""type"": ""Point"", ""coordinates"": [-123.0898342903268, 49.25466195038196]}";Kensington-Cedar Cottage
Distribution;SMALL;CLOSED;4.3;W;7.3;S;"{""type"": ""Point"", ""coordinates"": [-123.15481737322484, 49.238132910313865]}";Shaughnessy
Distribution;SMALL;CLOSED;7.9;W;5.5;N;"{""type"": ""Point"", ""coordinates"": [-123.02558053478812, 49.28960551137031]}";Hastings-Sunrise
Distribution;SMALL;CLOSED;4.9;E;3.0;S;"{""type"": ""Point"", ""coordinates"": [-123.12881379000466, 49.25377740168474]}";Shaughnessy
Distribution;SMALL;CLOSED;2.7;W;4.9;N;"{""type"": ""Point"", ""coordinates"": [-123.12769353441713, 49.250776947775705]}";Shaughnessy
Distribution;SMALL;CLOSED;5.2;W;12.8;S;"{""type"": ""Point"", ""coordinates"": [-123.13128985964335, 49.26350248070494]}";Fairview
Distribution;SMALL;CLOSED;134.4;W;3.0;N;"{""type"": ""Point"", ""coordinates"": [-123.19861415360876, 49.250000307998526]}";
Distribution;SMALL;CLOSED;58.8;E;7.6;N;"{""type"": ""Point"", ""coordinates"": [-123.1358326387964, 49.29033151717342]}";West End
Distribution;SMALL;CLOSED;6.7;W;7.0;S;"{""type"": ""Point"", ""coordinates"": [-123.13848992240615, 49.26339860872329]}";Fairview
Distribution;SMALL;CLOSED;5.8;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.14118775387362, 49.26070306813757]}";Fairview
Distribution;SMALL;CLOSED;;;;;"{""type"": ""Point"", ""coordinates"": [-123.13637157306201, 49.25562391148776]}";Shaughnessy
Distribution;SMALL;CLOSED;5.5;W;7.0;S;"{""type"": ""Point"", ""coordinates"": [-123.09090749454504, 49.21658324073821]}";Sunset
Distribution;SMALL;CLOSED;0.9;E;1.2;S;"{""type"": ""Point"", ""coordinates"": [-123.13867320722237, 49.23810427637273]}";Shaughnessy
Distribution;SMALL;CLOSED;2.1;W;8.2;S;"{""type"": ""Point"", ""coordinates"": [-123.08252385822574, 49.28010422541576]}";Strathcona
Distribution;SMALL;CLOSED;6.4;W;25.0;N;"{""type"": ""Point"", ""coordinates"": [-123.16581184816887, 49.235048833202164]}";Arbutus-Ridge
Distribution;SMALL;CLOSED;6.4;W;19.8;N;"{""type"": ""Point"", ""coordinates"": [-123.16581375209546, 49.23500205514889]}";Arbutus-Ridge
Distribution;SMALL;CLOSED;1.5;W;9.1;N;"{""type"": ""Point"", ""coordinates"": [-123.10130425366904, 49.26017776467624]}";Mount Pleasant
Distribution;SMALL;CLOSED;6.5;W;1.5;S;"{""type"": ""Point"", ""coordinates"": [-123.10485103394173, 49.26287308221766]}";Mount Pleasant
Distribution;SMALL;OPEN;2.7;W;4.3;N;"{""type"": ""Point"", ""coordinates"": [-123.11490197918879, 49.25685063836811]}";Riley Park
Distribution;SMALL;CLOSED;6.4;W;5.2;S;"{""type"": ""Point"", ""coordinates"": [-123.18783216325622, 49.26172429181441]}";West Point Grey
Distribution;SMALL;CLOSED;14.6;E;2.4;S;"{""type"": ""Point"", ""coordinates"": [-123.15307498262365, 49.260132323154274]}";Kitsilano
Distribution;SMALL;CLOSED;10.4;W;19.5;S;"{""type"": ""Point"", ""coordinates"": [-123.15249348270103, 49.256985674927115]}";Shaughnessy
Distribution;SMALL;CLOSED;5.5;E;0.3;N;"{""type"": ""Point"", ""coordinates"": [-123.16033818601419, 49.25750883987537]}";Kitsilano
Distribution;SMALL;CLOSED;7.3;W;1.2;S;"{""type"": ""Point"", ""coordinates"": [-123.14865351871566, 49.25102419282365]}";Shaughnessy
Distribution;SMALL;CLOSED;0.0;E;7.3;N;"{""type"": ""Point"", ""coordinates"": [-123.14664870600505, 49.25331740724937]}";Shaughnessy
Distribution;SMALL;CLOSED;7.3;E;0.6;N;"{""type"": ""Point"", ""coordinates"": [-123.1532167054043, 49.25138519167623]}";Arbutus-Ridge
Distribution;SMALL;CLOSED;7.3;W;9.4;N;"{""type"": ""Point"", ""coordinates"": [-123.15457088362727, 49.24089847800667]}";Arbutus-Ridge
Distribution;SMALL;CLOSED;5.8;W;12.5;S;"{""type"": ""Point"", ""coordinates"": [-123.15426669128931, 49.241154808287746]}";Arbutus-Ridge
Distribution;SMALL;CLOSED;5.8;W;0.3;N;"{""type"": ""Point"", ""coordinates"": [-123.15873969640674, 49.227296821036184]}";Kerrisdale
Distribution;SMALL;CLOSED;21.6;W;3.7;S;"{""type"": ""Point"", ""coordinates"": [-123.11635262109661, 49.22987489621297]}";Oakridge
Distribution;SMALL;CLOSED;5.8;W;0.3;N;"{""type"": ""Point"", ""coordinates"": [-123.2061672678585, 49.259153643803664]}";West Point Grey
Distribution;SMALL;CLOSED;6.4;W;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.20607965211443, 49.26186315051091]}";West Point Grey
Distribution;SMALL;CLOSED;5.8;E;2.4;N;"{""type"": ""Point"", ""coordinates"": [-123.19690151550408, 49.22758853301212]}";Dunbar-Southlands
Distribution;SMALL;CLOSED;6.4;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.0636899820465, 49.2810678850477]}";Grandview-Woodland
Distribution;SMALL;CLOSED;6.1;E;2.1;S;"{""type"": ""Point"", ""coordinates"": [-123.05807249460112, 49.26960038142493]}";Grandview-Woodland
Distribution;SMALL;CLOSED;6.4;E;0.3;N;"{""type"": ""Point"", ""coordinates"": [-123.06000168337022, 49.269618096722816]}";Grandview-Woodland
Distribution;SMALL;CLOSED;6.1;W;3.0;S;"{""type"": ""Point"", ""coordinates"": [-123.05817393851416, 49.24170798901821]}";Renfrew-Collingwood
Distribution;SMALL;CLOSED;1.5;W;2.1;S;"{""type"": ""Point"", ""coordinates"": [-123.06518125309232, 49.240110273426566]}";Kensington-Cedar Cottage
Distribution;SMALL;CLOSED;0.9;E;6.4;N;"{""type"": ""Point"", ""coordinates"": [-123.07130133667563, 49.27573965889763]}";Grandview-Woodland
Distribution;SMALL;CLOSED;7.3;E;0.0;N;"{""type"": ""Point"", ""coordinates"": [-123.05670591554272, 49.26326215178504]}";Grandview-Woodland
Distribution;SMALL;CLOSED;1.8;E;7.0;N;"{""type"": ""Point"", ""coordinates"": [-123.05794428084793, 49.264962071618264]}";Grandview-Woodland
Distribution;SMALL;CLOSED;7.3;W;2.1;N;"{""type"": ""Point"", ""coordinates"": [-123.0569377993758, 49.252187157789685]}";Kensington-Cedar Cottage
Distribution;SMALL;CLOSED;0.0;E;2.7;S;"{""type"": ""Point"", ""coordinates"": [-123.0653674271715, 49.23289277784284]}";Kensington-Cedar Cottage
Distribution;SMALL;CLOSED;5.5;W;6.7;S;"{""type"": ""Point"", ""coordinates"": [-123.07190631096968, 49.216315385428445]}";Victoria-Fraserview
Distribution;SMALL;CLOSED;0.3;W;5.5;S;"{""type"": ""Point"", ""coordinates"": [-123.06032667225426, 49.21058306783258]}";Victoria-Fraserview
Distribution;SMALL;CLOSED;11.9;E;5.2;N;"{""type"": ""Point"", ""coordinates"": [-123.02573819503596, 49.28291286418996]}";Hastings-Sunrise
Distribution;SMALL;CLOSED;11.0;E;0.9;S;"{""type"": ""Point"", ""coordinates"": [-123.0443354104616, 49.2637595175608]}";Hastings-Sunrise
Distribution;SMALL;CLOSED;5.8;E;0.6;S;"{""type"": ""Point"", ""coordinates"": [-123.04177170688999, 49.233097639240704]}";Renfrew-Collingwood
Distribution;SMALL;CLOSED;5.8;E;1.5;N;"{""type"": ""Point"", ""coordinates"": [-123.04961002034716, 49.25627300780158]}";Renfrew-Collingwood
Distribution;SMALL;CLOSED;5.8;E;11.0;S;"{""type"": ""Point"", ""coordinates"": [-123.04708194848912, 49.25822338253707]}";Renfrew-Collingwood
Distribution;SMALL;CLOSED;6.4;E;0.0;N;"{""type"": ""Point"", ""coordinates"": [-123.0391061440588, 49.2524180918363]}";Renfrew-Collingwood
Distribution;SMALL;CLOSED;0.0;E;5.8;S;"{""type"": ""Point"", ""coordinates"": [-123.03648517398227, 49.22476521513216]}";Killarney
Distribution;SMALL;OPEN;6.1;W;7.9;N;"{""type"": ""Point"", ""coordinates"": [-123.12044381744481, 49.24547774482318]}";South Cambie
Distribution;SMALL;CLOSED;0.9;W;9.1;S;"{""type"": ""Point"", ""coordinates"": [-123.1393076044001, 49.23805447102676]}";Shaughnessy
Distribution;SMALL;CLOSED;8.0;W;0.6;S;"{""type"": ""Point"", ""coordinates"": [-123.1029393275543, 49.26283569008653]}";Mount Pleasant
Transmission;LARGE;OPEN;19.8;E;8.0;S;"{""type"": ""Point"", ""coordinates"": [-123.0382508354495, 49.22929892128534]}";Killarney
Transmission;LARGE;OPEN;;;;;"{""type"": ""Point"", ""coordinates"": [-123.12912952068869, 49.20533291276146]}";Marpole
Transmission;LARGE;OPEN;9.0;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.07156083050405, 49.2304797643283]}";Victoria-Fraserview
Transmission;LARGE;OPEN;3.7;E;15.5;S;"{""type"": ""Point"", ""coordinates"": [-123.18380539103894, 49.25795045631062]}";Kitsilano
Transmission;LARGE;OPEN;7.0;E;12.2;S;"{""type"": ""Point"", ""coordinates"": [-123.15085341797356, 49.25702607563305]}";Shaughnessy
Transmission;LARGE;CLOSED;9.4;E;7.9;N;"{""type"": ""Point"", ""coordinates"": [-123.1532764848031, 49.2572452842646]}";Kitsilano
Transmission;LARGE;OPEN;7.6;W;15.2;N;"{""type"": ""Point"", ""coordinates"": [-123.19378517769107, 49.25800403251885]}";Dunbar-Southlands
Transmission;LARGE;OPEN;10.1;W;9.1;S;"{""type"": ""Point"", ""coordinates"": [-123.0341497098584, 49.25065312735202]}";Renfrew-Collingwood
Transmission;LARGE;OPEN;17.1;E;9.1;S;"{""type"": ""Point"", ""coordinates"": [-123.0237484119277, 49.24517345673939]}";Renfrew-Collingwood
Transmission;LARGE;OPEN;18.3;E;4.6;N;"{""type"": ""Point"", ""coordinates"": [-123.02360208295319, 49.24075591726891]}";Renfrew-Collingwood
Distribution;SMALL;OPEN;16.2;E;;;"{""type"": ""Point"", ""coordinates"": [-123.12814667750588, 49.276277381546485]}";Downtown
Distribution;SMALL;OPEN;66.1;W;5.5;N;"{""type"": ""Point"", ""coordinates"": [-123.1848315305147, 49.26443861458664]}";Kitsilano
Distribution;SMALL;OPEN;2.7;E;7.6;N;"{""type"": ""Point"", ""coordinates"": [-123.14341804229942, 49.2655868513336]}";Fairview
Distribution;SMALL;OPEN;84.2;W;4.3;S;"{""type"": ""Point"", ""coordinates"": [-123.15195658615994, 49.26106142183873]}";Kitsilano
Distribution;SMALL;OPEN;72.3;W;2.4;S;"{""type"": ""Point"", ""coordinates"": [-123.09823267295656, 49.27861807834726]}";Strathcona
Distribution;SMALL;OPEN;4.8;W;0.0;N;"{""type"": ""Point"", ""coordinates"": [-123.12669231073554, 49.257888142937986]}";Fairview
Distribution;SMALL;OPEN;;;2.5;S;"{""type"": ""Point"", ""coordinates"": [-123.12353409648716, 49.281519346457614]}";Downtown
Distribution;SMALL;OPEN;130.1;E;8.7;S;"{""type"": ""Point"", ""coordinates"": [-123.15146521243028, 49.24209347176009]}";Arbutus-Ridge
Distribution;SMALL;OPEN;0.0;W;6.9;S;"{""type"": ""Point"", ""coordinates"": [-123.07777929071807, 49.25670931690084]}";Mount Pleasant
Distribution;SMALL;OPEN;6.1;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.11109024294764, 49.283356552539225]}";Downtown
Distribution;SMALL;OPEN;0.0;W;7.0;S;"{""type"": ""Point"", ""coordinates"": [-123.06188008864912, 49.27834618060295]}";Grandview-Woodland
Distribution;SMALL;OPEN;0.0;E;7.0;S;"{""type"": ""Point"", ""coordinates"": [-123.09923328836985, 49.236318743617254]}";Riley Park
Distribution;SMALL;OPEN;;;31.0;N;"{""type"": ""Point"", ""coordinates"": [-123.1358683675441, 49.28392623903961]}";West End
Distribution;SMALL;OPEN;12.2;E;2.6;N;"{""type"": ""Point"", ""coordinates"": [-123.0310351215032, 49.2888606978943]}";Hastings-Sunrise
Distribution;SMALL;OPEN;26.25;SW;6.25;N;"{""type"": ""Point"", ""coordinates"": [-123.11952832038983, 49.28842748085152]}";Downtown
Distribution;SMALL;OPEN;8.8;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.11742389303379, 49.26491836299199]}";Fairview
Distribution;SMALL;OPEN;5.1;W;0.0;N;"{""type"": ""Point"", ""coordinates"": [-123.11736591743556, 49.26509833497861]}";Fairview
Distribution;SMALL;OPEN;0.0;W;8.3;S;"{""type"": ""Point"", ""coordinates"": [-123.0727694262923, 49.281325677823276]}";Grandview-Woodland
Distribution;SMALL;OPEN;4.0;E;6.8;S;"{""type"": ""Point"", ""coordinates"": [-123.07243777288656, 49.281334611529786]}";Grandview-Woodland
Distribution;SMALL;OPEN;2.3;W;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.07404790754074, 49.28114697699442]}";Grandview-Woodland
Distribution;SMALL;OPEN;0.0;W;8.3;S;"{""type"": ""Point"", ""coordinates"": [-123.07422278202937, 49.2813449835771]}";Grandview-Woodland
Distribution;SMALL;OPEN;7.3;E;0.0;N;"{""type"": ""Point"", ""coordinates"": [-123.13679055424616, 49.25213371954281]}";Shaughnessy
Distribution;SMALL;OPEN;;;;;"{""type"": ""Point"", ""coordinates"": [-123.07606247353154, 49.24647096292128]}";Kensington-Cedar Cottage
Distribution;SMALL;OPEN;5.0;W;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.10759911356355, 49.27724349356232]}";Downtown
Distribution;SMALL;OPEN;5.2;W;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.1075526312444, 49.27851486213161]}";Downtown
Distribution;SMALL;OPEN;6.6;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.14785421672832, 49.27235398844778]}";Kitsilano
Distribution;SMALL;OPEN;8.0;W;0.0;N;"{""type"": ""Point"", ""coordinates"": [-123.09194222095944, 49.252936223146726]}";Riley Park
Distribution;SMALL;OPEN;7.2;W;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.03894611161435, 49.26747502059009]}";Hastings-Sunrise
Distribution;SMALL;OPEN;6.7;E;7.3;N;"{""type"": ""Point"", ""coordinates"": [-123.09743116029583, 49.268385603777446]}";Strathcona
Distribution;SMALL;OPEN;0.0;E;4.3;S;"{""type"": ""Point"", ""coordinates"": [-123.1645298599703, 49.26411032690424]}";Kitsilano
Distribution;SMALL;OPEN;0.3;E;5.5;N;"{""type"": ""Point"", ""coordinates"": [-123.13018501883933, 49.28941382736097]}";West End
Distribution;SMALL;OPEN;2.1;E;7.0;S;"{""type"": ""Point"", ""coordinates"": [-123.07628446845345, 49.24901271554775]}";Kensington-Cedar Cottage
Distribution;SMALL;OPEN;7.0;E;0.0;N;"{""type"": ""Point"", ""coordinates"": [-123.0776819461673, 49.25676744650943]}";Mount Pleasant
Distribution;SMALL;OPEN;6.1;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.05831795561927, 49.25667190821877]}";Kensington-Cedar Cottage
Distribution;SMALL;OPEN;8.9;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.13205894295609, 49.24813301101168]}";Shaughnessy
Distribution;SMALL;OPEN;0.0;W;8.6;N;"{""type"": ""Point"", ""coordinates"": [-123.12775874089168, 49.24814301862758]}";Shaughnessy
Distribution;SMALL;OPEN;0.0;E;8.6;N;"{""type"": ""Point"", ""coordinates"": [-123.12973039359954, 49.24817362708271]}";Shaughnessy
Distribution;SMALL;OPEN;2.6;E;0.0;S;"{""type"": ""Point"", ""coordinates"": [-123.15229369938736, 49.24196997532434]}";Arbutus-Ridge
