ID;SUBSYSTEM;CODE;COVWATERHYDRANTUNITTYPE;DISTANCEFROMCORNER;FEEDERLEN;DIR;LINE;COLOR;INCOMM;CHR0;CHR1;STREET_NUMBER;STREET;OLDHYDNUM;CASTSUB;OOCDATE;OOCNOTES;INSTDATE1;ORACLEID;ACTIVE;REMARKS;FIREUSEONLY;STATUS;COMPRESSION;ADDDTTM;ADDBY;MODBY;FEATURE_ID;UNITID;Geom;Geo Local Area
WH-E09-901;DSTR;Mueller;CENTURION;0.0;0.8;;;;Yes;;;;University Endowments Lands;;;;;1950-01-01;__FJ8TS8;Active;Private;Y;IN_SERVICE;Yes;2010-11-30T12:36:00+01:00;ENJAK;PIY88;4126748;4126748;"{""type"": ""Point"", ""coordinates"": [-123.22251408028686, 49.27731697748549]}";West Point Grey
WH-E10-005;DSTR;TC;TC1;125.3;0.6;W-WEST;W-WEST;Red;Yes;;;SS 1600;DRUMMOND DRIV;26D09;UEL;;;1983-01-01;__FJ8TRP;Active;;N;IN_SERVICE;No;2009-11-10T10:45:36+01:00;covDBimport;SDE 834766;32117;32117;"{""type"": ""Point"", ""coordinates"": [-123.22224058730778, 49.27343489870329]}";West Point Grey
WH-F10-002;DSTR;TC;TC1;0.3;1.5;N-NORTH;N-NORTH;Red;Yes;;;;NEC TOLMIE ST & BELMONT AV;25B01;COVAV;;;2001-01-01;__FJ8WT1;Active;;N;IN_SERVICE;Yes;2009-11-10T10:31:45+01:00;covDBimport;SDE 834766;29432;29432;"{""type"": ""Point"", ""coordinates"": [-123.21166225670257, 49.273834295065434]}";West Point Grey
WH-F10-003;DSTR;Clow;BrigadierM;1.2;1.4;W-WEST;W-WEST;Red;Yes;;;;NWC BELMONT AV & BLANCA ST;26C03;COVAV;;;1947-01-01;__FJ8TRW;Active;replaced:  4/3/2012;N;IN_SERVICE;Yes;2009-11-10T10:39:07+01:00;covDBimport;SDE 834766;29788;29788;"{""type"": ""Point"", ""coordinates"": [-123.21504004745957, 49.27387114513594]}";West Point Grey
WH-F10-004;DSTR;Mueller;CENTURION;1.2;1.2;E-EAST;E-EAST;Red;Yes;;;;NEC NW MARINE DRIVE & BLANCA ST;26C01;COVAV;;;1964-01-01;__FJ8TRU;Active;;N;IN_SERVICE;Yes;2009-11-10T10:21:00+01:00;covDBimport;ENYAMW;28546;28546;"{""type"": ""Point"", ""coordinates"": [-123.21453609761885, 49.275875788675975]}";West Point Grey
WH-F10-010;DSTR;TC;TC1;0.6;1.8;E-EAST;E-EAST;Red;Yes;;;;NEC LANGARA AV & TOLMIE ST;25B05;COVAV;;;1987-01-01;__FJ8TRZ;Active;;N;IN_SERVICE;No;2009-11-10T10:17:38+01:00;covDBimport;SDE 834766;28158;28158;"{""type"": ""Point"", ""coordinates"": [-123.21166091653105, 49.27303911307762]}";West Point Grey
WH-F11-007;DSTR;Mueller;CENTURION;8.8;3.7;N-NORTH;N-NORTH;Blue;Yes;;;;NEC BLANCA ST & W 4TH AV;27A03;COVAV;;;1998-01-01;__FJ8WQ6;Active;;N;IN_SERVICE;Yes;2009-11-10T10:08:32+01:00;covDBimport;SDE 834766;27633;27633;"{""type"": ""Point"", ""coordinates"": [-123.21487036097857, 49.269316201310254]}";West Point Grey
WH-F11-008;DSTR;Mueller;CENTURION;1.5;4.3;N-NORTH;N-NORTH;Red;Yes;;;;NEC BLANCA ST & W 3RD AV;26D08;COVAV;;;1998-01-01;__FJ8WQ9;Active;;N;IN_SERVICE;Yes;2009-11-10T10:43:56+01:00;covDBimport;SDE 834766;33102;33102;"{""type"": ""Point"", ""coordinates"": [-123.21483029866954, 49.27039123857328]}";West Point Grey
WH-F11-009;DSTR;TC;TC1;1.5;0.6;W-WEST;W-WEST;Red;Yes;;;;NWC W 2ND AV & BLANCA ST;26D04;COVAV;;;1966-01-01;__FJ8TR2;Active;;N;IN_SERVICE;No;2009-11-10T10:22:30+01:00;covDBimport;SDE 834766;28461;28461;"{""type"": ""Point"", ""coordinates"": [-123.21512597066321, 49.27147201962905]}";West Point Grey
WH-F11-011;DSTR;TC;TC1;1.8;0.6;N-NORTH;N-NORTH;Red;Yes;;;;NWC DRUMMOND DRIVE & W 2ND AV;26D07;UEL;;;1968-01-01;__FJ8W1T;Active;;N;IN_SERVICE;No;2009-11-10T10:43:26+01:00;covDBimport;SDE 834766;32965;32965;"{""type"": ""Point"", ""coordinates"": [-123.22090158631345, 49.271293469475026]}";West Point Grey
WH-F11-013;DSTR;TC;TC1;152.4;0.9;W-WEST;W-WEST;Green;Yes;;;NS 4700;W 4TH AV;27A02;COVAV;;;1988-01-01;__FJ8TR4;Active;;N;IN_SERVICE;No;2009-11-10T10:31:14+01:00;covDBimport;SDE 834766;29405;29405;"{""type"": ""Point"", ""coordinates"": [-123.21726971782952, 49.26926824962183]}";West Point Grey
WH-F11-014;DSTR;TC;C71P;154.8;2.7;E-EAST;E-EAST;Yellow;Yes;;;NS 4700;W 6TH AV;27A09;COVAV;;;1994-01-01;__FJ8WQB;Active;;N;IN_SERVICE;Yes;2009-11-10T10:32:57+01:00;covDBimport;SDE 834766;31918;31918;"{""type"": ""Point"", ""coordinates"": [-123.2173427316501, 49.26743936897196]}";West Point Grey
WH-F12-001;DSTR;TC;TC1;1.5;1.8;N-NORTH;N-NORTH;Green;Yes;;;;NEC BLANCA ST & W 7TH AV;27A17;COVAV;;;1937-01-01;__FJ8TQ7;Active;;N;IN_SERVICE;No;2009-11-10T10:35:22+01:00;covDBimport;SDE 834766;30949;30949;"{""type"": ""Point"", ""coordinates"": [-123.21496674421286, 49.266628839108854]}";West Point Grey
WH-F12-004;DSTR;TC;TC1;3.0;2.1;N-NORTH;N-NORTH;Green;Yes;;;;NEC W 10TH AV & BLANCA ST;27B07;COVAV;;;1949-01-01;__FJ8TQ9;Active;;N;IN_SERVICE;No;2009-11-10T10:18:13+01:00;covDBimport;SDE 834766;28196;28196;"{""type"": ""Point"", ""coordinates"": [-123.2150586122143, 49.26405919532133]}";West Point Grey
WH-F12-005;DSTR;Mueller;CENTURION;2.1;1.6;E-EAST;E-EAST;Blue;Yes;;;;NEC W 11TH AV & BLANCA ST;27B15;COVAV;;;1931-01-01;__FJ8TQA;Active;;N;IN_SERVICE;Yes;2009-11-10T10:35:00+01:00;covDBimport;ENWWDAS;30897;30897;"{""type"": ""Point"", ""coordinates"": [-123.21504469896838, 49.26307469514517]}";West Point Grey
WH-F13-002;DSTR;AVK;2780;4.3;1.5;W-WEST;W-WEST;Blue;Yes;;;;NWC W 13TH AV & TOLMIE ST;27B20;COVAV;;;1938-01-01;__FJ8TPC;Active;replaced: 7/28/2011;N;IN_SERVICE;Yes;2009-11-10T10:43:07+01:00;covDBimport;FEJ92;32880;32880;"{""type"": ""Point"", ""coordinates"": [-123.21244365555594, 49.26122502644206]}";West Point Grey
WH-F14-001;DSTR;TC;TC1;0.0;2.1;;;Red;Yes;;;;WS TOLMIE ST & W 16TH AV;;COVAV;;;2003-01-01;__FJ8X03;Active;;N;IN_SERVICE;Yes;2009-11-10T10:37:10+01:00;covDBimport;SDE 834766;30366;30366;"{""type"": ""Point"", ""coordinates"": [-123.21245063750317, 49.25835624044474]}";West Point Grey
WH-G10-003;DSTR;TC;TC1;1.8;3.0;W-WEST;W-WEST;Yellow;Yes;;;SWC 4400;NW MARINE DRIVE;25A04;COVAV;;;1964-01-01;__FJ8TS5;Active;;N;IN_SERVICE;No;2009-11-10T10:33:45+01:00;covDBimport;SDE 834766;31950;31950;"{""type"": ""Point"", ""coordinates"": [-123.20581782186535, 49.274769613358934]}";West Point Grey
WH-G10-007;DSTR;TC;TC1;1.2;2.1;W-WEST;W-WEST;Red;Yes;;;;NWC LANGARA AV & SASAMAT ST;25B04;COVAV;;;2001-01-01;__FJ8WLY;Active;;N;IN_SERVICE;Yes;2009-11-10T10:31:08+01:00;covDBimport;SDE 834766;29373;29373;"{""type"": ""Point"", ""coordinates"": [-123.2089246997772, 49.27297936351978]}";West Point Grey
WH-G10-008;DSTR;TC;TC1;4.0;0.6;N-NORTH;N-NORTH;Yellow;Yes;;;;NWC SASAMAT ST & W 1ST AV;25B07;COVAV;;;1951-01-01;__FJ8TS2;Active;;N;IN_SERVICE;No;2009-11-10T10:41:15+01:00;covDBimport;SDE 834766;33750;33750;"{""type"": ""Point"", ""coordinates"": [-123.2089136428444, 49.27225569281352]}";West Point Grey
WH-G10-011;DSTR;TC;TC1;416.1;0.6;N-NORTH;N-NORTH;Red;Yes;;;Nend 1500;DISCOVERY ST;25C01;COVAV;;;1982-01-01;__FJ8TS7;Active;;Y;IN_SERVICE;No;2009-11-10T10:39:07+01:00;covDBimport;SDE 834766;29789;29789;"{""type"": ""Point"", ""coordinates"": [-123.20269214080227, 49.27559916140739]}";West Point Grey
