UnitMeasureCode,Name
BOX,Boxes
BTL,Bottle
C,Celsius
CAN,Canister
CAR,Carton
CBM,Cubic meters
CCM,Cubic centimeter
CDM,Cubic decimeter
CM,Centimeter
CM2,Square centimeter
CR,Crate
CS,Case
CTN,Container
DM,Decimeter
DZ,Dozen
EA,Each
FT3,Cubic foot
G,Gram
GAL,Gallon
IN,Inch
KG,Kilogram
KGV,Kilogram/cubic meter
KM,Kilometer
KT,Kiloton
L,Liter
LB,US pound
M,Meter
M2,Square meter
M3,Cubic meter
MG,Milligram
ML,Milliliter
MM,Millimeter
OZ,Ounces
PAK,Pack
PAL,Pallet
PC,Piece
PCT,Percentage
PT,"Pint, US liquid"
