Year,State,Table_Data,Footnote,HighValue,LowValue,CPIAverage,High2018,Low2018
1968,Alabama,...,,0,0,34.78333333,0,0
1968,Alaska,2.1,,2.1,2.1,34.78333333,15.12,15.12
1968,Arizona,18.72 - 26.40/wk(b),(b),0.66,0.468,34.78333333,4.75,3.37
1968,Arkansas,1.25/day(b),(b),0.15625,0.15625,34.78333333,1.12,1.12
1968,California,1.65(b),(b),1.65,1.65,34.78333333,11.88,11.88
1968,Colorado,1.00 - 1.25(b),(b),1.25,1,34.78333333,9,7.2
1968,Connecticut,1.4,,1.4,1.4,34.78333333,10.08,10.08
1968,Delaware,1.25,,1.25,1.25,34.78333333,9,9
1968,District of Columbia,1.25 - 1.40,,1.4,1.25,34.78333333,10.08,9
1968,Federal (FLSA),$1.15 & $1.60,,1.6,1.15,34.78333333,11.52,8.28
1968,Florida,...,,0,0,34.78333333,0,0
1968,Georgia,...,,0,0,34.78333333,0,0
1968,Guam,1.25,,1.25,1.25,34.78333333,9,9
1968,Hawaii,1.25,,1.25,1.25,34.78333333,9,9
1968,Idaho,1.15,,1.15,1.15,34.78333333,8.28,8.28
1968,Illinois,...,,0,0,34.78333333,0,0
1968,Indiana,1.15,,1.15,1.15,34.78333333,8.28,8.28
1968,Iowa,...,,0,0,34.78333333,0,0
1968,Kansas,...,,0,0,34.78333333,0,0
1968,Kentucky,.65 - .75(b),(b),0.75,0.65,34.78333333,5.4,4.68
1968,Louisiana,...,,0,0,34.78333333,0,0
1968,Maine,1.4,,1.4,1.4,34.78333333,10.08,10.08
1968,Maryland,1.00 & 1.15,,1.15,1,34.78333333,8.28,7.2
1968,Massachusetts,1.6,,1.6,1.6,34.78333333,11.52,11.52
1968,Michigan,1.25,,1.25,1.25,34.78333333,9,9
1968,Minnesota,.70 - 1.15(b),(b),1.15,0.7,34.78333333,8.28,5.04
1968,Mississippi,...,,0,0,34.78333333,0,0
1968,Missouri,...,,0,0,34.78333333,0,0
1968,Montana,...,,0,0,34.78333333,0,0
1968,Nebraska,1,,1,1,34.78333333,7.2,7.2
1968,Nevada,1.25,,1.25,1.25,34.78333333,9,9
1968,New Hampshire,1.4,,1.4,1.4,34.78333333,10.08,10.08
1968,New Jersey,1.4,,1.4,1.4,34.78333333,10.08,10.08
1968,New Mexico,1.15 - 1.40,,1.4,1.15,34.78333333,10.08,8.28
1968,New York,1.6,,1.6,1.6,34.78333333,11.52,11.52
1968,North Carolina,1,,1,1,34.78333333,7.2,7.2
1968,North Dakota,1.00 - 1.25,,1.25,1,34.78333333,9,7.2
1968,Ohio,.75 - 1.25(b),(b),1.25,0.75,34.78333333,9,5.4
1968,Oklahoma,1,,1,1,34.78333333,7.2,7.2
1968,Oregon,1.25,,1.25,1.25,34.78333333,9,9
1968,Pennsylvania,1.15,,1.15,1.15,34.78333333,8.28,8.28
1968,Puerto Rico,.43 - 1.60,,1.6,0.43,34.78333333,11.52,3.1
1968,Rhode Island,1.4,,1.4,1.4,34.78333333,10.08,10.08
1968,South Carolina,...,,0,0,34.78333333,0,0
1968,South Dakota,17.00 - 20.00/wk,,0.5,0.425,34.78333333,3.6,3.06
1968,Tennessee,...,,0,0,34.78333333,0,0
1968,Texas,...,,0,0,34.78333333,0,0
1968,U.S. Virgin Islands,,,,,34.78333333,,
1968,Utah,1.00 - 1.15(b),(b),1.15,1,34.78333333,8.28,7.2
1968,Vermont,1.4,,1.4,1.4,34.78333333,10.08,10.08
1968,Virginia,...,,0,0,34.78333333,0,0
1968,Washington,1.6,,1.6,1.6,34.78333333,11.52,11.52
1968,West Virginia,1,,1,1,34.78333333,7.2,7.2
1968,Wisconsin,1.25 (b),(b),1.25,1.25,34.78333333,9,9
1968,Wyoming,1.2,,1.2,1.2,34.78333333,8.64,8.64
1969,Alabama,...,,0,0,36.68333333,0,0
1969,Alaska,2.1,,2.1,2.1,36.68333333,14.33,14.33
1969,Arizona,18.72 - 26.40/wk(b),(b),0.66,0.468,36.68333333,4.51,3.19
1969,Arkansas,1.25/day(b),(b),0.15625,0.15625,36.68333333,1.07,1.07
1969,California,1.65(b),(b),1.65,1.65,36.68333333,11.26,11.26
1969,Colorado,1.00 - 1.25(b),(b),1.25,1,36.68333333,8.53,6.83
1969,Connecticut,1.4,,1.4,1.4,36.68333333,9.56,9.56
1969,Delaware,1.25,,1.25,1.25,36.68333333,8.53,8.53
1969,District of Columbia,1.25 - 1.40,,1.4,1.25,36.68333333,9.56,8.53
1969,Federal (FLSA),$1.15 & $1.60,,1.6,1.15,36.68333333,10.92,7.85
1969,Florida,...,,0,0,36.68333333,0,0
1969,Georgia,...,,0,0,36.68333333,0,0
1969,Guam,1.25,,1.25,1.25,36.68333333,8.53,8.53
1969,Hawaii,1.25,,1.25,1.25,36.68333333,8.53,8.53
1969,Idaho,1.15,,1.15,1.15,36.68333333,7.85,7.85
1969,Illinois,...,,0,0,36.68333333,0,0
1969,Indiana,1.15,,1.15,1.15,36.68333333,7.85,7.85
1969,Iowa,...,,0,0,36.68333333,0,0
1969,Kansas,...,,0,0,36.68333333,0,0
1969,Kentucky,.65 - .75(b),(b),0.75,0.65,36.68333333,5.12,4.44
