ContinentCountryofNationality,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,2112.00,2567.00,2686.00,2852.00,2666.00,3055.00,5054.00,4860.00,4303.00,3724.00
Asia,3340.00,4446.00,4846.00,5556.00,5421.00,6467.00,8031.00,7528.00,7429.00,6652.00
Europe,553.00,672.00,755.00,812.00,729.00,961.00,1213.00,778.00,571.00,729.00
North America,3600.00,2243.00,1753.00,1484.00,1421.00,1543.00,1649.00,1143.00,1594.00,5811.00
Oceania,18.00,27.00,23.00,18.00,8.00,19.00,20.00,10.00,21.00,4.00
South America,3384.00,2440.00,1974.00,1129.00,929.00,1327.00,1423.00,846.00,630.00,911.00
Unknown,41.00,53.00,92.00,129.00,53.00,47.00,38.00,40.00,35.00,47.00
Afghanistan,9.00,43.00,45.00,80.00,113.00,119.00,157.00,96.00,105.00,156.00
Albania,44.00,33.00,32.00,33.00,27.00,18.00,21.00,14.00,31.00,22.00
Algeria,5.00,,8.00,5.00,9.00,8.00,12.00,3.00,8.00,6.00
Angola,3.00,5.00,4.00,,,15.00,9.00,8.00,8.00,35.00
Armenia,155.00,205.00,105.00,88.00,86.00,48.00,36.00,77.00,88.00,46.00
Azerbaijan,28.00,16.00,10.00,23.00,21.00,18.00,28.00,23.00,15.00,15.00
Bahrain,,,,,,4.00,22.00,4.00,3.00,
Bangladesh,36.00,29.00,32.00,46.00,35.00,30.00,29.00,41.00,140.00,131.00
Belarus,100.00,85.00,78.00,113.00,65.00,114.00,200.00,106.00,48.00,72.00
Bhutan,8.00,13.00,5.00,8.00,,,,,,4.00
Bolivia,,3.00,8.00,10.00,15.00,19.00,21.00,8.00,,3.00
Bosnia-Herzegovina,17.00,14.00,9.00,5.00,7.00,5.00,8.00,5.00,3.00,6.00
Brazil,36.00,43.00,38.00,51.00,46.00,38.00,46.00,27.00,24.00,33.00
Bulgaria,34.00,37.00,48.00,24.00,17.00,13.00,19.00,13.00,18.00,12.00
Burkina Faso,13.00,31.00,18.00,21.00,41.00,55.00,58.00,65.00,64.00,42.00
Burma,94.00,131.00,153.00,168.00,158.00,144.00,99.00,55.00,34.00,43.00
Burundi,29.00,27.00,28.00,21.00,21.00,20.00,20.00,25.00,70.00,75.00
Cambodia,15.00,11.00,5.00,5.00,8.00,,,,9.00,
Cameroon,246.00,310.00,294.00,237.00,187.00,233.00,255.00,154.00,112.00,92.00
Central African Republic,5.00,6.00,13.00,15.00,13.00,6.00,8.00,9.00,15.00,14.00
Chad,19.00,31.00,35.00,37.00,18.00,8.00,12.00,5.00,10.00,9.00
"China, People's Republic",1550.00,1832.00,2041.00,2717.00,2899.00,3889.00,4749.00,4050.00,3904.00,2582.00
Colombia,2179.00,1492.00,1115.00,638.00,359.00,325.00,335.00,177.00,246.00,245.00
"Congo, Democratic Republic",49.00,40.00,39.00,31.00,32.00,51.00,71.00,50.00,45.00,64.00
"Congo, Republic",60.00,73.00,53.00,43.00,69.00,88.00,79.00,73.00,52.00,61.00
Cote d'Ivoire,74.00,56.00,43.00,38.00,37.00,104.00,109.00,58.00,25.00,38.00
Cuba,50.00,43.00,64.00,27.00,24.00,20.00,24.00,25.00,11.00,6.00
Djibouti,,,,7.00,16.00,46.00,15.00,12.00,13.00,47.00
Dominican Republic,3.00,3.00,,,,4.00,16.00,4.00,3.00,7.00
Ecuador,10.00,14.00,11.00,8.00,9.00,5.00,18.00,14.00,15.00,137.00
Egypt,176.00,192.00,234.00,308.00,311.00,751.00,2572.00,3070.00,2579.00,1517.00
El Salvador,498.00,417.00,315.00,203.00,157.00,97.00,135.00,71.00,185.00,1870.00
Eritrea,112.00,152.00,182.00,237.00,181.00,158.00,124.00,85.00,149.00,245.00
Ethiopia,444.00,515.00,590.00,702.00,684.00,564.00,665.00,489.00,508.00,624.00
Fiji,18.00,27.00,23.00,17.00,8.00,18.00,17.00,10.00,20.00,4.00
Gambia,37.00,44.00,51.00,50.00,53.00,72.00,110.00,58.00,55.00,79.00
Georgia,14.00,13.00,20.00,21.00,17.00,9.00,11.00,12.00,17.00,22.00
Ghana,5.00,10.00,6.00,9.00,6.00,7.00,8.00,8.00,7.00,5.00
Guatemala,474.00,539.00,378.00,347.00,290.00,288.00,313.00,232.00,310.00,1713.00
Guinea,98.00,127.00,124.00,122.00,127.00,77.00,62.00,28.00,23.00,60.00
Guyana,,,3.00,3.00,5.00,,6.00,3.00,10.00,3.00
