id,city,distance,hotelNames,location,rate,reviewNumbers
0," Fatih, Istanbul","1 miles from center","Mardia city hotel"," Fatih, Istanbul", Review score , 55 reviews
1," Fatih, Istanbul","3.1 miles from center","Danis Hotel Istanbul"," Fatih, Istanbul", Exceptional , 15 reviews
2," Beyoglu, Istanbul","1 miles from center","CZN Burak Hotel"," Beyoglu, Istanbul", Very Good , 63 reviews
3," Beyoglu, Istanbul","3.1 miles from center","THE TANGO HOTEL TAKSİM"," Beyoglu, Istanbul", Awesome , 26 reviews
4," European Side, Istanbul","2 miles from center","Ramada Istanbul Alibeykoy"," European Side, Istanbul", Excellent , 216 reviews
5," Sisli, Istanbul","3.1 miles from center","Style Hotel Sisli"," Sisli, Istanbul", Good , 63 reviews
6," Sisli, Istanbul","1.9 miles from center","Wyndham Grand Istanbul Levent"," Sisli, Istanbul", Excellent ," 3,150 reviews "
7," Fatih, Istanbul","3.1 miles from center","The Lola Hotel"," Fatih, Istanbul", Good , 320 reviews
8," Beyoglu, Istanbul","4.3 miles from center","The Wings Hotel Istanbul"," Beyoglu, Istanbul", Awesome , 341 reviews
9, Istanbul,"3.7 miles from center","Radisson Residences Vadistanbul", Istanbul, Excellent , 161 reviews
10," Beyoglu, Istanbul","5 miles from center","Pera İmperium Taksim"," Beyoglu, Istanbul", Excellent , 116 reviews
11," Uskudar, Istanbul","3.1 miles from center","Ramada Istanbul Asia Luxury Hotel"," Uskudar, Istanbul", Very Good , 538 reviews
12," Beyoglu, Istanbul","1,300 feet from center","Newgalatagrace"," Beyoglu, Istanbul", Good , 122 reviews
13," Beyoglu, Istanbul","1 miles from center","Walton Hotels Taksim Pera"," Beyoglu, Istanbul", Awesome , 496 reviews
14," Beyoglu, Istanbul","6.8 miles from center","Mirrors Hotel"," Beyoglu, Istanbul", Good , 333 reviews
15," Bakirkoy, Istanbul","2 miles from center","Cloud7"," Bakirkoy, Istanbul", Excellent , 389 reviews
16," Fatih, Istanbul","3.1 miles from center","Fuego Design Suites"," Fatih, Istanbul", Awesome , 51 reviews
17," Fatih, Istanbul","3.7 miles from center","Divas Konak"," Fatih, Istanbul", Good , 21 reviews
18," Beyoglu, Istanbul","3.1 miles from center","Corinne Art & Boutique Hotel"," Beyoglu, Istanbul", Very Good , 634 reviews
19," Fatih, Istanbul","1.3 miles from center","Hotel Empress Zoe"," Fatih, Istanbul", Awesome , 527 reviews
20," Fatih, Istanbul","3.1 miles from center","4ANGELS HOTEL"," Fatih, Istanbul", Excellent , 241 reviews
21," Fatih, Istanbul","1.9 miles from center","Hotel Black Tulip"," Fatih, Istanbul", Excellent , 963 reviews
22," Fatih, Istanbul","1.8 miles from center","Obelisk Hotel & Suites"," Fatih, Istanbul", Awesome , 169 reviews
23," Fatih, Istanbul","5.6 miles from center","Star Holiday Hotel"," Fatih, Istanbul", Very Good , 884 reviews
24," Fatih, Istanbul","800 feet from center","Enderun Hotel Istanbul"," Fatih, Istanbul", Excellent , 258 reviews
25," Bakirkoy, Istanbul","5.6 miles from center","Cloud7"," Bakirkoy, Istanbul", Excellent , 389 reviews
26," Fatih, Istanbul","800 feet from center","Fuego Design Suites"," Fatih, Istanbul", Awesome , 51 reviews
27," Fatih, Istanbul","1,300 feet from center","Divas Konak"," Fatih, Istanbul", Good , 21 reviews
28," Beyoglu, Istanbul","1.8 miles from center","Corinne Art & Boutique Hotel"," Beyoglu, Istanbul", Very Good , 634 reviews
29," Fatih, Istanbul","1,950 feet from center","Hotel Empress Zoe"," Fatih, Istanbul", Awesome , 527 reviews
30," Fatih, Istanbul","2,450 feet from center","4ANGELS HOTEL"," Fatih, Istanbul", Excellent , 241 reviews
31," Fatih, Istanbul","2,150 feet from center","Hotel Black Tulip"," Fatih, Istanbul", Excellent , 963 reviews
32," Fatih, Istanbul","1,800 feet from center","Obelisk Hotel & Suites"," Fatih, Istanbul", Awesome , 169 reviews
33," Fatih, Istanbul","800 feet from center","Star Holiday Hotel"," Fatih, Istanbul", Very Good , 884 reviews
