INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
AG.LND.EL5M.ZS,"Land area where elevation is below 5 meters (% of total land area)","Land area below 5m is the percentage of total land where the elevation is 5 meters or less.","Center for International Earth Science Information Network (CIESIN), Place II dataset."
AG.LND.FRST.K2,"Forest area (sq. km)","Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site."
AG.LND.FRST.ZS,"Forest area (% of land area)","Forest area is land under natural or planted stands of trees of at least 5 meters in situ, whether productive or not, and excludes tree stands in agricultural production systems (for example, in fruit plantations and agroforestry systems) and trees in urban parks and gardens.","Food and Agriculture Organization, electronic files and web site."
AG.PRD.CREL.MT,"Cereal production (metric tons)","Production data on cereals relate to crops harvested for dry grain only. Cereal crops harvested for hay or harvested green for food, feed, or silage and those used for grazing are excluded.","Food and Agriculture Organization, electronic files and web site."
EG.ELC.ACCS.ZS,"Access to electricity (% of population)","Access to electricity is the percentage of population with access to electricity.","World Bank, Sustainable Energy for All (SE4ALL) database from World Bank, Global Electrification database."
EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)","Sources of electricity refer to the inputs used to generate electricity. Oil refers to crude oil and petroleum products. Gas refers to natural gas but excludes natural gas liquids. Coal refers to all coal and brown coal, both primary (including hard coal and lignite-brown coal) and derived fuels (including patent fuel, coke oven coke, gas coke, coke oven gas, and blast furnace gas). Peat is also included in this category.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp), Energy Statistics and Balances of Non-OECD Countries, Energy Statistics of OECD Countries, and Energy Balances of OECD Countries."
EG.ELC.RNEW.KH,"Electricity production from renewable sources (kWh)","Electricity production from renewable sources includes hydropower, geothermal, solar, tides, wind, biomass, and biofuels.","IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp), Energy Statistics and Balances of Non-OECD Countries, Energy Statistics of OECD Countries, and Energy Balances of OECD Countries"
EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)","Electricity production from renewable sources, excluding hydroelectric, includes geothermal, solar, tides, wind, biomass, and biofuels.
","IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp), Energy Statistics and Balances of Non-OECD Countries, Energy Statistics of OECD Countries, and Energy Balances of OECD Countries"
EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric, includes geothermal, solar, tides, wind, biomass, and biofuels.
","IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp), Energy Statistics and Balances of Non-OECD Countries, Energy Statistics of OECD Countries, and Energy Balances of OECD Countries"
EN.ATM.CO2E.EG.ZS,"CO2 intensity (kg per kg of oil equivalent energy use)","Carbon dioxide emissions from solid fuel consumption refer mainly to emissions from use of coal as an energy source.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.GF.KT,"CO2 emissions from gaseous fuel consumption (kt) ","Carbon dioxide emissions from liquid fuel consumption refer mainly to emissions from use of natural gas as an energy source.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.GF.ZS,"CO2 emissions from gaseous fuel consumption (% of total) ","Carbon dioxide emissions from liquid fuel consumption refer mainly to emissions from use of natural gas as an energy source.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.KD.GD,"CO2 emissions (kg per 2005 US$ of GDP)","Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.KT,"CO2 emissions (kt)","Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.LF.KT,"CO2 emissions from liquid fuel consumption (kt) ","Carbon dioxide emissions from liquid fuel consumption refer mainly to emissions from use of petroleum-derived fuels as an energy source.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.LF.ZS,"CO2 emissions from liquid fuel consumption (% of total) ","Carbon dioxide emissions from liquid fuel consumption refer mainly to emissions from use of petroleum-derived fuels as an energy source.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.PC,"CO2 emissions (metric tons per capita)","Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.PP.GD,"CO2 emissions (kg per PPP $ of GDP)","Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.PP.GD.KD,"CO2 emissions (kg per 2011 PPP $ of GDP)","Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.SF.KT,"CO2 emissions from solid fuel consumption (kt) ","Carbon dioxide emissions from solid fuel consumption refer mainly to emissions from use of coal as an energy source.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.CO2E.SF.ZS,"CO2 emissions from solid fuel consumption (% of total)","Carbon dioxide emissions from solid fuel consumption refer mainly to emissions from use of coal as an energy source.","Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States."
EN.ATM.GHGO.KT.CE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","Other greenhouse gas emissions are by-product emissions of hydrofluorocarbons, perfluorocarbons, and sulfur hexafluoride.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.HFCG.KT.CE,"HFC gas emissions (thousand metric tons of CO2 equivalent)","Hydrofluorocarbons, used as a replacement for chlorofluorocarbons, are used mainly in refrigeration and semiconductor manufacturing.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.METH.AG.KT.CE,"Agricultural methane emissions (thousand metric tons of CO2 equivalent)","Agricultural methane emissions are emissions from animals, animal waste, rice production, agricultural waste burning (nonenergy, on-site), and savannah burning.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.METH.AG.ZS,"Agricultural methane emissions (% of total)","Agricultural methane emissions are emissions from animals, animal waste, rice production, agricultural waste burning (nonenergy, on-site), and savannah burning.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.METH.EG.KT.CE,"Methane emissions in energy sector (thousand metric tons of CO2 equivalent)","Methane emissions from energy processes are emissions from the production, handling, transmission, and combustion of fossil fuels and biofuels.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.METH.EG.ZS,"Energy related methane emissions (% of total)","Methane emissions from energy processes are emissions from the production, handling, transmission, and combustion of fossil fuels and biofuels.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.METH.KT.CE,"Methane emissions (kt of CO2 equivalent)","Methane emissions are those stemming from human activities such as agriculture and from industrial methane production.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.NOXE.AG.KT.CE,"Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)","Agricultural nitrous oxide emissions are emissions produced through fertilizer use (synthetic and animal manure), animal waste management, agricultural waste burning (nonenergy, on-site), and savannah burning.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.NOXE.AG.ZS,"Agricultural nitrous oxide emissions (% of total)","Agricultural nitrous oxide emissions are emissions produced through fertilizer use (synthetic and animal manure), animal waste management, agricultural waste burning (nonenergy, on-site), and savannah burning.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.NOXE.EG.KT.CE,"Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)","Nitrous oxide emissions from energy processes are emissions produced by the combustion of fossil fuels and biofuels.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.NOXE.EI.ZS,"Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions)","Industrial nitrous oxide emissions are emissions produced during the manufacturing of adipic acid and nitric acid. Nitrous oxide emissions from energy processes are emissions produced by the combustion of fossil fuels and biofuels.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.NOXE.IN.KT.CE,"Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent)","Industrial nitrous oxide emissions are emissions produced during the manufacturing of adipic acid and nitric acid.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.NOXE.KT.CE,"Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","Nitrous oxide emissions are emissions from agricultural biomass burning, industrial activities, and livestock management.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.PFCG.KT.CE,"PFC gas emissions (thousand metric tons of CO2 equivalent)","Perfluorocarbons, used as a replacement for chlorofluorocarbons in manufacturing semiconductors, are a byproduct of aluminum smelting and uranium enrichment.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.ATM.PM25.MC.M3,"PM2.5 pollution, mean annual exposure (micrograms per cubic meter)","Population-weighted exposure to ambient PM2.5 pollution is defined as the average level of exposure of a nation's population to concentrations of suspended particulates measuring less than 2.5 microns in diameter, which are capable of penetrating deep into the respiratory tract and causing severe health damage.  Exposure is calculated by weighting mean annual concentrations of PM2.5 by population in both urban and rural areas.","Data are provided by the Institute for Health Metrics and Evaluation at the University of Washington. See Brauer, M. Amman, R.T. Burnett, A. Cohen, F. Dentener, M. Ezzati, S.B. Henderson, M. Krzyzanowski, R.V. Martin, R. Van Dingenen, A. van Donkelaar, and G.D. Thurston, “Exposure Assessment for Estimation of the Global Burden of Disease Attributable to Outdoor Air Pollution,” Environmental Science & Technology 46 (2012), doi: 10.1021/es2025752."
EN.ATM.PM25.MC.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO guideline value (% of total)","Percent of population exposed to ambient concentrations of PM2.5 that exceed the WHO guideline value is defined as the portion of a country’s population living in places where mean annual concentrations of PM2.5 are greater than 10 micrograms per cubic meter, the guideline value recommended by the World Health Organization as the lower end of the range of concentrations over which adverse health effects due to PM2.5 exposure have been observed.","Data are provided by the Institute for Health Metrics and Evaluation at the University of Washington. See Brauer, M. Amman, R.T. Burnett, A. Cohen, F. Dentener, M. Ezzati, S.B. Henderson, M. Krzyzanowski, R.V. Martin, R. Van Dingenen, A. van Donkelaar, and G.D. Thurston, “Exposure Assessment for Estimation of the Global Burden of Disease Attributable to Outdoor Air Pollution,” Environmental Science & Technology 46 (2012), doi: 10.1021/es2025752."
EN.ATM.SF6G.KT.CE,"SF6 gas emissions (thousand metric tons of CO2 equivalent)","Sulfur hexafluoride is used largely to insulate high-voltage electric power equipment.","International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp)."
EN.BIR.THRD.NO,"Bird species, threatened","Birds are listed for countries included within their breeding or wintering ranges. Threatened species are the number of species classified by the IUCN as endangered, vulnerable, rare, indeterminate, out of danger, or insufficiently known.","United Nations Environmental Program and the World Conservation Monitoring Centre, and International Union for Conservation of Nature, Red List of Threatened Species."
EN.CLC.DRSK.XQ,"Disaster risk reduction progress score (1-5 scale; 5=best)","Disaster risk reduction progress score is an average of self-assessment scores, ranging from 1 to 5, submitted by countries under Priority 1 of the Hyogo Framework National Progress Reports.  The Hyogo Framework is a global blueprint for disaster risk reduction efforts that was adopted by 168 countries in 2005.  Assessments of "Priority 1" include four indicators that reflect the degree to which countries have prioritized disaster risk reduction and the strengthening of relevant institutions.","(UNISDR, 2009-2011 Progress Reports, http://www.preventionweb.net/english/hyogo)."
