loanid,accountid,date,amount,duration,payments,status
4959,2,1994-01-05,80952,24,3373.00,A
4961,19,1996-04-29,30276,12,2523.00,B
4962,25,1997-12-08,30276,12,2523.00,A
4967,37,1998-10-14,318480,60,5308.00,D
4968,38,1998-04-19,110736,48,2307.00,C
4973,67,1996-05-02,165960,24,6915.00,A
4986,97,1997-08-10,102876,12,8573.00,A
4988,103,1997-12-06,265320,36,7370.00,D
4989,105,1998-12-05,352704,48,7348.00,C
4990,110,1997-09-08,162576,36,4516.00,C
4996,132,1996-11-06,88440,12,7370.00,A
5002,173,1994-05-31,104808,12,8734.00,A
5005,176,1997-04-10,27456,12,2288.00,A
5015,226,1998-07-12,109344,12,9112.00,C
5027,276,1998-12-02,160920,36,4470.00,C
5032,290,1994-11-03,123696,48,2577.00,A
5034,303,1998-05-30,112752,36,3132.00,C
5036,309,1998-11-25,91248,48,1901.00,C
5039,314,1997-05-03,66840,24,2785.00,C
5041,319,1997-07-11,369000,60,6150.00,C
5042,330,1998-07-12,331584,48,6908.00,C
5043,339,1997-12-25,468060,60,7801.00,C
5044,344,1994-12-21,100980,60,1683.00,C
5045,347,1995-05-01,187224,24,7801.00,B
5046,349,1998-09-09,42816,12,3568.00,C
5051,378,1997-10-11,230400,60,3840.00,C
5060,426,1994-07-19,252060,60,4201.00,D
5061,440,1998-03-13,84288,48,1756.00,C
5063,442,1997-07-10,357840,48,7455.00,D
5072,472,1997-04-28,196800,24,8200.00,D
5082,501,1996-10-24,262980,60,4383.00,C
5086,525,1997-07-16,210384,48,4383.00,C
5088,544,1996-08-22,91152,24,3798.00,A
5103,666,1997-11-28,12540,12,1045.00,A
5110,675,1997-04-01,102240,60,1704.00,C
5117,718,1997-08-20,76944,12,6412.00,A
5124,785,1998-02-12,156096,36,4336.00,C
5125,789,1995-11-23,73056,48,1522.00,C
5126,790,1994-07-24,208128,48,4336.00,B
5128,808,1996-04-11,215616,48,4492.00,D
5130,813,1994-05-11,24312,12,2026.00,A
5131,816,1995-01-08,48624,24,2026.00,A
5132,817,1995-02-17,538500,60,8975.00,C
5134,825,1997-02-02,53076,12,4423.00,A
5136,846,1996-07-28,187104,24,7796.00,A
5138,854,1995-05-30,87216,48,1817.00,C
5140,873,1998-02-24,178500,60,2975.00,C
5145,915,1995-09-16,309552,48,6449.00,C
5147,938,1998-05-21,22260,60,371.00,C
5148,940,1996-05-29,284280,60,4738.00,C
5151,960,1995-05-24,189060,60,3151.00,C
5154,993,1998-07-01,108720,60,1812.00,C
5158,1004,1998-04-11,188532,36,5237.00,C
5160,1011,1995-12-18,204000,60,3400.00,C
5161,1012,1994-10-28,98184,24,4091.00,A
