GDI_Rank,Country,Gender_Development_Index_GDI,Human_Development_Index_Female,Human_Development_Index_Male,Life_Expectancy_at_Birth_Female,Life_Expectancy_at_Birth_Male,Expected_Years_of_Education_Female,Expected_Years_of_Education_Male,Mean_Years_of_Education_Female,Mean_Years_of_Education_Male,Estimated_Gross_National_Income_per_Capita_Female,Estimated_Gross_National_Income_per_Capita_Male
1,Norway,0.996,0.94,0.944,83.6,79.5,18.2,16.8,12.7,12.5,57140,72825
2,Australia,0.976,0.922,0.945,84.5,80.3,20.7,19.7,13.1,12.9,33688,50914
3,Switzerland,0.95,0.898,0.945,85,80.8,15.7,15.9,11.5,13.1,44132,69077
4,Denmark,0.977,0.912,0.934,82.2,78.3,19.3,18.1,12.8,12.7,36439,51727
5,Netherlands,0.947,0.893,0.943,83.3,79.7,18,17.9,11.6,12.2,29500,61641
6,Germany,0.963,0.901,0.936,83.3,78.5,16.3,16.6,12.9,13.8,34886,53290
6,Ireland,0.973,0.901,0.926,83,78.8,18.5,18.7,12.3,12,30104,49166
8,United States,0.995,0.911,0.916,81.4,76.7,17.2,15.7,13,12.9,43054,63158
9,Canada,0.982,0.904,0.921,84,80,16.3,15.5,13.1,13,33587,50853
9,New Zealand,0.961,0.894,0.93,83.6,80,20,18.3,12.5,12.6,24309,41372
11,Singapore,0.985,0.898,0.912,86,79.9,15.5,15.3,10.1,10.9,59994,93699
12,"Hong Kong, China (SAR)",0.958,0.892,0.931,86.8,81.2,15.7,15.5,10.9,11.9,38060,72052
13,Liechtenstein,,,,,,13.8,16.1,,,,
14,Sweden,0.999,0.906,0.906,83.9,80.4,16.6,15.1,12.2,12,40222,51084
14,United Kingdom,0.965,0.888,0.92,82.6,78.7,16.6,15.8,12.9,13.2,27259,51628
16,Iceland,0.975,0.886,0.909,84,81,20.1,17.9,10.8,10.4,28792,41486
17,Korea (Republic of),0.93,0.861,0.926,85,78.5,16,17.7,11.2,12.7,21896,46018
18,Israel,0.971,0.879,0.905,84.1,80.5,16.5,15.5,12.5,12.6,22451,39064
19,Luxembourg,0.971,0.877,0.903,83.9,79.3,14,13.7,11.3,12.1,47723,69800
20,Japan,0.961,0.87,0.905,86.7,80.2,15.2,15.5,11.3,11.7,24975,49541
21,Belgium,0.975,0.872,0.895,83.2,78.3,16.7,16,10.6,11.1,31879,50845
