walsCode,isoCode,glottocode,Name,genus,family,macroarea,countrycodes
aab,,,Arapesh (Abu),Kombio-Arapesh,Torricelli,,PG
aar,aiw,aari1239,Aari,South Omotic,Afro-Asiatic,Africa,ET
aba,aau,abau1245,Abau,Upper Sepik,Sepik,Papunesia,PG
abb,shu,chad1249,Arabic (Abbéché Chad),Semitic,Afro-Asiatic,Africa,TD
abd,abi,abid1235,Abidji,Kwa,Niger-Congo,Africa,CI
abe,apc,nort3139,Arabic (Beirut),Semitic,Afro-Asiatic,Eurasia,LB
abh,abv,baha1259,Arabic (Bahrain),Semitic,Afro-Asiatic,Eurasia,BH
abi,axb,abip1241,Abipón,South Guaicuruan,Guaicuruan,South America,AR
abk,abk,abkh1244,Abkhaz,Northwest Caucasian,Northwest Caucasian,Eurasia,GE
abm,akz,alab1237,Alabama,Muskogean,Muskogean,North America,US
abn,ard,arab1267,Arabana,Central Pama-Nyungan,Pama-Nyungan,Australia,AU
abo,arv,arbo1245,Arbore,Lowland East Cushitic,Afro-Asiatic,Africa,ET
abu,kgr,abun1252,Abun,North-Central Bird's Head,West Papuan,Papunesia,ID
abv,abz,abui1241,Abui,Greater Alor,Timor-Alor-Pantar,Papunesia,ID
abw,abe,west2630,Abenaki (Western),Algonquian,Algic,North America,US CA
abz,abq,abaz1241,Abaza,Northwest Caucasian,Northwest Caucasian,Eurasia,RU
ace,ace,achi1257,Acehnese,Malayo-Sumbawan,Austronesian,Eurasia,ID
acg,aca,acha1250,Achagua,Inland Northern Arawakan,Arawakan,South America,CO
ach,guq,ache1246,Aché,Tupi-Guaraní,Tupian,South America,PY
aci,acr,quic1275,Achí,Mayan,Mayan,North America,GT
acl,ach,acol1236,Acholi,Nilotic,Eastern Sudanic,Africa,UG SD
acm,acv,achu1247,Achumawi,Palaihnihan,Hokan,North America,US
acn,acn,acha1249,Achang,Burmese-Lolo,Sino-Tibetan,Eurasia,MM CN
aco,kjq,west2632,Acoma,Keresan,Keresan,North America,US
acu,acu,achu1248,Achuar,Jivaroan,Jivaroan,South America,PE
ada,ads,adam1238,Adamorobe Sign Language,Sign Languages,other,Africa,GH
adg,adn,adan1251,Adang,Greater Alor,Timor-Alor-Pantar,Papunesia,ID
adi,adj,adio1239,Adioukrou,Kwa,Niger-Congo,Africa,CI
adk,ano,ando1256,Andoke,Andoke,Andoke,South America,CO
adn,adt,adny1235,Adynyamathanha,Central Pama-Nyungan,Pama-Nyungan,Australia,AU
adt,ady,adyg1241,Adyghe (Temirgoy),Northwest Caucasian,Northwest Caucasian,Eurasia,RU
ady,ady,adyg1241,Adyghe (Abzakh),Northwest Caucasian,Northwest Caucasian,Eurasia,RU
adz,adz,adze1240,Adzera,Oceanic,Austronesian,Papunesia,PG
aea,ale,aleu1260,Aleut (Eastern),Aleut,Eskimo-Aleut,North America,US
aeg,arz,egyp1253,Arabic (Egyptian),Semitic,Afro-Asiatic,Africa,EG
ael,ayl,liby1240,Arabic (Eastern Libyan),Semitic,Afro-Asiatic,Africa,LY
afr,afr,afri1274,Afrikaans,Germanic,Indo-European,Africa,ZA
aga,agd,agar1252,Agarabi,Eastern Highlands,Trans-New Guinea,Papunesia,PG
agb,agb,legb1242,Leggbó,Cross River,Niger-Congo,Africa,NG
agc,agt,cent2084,Agta (Central),Greater Central Philippine,Austronesian,Papunesia,PH
agd,duo,dupa1235,Agta (Dupaningan),Greater Central Philippine,Austronesian,Papunesia,PH
agh,agq,aghe1239,Aghem,Bantoid,Niger-Congo,Africa,CM
agl,agx,aghu1253,Aghul,Lezgic,Nakh-Daghestanian,Eurasia,RU
agm,nri,anga1287,Angami,Kuki-Chin,Sino-Tibetan,Eurasia,IN
ago,aoa,ango1258,Angolar,Creoles and Pidgins,other,Africa,ST
agr,agr,agua1253,Aguaruna,Jivaroan,Jivaroan,South America,PE
agt,lnj,leni1238,Anguthimri,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU
agu,agu,agua1252,Aguacatec,Mayan,Mayan,North America,GT
agw,wbj,alag1248,Alagwa,Southern Cushitic,Afro-Asiatic,Africa,TZ
aho,arp,arap1274,Arapaho,Algonquian,Algic,North America,US
ahs,mey,hass1238,Arabic (Bani-Hassan),Semitic,Afro-Asiatic,Africa,MR
aht,aht,ahte1237,Ahtna,Athapaskan,Na-Dene,North America,US
ahu,ahh,aghu1255,Aghu,Awju-Dumut,Trans-New Guinea,Papunesia,ID
aik,tba,aika1237,Aikaná,Aikaná,Aikaná,South America,BR
ain,ain,ainu1240,Ainu,Ainu,Ainu,Eurasia,JP
aiz,ahp,apro1235,Aizi,Kru,Niger-Congo,Africa,CI
aja,aja,ajas1235,Aja,Kresh,Central Sudanic,Africa,SD CF
ajg,ajg,ajab1235,Ajagbe,Kwa,Niger-Congo,Africa,TG BJ
aji,aji,ajie1238,Ajië,Oceanic,Austronesian,Papunesia,NC
aka,axk,yaka1272,Aka,Bantoid,Niger-Congo,Africa,CF CG
akb,abj,akab1249,Aka-Biada,Great Andamanese,Great Andamanese,Eurasia,IN
akc,aci,akac1240,Aka-Cari,Great Andamanese,Great Andamanese,Eurasia,IN
akh,ahk,akha1245,Akha,Burmese-Lolo,Sino-Tibetan,Eurasia,MM TH CN
akk,akx,akak1252,Aka-Kede,Great Andamanese,Great Andamanese,Eurasia,IN
akl,akl,akla1241,Aklanon,Greater Central Philippine,Austronesian,Papunesia,PH
akm,mhv,marm1234,Arakanese (Marma),Burmese-Lolo,Sino-Tibetan,Eurasia,MM BD
akn,aka,akan1250,Akan,Kwa,Niger-Congo,Africa,GH
ako,acy,cypr1248,Arabic (Kormakiti),Semitic,Afro-Asiatic,Eurasia,CY
akr,ari,arik1262,Arikara,Caddoan,Caddoan,North America,US
akw,ake,akaw1239,Akawaio,Cariban,Cariban,South America,GY
ala,amp,alam1246,Alamblak,Sepik Hill,Sepik,Papunesia,PG
alb,aln,tosk1239,Albanian,Albanian,Indo-European,Eurasia,AL RS
alc,,alle1238,Allentiac,Huarpe,Huarpe,South America,AR
ald,ald,alla1248,Alladian,Kwa,Niger-Congo,Africa,CI
ale,ale,aleu1260,Aleut,Aleut,Eskimo-Aleut,North America,US
alg,alq,algo1255,Algonquin,Algonquian,Algic,North America,CA
alk,apr,arop1243,Arop-Lokep,Oceanic,Austronesian,Papunesia,PG
all,nrz,lala1268,Ala'ala,Oceanic,Austronesian,Papunesia,PG
aln,alp,alun1238,Alune,Central Malayo-Polynesian,Austronesian,Papunesia,ID
als,aes,alse1251,Alsea,Alsea,Oregon Coast,North America,US
alt,gsw,swis1247,Alsatian,Germanic,Indo-European,Eurasia,FR
alu,alr,alut1245,Alutor,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Eurasia,RU
alw,alh,alaw1244,Alawa,Alawa,Mangarrayi-Maran,Australia,AU
alx,btz,bata1292,Alas,Northwest Sumatra-Barrier Islands,Austronesian,Papunesia,ID
aly,aly,alya1239,Alyawarra,Central Pama-Nyungan,Pama-Nyungan,Australia,AU
ama,aie,amar1272,Amara,Oceanic,Austronesian,Papunesia,PG
amb,abt,ambu1247,Ambulas,Middle Sepik,Sepik,Papunesia,PG
amc,amc,amah1246,Amahuaca,Panoan,Panoan,South America,PE BR
amd,adx,amdo1237,Amdo,Bodic,Sino-Tibetan,Eurasia,CN
ame,aey,amel1241,Amele,Madang,Trans-New Guinea,Papunesia,PG
amh,amh,amha1245,Amharic,Semitic,Afro-Asiatic,Africa,ET
ami,ami,amis1246,Amis,East Formosan,Austronesian,Papunesia,TW
amk,amr,amar1274,Amarakaeri,Harakmbet,Harakmbet,South America,PE
aml,omb,east2443,Ambae (Lolovoli Northeast),Oceanic,Austronesian,Papunesia,VU
amm,amm,amap1240,Ama,Left May,Left May,Papunesia,PG
amn,amn,aman1265,Amanab,Border,Border,Papunesia,PG
amo,amo,amoo1242,Amo,Kainji,Niger-Congo,Africa,NG
amp,aer,east2379,Arrernte (Mparntwe),Central Pama-Nyungan,Pama-Nyungan,Australia,AU
amq,amk,amba1265,Ambai,South Halmahera - West New Guinea,Austronesian,Papunesia,ID
amr,ary,moro1292,Arabic (Moroccan),Semitic,Afro-Asiatic,Africa,MA
ams,arb,stan1318,Arabic (Modern Standard),Semitic,Afro-Asiatic,Eurasia,KM KW SO SY OM QA EG TN MA LY JO LB ER YE SA IQ PS DZ AE BH SD IL
amt,adx,amdo1237,Amdo (Themchen),Bodic,Sino-Tibetan,Eurasia,NP
amu,ame,yane1238,Yanesha',Yanesha',Arawakan,South America,PE
amx,imi,anam1248,Anamuxra,Madang,Trans-New Guinea,Papunesia,PG
amz,amu,guer1243,Amuzgo,Amuzgoan,Oto-Manguean,North America,MX
ana,aro,arao1248,Araona,Tacanan,Tacanan,South America,BO
anc,anc,ngas1240,Angas,West Chadic,Afro-Asiatic,Africa,NG
ane,anz,anem1249,Anêm,Anêm,Anêm,Papunesia,PG
ang,agg,ango1254,Anggor,Senagi,Senagi,Papunesia,PG
ani,hnh,anii1246,//Ani,Khoe-Kwadi,Khoe-Kwadi,Africa,BW
anj,aty,anei1239,Anejom,Oceanic,Austronesian,Papunesia,VU
anl,apc,nort3139,Arabic (North Levantine Spoken),Semitic,Afro-Asiatic,Eurasia,LB
ann,aoi,anin1240,Anindilyakwa,Anindilyakwa,Gunwinyguan,Australia,AU
ano,nun,nung1282,Anong,Nungish,Sino-Tibetan,Eurasia,CN MM
ant,agm,anga1290,Angaatiha,Angan,Trans-New Guinea,Papunesia,PG
anu,cko,anuf1239,Anufo,Kwa,Niger-Congo,Africa,GH TG BJ
anx,ani,andi1255,Andi,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,RU
