moleculename,class
MUSK-188,1
MUSK-190,1
MUSK-211,1
MUSK-212,1
MUSK-213,1
MUSK-219,1
MUSK-224,1
MUSK-227,1
MUSK-228,1
MUSK-236,1
MUSK-238,1
MUSK-240,1
MUSK-246,1
MUSK-254,1
MUSK-256,1
MUSK-272,1
MUSK-273,1
MUSK-284,1
MUSK-285,1
MUSK-292,1
MUSK-293,1
MUSK-301,1
MUSK-311,1
MUSK-314,1
MUSK-315,1
MUSK-316,1
MUSK-321,1
MUSK-322,1
MUSK-323,1
MUSK-330,1
MUSK-331,1
MUSK-333,1
MUSK-344,1
MUSK-f152,1
MUSK-f158,1
MUSK-f159,1
MUSK-f184,1
MUSK-f205,1
MUSK-j33,1
MUSK-j51,1
MUSK-jf17,1
MUSK-jf46,1
MUSK-jf47,1
MUSK-jf58,1
MUSK-jf59,1
MUSK-jf67,1
MUSK-jf78,1
NON-MUSK-199,0
NON-MUSK-200,0
NON-MUSK-208,0
NON-MUSK-220,0
NON-MUSK-226,0
NON-MUSK-232,0
NON-MUSK-247,0
NON-MUSK-249,0
NON-MUSK-253,0
NON-MUSK-257,0
NON-MUSK-271,0
NON-MUSK-286,0
NON-MUSK-288,0
NON-MUSK-289,0
NON-MUSK-290,0
NON-MUSK-295,0
NON-MUSK-296,0
NON-MUSK-297,0
NON-MUSK-305,0
NON-MUSK-308,0
NON-MUSK-309,0
NON-MUSK-318,0
NON-MUSK-319,0
NON-MUSK-320,0
NON-MUSK-327,0
NON-MUSK-334,0
NON-MUSK-f150,0
NON-MUSK-f161,0
NON-MUSK-f164,0
NON-MUSK-f209,0
NON-MUSK-j100,0
NON-MUSK-j129,0
NON-MUSK-j130,0
NON-MUSK-j146,0
NON-MUSK-j147,0
NON-MUSK-j148,0
NON-MUSK-j81,0
NON-MUSK-j83,0
NON-MUSK-j84,0
NON-MUSK-j90,0
NON-MUSK-j93,0
NON-MUSK-j96,0
NON-MUSK-j97,0
NON-MUSK-jp10,0
NON-MUSK-jp13,0
