CountryDependency,Population2020,YearlyChange,NetChange,DensityPKm,LandArea,Migrants,FertRate,MedAge,UrbanPop,WorldShare
China,1438207241,0.00,5540090,153,9388211,-348399,1.7,38,0.61,0.18
India,1377233523,0.01,13586631,464,2973190,-532687,2.2,28,0.35,0.18
United States,330610570,0.01,1937734,36,9147420,954806,1.8,38,0.83,0.04
Indonesia,272931713,0.01,2898047,151,1811570,-98955,2.3,30,0.56,0.04
Pakistan,219992900,0.02,4327022,287,770880,-233379,3.6,23,0.35,0.03
Brazil,212253150,0.01,1509890,25,8358140,21200,1.7,33,0.88,0.03
Nigeria,205052107,0.03,5175990,226,910770,-60000,5.4,18,0.52,0.03
Bangladesh,164354176,0.01,1643222,1265,130170,-369501,2.1,28,0.39,0.02
Russia,145922010,0.00,62206,9,16376870,182456,1.8,40,0.74,0.02
Mexico,128655589,0.01,1357224,66,1943950,-60000,2.1,29,0.84,0.02
Japan,126552765,0.00,-383840,347,364555,71560,1.4,48,0.92,0.02
Ethiopia,114357494,0.03,2884858,115,1000000,30000,4.3,19,0.21,0.01
Philippines,109280343,0.01,1464463,368,298170,-67152,2.6,26,0.47,0.01
Egypt,101930276,0.02,1946331,103,995450,-38033,3.3,25,0.43,0.01
Vietnam,97160127,0.01,876473,314,310070,-80000,2.1,32,0.38,0.01
DR Congo,88972681,0.03,2770836,40,2267050,23861,6,17,0.46,0.01
Turkey,84153250,0.01,909452,110,769630,283922,2.1,32,0.76,0.01
Iran,83771587,0.01,1079043,52,1628550,-55000,2.2,32,0.76,0.01
Germany,83730223,0.00,266897,240,348560,543822,1.6,46,0.76,0.01
Thailand,69764925,0.00,174396,137,510890,19444,1.5,40,0.51,0.01
United Kingdom,67814098,0.01,355839,281,241930,260650,1.8,40,0.83,0.01
France,65244628,0.00,143783,119,547557,36527,1.9,42,0.82,0.01
Italy,60479424,0.00,-88249,206,294140,148943,1.3,47,0.69,0.01
Tanzania,59368313,0.03,1728755,67,885800,-40076,4.9,18,0.37,0.01
South Africa,59154802,0.01,750420,49,1213090,145405,2.4,28,0.67,0.01
Myanmar,54335948,0.01,364380,83,653290,-163313,2.2,29,0.31,0.01
Kenya,53521116,0.02,1197323,94,569140,-10000,3.5,20,0.28,0.01
South Korea,51260395,0.00,43877,527,97230,11731,1.1,44,0.82,0.01
Colombia,50771878,0.01,543448,46,1109500,204796,1.8,31,0.80,0.01
Spain,46751175,0.00,18002,94,498800,40000,1.3,45,0.80,0.01
Uganda,45427637,0.03,1471413,229,199810,168694,5,17,0.26,0.01
Argentina,45111229,0.01,415097,17,2736690,4800,2.3,32,0.93,0.01
Algeria,43685618,0.02,797990,18,2381740,-10000,3.1,29,0.73,0.01
Sudan,43632213,0.02,1036022,25,1765048,-50000,4.4,20,0.35,0.01
Ukraine,43785122,-0.01,-259876,75,579320,10000,1.4,41,0.69,0.01
Iraq,40031626,0.02,912710,93,434320,7834,3.7,21,0.73,0.01
Afghanistan,38742911,0.02,886592,60,652860,-62920,4.6,18,0.25,0.01
Poland,37854825,0.00,-41157,124,306230,-29395,1.4,42,0.60,0.00
Canada,37674770,0.01,331107,4,9093510,242032,1.5,41,0.81,0.00
Morocco,36820713,0.01,438791,83,446300,-51419,2.4,30,0.64,0.00
Saudi Arabia,34701377,0.02,545343,16,2149690,134979,2.3,32,0.84,0.00
Uzbekistan,33368859,0.01,487487,79,425400,-8863,2.4,28,0.50,0.00
Peru,32876986,0.01,461401,26,1280000,99069,2.3,31,0.79,0.00
Angola,32644783,0.03,1040977,26,1246700,6413,5.6,17,0.67,0.00
Malaysia,32280610,0.01,416222,99,328550,50000,2,30,0.78,0.00
Mozambique,31067362,0.03,889399,40,786380,-5000,4.9,18,0.38,0.00
Ghana,30936375,0.02,655084,137,227540,-10000,3.9,22,0.57,0.00
Yemen,29687214,0.02,664042,56,527970,-30000,3.8,20,0.38,0.00
Nepal,29027347,0.02,528098,203,143350,41710,1.9,25,0.21,0.00
Venezuela,28451828,0.00,-79889,32,882050,-653249,2.3,30,,0.00
Madagascar,27539106,0.03,721711,48,581795,-1500,4.1,20,0.39,0.00
Cameroon,26405174,0.03,669483,56,472710,-4800,4.6,19,0.56,0.00
Côte d'Ivoire,26239250,0.03,661730,83,318000,-8000,4.7,19,0.51,0.00
North Korea,25756088,0.00,112655,214,120410,-5403,1.9,35,0.63,0.00
Australia,25439164,0.01,296686,3,7682300,158246,1.8,38,0.86,0.00
Niger,24014064,0.04,895929,19,1266700,4000,7,15,0.17,0.00
Taiwan,23808164,0.00,42899,673,35410,30001,1.2,42,0.79,0.00
Sri Lanka,21395196,0.00,89516,341,62710,-97986,2.2,34,0.18,0.00
Burkina Faso,20780371,0.03,581895,76,273600,-25000,5.2,18,0.31,0.00
Mali,20125282,0.03,592802,17,1220190,-40000,5.9,16,0.44,0.00
Romania,19262731,-0.01,-126866,84,230170,-73999,1.6,43,0.55,0.00
Malawi,19024426,0.03,501205,203,94280,-16053,4.3,18,0.18,0.00
Chile,19082804,0.01,164163,26,743532,111708,1.7,35,0.85,0.00
Kazakhstan,18730568,0.01,225280,7,2699700,-18000,2.8,31,0.58,0.00
Zambia,18273379,0.03,522925,25,743390,-8000,4.7,18,0.45,0.00
Guatemala,17846248,0.02,334096,167,107160,-9215,2.9,23,0.52,0.00
Ecuador,17587526,0.02,269392,71,248360,36400,2.4,28,0.63,0.00
Syria,17410293,0.03,430523,95,183630,-427391,2.8,26,0.60,0.00
Netherlands,17127290,0.00,37742,508,33720,16000,1.7,43,0.92,0.00
Senegal,16649599,0.03,447563,87,192530,-20000,4.7,19,0.49,0.00
Cambodia,16671185,0.01,232423,95,176520,-30000,2.5,26,0.24,0.00
Chad,16324440,0.03,478988,13,1259200,2000,5.8,17,0.23,0.00
Somalia,15798020,0.03,450317,25,627340,-40000,6.1,17,0.47,0.00
Zimbabwe,14818157,0.01,217456,38,386850,-116858,3.6,19,0.38,0.00
Guinea,13056478,0.03,361549,53,245720,-4000,4.7,18,0.39,0.00
Rwanda,12883878,0.03,325268,525,24670,-9000,4.1,20,0.18,0.00
Benin,12055347,0.03,322049,108,112760,-2000,4.9,19,0.48,0.00
Burundi,11814346,0.03,360204,463,25680,2001,5.5,17,0.14,0.00
Tunisia,11793319,0.01,123900,76,155360,-4000,2.2,33,0.70,0.00
Bolivia,11640159,0.01,159921,11,1083300,-9504,2.8,26,0.69,0.00
Belgium,11579477,0.00,50295,383,30280,48000,1.7,42,0.98,0.00
Haiti,11373955,0.01,139451,414,27560,-35000,3,24,0.57,0.00
Cuba,11327988,0.00,-6867,106,106440,-14400,1.6,42,0.78,0.00
South Sudan,11166783,0.01,131612,18,610952,-174200,4.7,19,0.25,0.00
Dominican Republic,10825682,0.01,108952,225,48320,-30000,2.4,28,0.85,0.00
Czech Republic (Czechia),10705012,0.00,19772,139,77240,22011,1.6,43,0.74,0.00
Greece,10433037,0.00,-50401,81,128900,-16000,1.3,46,0.85,0.00
Jordan,10182442,0.01,101440,115,88780,10220,2.8,24,0.91,0.00
Portugal,10202571,0.00,-29478,111,91590,-6000,1.3,46,0.66,0.00
Azerbaijan,10120555,0.01,91459,123,82658,1200,2.1,32,0.56,0.00
Sweden,10086531,0.01,62886,25,410340,40000,1.9,41,0.88,0.00
Honduras,9871892,0.02,158490,89,111890,-6800,2.5,24,0.57,0.00
United Arab Emirates,9865845,0.01,119873,118,83600,40000,1.4,33,0.86,0.00
Hungary,9665192,0.00,-24328,107,90530,6000,1.5,43,0.72,0.00
Tajikistan,9492342,0.02,216627,68,139960,-20000,3.6,22,0.27,0.00
Belarus,9449940,0.00,-3088,47,202910,8730,1.7,40,0.79,0.00
Austria,8996022,0.01,51296,109,82409,65000,1.5,43,0.57,0.00
Papua New Guinea,8911530,0.02,170915,20,452860,-800,3.6,22,0.13,0.00
Serbia,8744288,0.00,-34864,100,87460,4000,1.5,42,0.56,0.00
Israel,8627444,0.02,136158,400,21640,10000,3,30,0.93,0.00
Switzerland,8641786,0.01,63257,219,39516,52000,1.5,43,0.74,0.00
Togo,8237580,0.02,196358,152,54390,-2000,4.4,19,0.43,0.00
Sierra Leone,7942879,0.02,163768,111,72180,-4200,4.3,19,0.43,0.00
Hong Kong,7484618,0.01,60827,7140,1050,29308,1.3,45,,0.00
Laos,7253719,0.01,106105,32,230800,-14704,2.7,24,0.36,0.00
Paraguay,7114524,0.01,87902,18,397300,-16556,2.4,26,0.62,0.00
Bulgaria,6958627,-0.01,-51674,64,108560,-4800,1.6,45,0.76,0.00
Libya,6852010,0.01,93840,4,1759540,-1999,2.3,29,0.78,0.00
Lebanon,6831445,0.00,-30268,667,10230,-30012,2.1,30,0.78,0.00
Nicaragua,6608366,0.01,79052,55,120340,-21272,2.4,26,0.57,0.00
Kyrgyzstan,6501804,0.02,108345,34,191800,-4000,3,26,0.36,0.00
El Salvador,6479609,0.01,32652,313,20720,-40539,2.1,28,0.73,0.00
Turkmenistan,6012850,0.02,89111,13,469930,-5000,2.8,27,0.53,0.00
Singapore,5840996,0.01,46005,8358,700,27028,1.2,42,,0.00
Denmark,5788108,0.00,20326,137,42430,15200,1.8,42,0.88,0.00
Finland,5539002,0.00,8564,18,303890,14000,1.5,43,0.86,0.00
Congo,5489191,0.03,137579,16,341500,-4000,4.5,19,0.70,0.00
Slovakia,5459116,0.00,2629,114,48088,1485,1.5,41,0.54,0.00
Norway,5412632,0.01,42384,15,365268,28000,1.7,40,0.83,0.00
Oman,5078933,0.03,131640,16,309500,87400,2.9,31,0.87,0.00
State of Palestine,5076280,0.02,119994,847,6020,-10563,3.7,21,0.80,0.00
Costa Rica,5084636,0.01,46557,100,51060,4200,1.8,33,0.80,0.00
Liberia,5032469,0.02,120307,53,96320,-5000,4.4,19,0.53,0.00
Ireland,4926480,0.01,55291,72,68890,23604,1.8,38,0.63,0.00
Central African Republic,4812256,0.02,84582,8,622980,-40000,4.8,18,0.43,0.00
New Zealand,4814272,0.01,39170,18,263310,14881,1.9,38,0.87,0.00
Mauritania,4623535,0.03,123962,5,1030700,5000,4.6,20,0.57,0.00
Panama,4300667,0.02,68328,58,74340,11200,2.5,30,0.68,0.00
Kuwait,4257495,0.02,63488,240,17820,39520,2.1,37,,0.00
Croatia,4110214,-0.01,-25037,73,55960,-8001,1.4,44,0.58,0.00
Moldova,4035814,0.00,-9300,123,32850,-1387,1.3,38,0.43,0.00
Georgia,3990681,0.00,-7598,57,69490,-10000,2.1,38,0.58,0.00
Eritrea,3536285,0.01,49304,35,101000,-39858,4.1,19,0.63,0.00
Uruguay,3471314,0.00,11996,20,175020,-3000,2,36,0.96,0.00
Bosnia and Herzegovina,3284806,-0.01,-20181,64,51000,-21585,1.3,43,0.52,0.00
Mongolia,3267320,0.02,53123,2,1553560,-852,2.9,28,0.67,0.00
Armenia,2962137,0.00,5512,104,28470,-4998,1.8,35,0.63,0.00
Jamaica,2958567,0.00,12888,273,10830,-11332,2,31,0.55,0.00
Qatar,2870922,0.02,48986,248,11610,40000,1.9,32,0.96,0.00
Albania,2878420,0.00,-3120,105,27400,-14000,1.6,36,0.63,0.00
Puerto Rico,2874636,-0.02,-72555,323,8870,-97986,1.2,44,,0.00
Lithuania,2729553,-0.01,-37338,43,62674,-32780,1.7,45,0.71,0.00
Namibia,2531290,0.02,46375,3,823290,-4806,3.4,22,0.55,0.00
Gambia,2402083,0.03,68962,239,10120,-3087,5.3,18,0.59,0.00
Botswana,2341649,0.02,47930,4,566730,3000,2.9,24,0.73,0.00
Gabon,2214593,0.02,53155,9,257670,3260,4,23,0.87,0.00
Lesotho,2138799,0.01,16981,71,30360,-10047,3.2,24,0.31,0.00
North Macedonia,2083391,0.00,-85,83,25220,-1000,1.5,39,0.59,0.00
Slovenia,2078881,0.00,284,103,20140,2000,1.6,45,0.55,0.00
Guinea-Bissau,1958132,0.02,47079,70,28120,-1399,4.5,19,0.45,0.00
Latvia,1890218,-0.01,-20545,30,62200,-14837,1.7,44,0.69,0.00
Bahrain,1688629,0.04,60403,2239,760,47800,2,32,0.89,0.00
Equatorial Guinea,1392950,0.03,46999,50,28050,16000,4.6,22,0.73,0.00
Trinidad and Tobago,1398579,0.00,4515,273,5130,-800,1.7,36,0.52,0.00
Estonia,1326357,0.00,887,31,42390,3911,1.6,42,0.68,0.00
Timor-Leste,1313184,0.02,25326,89,14870,-5385,4.1,21,0.33,0.00
Mauritius,1271347,0.00,2100,626,2030,0,1.4,37,0.41,0.00
Cyprus,1205577,0.01,8784,131,9240,5000,1.3,37,0.67,0.00
Eswatini,1157707,0.01,12034,67,17200,-8353,3,21,0.30,0.00
Djibouti,985027,0.01,14440,43,23180,900,2.8,27,0.79,0.00
Fiji,895128,0.01,6492,49,18270,-6202,2.8,28,0.59,0.00
Réunion,894017,0.01,6385,358,2500,-1256,2.3,36,1.00,0.00
Comoros,865696,0.02,18715,467,1861,-2000,4.2,20,0.29,0.00
Guyana,785788,0.00,3786,4,196850,-6000,2.5,27,0.27,0.00
Bhutan,769867,0.01,8516,20,38117,320,2,28,0.46,0.00
Solomon Islands,683301,0.03,17061,25,27990,-1600,4.4,20,0.23,0.00
Macao,647508,0.01,8890,21645,30,5000,1.2,39,,0.00
Montenegro,628050,0.00,79,47,13450,-480,1.8,39,0.68,0.00
Luxembourg,623861,0.02,10249,242,2590,9741,1.5,40,0.88,0.00
Western Sahara,594215,0.03,14876,2,266000,5582,2.4,28,0.87,0.00
Suriname,585561,0.01,5260,4,156000,-1000,2.4,29,0.65,0.00
Cabo Verde,554750,0.01,6052,138,4030,-1342,2.3,28,0.68,0.00
Maldives,538558,0.02,9591,1802,300,11370,1.9,30,0.35,0.00
Malta,441308,0.00,1171,1380,320,900,1.5,43,0.93,0.00
Brunei,436624,0.01,4194,83,5270,0,1.8,32,0.80,0.00
Guadeloupe,400110,0.00,68,237,1690,-1440,2.2,44,,0.00
Belize,396120,0.02,7275,17,22810,1200,2.3,25,0.46,0.00
Bahamas,392477,0.01,3762,39,10010,1000,1.8,32,0.86,0.00
Martinique,375323,0.00,-289,354,1060,-960,1.9,47,0.92,0.00
Iceland,340795,0.01,2212,3,100250,380,1.8,37,0.94,0.00
Vanuatu,305623,0.02,7263,25,12190,120,3.8,21,0.24,0.00
French Guiana,297029,0.03,7850,4,82200,1200,3.4,25,0.87,0.00
Barbados,287305,0.00,350,668,430,-79,1.6,40,0.31,0.00
New Caledonia,284938,0.01,2748,16,18280,502,2,34,0.72,0.00
French Polynesia,280580,0.01,1621,77,3660,-1000,2,34,0.64,0.00
Mayotte,271417,0.03,6665,728,375,0,3.7,20,0.46,0.00
Sao Tome & Principe,218308,0.02,4103,228,960,-1680,4.4,19,0.74,0.00
Samoa,198147,0.01,1317,70,2830,-2803,3.9,22,0.18,0.00
Saint Lucia,183458,0.00,837,301,610,0,1.4,34,0.19,0.00
Channel Islands,173536,0.01,1604,915,190,1351,1.5,43,0.30,0.00
Guam,168474,0.01,1481,313,540,-506,2.3,31,0.95,0.00
Curaçao,163958,0.00,669,370,444,515,1.8,42,0.89,0.00
Kiribati,119069,0.02,1843,147,810,-800,3.6,23,0.57,0.00
Micronesia,114776,0.01,1208,164,700,-600,3.1,24,0.21,0.00
Grenada,112418,0.00,520,331,340,-200,2.1,32,0.35,0.00
St. Vincent & Grenadines,110869,0.00,351,284,390,-200,1.9,33,0.53,0.00
Aruba,106675,0.00,452,593,180,201,1.9,41,0.44,0.00
Tonga,105449,0.01,1201,147,720,-800,3.6,22,0.24,0.00
U.S. Virgin Islands,104456,0.00,-153,298,350,-451,2,43,0.96,0.00
Seychelles,98224,0.01,608,214,460,-200,2.5,34,0.56,0.00
Antigua and Barbuda,97764,0.01,811,223,440,0,2,34,0.26,0.00
Isle of Man,84942,0.01,449,149,570,,,,0.53,0.00
Andorra,77240,0.00,123,164,470,,,,0.88,0.00
Dominica,71950,0.00,178,96,750,,,,0.74,0.00
Cayman Islands,65564,0.01,774,274,240,,,,0.97,0.00
Bermuda,62323,0.00,-228,1246,50,,,,0.97,0.00
Marshall Islands,59109,0.01,399,329,180,,,,0.70,0.00
Northern Mariana Islands,57490,0.01,343,125,460,,,,0.88,0.00
Greenland,56750,0.00,98,0,410450,,,,0.87,0.00
American Samoa,55215,0.00,-121,276,200,,,,0.88,0.00
Saint Kitts & Nevis,53123,0.01,376,205,260,,,,0.33,0.00
Faeroe Islands,48826,0.00,185,35,1396,,,,0.43,0.00
Sint Maarten,42776,0.01,488,1261,34,,,,0.96,0.00
Monaco,39186,0.01,278,26337,1,,,,,0.00
Turks and Caicos,38609,0.01,526,41,950,,,,0.89,0.00
Saint Martin,38529,0.02,664,730,53,,,,0.00,0.00
Liechtenstein,38106,0.00,109,238,160,,,,0.15,0.00
San Marino,33917,0.00,71,566,60,,,,0.97,0.00
Gibraltar,33693,0.00,-10,3369,10,,,,,0.00
