drugid,isactive
d110,F
d111,F
d114,F
d116,F
d117,F
d119,F
d121,F
d123,F
d124,F
d125,F
d127,F
d128,F
d130,F
d133,F
d150,F
d151,F
d154,F
d155,F
d156,F
d159,F
d160,F
d161,F
d162,F
d163,F
d164,F
d165,F
d166,F
d169,F
d170,F
d171,F
d172,F
d173,F
d174,F
d178,F
d179,F
d180,F
d181,F
d183,F
d184,F
d185,F
d186,F
d188,F
d190,F
d194,F
d207,F
d208_1,F
d209,F
d210,F
d211,F
d212,F
d213,F
d214,F
d215,F
d217,F
d218,F
d219,F
d220,F
d224,F
d256,F
d257,F
d258,F
d261,F
d262,F
d263,F
d264,F
d265,F
d266,F
d267,F
d269,F
d271,F
d276,F
d280,F
d285,F
d287,F
d293,F
d294,F
d59,F
d60,F
d61,F
d63,F
d64,F
d65,F
d69,F
d70,F
d71,F
d72,F
d73,F
d74,F
d75,F
d76,F
d77,F
d78,F
d79,F
d80,F
d81,F
d82,F
d112,F
d113,F
d115,F
d118,F
d120,F
d122,F
d126,F
d129,F
d131,F
d132,F
d149,F
d152,F
d153,F
d157,F
d158,F
d167,F
d168,F
d175,F
d176,F
d177,F
d182,F
d187,F
d189,F
d208_2,F
d216,F
d221,F
d222,F
d223,F
d225,F
d259,F
d260,F
d268,F
d270,F
d282,F
d295,F
d62,F
d66,F
d67,F
d68,F
d83,F
d1,T
d10,T
d101,T
d102,T
d103,T
d106,T
d107,T
d108,T
d11,T
d12,T
d13,T
d134,T
d135,T
d136,T
d138,T
d140,T
d141,T
d144,T
d145,T
d146,T
d147,T
d15,T
d17,T
d19,T
d192,T
d193,T
d195,T
d196,T
d197,T
d198,T
d199,T
d2,T
d20,T
d200,T
d201,T
d202,T
d203,T
d204,T
d205,T
d21,T
d22,T
d226,T
d227,T
d228,T
d229,T
d231,T
d232,T
d234,T
d236,T
d239,T
d23_2,T
d242,T
d245,T
d247,T
d249,T
d25,T
d252,T
d253,T
d254,T
d255,T
d26,T
d272,T
d275,T
d277,T
d279,T
d28,T
d281,T
d283,T
d284,T
d288,T
d29,T
d290,T
d291,T
d292,T
d30,T
d31,T
d32,T
d33,T
d34,T
d35,T
d36,T
d37,T
d38,T
d42,T
d43,T
d44,T
d45,T
d46,T
d47,T
d48,T
d49,T
d5,T
d51,T
d52,T
d53,T
d55,T
d58,T
d6,T
d7,T
d84,T
d85_2,T
d86,T
d87,T
d88,T
d89,T
d9,T
d91,T
d92,T
d93,T
d95,T
d96,T
d98,T
d99,T
d100,T
d104,T
d105,T
d109,T
d137,T
d139,T
d14,T
d142,T
d143,T
d148,T
d16,T
d18,T
d191,T
d206,T
d230,T
d233,T
d235,T
d237,T
d238,T
d23_1,T
d24,T
d240,T
d241,T
d243,T
d244,T
d246,T
d248,T
d250,T
d251,T
d27,T
d273,T
d274,T
d278,T
d286,T
d289,T
d3,T
d39,T
d4,T
d40,T
d41,T
d50,T
d54,T
d56,T
d57,T
d8,T
d85_1,T
d90,T
d94,T
d97,T
d110,F
