Arg0,Mn
d7,-0.812
d23_2,-0.810
d2,-0.801
d70,-0.800
d11,-0.798
d31,-0.795
d4,-0.795
d59,-0.795
d74,-0.794
d44,-0.792
d9,-0.792
d23_1,-0.790
d325,-0.790
d43,-0.790
d81,-0.790
d20,-0.787
d48,-0.787
d12,-0.786
d63,-0.786
d75,-0.786
d83,-0.786
d33,-0.785
d1,-0.784
d32,-0.784
d333,-0.784
d52,-0.784
d25,-0.782
d3,-0.781
d55,-0.781
d73,-0.781
d15,-0.780
d6,-0.780
d26,-0.779
d49,-0.777
d56,-0.777
d57,-0.777
d203,-0.776
d335,-0.776
d39,-0.775
d322,-0.773
d24,-0.772
d192,-0.771
d82,-0.771
d213,-0.770
d5,-0.770
d68,-0.770
d314,-0.769
d40,-0.769
d72,-0.765
d143,-0.764
d30,-0.763
d35,-0.763
d42,-0.763
d60,-0.763
d62,-0.763
d69,-0.763
d17,-0.758
d327,-0.758
d318,-0.750
d45,-0.748
d294,-0.742
d330,-0.740
d53,-0.732
d269,-0.730
d244,-0.682
d221,-0.681
d114,-0.680
d253,-0.678
d76,-0.678
d212,-0.676
d186,-0.665
d139,-0.664
d291,-0.664
d266,-0.662
d163,-0.661
d71,-0.661
d154,-0.660
d172,-0.660
d225,-0.660
d118,-0.659
d282,-0.659
d180,-0.658
d247,-0.658
d209,-0.656
d285,-0.656
d257,-0.655
d326,-0.655
d13,-0.654
d150,-0.654
d292,-0.654
d304,-0.654
d307,-0.654
d311,-0.654
d61,-0.654
d152,-0.653
d66,-0.653
d137,-0.652
d248,-0.652
d78,-0.651
d138,-0.650
d140,-0.650
d153,-0.650
d158,-0.650
d169,-0.650
d174,-0.650
d194,-0.650
d263,-0.650
d299,-0.650
d309,-0.650
d109,-0.649
d151,-0.649
d147,-0.647
d241,-0.647
d320,-0.647
d149,-0.646
d161,-0.646
d145,-0.645
d300,-0.645
d334,-0.645
d144,-0.644
d167,-0.644
d264,-0.644
d283,-0.644
d173,-0.643
d287,-0.643
d135,-0.642
d297,-0.642
d303,-0.642
d189,-0.641
d246,-0.641
d164,-0.640
d187,-0.640
d313,-0.640
d8,-0.640
d181,-0.639
d231,-0.639
d165,-0.638
d258,-0.638
d234,-0.637
d148,-0.636
d324,-0.634
d65,-0.633
d168,-0.632
d284,-0.632
d305,-0.632
d271,-0.631
d331,-0.630
d47,-0.627
d170,-0.626
d191,-0.626
d323,-0.626
d155,-0.625
d183,-0.625
d207,-0.625
d262,-0.625
d267,-0.625
d89,-0.624
d251,-0.623
d329,-0.621
d332,-0.620
d306,-0.619
d185,-0.618
d237,-0.618
d51,-0.618
d136,-0.616
d97,-0.616
d233,-0.614
d265,-0.614
d302,-0.613
d28,-0.612
d108,-0.607
d240,-0.607
d36,-0.605
d235,-0.604
d133,-0.600
d176,-0.600
d160,-0.593
d256,-0.592
d123,-0.588
d156,-0.588
d301,-0.588
d270,-0.587
d215,-0.583
d67,-0.581
d202,-0.579
d259,-0.577
d88,-0.573
d159,-0.572
d217,-0.567
d77,-0.564
d10,-0.563
d268,-0.563
d182,-0.562
d141,-0.558
d201,-0.556
d286,-0.556
d278,-0.555
d211,-0.552
d222,-0.552
d166,-0.550
d210,-0.550
d308,-0.550
d54,-0.549
d27,-0.548
d280,-0.547
d16,-0.545
d226,-0.545
d132,-0.543
d197,-0.541
d179,-0.540
d95,-0.539
d171,-0.536
d315,-0.536
d22,-0.532
d124,-0.528
d93,-0.523
d18,-0.519
d290,-0.519
d312,-0.519
d178,-0.517
d199,-0.512
d175,-0.511
d46,-0.511
d37,-0.506
d50,-0.505
d142,-0.486
d130,-0.462
d29,-0.449
d196,-0.446
d58,-0.432
d200,-0.430
d223,-0.425
d198,-0.410
d64,-0.410
d14,-0.407
d281,-0.407
d214,-0.405
d279,-0.405
d336,-0.404
d277,-0.401
d115,-0.400
d310,-0.400
d328,-0.400
d298,-0.398
d79,-0.396
d80,-0.395
d19,-0.394
d205,-0.393
d41,-0.392
d38,-0.385
d34,-0.384
d98,-0.377
d21,-0.373
d218,-0.368
d252,-0.367
d177,-0.363
d243,-0.361
d157,-0.360
d193,-0.358
d260,-0.358
d216,-0.353
d232,-0.352
d238,-0.352
d321,-0.350
d245,-0.341
d254,-0.337
d208_1,-0.336
d204,-0.334
d131,-0.330
d208_2,-0.329
d242,-0.328
d119,-0.327
d293,-0.322
d112,-0.318
d184,-0.306
d288,-0.304
d117,-0.297
d128,-0.295
d121,-0.283
d84,-0.279
d107,-0.277
d127,-0.273
d249,-0.271
d219,-0.270
d317,-0.250
d146,-0.244
d162,-0.241
d122,-0.234
d129,-0.224
d206,-0.221
d295,-0.215
d104,-0.213
d111,-0.211
d94,-0.207
d236,-0.203
d126,-0.200
d229,-0.200
d250,-0.200
d255,-0.200
d261,-0.200
d337,-0.200
d91,-0.200
d113,-0.199
d220,-0.199
d289,-0.199
d319,-0.198
d102,-0.194
d224,-0.194
d103,-0.188
d87,-0.182
d190,-0.178
d188,-0.176
d92,-0.175
d100,-0.174
d110,-0.173
d116,-0.173
d227,-0.169
d125,-0.168
d272,-0.158
d230,-0.155
d85_1,-0.152
d85_2,-0.152
d105,-0.150
d120,-0.145
d90,-0.145
d195,-0.140
d239,-0.139
d316,-0.139
d106,-0.136
d134,-0.130
d275,-0.130
d296,-0.130
d96,-0.127
d101,-0.124
d273,-0.118
d99,-0.114
d228,-0.112
d274,-0.090
d86,-0.087
d276,-0.048
