Arg0,Arg1,Arg2
d1,amino,1
d1,di10,1
d10,di10,1
d109,di10,1
d114,amino,1
d114,di10,1
d118,di10,1
d118,di64,1
d119,halide10,1
d123,amino,1
d123,halide10,1
d127,nitro,1
d13,nitro,1
d131,nitro,1
d137,methoxy,1
d143,di10,1
d152,di10,1
d152,ring_size_4,1
d16,nitro,1
d160,methanol,1
d164,methanol,1
d166,di10,1
d18,di66,1
d18,nitro,1
d181,methanol,1
d182,di10,1
d182,ring_size_4,1
d183,amino,1
d183,di10,1
d19,nitro,1
d192,amino,1
d192,di10,1
d199,di10,1
d2,amino,1
d2,di10,1
d20,amino,1
d20,di10,1
d20,nitro,1
d21,nitro,1
d210,di48,1
d211,di10,1
d212,di23,1
d213,amino,1
d213,di10,1
d217,di10,1
d22,di10,1
d22,di64,1
d221,di23,1
d223,di10,1
d223,di48,1
d226,halide10,1
d230,halide10,1
d231,di10,1
d232,di232,1
d236,halide10,1
d239,halide10,1
d23_2,di23,1
d240,di232,1
d240,methanol,1
d241,halide10,1
d241,methanol,1
d242,di232,1
d245,di232,1
d248,ring_size_4,1
d249,halide10,1
d25,amino,1
d25,di10,1
d254,di232,1
d255,halide10,1
d256,di10,1
d258,di10,1
d259,halide10,1
d26,amino,1
d26,di10,1
d261,halide10,1
d263,halide10,1
d263,methanol,1
d265,di10,1
d268,halide10,1
d27,nitro,1
d279,di10,1
d28,amino,1
d28,nitro,1
d280,di10,1
d282,di281,1
d282,nitro,1
d283,ethoxy,1
d284,di10,1
d284,methanol,1
d285,methoxy,1
d290,di10,1
d291,amino,1
d291,di10,1
d291,methoxy,1
d292,di10,1
d298,di10,1
d3,amino,1
d3,di10,1
d30,amino,1
d30,di10,1
d302,halide10,1
d303,nitro,1
d311,methoxy,1
d319,halide10,1
d320,nitro,1
d322,di23,1
d323,di23,1
d323,nitro,1
d324,di10,1
d324,di23,1
d324,di48,1
d326,di10,1
d326,di48,1
d326,di67a,1
d326,di8,1
d33,amino,1
d33,di10,1
d332,methanol,1
d334,di10,1
d334,nitro,1
d335,amino,1
d335,di10,1
d335,nitro,1
d336,nitro,1
d34,di23,1
d35,amino,1
d35,di10,1
d36,di23,1
d39,amino,1
d39,di10,1
d39,nitro,1
d4,amino,1
d4,di10,1
d41,di10,1
d42,amino,1
d42,di10,1
d44,amino,1
d44,di10,1
d46,nitro,1
d47,di23,1
d48,amino,1
d48,di48,1
d48,di67a,1
d48,di8,1
d49,amino,1
d49,di10,1
d49,nitro,1
d50,amino,1
d50,di10,1
d50,nitro,1
d52,amino,1
d52,di10,1
d53,amino,1
d53,di10,1
d54,di10,1
d54,di48,1
d54,di67a,1
d54,di8,1
d54,nitro,1
d55,nitro,1
d56,amino,1
d56,di10,1
d56,nitro,1
d57,amino,1
d57,di10,1
d57,nitro,1
d58,nitro,1
d59,amino,1
d59,di10,1
d60,amino,1
d60,di10,1
d61,nitro,1
d63,amino,1
d63,methanol,1
d63,nitro,1
d64,di10,1
