Name,Grade,Job title,FTE,Parent Department,Organisaton,Unit,Actual pay floor,Actual pay ceiling,Notes
Hannah Nixon,Grade 5,Partner,0.8,Ofgem,Ofgem,Ofgem Policy,80000,84999,
Elizabeth Hillman,Grade 5,Director,1,Ofgem,Ofgem,Ofgem E-Serve,90000,94999,
Curt Silver,Grade 5,Director,1,Ofgem,Ofgem,Ofgem E-Serve,90000,94999,
David Ashbourne,Grade 5,Partner,1,Ofgem,Ofgem,Ofgem Policy,100000,104999,
Rachel Fletcher,Grade 5,Partner,1,Ofgem,Ofgem,Ofgem Policy,100000,104999,
,Grade 5,Director,1,Ofgem,Ofgem,Ofgem Group,100000,104999,
Stephanie McGregor,Grade 5,Director,1,Ofgem,Ofgem,Ofgem E-Serve,100000,104999,
Paul McIntyre,Grade 3,Managing Director,0.8,Ofgem,Ofgem,Ofgem E-Serve,100000,104999,
Colin Sausman,Grade 5,Director,1,Ofgem,Ofgem,Ofgem E-Serve,100000,104999,
Martin Crouch,Grade 5,Partner,1,Ofgem,Ofgem,Ofgem Policy,105000,109999,
Maxine Frerk,Grade 5,Partner,1,Ofgem,Ofgem,Ofgem Policy,105000,109999,
Ian Marlee,Grade 5,Partner,1,Ofgem,Ofgem,Ofgem Policy,105000,109999,
Robert Hull,Grade 3,Managing Director,1,Ofgem,Ofgem,Ofgem E-Serve,130000,134999,
Stuart Cook,Grade 3,Senior Partner,1,Ofgem,Ofgem,Ofgem Policy,135000,139999,
Roy Field,Grade 3,Secretariat,1,Ofgem,Ofgem,Ofgem Group,135000,139999,
Sarah Harrison,Grade 3,Senior Partner,1,Ofgem,Ofgem,Ofgem Policy,135000,139999,
David Pimm,Grade 3,Group Finance Director,1,Ofgem,Ofgem,Ofgem E-Serve,140000,144999,
Steve Smith,Grade 3,Senior Partner,1,Ofgem,Ofgem,Ofgem Policy,180000,184999,LDS 30/9/10
Andrew Wright,Grade 3,Senior Partner,1,Ofgem,Ofgem,Ofgem Policy,180000,184999,
Alistair Buchanan,CEO,Chief Executive,1,Ofgem,Ofgem,Ofgem Group,205000,209999,
