Breed;Color;Date;DateCreated;Name;Sex;State
Cat - DSH Bengal;Cream, Brown & Red;2020-06-24;2020-06-24;Kitty cat;F/S;Lost
Cat - DSH Tabby;Apricot, White w/Brown;2020-06-28;2020-06-28;Junior;M;Lost
Silken Windhound;White w/ caramel markings;2020-07-02;2020-07-02;Taj;M;Lost
Pit X;Grey w/white;2020-06-30;2020-07-02;April;F/S;Lost
Cat - DSH Russian Blue;Grey;2020-07-12;2020-07-12;Blue;F;Lost
Cockerspaniel/Poodle Mix;Blonde;2020-07-12;2020-07-12;Thor;M;Matched
Cat - DSH;Black;2020-07-14;2020-07-14;Jonny;F/S;Lost
Cat - DSH;Black;2020-07-15;2020-07-15;Henry;M/N;Lost
Labradoodle;Tan;2020-07-16;2020-07-16;Misha;M;Lost
Terrier;Brown with Orange and white;2020-07-19;2020-07-19;Leah;F/S;Lost
Cat - Orange Tabby;White;2020-07-20;2020-07-20;Helo ( Hee-lo);M/N;Lost
Rottweiler;Black & Brown;2009-06-28;2005-06-21;tanner Santana;F;Found
Shep X Collie;Black & Tan;1999-01-04;2005-06-21;Angel;F;Lost
Shepherd;Black & Tan;1999-01-04;2005-06-21;Robi;M/N;Lost
Golden Lab X;Black & Tan;1999-01-04;2005-06-21;Oscar;M;Lost
Shepherd;Black & Tan;1999-01-06;2005-06-21;Chance;M/N;Lost
Lab;Black;1999-01-10;2005-06-21;;M/N;Lost
Pomeranian X;Cream;1999-01-12;2005-06-21;;M/N;Found
Husky X;White;1999-01-12;2005-06-21;;M;Found
Husky;White;2015-09-24;2005-06-21;Monty;M/N;Lost
Pitbull X;Black & White & Brindle;1999-01-13;2005-06-21;Taz;M/N;Lost
Flat-Coat Retriever;Black;1999-01-20;2005-06-21;Dingo;M/N;Matched
Lhasa Apso;White;1999-01-21;2005-06-21;Happy;M/N;Lost
Shetland Sheepdog;Sable & White;1999-01-22;2005-06-21;Jeremy;M/N;Lost
Maltese;White;1999-01-22;2005-06-21;Happy;M/N;Lost
Am Staff;Fawn;1999-01-26;2005-06-21;Hazelnut;F/S;Lost
Australian X Dingo;Gold;1999-01-26;2005-06-21;Budd;M/N;Lost
Lab  X;Black;1999-01-26;2005-06-21;Sabrina;F/S;Lost
Airedale;Black & Tan Curly Fur;1999-01-26;2005-06-21;Molly;F/S;Lost
Shep X Husky;Tan;1999-01-27;2005-06-21;;F/S;Lost
Chow X Husky;Black & Tan;1999-02-02;2005-06-21;Dog;M;Lost
