Code;Country;Currency;Number;ExchangeRate
AED;United Arab Emirates (The);UAE Dirham;784.0;3.6727786406921377
AFN;Afghanistan;Afghani;971.0;78.25019687754035
ALL;Albania;Lek;8.0;111.7028600772268
AMD;Armenia;Armenian Dram;51.0;477.16981096127046
ANG;Curaçao;Netherlands Antillean Guilder;532.0;1.734310583846243
ANG;Sint Maarten (Dutch Part);Netherlands Antillean Guilder;532.0;1.734310583846243
AOA;Angola;Kwanza;973.0;461.04814608494945
ARS;Argentina;Argentine Peso;32.0;59.48575858640111
AUD;Australia;Australian Dollar;36.0;1.4582247633840435
AUD;Christmas Island;Australian Dollar;36.0;1.4582247633840435
AUD;Cocos (Keeling) Islands (The);Australian Dollar;36.0;1.4582247633840435
AUD;Heard Island And Mcdonald Islands;Australian Dollar;36.0;1.4582247633840435
AUD;Kiribati;Australian Dollar;36.0;1.4582247633840435
AUD;Nauru;Australian Dollar;36.0;1.4582247633840435
AUD;Norfolk Island;Australian Dollar;36.0;1.4582247633840435
AUD;Tuvalu;Australian Dollar;36.0;1.4582247633840435
AWG;Aruba;Aruban Florin;533.0;1.7999996370920912
AZN;Azerbaijan;Azerbaijanian Manat;944.0;1.7111634101730344
BAM;Bosnia And Herzegovina;Convertible Mark;977.0;1.772692631517826
BBD;Barbados;Barbados Dollar;52.0;2.0183341075368713
BDT;Bangladesh;Taka;50.0;84.71274568865404
BGN;Bulgaria;Bulgarian Lev;975.0;1.774976229531994
BHD;Bahrain;Bahraini Dinar;48.0;0.3769751262919521
BIF;Burundi;Burundi Franc;108.0;1870.9992351715828
BMD;Bermuda;Bermudian Dollar;60.0;1.0
BND;Brunei Darussalam;Brunei Dollar;96.0;1.3587380966206015
BOB;Bolivia (Plurinational State Of);Boliviano;68.0;6.912407639937289
BOV;Bolivia (Plurinational State Of);Mvdol;984.0;
BRL;Brazil;Brazilian Real;986.0;4.163348478690048
BSD;Bahamas (The);Bahamian Dollar;44.0;0.9996053376495179
BTN;Bhutan;Ngultrum;64.0;71.29006866217628
BWP;Botswana;Pula;72.0;10.901036827894552
BYN;Belarus;Belarussian Ruble;933.0;2.041464950354198
BZD;Belize;Belize Dollar;84.0;2.0148901114853093
CAD;Canada;Canadian Dollar;124.0;1.3227194867030543
CDF;Congo (The Democratic Republic Of The);Congolese Franc;976.0;1664.9994120891881
CHE;Switzerland;WIR Euro;947.0;
CHF;Liechtenstein;Swiss Franc;756.0;0.997244621704796
CHF;Switzerland;Swiss Franc;756.0;0.997244621704796
CHW;Switzerland;WIR Franc;948.0;
CLF;Chile;Unidad de Fomento;990.0;0.027144604285216582
CLP;Chile;Chilean Peso;152.0;748.9998031224596
CNY;China;Yuan Renminbi;156.0;6.995999847578678
COP;Colombia;Colombian Peso;170.0;3338.998634558994
COU;Colombia;Unidad de Valor Real;970.0;
CRC;Costa Rica;Costa Rican Colon;188.0;585.053251291952
CUC;Cuba;Peso Convertible;931.0;1.0
CUP;Cuba;Cuban Peso;192.0;26.499989112762744
CVE;Cabo Verde;Cabo Verde Escudo;132.0;100.30584517622808
CZK;Czech Republic (The);Czech Koruna;203.0;23.121990586168852
DJF;Djibouti;Djibouti Franc;262.0;177.72012542097318
DKK;Denmark;Danish Krone;208.0;6.77915783590756
DKK;Faroe Islands (The);Danish Krone;208.0;6.77915783590756
DKK;Greenland;Danish Krone;208.0;6.77915783590756
DOP;Dominican Republic (The);Dominican Peso;214.0;53.020021629311344
DZD;Algeria;Algerian Dinar;12.0;120.13190160114969
EGP;Egypt;Egyptian Pound;818.0;16.14500439118569
ERN;Eritrea;Nakfa;232.0;14.999717839101148
ETB;Ethiopia;Ethiopian Birr;230.0;29.905400795494135
EUR;Åland Islands;Euro;978.0;0.9072697712228545
EUR;Andorra;Euro;978.0;0.9072697712228545
EUR;Austria;Euro;978.0;0.9072697712228545
EUR;Belgium;Euro;978.0;0.9072697712228545
EUR;Cyprus;Euro;978.0;0.9072697712228545
EUR;Estonia;Euro;978.0;0.9072697712228545
EUR;European Union;Euro;978.0;0.9072697712228545
EUR;Finland;Euro;978.0;0.9072697712228545
EUR;France;Euro;978.0;0.9072697712228545
EUR;French Guiana;Euro;978.0;0.9072697712228545
EUR;French Southern Territories (The);Euro;978.0;0.9072697712228545
EUR;Germany;Euro;978.0;0.9072697712228545
EUR;Greece;Euro;978.0;0.9072697712228545
EUR;Guadeloupe;Euro;978.0;0.9072697712228545
EUR;Holy See (The);Euro;978.0;0.9072697712228545
EUR;Ireland;Euro;978.0;0.9072697712228545
EUR;Italy;Euro;978.0;0.9072697712228545
EUR;Latvia;Euro;978.0;0.9072697712228545
EUR;Lithuania;Euro;978.0;0.9072697712228545
EUR;Luxembourg;Euro;978.0;0.9072697712228545
EUR;Malta;Euro;978.0;0.9072697712228545
EUR;Martinique;Euro;978.0;0.9072697712228545
EUR;Mayotte;Euro;978.0;0.9072697712228545
EUR;Monaco;Euro;978.0;0.9072697712228545
EUR;Montenegro;Euro;978.0;0.9072697712228545
EUR;Netherlands (The);Euro;978.0;0.9072697712228545
EUR;Portugal;Euro;978.0;0.9072697712228545
EUR;Réunion;Euro;978.0;0.9072697712228545
EUR;Saint Barthélemy;Euro;978.0;0.9072697712228545
EUR;Saint Martin (French Part);Euro;978.0;0.9072697712228545
EUR;Saint Pierre And Miquelon;Euro;978.0;0.9072697712228545
EUR;San Marino;Euro;978.0;0.9072697712228545
EUR;Slovakia;Euro;978.0;0.9072697712228545
EUR;Slovenia;Euro;978.0;0.9072697712228545
EUR;Spain;Euro;978.0;0.9072697712228545
FJD;Fiji;Fiji Dollar;242.0;2.183987958715596
FKP;Falkland Islands (The) [Malvinas];Falkland Islands Pound;238.0;0.8128801460341423
GBP;Guernsey;Pound Sterling;826.0;0.7815448626756474
GBP;Isle Of Man;Pound Sterling;826.0;0.7815448626756474
GBP;Jersey;Pound Sterling;826.0;0.7815448626756474
GBP;United Kingdom Of Great Britain And Northern Ireland (The);Pound Sterling;826.0;0.7815448626756474
GEL;Georgia;Lari;981.0;2.9600928318429913
GHS;Ghana;Ghana Cedi;936.0;5.525016149401927
GIP;Gibraltar;Gibraltar Pound;292.0;0.8128801460341423
GMD;Gambia (The);Dalasi;270.0;51.21967178608756
GNF;Guinea;Guinea Franc;324.0;9239.996255697653
GTQ;Guatemala;Quetzal;320.0;7.696933791081175
GYD;Guyana;Guyana Dollar;328.0;209.13234434879803
HKD;Hong Kong;Hong Kong Dollar;344.0;7.828847186737893
HNL;Honduras;Lempira;340.0;24.710400396295437
HRK;Croatia;Kuna;191.0;6.744299624027406
HTG;Haiti;Gourde;332.0;97.47081040965044
HUF;Hungary;Forint;348.0;302.6897400490651
IDR;Indonesia;Rupiah;360.0;14018.571267855068
ILS;Israel;New Israeli Sheqel;376.0;3.4941381300081287
INR;Bhutan;Indian Rupee;356.0;71.37693429915224
INR;India;Indian Rupee;356.0;71.37693429915224
IQD;Iraq;Iraqi Dinar;368.0;1189.9995137034025
IRR;Iran (Islamic Republic Of);Iranian Rial;364.0;42104.98274009987
ISK;Iceland;Iceland Krona;352.0;124.95966641505052
JMD;Jamaica;Jamaican Dollar;388.0;140.63638260654974
JOD;Jordan;Jordanian Dinar;400.0;0.7090113662756938
JPY;Japan;Yen;392.0;109.23045650185809
KES;Kenya;Kenyan Shilling;404.0;102.4474781529439
KGS;Kyrgyzstan;Som;417.0;69.8211698699338
KHR;Cambodia;Riel;116.0;4065.998506633956
KMF;Comoros (The);Comoro Franc;174.0;446.94978261816277
KPW;Korea (The Democratic People’S Republic Of);North Korean Won;408.0;900.0502346199628
KRW;Korea (The Republic Of);Won;410.0;1158.7595199817094
KWD;Kuwait;Kuwaiti Dinar;414.0;0.3037983756242016
KYD;Cayman Islands (The);Cayman Islands Dollar;136.0;0.833030607653002
KZT;Kazakhstan;Tenge;398.0;388.60322098914173
LAK;Lao People’S Democratic Republic (The);Kip;418.0;8859.996757417835
LBP;Lebanon;Lebanese Pound;422.0;1513.2607765503424
LKR;Sri Lanka;Sri Lanka Rupee;144.0;180.5062166124724
LRD;Liberia;Liberian Dollar;430.0;211.37492923295784
LSL;Lesotho;Loti;426.0;14.819741827313898
LYD;Libya;Libyan Dinar;434.0;1.3978731782022993
MAD;Morocco;Moroccan Dirham;504.0;9.675004173440946
MAD;Western Sahara;Moroccan Dirham;504.0;9.675004173440946
MDL;Moldova (The Republic Of);Moldovan Leu;498.0;17.418250457263962
MGA;Madagascar;Malagasy Ariary;969.0;3696.998630022645
MKD;Republic Of North Macedonia;Denar;807.0;55.875448191266976
MMK;Myanmar;Kyat;104.0;1516.7429813610497
MNT;Mongolia;Tugrik;496.0;2706.17147761584
MOP;Macao;Pataca;446.0;8.059627583904307
MRU;Mauritania;Ouguiya;929.0;
MUR;Mauritius;Mauritius Rupee;480.0;36.3743440439554
MVR;Maldives;Rufiyaa;462.0;15.449793505400068
MWK;Malawi;Kwacha;454.0;732.5018843993147
MXN;Mexico;Mexican Peso;484.0;19.1108883259784
MXV;Mexico;Mexican Unidad de Inversion (UDI);979.0;
MYR;Malaysia;Malaysian Ringgit;458.0;4.132990324875159
MZN;Mozambique;Mozambique Metical;943.0;63.0749468339914
NAD;Namibia;Namibia Dollar;516.0;14.819974995645104
NGN;Nigeria;Naira;566.0;361.9996053376495
NIO;Nicaragua;Cordoba Oro;558.0;33.83002210109162
