Geom;P_ANNOTATION_LBL_ID
"{""type"": ""LineString"", ""coordinates"": [[-123.11145416402769, 49.28204956371336], [-123.11141354460777, 49.28202396662958]]}";__FJ7JWM
"{""type"": ""LineString"", ""coordinates"": [[-123.11435965346955, 49.283257844301986], [-123.11431022501691, 49.2832889265652]]}";__FJ7JWU
"{""type"": ""LineString"", ""coordinates"": [[-123.11479205409238, 49.28382725990479], [-123.1147446868325, 49.283857890544326]]}";__FJ7JWX
"{""type"": ""LineString"", ""coordinates"": [[-123.11592914694846, 49.28350002262671], [-123.11580489901041, 49.283581553548075]]}";__FJ7JX1
"{""type"": ""LineString"", ""coordinates"": [[-123.11511376425997, 49.282336870985915], [-123.11492087645442, 49.28246479449364]]}";__FJ7JX3
"{""type"": ""LineString"", ""coordinates"": [[-123.11760539842352, 49.28497935721044], [-123.117492803454, 49.285052332650764]]}";__FJ7JX9
"{""type"": ""LineString"", ""coordinates"": [[-123.11738159804862, 49.285125765322654], [-123.11727106287071, 49.28519783893523]]}";__FJ7JXA
"{""type"": ""LineString"", ""coordinates"": [[-123.1168540872861, 49.28505164903281], [-123.11682045262857, 49.285074620731876]]}";__FJ7JXE
"{""type"": ""LineString"", ""coordinates"": [[-123.11580356577146, 49.28448602867077], [-123.11576306949758, 49.28451485380345]]}";__FJ7JXH
"{""type"": ""LineString"", ""coordinates"": [[-123.11064800672028, 49.28278886046976], [-123.11060532160413, 49.282761915806695]]}";__FJ7JXS
"{""type"": ""LineString"", ""coordinates"": [[-123.109454056593, 49.28321729540975], [-123.10942876632674, 49.2832838926555]]}";__FJ7JY0
"{""type"": ""LineString"", ""coordinates"": [[-123.11130509612745, 49.284227466408424], [-123.11119355164658, 49.284153363612596]]}";__FJ7JY2
"{""type"": ""LineString"", ""coordinates"": [[-123.10008891305526, 49.283048698746825], [-123.1000943284904, 49.283000120109115]]}";__FJ7K1H
"{""type"": ""LineString"", ""coordinates"": [[-123.10015209499163, 49.282003395541594], [-123.10015474747375, 49.28195526904572]]}";__FJ7K1K
"{""type"": ""LineString"", ""coordinates"": [[-123.09734650115462, 49.283748680372476], [-123.09683294828586, 49.28374372375879]]}";__FJ7K1P
"{""type"": ""LineString"", ""coordinates"": [[-123.10254115710339, 49.28106397567061], [-123.102486846787, 49.281064023853155]]}";__FJ7K1U
"{""type"": ""LineString"", ""coordinates"": [[-123.10080861395467, 49.28098321225856], [-123.10073781816287, 49.280983274000036]]}";__FJ7K1V
"{""type"": ""LineString"", ""coordinates"": [[-123.09917266982701, 49.28113738401593], [-123.09917404216402, 49.28107437161403], [-123.09903849515325, 49.28107203218631], [-123.09904210581378, 49.28100065235087]]}";__FJ7K1Z
"{""type"": ""LineString"", ""coordinates"": [[-123.09839827586237, 49.28091873460348], [-123.09830408883776, 49.280917015734694]]}";__FJ7K22
"{""type"": ""LineString"", ""coordinates"": [[-123.19113331323743, 49.25681864402809], [-123.19099449345467, 49.256817524313085]]}";__FJ7K26
"{""type"": ""LineString"", ""coordinates"": [[-123.18879683586083, 49.254983421338615], [-123.18869581389353, 49.25498268685281]]}";__FJ7K2B
"{""type"": ""LineString"", ""coordinates"": [[-123.19058713485094, 49.25613321983153], [-123.19048200151742, 49.2561324936887]]}";__FJ7K2D
"{""type"": ""LineString"", ""coordinates"": [[-123.19001859708263, 49.24960448447022], [-123.18991622747632, 49.249604203033584]]}";__FJ7K2G
"{""type"": ""LineString"", ""coordinates"": [[-123.18919002355199, 49.249602704942475], [-123.1890862644625, 49.24960198427939]]}";__FJ7K2I
"{""type"": ""LineString"", ""coordinates"": [[-123.18939394044281, 49.25046952021142], [-123.18929019667986, 49.25046969023361]]}";__FJ7K2L
"{""type"": ""LineString"", ""coordinates"": [[-123.18922149048166, 49.250469353021046], [-123.18911637094482, 49.25046908437408]]}";__FJ7K2M
"{""type"": ""LineString"", ""coordinates"": [[-123.18839080873914, 49.25046622192385], [-123.18828568917712, 49.25046594352587]]}";__FJ7K2O
"{""type"": ""LineString"", ""coordinates"": [[-123.19043492756892, 49.25137991642735], [-123.19035454012625, 49.251379599141934]]}";__FJ7K2Q
"{""type"": ""LineString"", ""coordinates"": [[-123.18841324531901, 49.25167156420825], [-123.18827308306086, 49.25167134294069]]}";__FJ7K2T
"{""type"": ""LineString"", ""coordinates"": [[-123.1911317116148, 49.253186366021424], [-123.19102521210381, 49.253186092396646]]}";__FJ7K2Y
"{""type"": ""LineString"", ""coordinates"": [[-123.18041055552257, 49.2715535949261], [-123.18026827229939, 49.271548869638224]]}";__FJ7K34
"{""type"": ""LineString"", ""coordinates"": [[-123.18139861841382, 49.27165729177191], [-123.18125082893174, 49.271654375377764]]}";__FJ7K35
"{""type"": ""LineString"", ""coordinates"": [[-123.18505999279208, 49.26891383245729], [-123.18479399381648, 49.268910651110794]]}";__FJ7K3C
"{""type"": ""LineString"", ""coordinates"": [[-123.18137673961046, 49.270939050537805], [-123.18127432754278, 49.27093921125373]]}";__FJ7K3G
"{""type"": ""LineString"", ""coordinates"": [[-123.17940409750088, 49.26882868093933], [-123.17932504821232, 49.26882610509111]]}";__FJ7K3K
"{""type"": ""LineString"", ""coordinates"": [[-123.18106528638059, 49.267522243973936], [-123.18095393846207, 49.26752016061546]]}";__FJ7K3M
"{""type"": ""LineString"", ""coordinates"": [[-123.18780405087574, 49.257579261492246], [-123.18752434926638, 49.25757431867438]]}";__FJ7K4P
"{""type"": ""LineString"", ""coordinates"": [[-123.1858614047758, 49.2583303644134], [-123.18573427115307, 49.25832787029404]]}";__FJ7K4Q
"{""type"": ""LineString"", ""coordinates"": [[-123.17943555998548, 49.25495385803877], [-123.17932493569268, 49.25495402979443]]}";__FJ7K55
"{""type"": ""LineString"", ""coordinates"": [[-123.18330105016278, 49.250836503353945], [-123.18319455573028, 49.25083622250471]]}";__FJ7K5S
"{""type"": ""LineString"", ""coordinates"": [[-123.18313134379224, 49.25083542319655], [-123.1830358475915, 49.250832875959524]]}";__FJ7K5T
"{""type"": ""LineString"", ""coordinates"": [[-123.18734238150562, 49.25175426269217], [-123.18724825731827, 49.25175531480355]]}";__FJ7K5X
"{""type"": ""LineString"", ""coordinates"": [[-123.18386772779604, 49.2524817388267], [-123.1837550511745, 49.252482817615515]]}";__FJ7K61
"{""type"": ""LineString"", ""coordinates"": [[-123.18368221643593, 49.25248158415131], [-123.18356199408159, 49.252482224986856]]}";__FJ7K62
"{""type"": ""LineString"", ""coordinates"": [[-123.18233760499369, 49.25246617337631], [-123.18223248997894, 49.252464540177726]]}";__FJ7K63
"{""type"": ""LineString"", ""coordinates"": [[-123.18216378435872, 49.25246509828887], [-123.1820497132308, 49.25246437856769]]}";__FJ7K64
"{""type"": ""LineString"", ""coordinates"": [[-123.18275636278554, 49.251248457267046], [-123.1822912380158, 49.251248733334684]]}";__FJ7K65
"{""type"": ""LineString"", ""coordinates"": [[-123.18745270129256, 49.248405572681634], [-123.18682200664291, 49.24840659428158]]}";__FJ7K6C
"{""type"": ""LineString"", ""coordinates"": [[-123.18565852556235, 49.246497863757774], [-123.18548815040013, 49.24649768766609]]}";__FJ7K6H
"{""type"": ""LineString"", ""coordinates"": [[-123.17744910000009, 49.25262087505519], [-123.17734191145068, 49.25261969035311]]}";__FJ7K6V
"{""type"": ""LineString"", ""coordinates"": [[-123.0840526235465, 49.26207952732793], [-123.08395572479324, 49.26207824849784]]}";__FJ7K75
"{""type"": ""LineString"", ""coordinates"": [[-123.0826429736418, 49.262776782228606], [-123.08254813521421, 49.26277550074421]]}";__FJ7K78
"{""type"": ""LineString"", ""coordinates"": [[-123.08279515789316, 49.253751316865696], [-123.08271300599381, 49.253716672147846]]}";__FJ7K7F
"{""type"": ""LineString"", ""coordinates"": [[-123.080787331054, 49.252883862886115], [-123.0807096184437, 49.25284792731804]]}";__FJ7K7H
"{""type"": ""LineString"", ""coordinates"": [[-123.08263790198401, 49.25297298301712], [-123.08224524922916, 49.252792009481475]]}";__FJ7K7O
"{""type"": ""LineString"", ""coordinates"": [[-123.08262371628399, 49.25231994902391], [-123.08253300882443, 49.252320004862284]]}";__FJ7K7T
"{""type"": ""LineString"", ""coordinates"": [[-123.08894042259588, 49.246349192226404], [-123.0888701159836, 49.24634924633029]]}";__FJ7K81
"{""type"": ""LineString"", ""coordinates"": [[-123.0734196111256, 49.26124986819075], [-123.07334813990671, 49.26124811454342]]}";__FJ7K84
"{""type"": ""LineString"", ""coordinates"": [[-123.14235585747217, 49.29133975108014], [-123.14248882237948, 49.291428189572855]]}";__FJ7K9Q
"{""type"": ""LineString"", ""coordinates"": [[-123.13702528036242, 49.29345061313592], [-123.1372105948507, 49.293572286672045]]}";__FJ7K9T
"{""type"": ""LineString"", ""coordinates"": [[-123.13434786579796, 49.29123547787905], [-123.13449184239104, 49.29133289893658]]}";__FJ7K9Z
"{""type"": ""LineString"", ""coordinates"": [[-123.13481110044715, 49.29015191153085], [-123.13486896173092, 49.29018962371075]]}";__FJ7KA3
"{""type"": ""LineString"", ""coordinates"": [[-123.08622130883117, 49.28142962865715], [-123.08612093316138, 49.28142745471656]]}";__FJ7KE3
"{""type"": ""LineString"", ""coordinates"": [[-123.09778216788165, 49.263073749165336], [-123.09771481918753, 49.263073356382755]]}";__FJ7LVV
"{""type"": ""LineString"", ""coordinates"": [[-123.08874756560067, 49.258665032706126], [-123.08874813179617, 49.25859756817312]]}";__FJ7LVW
"{""type"": ""LineString"", ""coordinates"": [[-123.08849410834351, 49.2621215917022], [-123.08836628739796, 49.262121698527146]]}";__FJ7LVY
"{""type"": ""LineString"", ""coordinates"": [[-123.08744845795073, 49.25768513120321], [-123.08735981428491, 49.257684298740934]]}";__FJ7LW4
"{""type"": ""LineString"", ""coordinates"": [[-123.08702452102455, 49.25846261978723], [-123.08694205961112, 49.2584613325869]]}";__FJ7LW5
"{""type"": ""LineString"", ""coordinates"": [[-123.08708800628362, 49.256700436384854], [-123.08709186559045, 49.256550672121925]]}";__FJ7LW6
"{""type"": ""LineString"", ""coordinates"": [[-123.08516618953375, 49.25673472853388], [-123.08516543971862, 49.25669829846199]]}";__FJ7LW8
"{""type"": ""LineString"", ""coordinates"": [[-123.08639194727535, 49.255540162193526], [-123.0863059822287, 49.25549704939622]]}";__FJ7LWB
"{""type"": ""LineString"", ""coordinates"": [[-123.087228839671, 49.25438320699825], [-123.0871573794728, 49.25438236140655]]}";__FJ7LWF
"{""type"": ""LineString"", ""coordinates"": [[-123.08894237772948, 49.24947236151499], [-123.08887229785205, 49.24947106616064]]}";__FJ7LWM
"{""type"": ""LineString"", ""coordinates"": [[-123.08943969325807, 49.26212760999755], [-123.08936066416139, 49.26212767114715]]}";__FJ7LWO
"{""type"": ""LineString"", ""coordinates"": [[-123.08971230664214, 49.263126757132376], [-123.08940512265353, 49.26312969380129]]}";__FJ7LWT
"{""type"": ""LineString"", ""coordinates"": [[-123.21107773546615, 49.267965492691175], [-123.21089833636135, 49.26796177244137]]}";__FJ7LX0
"{""type"": ""LineString"", ""coordinates"": [[-123.21257731813834, 49.26763127911813], [-123.21245772912582, 49.267631049317494]]}";__FJ7LX1
"{""type"": ""LineString"", ""coordinates"": [[-123.2143207587878, 49.26949053358903], [-123.21415304594447, 49.269488595754424]]}";__FJ7LX9
"{""type"": ""LineString"", ""coordinates"": [[-123.21444298497435, 49.271049625172466], [-123.21416047694214, 49.271046542065775]]}";__FJ7LXB
"{""type"": ""LineString"", ""coordinates"": [[-123.21140999374845, 49.27061489926727], [-123.21127458143941, 49.27061290714416]]}";__FJ7LXG
"{""type"": ""LineString"", ""coordinates"": [[-123.21058444727473, 49.27059976568246], [-123.21044422947465, 49.270599121629374]]}";__FJ7LXI
"{""type"": ""LineString"", ""coordinates"": [[-123.20685258704644, 49.27053186468884], [-123.20671098919074, 49.27052986929581]]}";__FJ7LXN
"{""type"": ""LineString"", ""coordinates"": [[-123.20648072020666, 49.26937033168321], [-123.20633981674672, 49.26936923411585]]}";__FJ7LXP
"{""type"": ""LineString"", ""coordinates"": [[-123.20779417020988, 49.26755316748193], [-123.20768830572007, 49.26755110902042]]}";__FJ7LXR
"{""type"": ""LineString"", ""coordinates"": [[-123.20761957382801, 49.26755033302503], [-123.20751645658933, 49.26754781970918]]}";__FJ7LXS
"{""type"": ""LineString"", ""coordinates"": [[-123.20544750328597, 49.27082808289024], [-123.20534439866636, 49.27082691689198]]}";__FJ7LXT
"{""type"": ""LineString"", ""coordinates"": [[-123.21495970591957, 49.26423028933533], [-123.21454597509899, 49.2642243119183]]}";__FJ7LY3
"{""type"": ""LineString"", ""coordinates"": [[-123.21303415756492, 49.259965212314384], [-123.21290220630739, 49.25996230721007]]}";__FJ7LYL
"{""type"": ""LineString"", ""coordinates"": [[-123.20973368058439, 49.263519368506984], [-123.20959278801078, 49.263516925611526]]}";__FJ7LYN
"{""type"": ""LineString"", ""coordinates"": [[-123.20799385141687, 49.26584549980811], [-123.20788800246642, 49.26584300073745]]}";__FJ7LYP
"{""type"": ""LineString"", ""coordinates"": [[-123.20851297028199, 49.266710352941985], [-123.20837413048602, 49.26670790485307]]}";__FJ7LYR
"{""type"": ""LineString"", ""coordinates"": [[-123.2039830038062, 49.26619312799842], [-123.2039746854787, 49.26650932423786]]}";__FJ7LYU
"{""type"": ""LineString"", ""coordinates"": [[-123.2071911274144, 49.26503108554724], [-123.20710246700786, 49.26502989521954]]}";__FJ7LYV
"{""type"": ""LineString"", ""coordinates"": [[-123.20886710639061, 49.26448881410243], [-123.20876469835304, 49.2644867503807]]}";__FJ7LYY
"{""type"": ""LineString"", ""coordinates"": [[-123.20728072085593, 49.26410981525966], [-123.2070848324165, 49.264107018194736]]}";__FJ7LZ4
"{""type"": ""LineString"", ""coordinates"": [[-123.20890346327741, 49.263509178793846], [-123.20848904809736, 49.26350227241115]]}";__FJ7LZ5
"{""type"": ""LineString"", ""coordinates"": [[-123.20807774908971, 49.26342250670282], [-123.20783582934084, 49.26341890327515]]}";__FJ7LZ6
"{""type"": ""LineString"", ""coordinates"": [[-123.20430336715042, 49.260726585206605], [-123.20421471637405, 49.2607258424094]]}";__FJ7LZV
"{""type"": ""LineString"", ""coordinates"": [[-123.20664747005753, 49.26076518867702], [-123.20657257854288, 49.26076487283973]]}";__FJ7LZX
"{""type"": ""LineString"", ""coordinates"": [[-123.20404344345324, 49.26251664259317], [-123.20395890718122, 49.26251454305011]]}";__FJ7M06
"{""type"": ""LineString"", ""coordinates"": [[-123.20591704697868, 49.262253383908536], [-123.20563389868673, 49.26224938159226]]}";__FJ7M09
"{""type"": ""LineString"", ""coordinates"": [[-123.205935563068, 49.26158680548402], [-123.20565724649644, 49.26158370313089]]}";__FJ7M0A
"{""type"": ""LineString"", ""coordinates"": [[-123.20122830313416, 49.261577055356334], [-123.20115407655727, 49.26157493580519]]}";__FJ7M0B
"{""type"": ""LineString"", ""coordinates"": [[-123.2018973682395, 49.26219117881426], [-123.20179634331055, 49.262190006022145]]}";__FJ7M0G
"{""type"": ""LineString"", ""coordinates"": [[-123.1882005348092, 49.25927433203889], [-123.18828300508564, 49.259276887242926]]}";__FJ7M0P
"{""type"": ""LineString"", ""coordinates"": [[-123.18927022685332, 49.25930666753546], [-123.18921044156555, 49.25930631569743]]}";__FJ7M0Q
"{""type"": ""LineString"", ""coordinates"": [[-123.19745983201784, 49.262424663729796], [-123.19738148285529, 49.26242299856099]]}";__FJ7M0Y
"{""type"": ""LineString"", ""coordinates"": [[-123.19728320778844, 49.26242216793813], [-123.19721241974173, 49.262420939504544]]}";__FJ7M0Z
"{""type"": ""LineString"", ""coordinates"": [[-123.13062646425644, 49.26408613195025], [-123.13051579608444, 49.26408266792738]]}";__FJ7M15
"{""type"": ""LineString"", ""coordinates"": [[-123.1280326401501, 49.26402388304073], [-123.12784569270102, 49.2640218502424]]}";__FJ7M19
