"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Home Office","Home Office","Private Office","1PO04","Grade 6","57603","74446","Private Secretary","1.00","Policy"
"Home Office","Home Office","Private Office","1PO04","Grade 7","47422","61745","Private Secretary","7.00","Policy"
"Home Office","Home Office","Private Office","1PO04","SEO","34835","44873","Deputy Head of Section","1.00","Policy"
"Home Office","Home Office","Private Office","1PO04","SEO","34835","44873","Assistant Private Secretary","6.00","Policy"
"Home Office","Home Office","Private Office","1PO04","Grade 7","47422","61745","Business Support & Finance Manager","1.00","Other"
"Home Office","Home Office","Private Office","1PO04","HEO","27937","37497","Assistant Private Secretary","6.00","Policy"
"Home Office","Home Office","Private Office","1PO04","HEO","27937","37497","Higher Executive Officer","4.00","Policy"
"Home Office","Home Office","Private Office","1PO04","HEO","27937","37497","Diary Manager","2.00","Other"
"Home Office","Home Office","Private Office","1PO03","HEO-D","37376","37737","Assistant Private Secretary","1.00","Policy"
"Home Office","Home Office","Private Office","1PO04","HEO-D","37376","37737","Assistant Private Secretary","1.00","Policy"
"Home Office","Home Office","Private Office","1PO04","EO","23145","30651","Assistant Private Secretary","2.00","Policy"
"Home Office","Home Office","Private Office","1PO04","EO","23145","30651","Diary Manager","6.00","Other"
"Home Office","Home Office","Private Office","1PO04","EO","23145","30651","Executive Officer","1.00","Policy"
"Home Office","Home Office","Private Office","1PO03","EO","23145","30651","Diary Manager","1.00","Other"
"Home Office","Home Office","Private Office","1PO04","AO","","","Administrative Officer","4.00","Policy"
"Home Office","Home Office","Private Office","1PO04","HEO","27937","37497","Business Manager","1.00","Other"
"Home Office","Home Office","Private Office","1PO04","Grade 7","47422","61745","Head of Parliamentary and Correspondence Management Team","1.00","Policy"
"Home Office","Home Office","Private Office","1PO04","EO","23145","30651","Personal Assistant to Head of Unit","1.00","Policy"
"Home Office","Home Office","Private Office","1PO03","Grade 7","47422","61745","Assistant Private Secretary","2.00","Policy"
"Home Office","Home Office","Private Office","1PO04","EO","23145","30651","Correspondence Manager/Process and Performance Team Officer","2.00","Policy"
"Home Office","Home Office","Private Office","1PO03","HEO","27937","37497","Business Support Officers","1.00","Other"
"Home Office","Home Office","Private Office","1PO04","SEO","34835","44873","Private Secretary","3.00","Policy"
"Home Office","Home Office","Private Office","1PO04","AO","","","Communications Officer","7.00","Policy"
"Home Office","Home Office","Private Office","1PO04","Grade 7","47422","61745","Communications Manager","1.00","Policy"
"Home Office","Home Office","Private Office","1PO03","SEO","34835","44873","Assistant Private Secretary","3.00","Policy"
"Home Office","Home Office","Private Office","1PO04","Grade 6","57603","74446","Policy Adviser","2.00","Policy"
"Home Office","Home Office","Private Office","1PO04","Grade 7","47422","61745","Policy Adviser","1.00","Policy"
"Home Office","Home Office","Private Office","1PO04","SEO","34835","44873","Diary Manager","1.00","Other"
"Home Office","Home Office","Private Office","1PO04","HEO","27937","37497","Private Secretary","1.00","Policy"
"Home Office","Home Office","Animals in Science Regulation Unit","1HOS04","Grade 6","57603","74446","Head of Division","1.00","Policy"
"Home Office","Home Office","Animals in Science Regulation Unit","1HOS15","Grade 6","57603","74446","Operational Manager","1.00","Operational Delivery"
"Home Office","Home Office","Animals in Science Regulation Unit","1HOS15","Grade 6","57603","74446","Animal Scientific Procedures Inspectors","0.80","Medicine"
"Home Office","Home Office","Animals in Science Regulation Unit","1HOS15","Grade 6","57603","74446","Animal Scientific Procedures Inspectors","17.60","Vets"
"Home Office","Home Office","Animals in Science Regulation Unit","1HOS15","Grade 6","57603","74446","Vacant","1.00","Vets"
"Home Office","Home Office","Animals in Science Regulation Unit","1HOS04","SEO","34835","44873","Regulation Support","1.00","Policy"
"Home Office","Home Office","Animals in Science Regulation Unit","1HOS04","SEO","34835","44873","Regulation Support","1.00","Planning"
"Home Office","Home Office","Animals in Science Regulation Unit","1HOS04","SEO","34835","44873","Regulation Support","2.00","Operational Delivery"
"Home Office","Home Office","Animals in Science Regulation Unit","1HOS04","HEO","27937","37497","Policy Adviser","1.00","Policy"
"Home Office","Home Office","Animals in Science Regulation Unit","1HOS04","EO","23145","30651","Regulation Support","5.00","Operational Delivery"
