Publisher Label,Publisher URI,"Contract Reference","Title of the Agreement","Directorate or service responsible","Description of goods and services","Procurement classification: CPV code","Procurement classification: CPV label","Procurement classification: Proclass code","Procurement classification: Proclass label","Start date","End date","Review date","Contract value","Irrecoverable VAT","Supplier name","Supplier registered company number","Supplier registered company number Uri","Supplier registered charity number","Supplier registered charity number Uri","SME supplier","VCSE supplier","Tender type"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9KPDWR","Garthowen Supported Housing Scheme","SCM","Garthowen Supported Housing Scheme","98000000","Other community, social and personal services","329999","Social Community Care Supplies & Services�",01/04/2002 00:00:00,30/04/2014 00:00:00,30/01/2014 00:00:00,374537,0,"Together Working For Wellbeing","463505","https://beta.companieshouse.gov.uk/company/463505","211091","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=211091","No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C9K9Y","Revenues and Benefits","Client Unit","Revenues and Benefits","66600000","Treasury services","201801","Financial Services",01/12/2005 00:00:00,31/03/2016 00:00:00,01/03/2015 00:00:00,60500000,0,"Liberata","8719305","https://beta.companieshouse.gov.uk/company/8719305","",,"No","No",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJU4","Agreement for the Provision of EDRM - Liberata UK Limited","Childrens & Adults","Agreement for the Provision of EDRM - Liberata UK Limited","79996100","Records management","191100","Facilities & Management Services",15/12/2005 00:00:00,31/03/2016 00:00:00,31/03/2016 00:00:00,6018000,0,"Liberata","8719305","https://beta.companieshouse.gov.uk/company/8719305","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9KPH8N","Cancer Support Services- end of life","SCM","Cancer Support Services- end of life","98390000","Other services","329999","Social Community Care Supplies & Services�",01/04/2006 00:00:00,31/03/2014 00:00:00,22/04/2016 00:00:00,40000,0,"The Mulberry Centre","",,"",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJU8","Service Agreement Therapeutic Service for looked after children and childreen in need.","Childrens & Adults","Service Agreement Therapeutic Service for looked after children and childreen in need.","85311300","Welfare services for children and young people","329999","Social Community Care Supplies & Services�",01/04/2008 00:00:00,31/03/2018 00:00:00,01/04/2009 00:00:00,632000,0,"NSPCC","216401","https://beta.companieshouse.gov.uk/company/216401","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C6JW6","Management of the Parks, Cemeteries, Allotments and Heritage Buildings","Environment","Management of the Parks, Cemeteries, Allotments and Heritage Buildings","77300000","Horticultural services","249999","Horticultural",01/07/2008 00:00:00,01/07/2018 00:00:00,01/05/2017 00:00:00,51323980,0,"John Laing IS","1345670","https://beta.companieshouse.gov.uk/company/1345670","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C6KJL","Management of Leisure Centres and Community Halls","Supplier performance","Management of Leisure Centres and Community Halls","92330000","Recreational-area services","291100","Arts & Leisure Services",01/07/2008 00:00:00,01/07/2023 00:00:00,01/05/2022 00:00:00,15800000,0,"Fusion Lifestyle","1107737","https://beta.companieshouse.gov.uk/company/1107737","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9M9KHU","Grounds maintenance &  tree maintenance service","REDE","Grounds maintenance &  tree maintenance service","77310000","Planting and maintenance services of green areas","391311","Works - Construction, Repair & Maintenance",01/07/2008 00:00:00,30/12/2015 00:00:00,01/05/2015 00:00:00,69000,0,"Pinnacle Housing","2246643","https://beta.companieshouse.gov.uk/company/2246643","",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJPS","Agreement for the Provision of Library Management & Arts Services","Leisure &cultural Services","Agreement for the Provision of Library Management & Arts Services","79995000","Library management services","191800","Facilities & Management Services",01/07/2008 00:00:00,30/09/2023 00:00:00,01/09/2022 00:00:00,76951035,0,"John Laing IS","1345670","https://beta.companieshouse.gov.uk/company/1345670","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJK6","Contract For  Vehicle Maintenance Services","REDE","Contract For  Vehicle Maintenance Services","50110000","Repair and maintenance services of motor vehicles and associated equipment","381400","Vehicle Management",01/11/2008 00:00:00,01/11/2015 00:00:00,01/11/2014 00:00:00,1200000,0,"SITA Uk Limited","2291198","https://beta.companieshouse.gov.uk/company/2291198","",,"No","No","ITT"
