School,Admission Number,1st Preference Applications,2nd Preference Applications,3rd Preference Applications,4th Preference Applications, 5th Preference Applications,1st Preference Allocations,Total Allocations,Distance of furthest pupil allocated a place (in miles) (if oversubscribed)
Abbey Park Primary Academy,30,33,19,13,1,4,28,30,1.22
Akroydon Primary Academy,60,43,9,3,5,1,43,56,
All Saints' CE (VA) J and I School,30,27,43,27,12,5,27,29, 
Ash Green Community Primary School,60,66,7,4,2,7,60,60,0.283
Bailiffe Bridge J and I School,30,37,20,23,13,13,29,30,0.354
Barkisland CE (VA) Primary School,30,32,42,23,13,7,25,30,1.255
Beech Hill School,90,62,15,7,9,5,62,63,
Bolton Brow Primary Academy,30,37,26,13,13,8,29,30,0.466
Bowling Green Primary School,23,21,13,7,5,3,21,22, 
Bradshaw Primary School,45,49,44,16,8,3,43,45,2.191
Burnley Road Academy,30,31,9,12,3,4,29,30,2.834
Carr Green Primary School,45,53,57,23,3,0,44,45,0.693
Castle Hill Primary School,37,33,14,14,6,1,33,33, 
Central Street Infant and Nursery School,30,10,8,5,2,0,10,11,
Christ Church (Pellon) CE (VC) Primary School,30,19,21,7,2,0,19,23,
Cliffe Hill Community Primary School,30,19,3,3,10,3,19,19,
Colden J and I School,17,7,4,3,1,0,7,7,
Copley Primary School,32,28,30,38,17,9,28,32,3.748
"Cornholme J, I and N School",30,25,5,1,3,0,25,25,
Cragg Vale J and I School,10,2,0,5,4,3,2,2,
Cross Lane Primary and Nursery School,45,35,21,4,4,0,35,38, 
Dean Field Community Primary School,30,37,22,15,4,4,29,30,0.476
"Elland CE (VA) J, I and N School",30,31,10,9,1,2,30,30,All on time applications allocated
Ferney Lee Primary School,30,20,5,4,3,1,20,20,
Field Lane Primary School,27,19,5,4,0,2,18,19,
Hebden Royd CE (VA) Primary School,21,17,7,8,3,2,17,17,
"Heptonstall J, I and N School",15,9,5,5,3,1,9,9, 
Highbury School,N/A,12,0,0,1,0,6,6,
Holy Trinity Primary School (COEA),60,57,36,25,13,14,57,60,All on time applications allocated
Holywell Green Primary School,30,24,15,12,6,5,24,25, 
Lee Mount Primary School,50,58,22,15,5,6,49,50,0.443
Lightcliffe CE (VA) Primary School,60,64,47,37,27,9,57,60,0.886
"Ling Bob J, I and N School",45,45,11,10,3,2,44,45,0.922
Longroyde Primary School,60,37,9,16,7,6,37,38,
Luddenden CE School,30,25,7,3,4,2,25,26,
Luddendenfoot Academy,26,30,32,16,7,2,25,26,0.781
Midgley School,15,13,21,14,6,2,13,15,2.753
Moorside Community Primary School,30,30,10,7,4,1,27,30,0.575
Mount Pellon Primary Academy,75,32,8,15,7,7,32,34,
New Road Primary School,30,20,4,11,13,7,20,23,
Norland CE (VC) J and I School,15,10,18,18,11,8,10,12, 
Northowram Primary School,60,78,28,21,10,6,60,60,0.925
Old Earth School,60,63,29,28,7,1,59,60,1.377
Old Town Primary School,15,8,5,3,1,1,8,8, 
Parkinson Lane Community Primary School,60,80,32,29,14,6,60,60,0.208
Ripponden J and I School,45,19,13,14,6,16,19,30,
Sacred Heart Catholic Primary School,30,15,12,7,3,2,15,16, 
Salterhebble J and I School,30,26,28,24,12,9,26,28, 
Salterlee Academy Trust,15,13,48,8,10,10,12,15,0.871
Savile Park Primary School,60,36,41,27,13,8,36,46, 
Scout Road Academy,16,11,17,6,8,2,11,13, 
Shade Primary School,28,26,16,16,6,1,26,26, 
Shelf J and I School,45,28,31,36,8,9,28,35, 
Siddal Primary School,30,34,4,5,1,3,30,30,0.465
Sowerby Village CE (VC) Primary School,30,17,2,6,1,0,17,17,
St Andrew's CE (VA) Infant School,60,38,13,22,14,5,38,45,
St Augustine's CE (VA) J and I School,25,15,9,12,2,3,15,16, 
St Chad's CE (VA) Primary School,30,36,47,25,14,8,30,30,0.469
"St John's (CE) Primary Academy, Clifton",30,25,16,18,11,5,25,29, 
St John's CE Primary School (Rishworth),20,28,8,11,6,4,20,20,0.521
St Joseph's Catholic Primary School (Brighouse),30,24,18,25,9,6,24,28,
St Joseph's Catholic Primary School (Halifax),30,25,19,13,3,9,25,30,All on time applications allocated
St Joseph's RC Primary School (Todmorden),22,18,8,6,2,1,18,18,
St Malachy's Catholic Primary School,30,21,8,6,2,1,21,30,All on time applications allocated
St Mary's Catholic Primary School (Halifax),45,43,32,22,7,11,43,44, 
St Mary's CE (VC) J and I School (Sowerby Bridge),15,21,10,17,12,5,15,15,0.444
St Michael and All Angels CE Primary School,30,27,8,8,7,8,27,30,2.345
St Patrick's Catholic Primary School (Elland),17,18,8,7,5,1,17,17,0.568
Stubbings Infant School,30,16,6,3,1,4,16,16,
The Greetland Academy,60,59,26,17,7,5,57,60,1.724
The Halifax Academy,60,48,25,11,9,1,48,52,
Todmorden CE (VA) J & I School,29,29,20,16,2,2,29,29,0.99
Triangle CE (VC) Primary School,23,25,30,18,14,11,21,23,0.697
Tuel Lane Infant School,40,33,15,6,7,5,33,35,
Wainstalls School,30,34,20,12,9,7,30,30,1.554
Walsden St Peter's CE (VC) Primary School,25,24,14,4,3,2,24,24, 
Warley Road Primary School,75,53,34,21,6,8,53,59, 
Warley Town School,20,29,18,26,15,10,20,20,0.484
West Vale Primary School,26,17,13,21,10,5,17,19, 
Whitehill Community Academy,90,84,37,24,10,6,83,90,1.471
Withinfields Primary School,45,36,9,6,8,3,36,37, 
Wood Bank School,N/A,9,5,0,0,0,9,9,
Woodhouse Primary School,60,52,41,27,10,6,52,58, 
