Organisation Name,Effective Date,Service,Supplier Name,Paid Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,19/04/2016,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,19/04/2016,-1099.12,NURSING LONG TERM,V000973168
ROCHDALE BOROUGH COUNCIL,24/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,24/04/2016,1086.4,PURCHASE OF OTHER EQUIPMENT,V000978027
ROCHDALE BOROUGH COUNCIL,28/04/2016,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,28/04/2016,-630.52,RESIDENTIAL LONG TERM,V000980890
ROCHDALE BOROUGH COUNCIL,30/04/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,30/04/2016,-1128.96,RESIDENTIAL LONG TERM,V000980963
ROCHDALE BOROUGH COUNCIL,02/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD,02/05/2016,601,DEMOLITION,V000983754
ROCHDALE BOROUGH COUNCIL,01/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD,01/05/2016,3980,DEMOLITION,V000983754
ROCHDALE BOROUGH COUNCIL,11/05/2016,NEIGHBOURHOODS AND ENVIRONMENT,PROBRUSH,11/05/2016,-615.98,EQUIPMENT - GENERAL,V000985111
ROCHDALE BOROUGH COUNCIL,04/04/2016,NEIGHBOURHOODS AND ENVIRONMENT,KEEP BRITAIN TIDY,04/04/2016,1872,EQUIPMENT - GENERAL,V000985815
ROCHDALE BOROUGH COUNCIL,04/04/2016,PUBLIC HEALTH,LGBT FOUNDATION,04/04/2016,2040,SERVICE LEVEL AGREEMENTS,V000985817
ROCHDALE BOROUGH COUNCIL,04/04/2016,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,04/04/2016,3227.41,FOSTER PARENTS BASIC ALLOWANCE,V000986087
