Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,14-Jul-17,SERVICES  -  INSURANCE SERVICES,Facilities,BRIAN JOHNSTON & CO LTD,D16/17/3417,32330.09
Department of Health,Salisbury NHS Foundation Trust,14-Jul-17,RATES,Corporate - ETS,WILTSHIRE COUNCIL,Jul-17,114356
Department of Health,Salisbury NHS Foundation Trust,21-Jul-17,DRUGS,Clinical Support,ROCHE PRODUCTS LTD,1321959725,21750.28
Department of Health,Salisbury NHS Foundation Trust,21-Jul-17,DRUGS,Clinical Support,ROCHE PRODUCTS LTD,1321959725,4350.06
Department of Health,Salisbury NHS Foundation Trust,14-Jul-17,DRUGS,Clinical Support,BAYER PLC,187473668,21850
Department of Health,Salisbury NHS Foundation Trust,14-Jul-17,DRUGS,Clinical Support,BAYER PLC,187473668,4370
Department of Health,Salisbury NHS Foundation Trust,14-Jul-17,MEDPROSTH - OTHER,Corporate - Finance & Procurement,ABBOTT MEDICAL U.K. LTD,7500271448,56100
Department of Health,Salisbury NHS Foundation Trust,14-Jul-17,MEDPROSTH - OTHER,Corporate - Finance & Procurement,ABBOTT MEDICAL U.K. LTD,7500271448,11220
Department of Health,Salisbury NHS Foundation Trust,21-Jul-17,DRUGS,Clinical Support,BAYER PLC,187474433,26431.19
Department of Health,Salisbury NHS Foundation Trust,21-Jul-17,DRUGS,Clinical Support,BAYER PLC,187474433,5286.24
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,L A MOORE LTD,14575,33975.8
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,L A MOORE LTD,14575,33975.85
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,L A MOORE LTD,14575,6795.17
Department of Health,Salisbury NHS Foundation Trust,07-Jul-17,DRUGS,Clinical Support,BAYER PLC,187471999,26449.2
Department of Health,Salisbury NHS Foundation Trust,07-Jul-17,DRUGS,Clinical Support,BAYER PLC,187471999,5289.84
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Clinical Support,EMIS HEALTH,RINV00001267,9184
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1780
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1780
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,3060
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1780
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1780
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1780
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,3967.8
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,2450.04
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1441.26
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1441.26
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1441.26
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,7315.95
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,2450.04
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,4899.06
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1779.9
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1441.26
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1441.26
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Clinical Support,EMIS HEALTH,RINV00001267,1836.8
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,356
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,356
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,612
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,356
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,356
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,356
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,793.56
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,490.01
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,288.25
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,288.25
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,288.25
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,1463.19
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,490.01
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,979.81
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,355.98
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,288.25
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,288.25
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,HARD/SOFTWARE-COMPUTER SOFTWARE  OFF THE SHELF APPLICATIONS,Corporate - Informatics,EMIS HEALTH,RINV00001267,0.02
Department of Health,Salisbury NHS Foundation Trust,07-Jul-17,LAB REAGENTS-BUFFERS COMPUND SOLNS,Clinical Support,OXFORD GENE TECHNOLOGY,SIN005152,51216
Department of Health,Salisbury NHS Foundation Trust,07-Jul-17,LAB REAGENTS-BUFFERS COMPUND SOLNS,Clinical Support,OXFORD GENE TECHNOLOGY,SIN005152,10243.2
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,104958373,6859.05
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,104958373,58702.1
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,104958373,342.95
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,104958373,11740.42
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,ENERGY WATER - WATER MAINS,Corporate - ETS,BWBSL,8048551659,41399.3
Department of Health,Salisbury NHS Foundation Trust,28-Jul-17,ENERGY WATER - SEWERAGE CHARGES,Corporate - ETS,BWBSL,8048551659,17292.32
Department of Health,Salisbury NHS Foundation Trust,07-Jul-17,ETS UNITARY CHARGE,Corporate,SALISBURY HEALTHCARE FACILITIES LTD,367,309277.51
Department of Health,Salisbury NHS Foundation Trust,07-Jul-17,COSTS TO OTHER LABS,Clinical Support,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7300960,27474.71
Department of Health,Salisbury NHS Foundation Trust,07-Jul-17,COSTS TO OTHER LABS,Clinical Support,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7300960,2445.69
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,CLEANING MATERIALS PRODUCTS SUNDRIES,Facilities,NHS LOGISTICS,1018071945,35.57
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,NHS LOGISTICS,1018071945,14.89
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,SURGICAL INSTRUMENTS: GENERAL,Clinical Support,NHS LOGISTICS,1018071945,33.03
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,ADULTS HEARING AIDS,Surgery,NHS LOGISTICS,1018071945,195.07
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Surgery,NHS LOGISTICS,1018071945,15.56
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,PATIENT APPLIANCES,Musculo-Skeletal,NHS LOGISTICS,1018071945,37.61
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,MEDSURGCONS - OTHER,Musculo-Skeletal,NHS LOGISTICS,1018071945,38.81
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,LAB REAGENTS-BUFFERS COMPUND SOLNS,Clinical Support,NHS LOGISTICS,1018071945,101.5
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,OTHER MEDICAL SUPPLIES,Musculo-Skeletal,NHS LOGISTICS,1018071945,153.55
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1018071945,10
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,MEDSURGCONS - OTHER,Surgery,NHS LOGISTICS,1018071945,63.97
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,OTHER MEDICAL SUPPLIES,Clinical Support,NHS LOGISTICS,1018071945,42.87
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,OTHER MEDICAL SUPPLIES,Surgery,NHS LOGISTICS,1018071945,41.6
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,TISSUES HAND TOWELS & TOILET PAPER,Musculo-Skeletal,NHS LOGISTICS,1018071945,3.72
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,5.87
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,7.33
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,8.51
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,11.36
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,23.57
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,OTHER MEDICAL SUPPLIES,Musculo-Skeletal,NHS LOGISTICS,1018071945,1.88
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,PATIENT APPLIANCES,Musculo-Skeletal,NHS LOGISTICS,1018071945,3.35
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,PATIENT APPLIANCES,Musculo-Skeletal,NHS LOGISTICS,1018071945,4.39
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,TOILETRIES PERSONAL HYGIENE PRODUCTS,Musculo-Skeletal,NHS LOGISTICS,1018071945,4.13
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DISPOSABLE THEATRE DRAPES WIPES,Musculo-Skeletal,NHS LOGISTICS,1018071945,12.97
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DISPOSABLE THEATRE DRAPES WIPES,Musculo-Skeletal,NHS LOGISTICS,1018071945,15.4
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,OTHER MEDICAL SUPPLIES,Medicine,NHS LOGISTICS,1018071945,110.31
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,OTHER MEDICAL SUPPLIES,Medicine,NHS LOGISTICS,1018071945,23.73
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018071945,1.24
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Medicine,NHS LOGISTICS,1018071945,15.95
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Medicine,NHS LOGISTICS,1018071945,29.93
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Medicine,NHS LOGISTICS,1018071945,24.91
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,OTHER MEDICAL SUPPLIES,Medicine,NHS LOGISTICS,1018071945,23.86
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,OTHER MEDICAL SUPPLIES,Medicine,NHS LOGISTICS,1018071945,4.45
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,PATIENT APPLIANCES,Medicine,NHS LOGISTICS,1018071945,3.35
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,1018071945,3.91
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,MEDSURGCONS - OTHER,Medicine,NHS LOGISTICS,1018071945,6.82
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,TISSUES HAND TOWELS & TOILET PAPER,Medicine,NHS LOGISTICS,1018071945,0.7
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DISPOSABLE THEATRE DRAPES WIPES,Medicine,NHS LOGISTICS,1018071945,3.29
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,47.6
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,50.3
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,67.07
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,26.65
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,29.07
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,PATIENT APPLIANCES,Musculo-Skeletal,NHS LOGISTICS,1018071945,8.11
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,76.42
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,9.03
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,12.32
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,TISSUES HAND TOWELS & TOILET PAPER,Musculo-Skeletal,NHS LOGISTICS,1018071945,3.72
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRUGS,Musculo-Skeletal,NHS LOGISTICS,1018071945,4.18
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,OTHER MEDICAL SUPPLIES,Musculo-Skeletal,NHS LOGISTICS,1018071945,3.77
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,MEDSURGCONS - OTHER,Musculo-Skeletal,NHS LOGISTICS,1018071945,4.85
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DRESSINGS - PRE STERILE,Musculo-Skeletal,NHS LOGISTICS,1018071945,2.23
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,TISSUES HAND TOWELS & TOILET PAPER,Musculo-Skeletal,NHS LOGISTICS,1018071945,6.21
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,TUBES,Musculo-Skeletal,NHS LOGISTICS,1018071945,6.85
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,MEDSURGCONS-SUTURES,Musculo-Skeletal,NHS LOGISTICS,1018071945,28.48
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,DISPOSABLE THEATRE DRAPES WIPES,Musculo-Skeletal,NHS LOGISTICS,1018071945,3.24
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,NON DISPOSABLE THEATRE DRAPES WIPES,Medicine,NHS LOGISTICS,1018071945,52.82
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,TISSUES HAND TOWELS & TOILET PAPER,Clinical Support,NHS LOGISTICS,1018071945,3.72
Department of Health,Salisbury NHS Foundation Trust,19-Jul-17,TISSUES HAND TOWELS & TOILET PAPER,Clinical Support,NHS LOGISTICS,1018071945,10.65
