"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Cabinet Office","Cabinet Office","Cities Unit-Constitution Grp","59","A/BAND A","44743","60484","Communications manager","0.69","Policy"
"Cabinet Office","Cabinet Office","Cities Unit-Constitution Grp","59","A/BAND A","44743","60484","Senior policy adviser","6.00","Policy"
"Cabinet Office","Cabinet Office","Cities Unit-Constitution Grp","59","B2/BAND B2","30117","38484","Policy adviser","2.00","Policy"
"Cabinet Office","Cabinet Office","Cities Unit-Constitution Grp","59","B2/BAND B2","30117","38484","Programme manager","1.00","Policy"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","79","A/BAND A","44743","60484","Communications manager","2.70","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","79","B2/BAND B2","30117","38484","Press officer","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","79","TIS3","36735","47639","Senior press officer","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","139","A/BAND A","44743","60484","Senior communications manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","139","B2/BAND B2","30117","38484","Web manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","139","TIS2","31150","39799","Film maker / Photographer","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","139","TIS3","36735","47639","Design Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","139","TIS3","36735","47639","Senior web manager","4.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","154","A/BAND A","44743","60484","Communications manager","7.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","154","B1/BAND B1","23793","30093","Diary manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","154","B1/BAND B1","23793","30093","Office manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","154","B2/BAND B2","30117","38484","Business manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","154","B2/BAND B2","30117","38484","Communications support officer","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","154","TIS2","31150","39799","Press officer","2.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","154","TIS3","36735","47639","Senior press officer","7.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","229","A/BAND A","44743","60484","Senior Campaigns Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","229","A/BAND A","44743","60484","Senior communications manager","6.63","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","229","B2/BAND B2","30117","38484","Communications manager","0.60","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","229","TIS3","36735","47639","Campaigns manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Corporate Services-Government Communications","229","TIS3","36735","47639","Communications manager","3.00","Communications"
