OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/09/2016,AC138142591134073,Summer Series Event - Staging,CITY DEVELOPMENT,,,09/08/2016,,,,,"£8,000.00",,"ACORN SCAFFOLDING (YORKSHIRE) LTD, Moor Lane Trading Estate, Moxon Way Sherburn In Elmet, LEEDS, LS25 6ES",,d) Medium,,Craig Shackleton,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/09/2016,AL01104259293962,Conservatory work at Wetherby Leisure Centre,CITY DEVELOPMENT,,,10/08/2016,,,,,"£18,543.88",,"ALTERNATIVE WINDOWS (LEEDS) LTD, Sycamore House  Knowsthorpe Lane, Cross Green Industrial Estate, LEEDS, LS9 0PJ",,b) Micro,,Phil Rigby,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/09/2016,AR028442592LEE0002222,Home Care,ADULT SOCIAL CARE,,,10/08/2016,,,,,"£6,656.47",,"ARK HOME HEALTHCARE LTD, Portland House, 243 Moorlands Shalesmoor, SHEFFIELD, S3 8UG",,e) Large,,Tony Bailey / Julia Holden,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/09/2016,EV128X42601999377,To Supply and Install Bike Racks,CITY DEVELOPMENT,,,19/08/2016,,,,,"£8,940.00",,"ASHTEAD PLANT HIRE CO LTD, Bramley Vale, Chesterfield, DERBYSHIRE, S44 5GA",,d) Medium,,Paul Footitt,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/09/2016,BA807D42591241000384,Willow Project for Young Carers,CHILDRENS SERVICES,,,09/08/2016,,,,,"£40,368.25",,"BARNARDO SERVICES LTD, Barnardos East Finance Team, Rockford House  Low Lane, HORSFORTH, LS18 5QW",,e) Large,,Iain Dunn,Off-Contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/09/2016,BA002442586377888,Register to Vote Radion Campaign,CITIZENS AND COMMUNITIES,,,04/08/2016,,,,,"£7,898.03",,"BAUER RADIO LTD, Bcs Sales Ledger  1 Lincoln Court, Lincoln Road, PETERBOROUGH, PE1 2RF",,b) Micro,,Sue Wolfe,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/09/2016,BA02204260812345,Advertising Banners,CITY DEVELOPMENT,,,26/08/2016,,,,,"£14,857.00",,"BAY MEDIA LTD, 19 Deane House Studio, 27 Greenwood Place Kentish Town, LONDON, NW5 1LB",,c) Small,,Richard Tinker,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/09/2016,BI181742592938L18006,Waste Disposal and Management,ENVIRONMENT & HOUSING,,,10/08/2016,,,,,"£208,642.52",,"BIFFA WASTE SERVICES LTD, Coronation Road, Cressex, HIGH WYCOMBE, HP12 3TZ",,e) Large,,Ravinder Sambhi,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/09/2016,BL03874260833009,Lights and Fixture Fittings for Lotherton Hall,CITY DEVELOPMENT,,,26/08/2016,,,,,"£7,489.00",,"BLACHERE ILLUMINATIONS UK LTD, Gladstone Place, Ladybank, FIFE, KY15 7LB",,c) Small,,Paul Footitt,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/09/2016,BU54554260198727,Support Package Software,CENTRAL & CORPORATE,,,19/08/2016,,,,,"£6,361.00",,"BUSINESS SYSTEMS LIMITED, 12 Smith'S Yard, Summerley Street, LONDON, SW18 4HR",,d) Medium,,Simon Bentley / Deborah Russell,Non-influenceable
