"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Central Teams & Admin","3","B1/BAND B1","23793","30093","Diary Manager","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Central Teams & Admin","3","B/Faststream","27270","36175","Policy Adviser","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Central Teams & Admin","3","B2/BAND B2","30117","38484","Policy Adviser","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Central Teams & Admin","3","A/BAND A","46000","60484","Private Secretary","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","European & Global Issues","5","B1/BAND B1","23793","30093","Diary Manager","1.00","Policy"
"Cabinet Office","Cabinet Office","European & Global Issues","5","A/BAND A","46000","60484","Private Secretary","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Government Digital Service","22","B2/BAND B2","30117","38484","PROPOSITION SUPPORT","1.00","Other"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Government Digital Service","22","A/BAND A","46000","60484","RECRUITMENT LEAD","1.00","Other"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Government Digital Service","22","A/BAND A","46000","60484","Senior Technical Adviser","1.00","Other"
"Cabinet Office","Cabinet Office","Corporate Services - Finance & Estates","24","B1/BAND B1","23793","30093","Policy Adviser","1.00","Policy"
"Cabinet Office","Cabinet Office","Corporate Services - Finance & Estates","24","B2/BAND B2","30117","38484","Policy Adviser","2.00","Policy"
"Cabinet Office","Cabinet Office","Corporate Services - ICT","24","A/BAND A","46000","60484","Senior IT Manager","1.00","Information Technology"
"Cabinet Office","Cabinet Office","Corporate Services - ICT","24","B2/BAND B2","30117","38484","Senior IT Manager","2.00","Information Technology"
"Cabinet Office","Cabinet Office","Corporate Services - Finance & Estates","24","A/BAND A","46000","60484","Senior Policy Adviser","1.00","Policy"
"Cabinet Office","Cabinet Office","Deputy Prime Minister's Office","25","B1/BAND B1","23793","30093","Diary Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Civil Service HR","33","B1/BAND B1","23793","30093","Executive Assistant","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Corporate Services - Human Resources","37","A/BAND A","46000","60484","Business Manager","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Corporate Services - Human Resources","37","B/Faststream","27270","36175","HR Officer","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Corporate Services - Human Resources","37","B2/BAND B2","30117","38484","HR Officer","1.00","Human Resources"
"Cabinet Office","Cabinet Office","Government Communications","38","B2/BAND B2","30117","38484","Business Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Government Communications","38","TIS3","36735","47639","Communications Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Government Communications","38","C/BAND C","19790","24430","Diary Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Government Communications","38","B2/BAND B2","30117","38484","Intranet Content Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Government Communications","38","TIS2","31150","39799","Intranet Content Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Government Communications","38","TIS2","31150","39799","Project Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Government Communications","38","A/BAND A","46000","60484","Senior Communications Manager","2.00","Communications"
"Cabinet Office","Cabinet Office","Government Communications","38","A/BAND A","46000","60484","Senior Web Manager","1.00","Communications"
"Cabinet Office","Cabinet Office","Government Communications","38","TIS3","36735","47639","Senior Web Manager","1.83","Communications"
"Cabinet Office","Cabinet Office","Government Communications","38","TIS2","31150","39799","Technical Support Officer","1.00","Communications"
"Cabinet Office","Cabinet Office","Government Communications","38","TIS3","36735","47639","Web Manager","3.00","Communications"
"Cabinet Office","Cabinet Office","European & Global Issues","51","B1/BAND B1","23793","30093","Executive Assistant","1.00","Policy"
"Cabinet Office","Cabinet Office","Economic & Domestic Affairs","54","B2/BAND B2","30117","38484","Executive Assistant","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Efficiency","55","B/Faststream","27270","36175","Analyst","2.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Efficiency","55","B1/BAND B1","23793","30093","Analyst","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Efficiency","55","B2/BAND B2","30117","38484","Business Manager","0.67","Procurement"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Efficiency","55","A/BAND A","46000","60484","Correspondence Manager","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Efficiency","55","B1/BAND B1","23793","30093","Diary Manager","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Efficiency","55","A/BAND A","46000","60484","Head of Profession Capability","1.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Efficiency","55","A/BAND A","46000","60484","Private Secretary","1.00","Procurement"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Efficiency","55","A/BAND A","46000","60484","Senior Policy Adviser","1.00","Procurement"
"Cabinet Office","Cabinet Office","Private Office Group","57","B1/BAND B1","23793","30093","Operational Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","57","B/Faststream","27270","36175","Private Secretary","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","57","A/BAND A","46000","60484","Senior Operational Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","57","A/BAND A","46000","60484","Senior Policy Adviser","1.00","Policy"
"Cabinet Office","Cabinet Office","Constitution Group","59","B1/BAND B1","23793","30093","Diary Manager","1.00","Other"
"Cabinet Office","Cabinet Office","Private Office Group","63","B1/BAND B1","23793","30093","Diary Manager","3.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","63","C/BAND C","19790","24430","Diary Manager","4.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","63","B2/BAND B2","30117","38484","Office Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","63","B1/BAND B1","23793","30093","Operational Manager","3.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","63","B2/BAND B2","30117","38484","Operational Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","63","B1/BAND B1","23793","30093","Operations Support Officer","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","63","B2/BAND B2","30117","38484","Operations Support Officer","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Private Office Group","63","C/BAND C","19790","24430","Operations Support Officer","8.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","63","A/BAND A","46000","60484","Private Secretary","5.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","63","B/Faststream","27270","36175","Private Secretary","5.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Private Office Group","63","B2/BAND B2","30117","38484","Private Secretary","4.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Major Projects","66","A/BAND A","46000","60484","Business Manager","2.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Major Projects","66","A/BAND A","46000","60484","Policy Adviser","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Economic & Domestic Affairs","69","C/BAND C","19790","24430","Diary Manager","2.00","Policy"
"Cabinet Office","Cabinet Office","Economic & Domestic Affairs","69","B1/BAND B1","23793","30093","Office Manager","1.00","Policy"
"Cabinet Office","Cabinet Office","Economic & Domestic Affairs","69","B/Faststream","27270","36175","Policy Adviser","4.00","Policy"
"Cabinet Office","Cabinet Office","Economic & Domestic Affairs","69","A/BAND A","46000","60484","Senior Policy Adviser","5.00","Policy"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Corporate","70","B2/BAND B2","30117","38484","Analyst","4.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Corporate","70","B1/BAND B1","23793","30093","Executive Assistant","1.00","Planning"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Corporate","70","B/Faststream","27270","36175","Policy Adviser","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Corporate","70","B2/BAND B2","30117","38484","Policy Adviser","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Corporate","70","B2/BAND B2","30117","38484","Policy Adviser","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Corporate","70","A/BAND A","46000","60484","Senior Analyst","3.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Corporate","70","A/BAND A","46000","60484","Senior Analyst","1.00","Other"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Corporate","70","A/BAND A","46000","60484","Senior Analyst","1.00","Programme and Project Management (PPM)"
"Cabinet Office","Cabinet Office","Efficiency & Reform - Corporate","70","A/BAND A","46000","60484","Senior Policy Adviser","3.00","Other"
"Cabinet Office","Cabinet Office","Economic & Domestic Affairs","76","B/Faststream","27270","36175","Policy Adviser","3.00","Policy"
"Cabinet Office","Cabinet Office","Economic & Domestic Affairs","76","A/BAND A","46000","60484","Senior Policy Adviser","3.00","Policy"
"Cabinet Office","Cabinet Office","Civil Service Group - Honours and Appointments Secretariat","77","C/BAND C","19790","24430","Executive Assistant","1.00","Policy"
"Cabinet Office","Cabinet Office","Civil Service Group - Honours and Appointments Secretariat","77","B1/BAND B1","23793","30093","Operational Manager","2.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Civil Service Group - Honours and Appointments Secretariat","77","B2/BAND B2","30117","38484","Operational Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Civil Service Group - Honours and Appointments Secretariat","77","C/BAND C","19790","24430","Operations Support Officer","9.54","Operational Delivery"
"Cabinet Office","Cabinet Office","Civil Service Group - Privy Council Office","77","B1/BAND B1","23793","30093","Operations Support Officer","2.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Civil Service Group - Privy Council Office","77","B2/BAND B2","30117","38484","Operations Support Officer","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Civil Service Group - Privy Council Office","77","C/BAND C","19790","24430","Operations Support Officer","3.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Civil Service Group - Honours and Appointments Secretariat","77","B1/BAND B1","23793","30093","Policy Adviser","1.39","Policy"
"Cabinet Office","Cabinet Office","Civil Service Group - Honours and Appointments Secretariat","77","B2/BAND B2","30117","38484","Policy Adviser","1.00","Policy"
"Cabinet Office","Cabinet Office","Civil Service Group - Honours and Appointments Secretariat","77","A/BAND A","46000","60484","Senior Operational Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Civil Service Group - Honours and Appointments Secretariat","77","A/BAND A","46000","60484","Senior Policy Adviser","2.00","Policy"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","B1/BAND B1","23793","30093","Communications Manager","5.41","Communications"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","B1/BAND B1","23793","30093","Communications Support Officer","14.40","Communications"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","C/BAND C","19790","24430","Communications Support Officer","9.83","Communications"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","C/BAND C","19790","24430","Custodian","13.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","B1/BAND B1","23793","30093","Custodian Operation Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","A/BAND A","46000","60484","Head of Security","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","C/BAND C","19790","24430","Housekeeper","6.92","Operational Delivery"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","B2/BAND B2","30117","38484","IT Manager","4.00","Information Technology"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","TIS3","36735","47639","IT Manager","2.00","Information Technology"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","B1/BAND B1","23793","30093","IT Support Officer","4.00","Information Technology"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","B2/BAND B2","30117","38484","IT Support Officer","1.00","Information Technology"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","C/BAND C","19790","24430","IT Support Officer","1.00","Information Technology"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","A/BAND A","46000","60484","Operational Manager","0.80","Operational Delivery"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","B1/BAND B1","23793","30093","Operational Manager","2.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","B2/BAND B2","30117","38484","Operational Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","B1/BAND B1","23793","30093","Operations Support Officer","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","C/BAND C","19790","24430","Operations Support Officer","2.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","A/BAND A","46000","60484","Project Manager","1.00","Operational Delivery"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","TIS3","36735","47639","Project Manager","1.00","Information Technology"
"Cabinet Office","Cabinet Office","Prime Minister's Office","81","A/BAND A","46000","60484","Senior Communications Manager","1.00","Communications"
