Department Family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,Salisbury NHS Foundation Trust,17-Nov-17,FOODSTUFFS,Facilities,PELICAN PROCUREMENT SERVICES LTD,OCT-2017-NHS 1618,6482.45
Department of Health,Salisbury NHS Foundation Trust,17-Nov-17,FOODSTUFFS,Facilities,PELICAN PROCUREMENT SERVICES LTD,OCT-2017-NHS 1618,45326.59
Department of Health,Salisbury NHS Foundation Trust,17-Nov-17,DRUGS,Clinical Support,LLOYDSPHARMACY CLINICAL HOMECARE,SINV2552320,41799.26
Department of Health,Salisbury NHS Foundation Trust,10-Nov-17,RATES,Corporate - ETS,WILTSHIRE COUNCIL,NOV 17 NDR,114356
Department of Health,Salisbury NHS Foundation Trust,24-Nov-17,DRUGS,Clinical Support,LLOYDSPHARMACY CLINICAL HOMECARE,SINV2566234,41784.26
Department of Health,Salisbury NHS Foundation Trust,17-Nov-17,DRUGS,Clinical Support,ROCHE PRODUCTS LTD,1321977419,22130.07
Department of Health,Salisbury NHS Foundation Trust,17-Nov-17,DRUGS,Clinical Support,ROCHE PRODUCTS LTD,1321977419,4426.01
Department of Health,Salisbury NHS Foundation Trust,10-Nov-17,LAB EQUIP-LABORATORY APPARATUS,Clinical Support,BECKMAN COULTER,1391569,48745.91
Department of Health,Salisbury NHS Foundation Trust,10-Nov-17,DRUGS,Clinical Support,BAYER PLC,187492954,31464
Department of Health,Salisbury NHS Foundation Trust,10-Nov-17,DRUGS,Clinical Support,BAYER PLC,187492954,6292.8
Department of Health,Salisbury NHS Foundation Trust,10-Nov-17,DRUGS,Clinical Support,BAYER PLC,187491817,21850
Department of Health,Salisbury NHS Foundation Trust,10-Nov-17,DRUGS,Clinical Support,BAYER PLC,187491817,4370
Department of Health,Salisbury NHS Foundation Trust,17-Nov-17,HEALTHCARE - NHS TRUSTS,Clinical Support,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7308257,30012.15
Department of Health,Salisbury NHS Foundation Trust,17-Nov-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105201591,6262.44
Department of Health,Salisbury NHS Foundation Trust,17-Nov-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105201591,53330.71
Department of Health,Salisbury NHS Foundation Trust,17-Nov-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105201591,313.12
Department of Health,Salisbury NHS Foundation Trust,17-Nov-17,ENERGY WATER - ELECTRICITY,Corporate - ETS,SCOTTISH POWER,105201591,10666.14
Department of Health,Salisbury NHS Foundation Trust,10-Nov-17,ENERGY WATER - WATER MAINS,Corporate - ETS,BWBSL,8049421640,27840.78
Department of Health,Salisbury NHS Foundation Trust,24-Nov-17,PATS CONS TREATMENT COMMERCIAL,Musculo-Skeletal,NEW HALL HOSPITAL,SDH817ORTH,34055
Department of Health,Salisbury NHS Foundation Trust,03-Nov-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12492123,6343.51
Department of Health,Salisbury NHS Foundation Trust,03-Nov-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12492123,55306.45
Department of Health,Salisbury NHS Foundation Trust,03-Nov-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12492123,317.18
Department of Health,Salisbury NHS Foundation Trust,03-Nov-17,ENERGY WATER - GAS MAINS,Corporate - ETS,CORONA ENERGY,12492123,11061.29
Department of Health,Salisbury NHS Foundation Trust,03-Nov-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,SOUTH WEST HIGHWAYS LIMITED,C20220B,176478.28
Department of Health,Salisbury NHS Foundation Trust,03-Nov-17,BLDG STRUCTURES MAIN CONTR,Capital Projects,SOUTH WEST HIGHWAYS LIMITED,C20220B,19465.56
