Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE
BIS,BIS,Business Group,B-2-0503-PR,Grade 6,50043,75983,,1
BIS,BIS,Business Group,B-2-0503-PR,Grade 7,40686,64151,,2.6
BIS,BIS,Business Group,B-2-0503-PR,SEO,28741,49798,,1.94
BIS,BIS,Business Group,B-2-0503-PR,HEO,22300,45000,,2
BIS,BIS,Business Group,B-2-0503-PR,EO,18763,35000,,2
BIS,BIS,Business Group,B-2-0503-PR,AO,16325,22126,,2
BIS,BIS,Business Group,B-3-0511-JM,Grade 7,40686,64151,,1
BIS,BIS,Business Group,B-3-0552-ND,Grade 7,40686,64151,,1
BIS,BIS,Business Group,B-3-0552-ND,EO,18763,35000,,1
BIS,BIS,Business Group,B-3-0631-DH,Grade 7,40686,64151,,1
BIS,BIS,Business Group,B-3-0631-DH,EO,18763,35000,,1
BIS,BIS,Business Group,B-3-0741-PL,Grade 7,40686,64151,,1
BIS,BIS,Business Group,B-3-0741-PL,HEO,22300,45000,,1
BIS,BIS,Business Group,B-3-0741-PL,EO,18763,35000,,0.86
BIS,BIS,Business Group,B-5-0503-DD9,Grade 6,50043,75983,,1.33
BIS,BIS,Business Group,B-5-0503-DD9,Grade 7,40686,64151,,3.81
BIS,BIS,Business Group,B-5-0503-DD9,HEO,22300,45000,,2
BIS,BIS,Business Group,B-5-0511-DD24,Grade 6,50043,75983,,6.41
BIS,BIS,Business Group,B-5-0511-DD24,Grade 7,40686,64151,,11.41
BIS,BIS,Business Group,B-5-0511-DD24,SEO,28741,49798,,3
BIS,BIS,Business Group,B-5-0511-DD24,HEO,22300,45000,,8
BIS,BIS,Business Group,B-5-0511-DD24,EO,18763,35000,,2
BIS,BIS,Business Group,B-5-0511-DD24,AO,16325,22126,,1
BIS,BIS,Business Group,B-5-0521-DD23,Grade 6,50043,75983,,3
BIS,BIS,Business Group,B-5-0521-DD23,Grade 7,40686,64151,,5
BIS,BIS,Business Group,B-5-0521-DD23,SEO,28741,49798,,2
BIS,BIS,Business Group,B-5-0521-DD23,HEO,22300,45000,,3.51
BIS,BIS,Business Group,B-5-0521-DD23,EO,18763,35000,,1
BIS,BIS,Business Group,B-5-0533-DD1,Grade 6,50043,75983,,1
BIS,BIS,Business Group,B-5-0533-DD1,Grade 7,40686,64151,,6
BIS,BIS,Business Group,B-5-0533-DD1,SEO,28741,49798,,3
BIS,BIS,Business Group,B-5-0533-DD1,HEO,22300,45000,,5
BIS,BIS,Business Group,B-5-0533-DD1,AO,16325,22126,,2
