ExtractDate,OrganisationURI,OrganisationLabel,ContractReference,TitleOfTheAgreement,ContractType,DirectorateResponsible,DepartmentResponsible,ServiceCategory,ServiceCategoryURI,DescriptionOfGoodsAndServices,ProcurementClassification:ProclassLabel,ProcurementClassification:ProclassCode,StartDate,EndDate,ExtensionDate,ReviewDate,ContractValue,FixedorEstimatedCosts,IrrecoverableVAT,SupplierName,CompanyNumber,CharityCommissionNumber,SMESupplier,VCSESupplier,VCSESupplierType
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0047,"Waste Collection, Recycling and Street Collection",Single award contract,People and Places,Street Scene,Environmental and regulatory services,http://opendatacommunities.org/def/concept/finance/sercop/objective/1050,"South Lakeland District Council is running a procurement exercise for the kerbside collection of dry recyclables, garden waste and residual waste for 50,500 household within the district using an alternative weekly collection system.",Environmental Services|Waste Management|Waste Collection,182013,01/04/2010,31/03/2017,,31/03/2017,31500000,Estimated,0,South Lakeland District Council (In House),,0,,No,No
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,cont0223,Retaining wall remedial works,,People and Places,Asset Management,,,"Retaining wall remedial works at Rothay Park, Ambleside",,,07/08/2017,22/09/2017,,,87053.97,Estimated,0,AE Yates Ltd,3086829,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,cont0224,Contract for the provision of 2 x Refuse Collection Vehicles,Framework agreement,People and Places,Asset Management,Environmental and regulatory services,,Provision of 2 x 12000kg Refuse Collection Vehicles,,,01/08/2017,01/08/2022,,01/02/2022,212750,Fixed,0,Garwood Europe Ltd,4333504,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,cont0225,Agreement to access procurement framework,Framework agreement,Policy and Resources,Procurement,Support services,,Access to a procurement framework for the entire life cycle of the built environment,,,12/07/2017,11/07/2017,12/07/2018,01/04/2018,    ,Fixed,0,Scape Procure Limited,9955814,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0221,Agreement for Consultancy Services - Enhancements at Millerground,Single award contract,People and Places,Community and Leisure,Countryside recreation and management services,,Consultancy Services for Design Works in respect of Enhancements at Millerground,,,10/07/2017,10/10/2017,,01/10/2017,11340,Fixed,0,Iteriad Ltd,7966573,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0220,Refurbishment of Auction Room for Age Concern,,People and Places,Asset Management,,,"Auction Room refurbishment - Brogden Street, Ulverston for Age Concern",,,26/06/2017,18/08/2017,,,37369,Estimated,0,Cox & Allen Ltd,1611371,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0215,HRA of additional and alternative policy options for the South Lakeland Development Policies DPD - South Lakeland District Council,,People and Places,Development Strategy,,,Additional work in relation to the Habitats Regulations Assessment (HRA) for the Development Management Policies Development Plan Document (DPD),,,19/06/2017,14/08/2017,,,2404.5,Estimated,0,Footprint Ecology,4980085,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0219,Stonework refurbishment to Kendal Town Hall,,People and Places,Asset Management,,,Stonework refurbishment & assoicated works to Kendal Town Hall,,,18/06/2017,01/12/2017,,,225229,Estimated,0,Maysand Ltd,2912226,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0217,Call Off Order Form and Call Off Terms for Local Authority Software Applications,,People and Places,Revenues & Benefits,,,Call off order form and call off terms for Local Authority software applications.,,,15/06/2017,31/05/2022,,,363125,Estimated,0,Capita Business Services Limited,2299747,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0214,Internal alterations to Westmorland Multi-Storey Car Park Security Office,,People and Places,Asset Management,,,Internal alterations to Westmorland Multi-Storey Car Park Security Office,,,05/06/2017,21/07/2017,,,79587,Estimated,0,Roland Hill Ltd,1018220,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0156,Schedule of Rates Contract,,People and Places,Asset Management,,,"Maintenance of public buildings, footpaths, car parks and roadways",,,01/06/2017,01/10/2018,30/09/2021,,601032.5,Estimated,0,Cruden Property Services Ltd,3851237,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0161,"Agreement for PTO/Digital Input Subscription, Vehicle Tracking Subsciption, Driver ID Subscription and Fuel Card Integration Subscription",,People and Places,Street Scene,,,"Agreement for PTO/Digital Input Subscription, Vehicle Tracking Subsciption, Driver ID Subscription and Fuel Card Integration Subscription.",,,01/06/2017,31/05/2018,,,13440,Estimated,0,Fleetmatics,5265904,0,,,
12/09/2017,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,Cont0212,All Hallows Church - Structural Repairs,,People and Places,Asset Management,,,"South Lakeland District Council, are seeking to appoint a firm of consultants to manage the structural repairs at Allhallows Church following the spalling of stonework and movement to the gable wall area.  The work is line with dangerous structures under",,,01/06/2017,31/03/2018,,,    ,Estimated,0,RG Parkins,4107150,0,,,
