Body name,Body,Service label,Service division label,Expenditure category,Detailed expenditure type,Detailed expenditure code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Supplies and services,Operational Materials,205,24/12/2010,1012-00001,1616.23 ,R,A & A ELECTRICAL DISTRIBUTORS LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Supplies and services,Operational Materials,205,31/12/2010,1012-00002,1532.57 ,R,A & A ELECTRICAL DISTRIBUTORS LTD
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Materials,205,22/12/2010,1012-00003,780.80 ,R,A ANDREWS & SONS (MARBLES & TILES)
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Environment & Neighbourhoods,Streetscene Environmental Services,Supplies and services,Other Hired And Contracted Services,265,08/12/2010,1012-00004,4160.00 ,R,A APPLEYARD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Supplies and services,Other Hired And Contracted Services,265,08/12/2010,1012-00005,2256.00 ,R,A BUSH (ENGINEERING SERVICES) LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Commercial Services Trading Services,Supplies and services,Other Hired And Contracted Services,265,16/12/2010,1012-00006,28502.50 ,R,A BUSH (ENGINEERING SERVICES) LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Central & Corporate Functions,Leeds Shared Services,Supplies and services,Office Consumables,210,02/12/2010,1012-00007,1795.00 ,R,A C Labels (2010) Ltd
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Highways,Capital,CONSTRUCTION,3,14/12/2010,1012-00008,1441.94 ,C,A D D LOOP SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Highways,Supplies and services,Other Hired And Contracted Services,265,14/12/2010,1012-00009,8780.28 ,R,A D D LOOP SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Highways,Supplies and services,Other Hired And Contracted Services,265,21/12/2010,1012-00010,2760.00 ,R,A D D LOOP SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,City Development,Highways,Supplies and services,Other Hired And Contracted Services,265,23/12/2010,1012-00011,1725.00 ,R,A D D LOOP SERVICES LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Roseville Enterprises,Supplies and services,Operational Furniture And Equipment,203,09/12/2010,1012-00012,2981.20 ,R,A D G ENGINEERING LTD
Leeds City Council,http://statistics.data.gov.uk/doc/local-authority/00DA,Adult Social Care,Roseville Enterprises,Supplies and services,Operational Furniture And Equipment,203,14/12/2010,1012-00013,1170.00 ,R,A D G ENGINEERING LTD
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,02/12/2010,1012-00014,707.52 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,02/12/2010,1012-00015,451.32 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,02/12/2010,1012-00016,486.51 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,02/12/2010,1012-00017,880.50 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,02/12/2010,1012-00018,803.35 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,02/12/2010,1012-00019,1231.94 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,02/12/2010,1012-00020,445.30 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,02/12/2010,1012-00021,678.60 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Materials,205,03/12/2010,1012-00022,-468.60 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Materials,205,03/12/2010,1012-00023,-592.30 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00024,448.50 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00025,426.50 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00026,618.50 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00027,437.50 ,R,A D Simpson Ltd
East North East Homes Leeds,http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East,Technical Services,Supplies and services,Other Hired And Contracted Services,265,03/12/2010,1012-00028,466.95 ,R,A D Simpson Ltd
